,0,1,2
0,Sync10_#un,289,17.878436178392924
1,Sync11_#syrie,36,45.44603174603174
2,Sync1_#al,101,34.85722772277228
3,Sync1_#algeria,122,28.977916271507926
4,Sync1_#arabspring,159,12.716025794124672
5,Sync1_#assad,637,19.317007790053612
6,Sync1_#iran,139,17.62569075174643
7,Sync1_#jordan,212,10.508271483501744
8,Sync1_#palestine,113,10.015486725663717
9,Sync1_#Russia,529,21.04411554104371
10,Sync1_#snc,77,25.641148325358852
11,Sync1_#syrian,124,26.399816417519013
12,Sync1_#syrias,106,29.393890386343216
13,Sync1_#turkey,84,15.388697647733792
14,Sync1_#un,384,18.74968722802437
15,Sync1_#us,95,21.840761478163493
16,Sync2_#al,41,22.235365853658536
17,Sync2_#aljazeera,78,10.70962370962371
18,Sync2_#arab,241,11.553699861687413
19,Sync2_#arableague,188,26.496984867447946
20,Sync2_#arabspring,346,16.46182457903996
21,Sync2_#assad,892,19.005289567322453
22,Sync2_#humanrights,136,31.320261437908496
23,Sync2_#iran,442,15.524948440914827
24,Sync2_#jan25,87,132.54691259021652
25,Sync2_#jordan,119,7.322176328158382
26,Sync2_#kuwait,311,8.1583030805933
27,Sync2_#palestine,100,18.522222222222222
28,Sync2_#rifdimashq,2,1.0
29,Sync2_#Russia,192,18.462478184991273
30,Sync2_#snc,47,49.567992599444956
31,Sync2_#syrian,102,24.506503591535623
32,Sync2_#syrias,190,31.188916736285158
33,Sync2_#syriatube,3,7.333333333333333
34,Sync2_#turkey,120,26.794817927170868
35,Sync2_#uk,105,17.27857142857143
36,Sync2_#un,102,13.61366724907785
37,Sync2_#us,65,21.392788461538462
38,Sync3_#al,216,33.23927648578811
39,Sync3_#aleppo,259,22.969111969111967
40,Sync3_#arableague,452,22.66708200066715
41,Sync3_#assadabuses,17,8.933823529411764
42,Sync3_#humanrights,149,47.48167966624342
43,Sync3_#idlib,437,23.816093884491846
44,Sync3_#palestine,168,10.002851439977189
45,Sync3_#snc,53,42.06603773584906
46,Sync3_#syrian,108,26.187435098650052
47,Sync3_#syrias,259,28.113585346143484
48,Sync3_#turkey,92,9.574534161490684
49,Sync3_#uk,61,20.095628415300546
50,Sync3_#un,160,17.10503144654088
51,Sync3_#us,37,13.713213213213214
52,Sync3_#usa,128,8.520792322834646
53,Sync4_#al,169,30.0729078613694
54,Sync4_#aleppo,194,27.900539501095025
55,Sync4_#aljazeera,69,15.252344416027281
56,Sync4_#arableague,220,28.498962224989622
57,Sync4_#arabspring,322,12.256825525821869
58,Sync4_#assad,337,19.950579341528897
59,Sync4_#deirezzor,13,40.12820512820513
60,Sync4_#humanrights,35,25.79327731092437
61,Sync4_#idlib,104,35.97759522031367
62,Sync4_#palestine,131,8.56793893129771
63,Sync4_#snc,119,31.907420595356786
64,Sync4_#syrian,133,32.14980633401686
65,Sync4_#syrias,137,21.735938170888794
66,Sync4_#syriatube,3,0.6666666666666666
67,Sync4_#uk,63,12.044546850998463
68,Sync4_#un,82,19.938271604938272
69,Sync4_#us,73,16.792998477929984
70,Sync4_#usa,102,8.559308872063676
71,Sync5_#algeria,150,49.7006711409396
72,Sync5_#aljazeera,106,15.111949685534592
73,Sync5_#arabspring,190,16.72263993316625
74,Sync5_#assad,748,19.565169769989048
75,Sync5_#damascus,980,18.5850347084697
76,Sync5_#humanrights,99,31.564831993403423
77,Sync5_#iran,406,16.018451620750472
78,Sync5_#jan25,141,131.27507598784194
79,Sync5_#jordan,120,24.649439775910363
80,Sync5_#palestine,175,9.316256157635468
81,Sync5_#Russia,44,20.45983086680761
82,Sync5_#syrian,130,25.706618962432916
83,Sync5_#syrias,141,25.661398176291794
84,Sync5_#uk,67,10.420171867933062
85,Sync5_#un,79,17.36643946770529
86,Sync5_#us,142,14.933672959744282
87,Sync6_#arabspring,294,13.44630958185322
88,Sync6_#assad,738,21.22028071026979
89,Sync6_#humanrights,98,23.677887649905323
90,Sync6_#iran,441,17.117243867243868
91,Sync6_#Russia,45,11.312121212121212
92,Sync6_#snc,53,26.695936139332364
93,Sync6_#syrian,185,22.6096357226792
94,Sync6_#syrias,210,25.75142401458191
95,Sync6_#uk,141,12.377912867274569
96,Sync6_#us,85,14.687114845938375
97,Sync6_#usa,58,7.007259528130671
98,Sync7_#aljazeera,49,12.522108843537415
99,Sync7_#humanrights,95,28.38924972004479
100,Sync7_#Russia,199,24.89670575097711
101,Sync7_#snc,109,35.98301053346925
102,Sync7_#syrian,118,32.67304070693901
103,Sync7_#syrias,137,24.18237440961786
104,Sync7_#uk,87,14.531408714247528
105,Sync8_#deirezzor,30,21.347126436781608
106,Sync8_#humanrights,37,28.03153153153153
107,Sync8_#iran,189,21.886018237082066
108,Sync8_#jan25,12,1.6666666666666667
109,Sync8_#syrian,111,19.093693693693695
110,Sync8_#syrie,29,19.24137931034483
111,Sync9_#syrian,207,22.657520754186013
112,Sync9_#un,80,22.429430379746837
