date and time,value
[2020-04-10 15:44:58.447] ,117
[2020-04-10 15:44:58.547] ,214
[2020-04-10 15:44:58.648] ,454
[2020-04-10 15:44:58.748] ,413
[2020-04-10 15:44:58.847] ,213
[2020-04-10 15:44:58.947] ,96
[2020-04-10 15:44:59.047] ,255
[2020-04-10 15:44:59.147] ,356
[2020-04-10 15:44:59.247] ,331
[2020-04-10 15:44:59.347] ,114
[2020-04-10 15:44:59.447] ,82
[2020-04-10 15:44:59.547] ,417
[2020-04-10 15:44:59.647] ,448
[2020-04-10 15:44:59.747] ,254
[2020-04-10 15:44:59.850] ,12
[2020-04-10 15:44:59.951] ,218
[2020-04-10 15:45:00.051] ,397
[2020-04-10 15:45:00.152] ,360
[2020-04-10 15:45:00.252] ,141
[2020-04-10 15:45:00.351] ,69
[2020-04-10 15:45:00.452] ,365
[2020-04-10 15:45:00.553] ,386
[2020-04-10 15:45:00.652] ,282
[2020-04-10 15:45:00.753] ,111
[2020-04-10 15:45:00.854] ,106
[2020-04-10 15:45:00.953] ,354
[2020-04-10 15:45:01.054] ,344
[2020-04-10 15:45:01.154] ,170
[2020-04-10 15:45:01.253] ,72
[2020-04-10 15:45:01.354] ,277
[2020-04-10 15:45:01.455] ,459
[2020-04-10 15:45:01.554] ,397
[2020-04-10 15:45:01.655] ,135
[2020-04-10 15:45:01.754] ,62
[2020-04-10 15:45:01.855] ,328
[2020-04-10 15:45:01.956] ,384
[2020-04-10 15:45:02.055] ,218
[2020-04-10 15:45:02.154] ,75
[2020-04-10 15:45:02.256] ,169
[2020-04-10 15:45:02.355] ,434
[2020-04-10 15:45:02.456] ,386
[2020-04-10 15:45:02.556] ,158
[2020-04-10 15:45:02.656] ,77
[2020-04-10 15:45:02.757] ,279
[2020-04-10 15:45:02.858] ,381
[2020-04-10 15:45:02.957] ,341
[2020-04-10 15:45:03.058] ,106
[2020-04-10 15:45:03.157] ,68
[2020-04-10 15:45:03.257] ,355
[2020-04-10 15:45:03.357] ,346
[2020-04-10 15:45:03.457] ,187
[2020-04-10 15:45:03.557] ,84
[2020-04-10 15:45:03.657] ,169
[2020-04-10 15:45:03.757] ,437
[2020-04-10 15:45:03.860] ,364
[2020-04-10 15:45:03.961] ,169
[2020-04-10 15:45:04.060] ,75
[2020-04-10 15:45:04.162] ,249
[2020-04-10 15:45:04.261] ,413
[2020-04-10 15:45:04.361] ,340
[2020-04-10 15:45:04.461] ,151
[2020-04-10 15:45:04.565] ,126
[2020-04-10 15:45:04.663] ,426
[2020-04-10 15:45:04.763] ,494
[2020-04-10 15:45:04.863] ,286
[2020-04-10 15:45:04.963] ,104
[2020-04-10 15:45:05.063] ,91
[2020-04-10 15:45:05.164] ,317
[2020-04-10 15:45:05.264] ,169
[2020-04-10 15:45:05.365] ,75
[2020-04-10 15:45:05.465] ,116
[2020-04-10 15:45:05.566] ,501
[2020-04-10 15:45:05.666] ,610
[2020-04-10 15:45:05.766] ,437
[2020-04-10 15:45:05.866] ,173
[2020-04-10 15:45:05.966] ,238
[2020-04-10 15:45:06.066] ,514
[2020-04-10 15:45:06.167] ,506
[2020-04-10 15:45:06.266] ,201
[2020-04-10 15:45:06.366] ,88
[2020-04-10 15:45:06.467] ,159
[2020-04-10 15:45:06.567] ,151
[2020-04-10 15:45:06.666] ,94
[2020-04-10 15:45:06.767] ,40
[2020-04-10 15:45:06.865] ,67
[2020-04-10 15:45:06.965] ,255
[2020-04-10 15:45:07.065] ,209
[2020-04-10 15:45:07.165] ,102
[2020-04-10 15:45:07.265] ,58
[2020-04-10 15:45:07.365] ,211
[2020-04-10 15:45:07.465] ,423
[2020-04-10 15:45:07.565] ,346
[2020-04-10 15:45:07.665] ,144
[2020-04-10 15:45:07.765] ,259
[2020-04-10 15:45:07.871] ,532
[2020-04-10 15:45:07.970] ,592
[2020-04-10 15:45:08.071] ,283
[2020-04-10 15:45:08.171] ,110
[2020-04-10 15:45:08.271] ,192
[2020-04-10 15:45:08.371] ,355
[2020-04-10 15:45:08.471] ,276
[2020-04-10 15:45:08.572] ,122
[2020-04-10 15:45:08.671] ,129
[2020-04-10 15:45:08.772] ,422
[2020-04-10 15:45:08.871] ,438
[2020-04-10 15:45:08.971] ,224
[2020-04-10 15:45:09.071] ,106
[2020-04-10 15:45:09.171] ,75
[2020-04-10 15:45:09.271] ,147
[2020-04-10 15:45:09.371] ,96
[2020-04-10 15:45:09.471] ,60
[2020-04-10 15:45:09.571] ,57
[2020-04-10 15:45:09.671] ,346
[2020-04-10 15:45:09.771] ,312
[2020-04-10 15:45:09.875] ,157
[2020-04-10 15:45:09.974] ,81
[2020-04-10 15:45:10.075] ,226
[2020-04-10 15:45:10.175] ,343
[2020-04-10 15:45:10.276] ,237
[2020-04-10 15:45:10.375] ,124
[2020-04-10 15:45:10.476] ,126
[2020-04-10 15:45:10.576] ,387
[2020-04-10 15:45:10.676] ,343
[2020-04-10 15:45:10.777] ,185
[2020-04-10 15:45:10.876] ,105
[2020-04-10 15:45:10.975] ,249
[2020-04-10 15:45:11.075] ,367
[2020-04-10 15:45:11.175] ,254
[2020-04-10 15:45:11.275] ,142
[2020-04-10 15:45:11.375] ,94
[2020-04-10 15:45:11.475] ,177
[2020-04-10 15:45:11.575] ,115
[2020-04-10 15:45:11.675] ,74
[2020-04-10 15:45:11.775] ,57
[2020-04-10 15:45:11.878] ,49
[2020-04-10 15:45:11.979] ,280
[2020-04-10 15:45:12.079] ,308
[2020-04-10 15:45:12.180] ,163
[2020-04-10 15:45:12.279] ,93
[2020-04-10 15:45:12.379] ,67
[2020-04-10 15:45:12.481] ,150
[2020-04-10 15:45:12.582] ,354
[2020-04-10 15:45:12.682] ,300
[2020-04-10 15:45:12.783] ,162
[2020-04-10 15:45:12.880] ,100
[2020-04-10 15:45:12.980] ,70
[2020-04-10 15:45:13.080] ,70
[2020-04-10 15:45:13.180] ,199
[2020-04-10 15:45:13.280] ,267
[2020-04-10 15:45:13.380] ,161
[2020-04-10 15:45:13.480] ,96
[2020-04-10 15:45:13.580] ,68
[2020-04-10 15:45:13.680] ,61
[2020-04-10 15:45:13.780] ,276
[2020-04-10 15:45:13.884] ,450
[2020-04-10 15:45:13.985] ,552
[2020-04-10 15:45:14.084] ,321
[2020-04-10 15:45:14.186] ,113
[2020-04-10 15:45:14.284] ,55
[2020-04-10 15:45:14.386] ,158
[2020-04-10 15:45:14.486] ,477
[2020-04-10 15:45:14.588] ,602
[2020-04-10 15:45:14.687] ,637
[2020-04-10 15:45:14.787] ,620
[2020-04-10 15:45:14.885] ,601
[2020-04-10 15:45:14.985] ,543
[2020-04-10 15:45:15.085] ,579
[2020-04-10 15:45:15.184] ,598
[2020-04-10 15:45:15.284] ,614
[2020-04-10 15:45:15.384] ,652
[2020-04-10 15:45:15.484] ,656
[2020-04-10 15:45:15.584] ,547
[2020-04-10 15:45:15.684] ,237
[2020-04-10 15:45:15.784] ,130
[2020-04-10 15:45:15.889] ,87
[2020-04-10 15:45:15.990] ,257
[2020-04-10 15:45:16.090] ,261
[2020-04-10 15:45:16.190] ,286
[2020-04-10 15:45:16.290] ,306
[2020-04-10 15:45:16.391] ,283
[2020-04-10 15:45:16.490] ,153
[2020-04-10 15:45:16.590] ,89
[2020-04-10 15:45:16.690] ,72
[2020-04-10 15:45:16.791] ,62
[2020-04-10 15:45:16.889] ,173
[2020-04-10 15:45:16.989] ,232
[2020-04-10 15:45:17.089] ,478
[2020-04-10 15:45:17.189] ,554
[2020-04-10 15:45:17.288] ,573
[2020-04-10 15:45:17.388] ,581
[2020-04-10 15:45:17.488] ,583
[2020-04-10 15:45:17.588] ,589
[2020-04-10 15:45:17.688] ,594
[2020-04-10 15:45:17.788] ,596
[2020-04-10 15:45:17.885] ,595
[2020-04-10 15:45:17.994] ,601
[2020-04-10 15:45:18.094] ,605
[2020-04-10 15:45:18.194] ,600
[2020-04-10 15:45:18.294] ,589
[2020-04-10 15:45:18.394] ,613
[2020-04-10 15:45:18.494] ,476
[2020-04-10 15:45:18.594] ,210
[2020-04-10 15:45:18.694] ,90
[2020-04-10 15:45:18.794] ,54
[2020-04-10 15:45:18.895] ,40
[2020-04-10 15:45:18.995] ,42
[2020-04-10 15:45:19.090] ,189
[2020-04-10 15:45:19.190] ,326
[2020-04-10 15:45:19.290] ,459
[2020-04-10 15:45:19.390] ,516
[2020-04-10 15:45:19.490] ,535
[2020-04-10 15:45:19.600] ,533
[2020-04-10 15:45:19.699] ,528
[2020-04-10 15:45:19.799] ,526
[2020-04-10 15:45:19.899] ,507
[2020-04-10 15:45:19.999] ,480
[2020-04-10 15:45:20.099] ,462
[2020-04-10 15:45:20.199] ,436
[2020-04-10 15:45:20.299] ,397
[2020-04-10 15:45:20.399] ,370
[2020-04-10 15:45:20.499] ,349
[2020-04-10 15:45:20.599] ,336
[2020-04-10 15:45:20.699] ,326
[2020-04-10 15:45:20.799] ,325
