date and time,value
[2020-04-10 15:02:38.687] ,700
[2020-04-10 15:02:38.787] ,689
[2020-04-10 15:02:38.887] ,686
[2020-04-10 15:02:38.978] ,715
[2020-04-10 15:02:39.088] ,729
[2020-04-10 15:02:39.188] ,670
[2020-04-10 15:02:39.288] ,654
[2020-04-10 15:02:39.388] ,716
[2020-04-10 15:02:39.488] ,763
[2020-04-10 15:02:39.588] ,765
[2020-04-10 15:02:39.688] ,716
[2020-04-10 15:02:39.788] ,716
[2020-04-10 15:02:39.890] ,746
[2020-04-10 15:02:39.990] ,701
[2020-04-10 15:02:40.091] ,643
[2020-04-10 15:02:40.191] ,646
[2020-04-10 15:02:40.291] ,714
[2020-04-10 15:02:40.391] ,747
[2020-04-10 15:02:40.491] ,730
[2020-04-10 15:02:40.591] ,708
[2020-04-10 15:02:40.692] ,722
[2020-04-10 15:02:40.792] ,729
[2020-04-10 15:02:40.882] ,685
[2020-04-10 15:02:40.992] ,654
[2020-04-10 15:02:41.092] ,672
[2020-04-10 15:02:41.192] ,700
[2020-04-10 15:02:41.292] ,691
[2020-04-10 15:02:41.392] ,678
[2020-04-10 15:02:41.492] ,658
[2020-04-10 15:02:41.592] ,664
[2020-04-10 15:02:41.692] ,689
[2020-04-10 15:02:41.792] ,656
[2020-04-10 15:02:41.895] ,656
[2020-04-10 15:02:41.995] ,667
[2020-04-10 15:02:42.096] ,723
[2020-04-10 15:02:42.195] ,739
[2020-04-10 15:02:42.295] ,691
[2020-04-10 15:02:42.395] ,668
[2020-04-10 15:02:42.496] ,718
[2020-04-10 15:02:42.596] ,757
[2020-04-10 15:02:42.696] ,729
[2020-04-10 15:02:42.796] ,689
[2020-04-10 15:02:42.890] ,696
[2020-04-10 15:02:42.990] ,692
[2020-04-10 15:02:43.090] ,667
[2020-04-10 15:02:43.190] ,627
[2020-04-10 15:02:43.290] ,596
[2020-04-10 15:02:43.390] ,615
[2020-04-10 15:02:43.490] ,620
[2020-04-10 15:02:43.590] ,591
[2020-04-10 15:02:43.700] ,573
[2020-04-10 15:02:43.790] ,601
[2020-04-10 15:02:43.899] ,633
[2020-04-10 15:02:44.001] ,633
[2020-04-10 15:02:44.101] ,617
[2020-04-10 15:02:44.202] ,634
[2020-04-10 15:02:44.302] ,690
[2020-04-10 15:02:44.402] ,680
[2020-04-10 15:02:44.502] ,642
[2020-04-10 15:02:44.602] ,640
[2020-04-10 15:02:44.702] ,712
[2020-04-10 15:02:44.803] ,754
[2020-04-10 15:02:44.897] ,763
