date and time,value
[2020-04-10 15:48:05.091] ,221
[2020-04-10 15:48:05.191] ,214
[2020-04-10 15:48:05.291] ,122
[2020-04-10 15:48:05.396] ,104
[2020-04-10 15:48:05.492] ,493
[2020-04-10 15:48:05.593] ,234
[2020-04-10 15:48:05.693] ,154
[2020-04-10 15:48:05.793] ,210
[2020-04-10 15:48:05.892] ,169
[2020-04-10 15:48:05.993] ,104
[2020-04-10 15:48:06.093] ,154
[2020-04-10 15:48:06.194] ,296
[2020-04-10 15:48:06.294] ,172
[2020-04-10 15:48:06.393] ,147
[2020-04-10 15:48:06.494] ,262
[2020-04-10 15:48:06.595] ,180
[2020-04-10 15:48:06.694] ,115
[2020-04-10 15:48:06.794] ,162
[2020-04-10 15:48:06.888] ,337
[2020-04-10 15:48:06.987] ,180
[2020-04-10 15:48:07.087] ,134
[2020-04-10 15:48:07.187] ,224
[2020-04-10 15:48:07.287] ,142
[2020-04-10 15:48:07.387] ,158
[2020-04-10 15:48:07.497] ,475
[2020-04-10 15:48:07.597] ,412
[2020-04-10 15:48:07.697] ,328
[2020-04-10 15:48:07.797] ,190
[2020-04-10 15:48:07.897] ,148
[2020-04-10 15:48:07.997] ,93
[2020-04-10 15:48:08.098] ,378
[2020-04-10 15:48:08.199] ,595
[2020-04-10 15:48:08.299] ,298
[2020-04-10 15:48:08.400] ,157
[2020-04-10 15:48:08.500] ,235
[2020-04-10 15:48:08.599] ,144
[2020-04-10 15:48:08.699] ,85
[2020-04-10 15:48:08.800] ,177
[2020-04-10 15:48:08.900] ,413
[2020-04-10 15:48:09.000] ,189
[2020-04-10 15:48:09.100] ,117
[2020-04-10 15:48:09.200] ,281
[2020-04-10 15:48:09.301] ,169
[2020-04-10 15:48:09.402] ,100
[2020-04-10 15:48:09.502] ,150
[2020-04-10 15:48:09.602] ,183
[2020-04-10 15:48:09.702] ,105
[2020-04-10 15:48:09.802] ,144
[2020-04-10 15:48:09.904] ,220
[2020-04-10 15:48:09.998] ,128
[2020-04-10 15:48:10.098] ,270
[2020-04-10 15:48:10.198] ,505
[2020-04-10 15:48:10.298] ,555
[2020-04-10 15:48:10.398] ,258
[2020-04-10 15:48:10.498] ,273
[2020-04-10 15:48:10.598] ,162
[2020-04-10 15:48:10.697] ,103
[2020-04-10 15:48:10.797] ,340
[2020-04-10 15:48:10.906] ,209
[2020-04-10 15:48:11.006] ,122
[2020-04-10 15:48:11.106] ,225
[2020-04-10 15:48:11.206] ,288
[2020-04-10 15:48:11.307] ,182
[2020-04-10 15:48:11.407] ,334
[2020-04-10 15:48:11.506] ,559
[2020-04-10 15:48:11.607] ,585
[2020-04-10 15:48:11.708] ,381
[2020-04-10 15:48:11.808] ,308
[2020-04-10 15:48:11.907] ,225
[2020-04-10 15:48:12.009] ,127
[2020-04-10 15:48:12.108] ,281
[2020-04-10 15:48:12.208] ,495
[2020-04-10 15:48:12.309] ,405
[2020-04-10 15:48:12.408] ,248
[2020-04-10 15:48:12.509] ,247
[2020-04-10 15:48:12.609] ,176
[2020-04-10 15:48:12.709] ,162
[2020-04-10 15:48:12.809] ,428
[2020-04-10 15:48:12.907] ,504
[2020-04-10 15:48:13.007] ,378
[2020-04-10 15:48:13.107] ,228
[2020-04-10 15:48:13.207] ,409
[2020-04-10 15:48:13.307] ,224
[2020-04-10 15:48:13.407] ,182
[2020-04-10 15:48:13.507] ,442
[2020-04-10 15:48:13.607] ,481
[2020-04-10 15:48:13.707] ,366
[2020-04-10 15:48:13.806] ,436
[2020-04-10 15:48:13.915] ,572
[2020-04-10 15:48:14.015] ,382
[2020-04-10 15:48:14.115] ,291
[2020-04-10 15:48:14.216] ,255
[2020-04-10 15:48:14.317] ,209
[2020-04-10 15:48:14.417] ,178
[2020-04-10 15:48:14.517] ,416
[2020-04-10 15:48:14.618] ,578
