date and time,value
[2020-04-10 15:43:04.485] ,589
[2020-04-10 15:43:04.585] ,602
[2020-04-10 15:43:04.684] ,592
[2020-04-10 15:43:04.784] ,586
[2020-04-10 15:43:04.885] ,606
[2020-04-10 15:43:04.986] ,547
[2020-04-10 15:43:05.086] ,412
[2020-04-10 15:43:05.186] ,237
[2020-04-10 15:43:05.287] ,401
[2020-04-10 15:43:05.387] ,532
[2020-04-10 15:43:05.487] ,499
[2020-04-10 15:43:05.588] ,265
[2020-04-10 15:43:05.688] ,321
[2020-04-10 15:43:05.788] ,547
[2020-04-10 15:43:05.887] ,522
[2020-04-10 15:43:05.987] ,273
[2020-04-10 15:43:06.088] ,165
[2020-04-10 15:43:06.187] ,381
[2020-04-10 15:43:06.287] ,373
[2020-04-10 15:43:06.387] ,257
[2020-04-10 15:43:06.487] ,166
[2020-04-10 15:43:06.587] ,213
[2020-04-10 15:43:06.687] ,384
[2020-04-10 15:43:06.787] ,344
[2020-04-10 15:43:06.890] ,216
[2020-04-10 15:43:06.991] ,151
[2020-04-10 15:43:07.091] ,278
[2020-04-10 15:43:07.190] ,319
[2020-04-10 15:43:07.292] ,228
[2020-04-10 15:43:07.392] ,153
[2020-04-10 15:43:07.492] ,243
[2020-04-10 15:43:07.593] ,388
[2020-04-10 15:43:07.692] ,316
[2020-04-10 15:43:07.793] ,199
[2020-04-10 15:43:07.893] ,150
[2020-04-10 15:43:07.994] ,331
[2020-04-10 15:43:08.093] ,360
[2020-04-10 15:43:08.194] ,242
[2020-04-10 15:43:08.294] ,173
[2020-04-10 15:43:08.395] ,319
[2020-04-10 15:43:08.496] ,518
[2020-04-10 15:43:08.596] ,357
[2020-04-10 15:43:08.697] ,192
[2020-04-10 15:43:08.796] ,267
[2020-04-10 15:43:08.897] ,598
[2020-04-10 15:43:08.997] ,615
[2020-04-10 15:43:09.097] ,271
[2020-04-10 15:43:09.197] ,135
[2020-04-10 15:43:09.297] ,438
[2020-04-10 15:43:09.396] ,616
[2020-04-10 15:43:09.497] ,428
[2020-04-10 15:43:09.597] ,188
[2020-04-10 15:43:09.696] ,349
[2020-04-10 15:43:09.796] ,648
[2020-04-10 15:43:09.898] ,648
[2020-04-10 15:43:09.999] ,276
[2020-04-10 15:43:10.100] ,117
[2020-04-10 15:43:10.199] ,438
[2020-04-10 15:43:10.300] ,590
[2020-04-10 15:43:10.400] ,358
[2020-04-10 15:43:10.500] ,161
[2020-04-10 15:43:10.599] ,93
[2020-04-10 15:43:10.701] ,508
[2020-04-10 15:43:10.801] ,634
[2020-04-10 15:43:10.901] ,303
[2020-04-10 15:43:11.001] ,135
[2020-04-10 15:43:11.101] ,312
[2020-04-10 15:43:11.201] ,608
[2020-04-10 15:43:11.302] ,669
[2020-04-10 15:43:11.402] ,297
[2020-04-10 15:43:11.502] ,123
[2020-04-10 15:43:11.603] ,261
[2020-04-10 15:43:11.703] ,562
[2020-04-10 15:43:11.803] ,586
[2020-04-10 15:43:11.903] ,257
[2020-04-10 15:43:12.003] ,117
[2020-04-10 15:43:12.103] ,369
[2020-04-10 15:43:12.204] ,619
[2020-04-10 15:43:12.303] ,608
[2020-04-10 15:43:12.404] ,248
[2020-04-10 15:43:12.504] ,109
[2020-04-10 15:43:12.604] ,428
[2020-04-10 15:43:12.704] ,652
[2020-04-10 15:43:12.805] ,649
[2020-04-10 15:43:12.898] ,257
[2020-04-10 15:43:12.998] ,102
[2020-04-10 15:43:13.098] ,343
[2020-04-10 15:43:13.198] ,580
[2020-04-10 15:43:13.298] ,577
[2020-04-10 15:43:13.398] ,228
[2020-04-10 15:43:13.498] ,100
[2020-04-10 15:43:13.598] ,329
[2020-04-10 15:43:13.697] ,600
[2020-04-10 15:43:13.807] ,652
[2020-04-10 15:43:13.907] ,291
[2020-04-10 15:43:14.007] ,123
[2020-04-10 15:43:14.108] ,257
[2020-04-10 15:43:14.208] ,572
[2020-04-10 15:43:14.308] ,542
[2020-04-10 15:43:14.409] ,247
[2020-04-10 15:43:14.509] ,116
[2020-04-10 15:43:14.608] ,356
[2020-04-10 15:43:14.710] ,589
[2020-04-10 15:43:14.809] ,580
[2020-04-10 15:43:14.909] ,254
[2020-04-10 15:43:15.010] ,113
[2020-04-10 15:43:15.110] ,410
[2020-04-10 15:43:15.210] ,618
[2020-04-10 15:43:15.311] ,628
[2020-04-10 15:43:15.411] ,255
[2020-04-10 15:43:15.511] ,108
[2020-04-10 15:43:15.611] ,483
