,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170
0,-1.0,104101186.0,104185680.0,1047738420.0,1052294460.0,107354463.0,1121931042.0,114158763.0,1157325254.0,1162306046.0,120246720.0,121340802.0,1241091404.0,125470201.0,125981551.0,127150923.0,129441248.0,132960957.0,132986131.0,134302401.0,134443258.0,139998461.0,1407333378.0,141208568.0,1412750708.0,141506338.0,1427625234.0,143792569.0,14601059.0,148676002.0,15025739.0,1528124304.0,1533992768.0,161662833.0,164958548.0,1664610132.0,167469440.0,1675222064.0,169370314.0,1700951646.0,171857982.0,174495295.0,185636053.0,1859471587.0,185949381.0,189055844.0,192211768.0,194918485.0,195785279.0,203945007.0,207331676.0,2197757270.0,224349410.0,2247733214.0,2289525456.0,228962714.0,2303096750.0,2382594504.0,2433167971.0,2470134087.0,247546883.0,2514732001.0,254531079.0,261916948.0,269672930.0,2698642634.0,2761256038.0,2765096547.0,2824057880.0,2830491665.0,2835865765.0,2844883614.0,284977488.0,286625089.0,2892130711.0,293861368.0,2969756250.0,2975690898.0,299010283.0,30293842.0,3051062461.0,3062430962.0,313394633.0,3164707453.0,3180373724.0,320600138.0,322472124.0,3270023449.0,3275418330.0,3277766070.0,327933071.0,3285620905.0,3501558683.0,356546576.0,368998915.0,378774444.0,3791121015.0,380988110.0,387051896.0,3918457997.0,395871971.0,3980995932.0,39926988.0,40701166.0,4184127132.0,425941314.0,431783115.0,448259967.0,45105446.0,4610393952.0,46217937.0,467488886.0,470145685.0,4718007672.0,481269808.0,4836099127.0,514092861.0,559180541.0,56619058.0,568404690.0,570692042.0,570844916.0,571989615.0,574877713.0,619266282.0,632885310.0,636690842.0,6902902.0,70112018.0,7.020009212539617e+17,71073121.0,7.26083307314643e+17,7.2995226403149e+17,73910595.0,743671039.0,7.467015250876211e+17,74917601.0,74929652.0,75771199.0,763474394.0,7.69753476859437e+17,7.846970428157706e+17,7.853801361744937e+17,786723998.0,7.925507313875395e+17,79477250.0,8.57266133489e+17,8.014474285157335e+17,803977189.0,80988216.0,8.263893100605604e+17,83707467.0,8.46860042947113e+17,8.474743314499338e+17,86367032.0,86421034.0,86592359.0,868454990.0,87152161.0,87427570.0,9.06547180638421e+17,9.097438048606863e+17,92271044.0,927260203.0,9.292689813403156e+17,93525639.0,9.404846235654472e+17,9.425711893349827e+17,947544522.0,96301731.0,978044378.0
1,104101186.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,6.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,1.0,1.0,0.0,22.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2,104185680.0,2.0,0.0,2.0,0.0,0.0,1.0,8.0,4.0,1.0,3.0,10.0,0.0,1.0,4.0,2.0,2.0,5.0,0.0,0.0,2.0,2.0,0.0,11.0,0.0,1.0,8.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,6.0,9.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,9.0,2.0,5.0,0.0,4.0,0.0,2.0,0.0,3.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,8.0,1.0,0.0,3.0,2.0,0.0,1.0,6.0,1.0,2.0,0.0,17.0,1.0,5.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,7.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,6.0,10.0,8.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,5.0,4.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
3,1047738420.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,9.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,2.0,2.0,7.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
4,1052294460.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,11.0,0.0,0.0,23.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,14.0,11.0,14.0,6.0,13.0,0.0,6.0,9.0,2.0,0.0,0.0,14.0,0.0,6.0,6.0,0.0,0.0,7.0,15.0,2.0,0.0,6.0,0.0,12.0,6.0,0.0,2.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,9.0,9.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,8.0,13.0,9.0,0.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,3.0,8.0,13.0,0.0,0.0,0.0,0.0,9.0,5.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,1.0,0.0,5.0,4.0,6.0,2.0,0.0
5,107354463.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,1121931042.0,0.0,1.0,1.0,16.0,4.0,0.0,1.0,48.0,2.0,0.0,95.0,0.0,1.0,2.0,5.0,9.0,6.0,0.0,1.0,11.0,44.0,28.0,79.0,23.0,35.0,4.0,23.0,47.0,15.0,5.0,2.0,31.0,0.0,29.0,20.0,0.0,0.0,24.0,53.0,4.0,0.0,24.0,0.0,50.0,25.0,2.0,11.0,0.0,62.0,3.0,7.0,0.0,5.0,7.0,0.0,0.0,2.0,6.0,24.0,0.0,3.0,1.0,4.0,2.0,30.0,36.0,1.0,0.0,64.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,1.0,26.0,6.0,9.0,5.0,5.0,6.0,6.0,38.0,36.0,45.0,25.0,5.0,54.0,36.0,0.0,9.0,0.0,1.0,1.0,24.0,4.0,0.0,1.0,8.0,56.0,2.0,3.0,14.0,1.0,1.0,1.0,2.0,1.0,0.0,13.0,5.0,0.0,0.0,1.0,21.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,52.0,14.0,0.0,0.0,8.0,26.0,34.0,0.0,2.0,6.0,4.0,27.0,11.0,11.0,39.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,0.0,1.0,0.0,4.0,0.0,17.0,38.0,6.0,1.0,15.0,14.0,11.0,16.0,0.0
7,114158763.0,4.0,8.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,10.0,2.0,1.0,8.0,3.0,1.0,7.0,0.0,0.0,2.0,8.0,8.0,10.0,1.0,2.0,12.0,6.0,6.0,7.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,3.0,0.0,5.0,0.0,0.0,5.0,0.0,12.0,2.0,18.0,1.0,7.0,2.0,5.0,0.0,6.0,1.0,5.0,5.0,0.0,1.0,2.0,1.0,0.0,18.0,6.0,1.0,1.0,10.0,1.0,4.0,0.0,4.0,4.0,8.0,0.0,0.0,1.0,7.0,0.0,0.0,4.0,5.0,0.0,1.0,9.0,2.0,1.0,0.0,35.0,3.0,4.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,7.0,3.0,16.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,9.0,35.0,10.0,0.0,0.0,0.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0
8,1157325254.0,1.0,4.0,2.0,11.0,1.0,48.0,2.0,0.0,2.0,2.0,76.0,0.0,1.0,4.0,4.0,7.0,6.0,0.0,0.0,8.0,37.0,24.0,95.0,23.0,35.0,2.0,21.0,41.0,10.0,6.0,0.0,24.0,0.0,19.0,19.0,0.0,0.0,20.0,53.0,4.0,1.0,21.0,0.0,47.0,22.0,2.0,8.0,1.0,59.0,1.0,6.0,0.0,6.0,4.0,1.0,1.0,2.0,2.0,22.0,0.0,1.0,1.0,5.0,1.0,21.0,37.0,0.0,0.0,58.0,1.0,1.0,2.0,0.0,1.0,7.0,2.0,0.0,26.0,3.0,9.0,7.0,3.0,2.0,2.0,32.0,26.0,43.0,24.0,6.0,30.0,32.0,0.0,12.0,0.0,1.0,2.0,20.0,4.0,0.0,1.0,4.0,52.0,5.0,4.0,22.0,1.0,2.0,1.0,2.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,19.0,0.0,8.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,6.0,49.0,17.0,1.0,1.0,9.0,21.0,35.0,0.0,2.0,6.0,1.0,10.0,4.0,11.0,30.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,0.0,1.0,1.0,1.0,0.0,9.0,34.0,6.0,2.0,11.0,8.0,12.0,13.0,1.0
9,1162306046.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,5.0,25.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,2.0,0.0,1.0,2.0,8.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,5.0,6.0,1.0,4.0,0.0,1.0,2.0,5.0,0.0,1.0,0.0,13.0,0.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,5.0,2.0,6.0,0.0,1.0,2.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,5.0,3.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,19.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0
