,0,1,2,3
0,-1.0,8.957214839341548e+17,9.41080186858156e+17,9.506353031983145e+17
1,8.957214839341548e+17,0.0,6.0,7.0
2,9.41080186858156e+17,6.0,0.0,3.0
3,9.506353031983145e+17,7.0,3.0,0.0
