,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-1.0,1206887562.0,130307355.0,132095682.0,132834275.0,1462102015.0,14908439.0,1515667597.0,16704201.0,1697428225.0,1710730332.0,17481929.0,1904502458.0,19296773.0,19594298.0,2176204562.0,2393561035.0,2415567751.0,2535308683.0,2667844086.0,2929488516.0,2970824012.0,3193336167.0,3287291396.0,384436983.0,3977451149.0,4605077532.0,4641784512.0,4777301054.0,607706539.0,7.399879963052974e+17,7.597347753807053e+17,7.782523560687043e+17,7.889996871100703e+17,8.02061874401579e+17,8.210035890741002e+17,8.944564447575286e+17,9.058013907143803e+17,9.067602211957678e+17,9.103953294256579e+17
1,1206887562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,130307355.0,0.0,0.0,10.0,91.0,160.0,109.0,122.0,72.0,68.0,26.0,0.0,18.0,11.0,37.0,117.0,50.0,0.0,48.0,86.0,60.0,88.0,41.0,42.0,260.0,18.0,23.0,66.0,7.0,19.0,45.0,0.0,89.0,70.0,35.0,2.0,5.0,3.0,61.0,58.0
3,132095682.0,0.0,10.0,0.0,20.0,21.0,18.0,17.0,29.0,14.0,11.0,0.0,4.0,0.0,2.0,26.0,11.0,0.0,13.0,27.0,15.0,29.0,7.0,7.0,45.0,6.0,8.0,11.0,5.0,10.0,14.0,0.0,24.0,13.0,13.0,1.0,7.0,3.0,13.0,14.0
4,132834275.0,0.0,91.0,20.0,0.0,248.0,52.0,199.0,83.0,117.0,67.0,0.0,25.0,16.0,62.0,171.0,88.0,0.0,94.0,111.0,91.0,185.0,79.0,53.0,227.0,39.0,66.0,110.0,1.0,43.0,95.0,0.0,173.0,127.0,50.0,7.0,17.0,11.0,140.0,44.0
5,1462102015.0,0.0,160.0,21.0,248.0,0.0,140.0,382.0,159.0,187.0,75.0,0.0,42.0,45.0,88.0,308.0,143.0,0.0,153.0,146.0,116.0,307.0,125.0,87.0,561.0,53.0,109.0,210.0,5.0,59.0,127.0,0.0,306.0,179.0,89.0,9.0,33.0,9.0,194.0,83.0
6,14908439.0,0.0,109.0,18.0,52.0,140.0,0.0,192.0,55.0,37.0,19.0,0.0,7.0,25.0,51.0,108.0,15.0,0.0,45.0,102.0,43.0,94.0,46.0,52.0,314.0,16.0,13.0,59.0,13.0,9.0,38.0,0.0,85.0,32.0,21.0,2.0,5.0,1.0,46.0,27.0
7,1515667597.0,0.0,122.0,17.0,199.0,382.0,192.0,0.0,75.0,180.0,82.0,0.0,36.0,10.0,63.0,306.0,147.0,0.0,133.0,135.0,161.0,317.0,146.0,87.0,391.0,51.0,102.0,225.0,6.0,44.0,139.0,0.0,357.0,194.0,71.0,10.0,18.0,10.0,232.0,90.0
8,16704201.0,0.0,72.0,29.0,83.0,159.0,55.0,75.0,0.0,41.0,17.0,0.0,13.0,10.0,64.0,70.0,36.0,0.0,46.0,101.0,22.0,61.0,20.0,25.0,206.0,9.0,20.0,35.0,6.0,17.0,34.0,0.0,61.0,37.0,22.0,2.0,8.0,0.0,41.0,21.0
9,1697428225.0,0.0,68.0,14.0,117.0,187.0,37.0,180.0,41.0,0.0,57.0,0.0,18.0,2.0,31.0,156.0,84.0,0.0,81.0,47.0,93.0,220.0,91.0,42.0,174.0,44.0,100.0,137.0,2.0,35.0,77.0,0.0,166.0,135.0,48.0,5.0,46.0,13.0,136.0,44.0
10,1710730332.0,0.0,26.0,11.0,67.0,75.0,19.0,82.0,17.0,57.0,0.0,0.0,14.0,0.0,14.0,76.0,54.0,0.0,41.0,33.0,63.0,90.0,49.0,29.0,63.0,27.0,50.0,62.0,0.0,23.0,56.0,0.0,88.0,65.0,26.0,0.0,9.0,10.0,72.0,24.0
