,0,1,2,3,4,5,6
0,-1.0,2995568540.0,481421264.0,7.077139272710226e+17,8.376828597710643e+17,9.054288303067013e+17,9.506353031983145e+17
1,2995568540.0,0.0,18.0,41.0,23.0,31.0,9.0
2,481421264.0,18.0,0.0,45.0,12.0,18.0,8.0
3,7.077139272710226e+17,41.0,45.0,0.0,29.0,39.0,23.0
4,8.376828597710643e+17,23.0,12.0,29.0,0.0,19.0,8.0
5,9.054288303067013e+17,31.0,18.0,39.0,19.0,0.0,11.0
6,9.506353031983145e+17,9.0,8.0,23.0,8.0,11.0,0.0
