,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
0,-1.0,1006914805.0,101726481.0,106669155.0,107697965.0,109487586.0,109981672.0,11210752.0,113676296.0,115331662.0,115641271.0,116811672.0,1215745381.0,123907301.0,127442003.0,129077499.0,136266876.0,14196104.0,1431355759.0,14472550.0,145574853.0,147999096.0,1526782062.0,1536843788.0,15804515.0,158662246.0,159934997.0,16039597.0,1610929369.0,16225093.0,1633426388.0,1651092140.0,165798073.0,166892181.0,1677481501.0,173338012.0,175288528.0,186174481.0,1879536583.0,190702011.0,19587261.0,19657658.0,19909492.0,207572721.0,21131225.0,22030849.0,222144840.0,2222644164.0,2268670116.0,227656897.0,2341232977.0,23483075.0,240387745.0,255205192.0,26085577.0,26719785.0,269477176.0,270499786.0,272753147.0,2737303598.0,2836936358.0,285498769.0,286096620.0,2894808403.0,294114036.0,2971298278.0,2988128048.0,302911816.0,3060129966.0,30669833.0,30840707.0,3167783986.0,328551761.0,330262973.0,3316865359.0,33841072.0,3389726902.0,35001109.0,3647643493.0,366489639.0,37897916.0,384348483.0,398128308.0,406709198.0,407896012.0,40837575.0,416969004.0,4181784797.0,4192986913.0,42907793.0,438142822.0,439075171.0,445533981.0,452353388.0,453603539.0,458218995.0,464820696.0,4840949473.0,484868623.0,491958813.0,532093025.0,559353681.0,560199520.0,56321363.0,571989615.0,600718334.0,603396165.0,60608464.0,60721444.0,615114229.0,626112939.0,627556198.0,65682087.0,66939362.0,68355029.0,705891416.0,710213071.0,7.21953897317675e+17,7.242797946077635e+17,72790519.0,7.372017044212367e+17,7.465766836044186e+17,775372909.0,79738650.0,80318448.0,83561688.0,8.364935081102459e+17,84254396.0,845645718.0,848787420.0,855477379.0,8.600338213784658e+17,86072022.0,8.898579755646444e+17,8.918517058468577e+17,9.201074192666993e+17,9.389587950776893e+17,9.487271234511176e+17
1,1006914805.0,0.0,4.0,3.0,0.0,0.0,6.0,18.0,1.0,22.0,5.0,3.0,2.0,17.0,11.0,0.0,3.0,3.0,5.0,5.0,5.0,7.0,0.0,0.0,12.0,4.0,4.0,8.0,13.0,1.0,0.0,6.0,4.0,2.0,5.0,10.0,4.0,2.0,2.0,0.0,2.0,20.0,16.0,3.0,5.0,15.0,13.0,1.0,6.0,0.0,0.0,4.0,0.0,4.0,20.0,5.0,1.0,4.0,0.0,2.0,0.0,2.0,1.0,2.0,7.0,5.0,0.0,16.0,2.0,0.0,0.0,5.0,8.0,21.0,0.0,6.0,1.0,3.0,3.0,0.0,3.0,9.0,3.0,6.0,2.0,0.0,0.0,1.0,14.0,2.0,1.0,6.0,0.0,2.0,1.0,3.0,10.0,0.0,2.0,10.0,0.0,2.0,3.0,1.0,1.0,3.0,13.0,29.0,2.0,2.0,2.0,14.0,3.0,9.0,5.0,2.0,1.0,7.0,4.0,2.0,4.0,3.0,1.0,1.0,6.0,3.0,9.0,6.0,4.0,6.0,7.0,16.0,3.0,1.0,0.0,0.0,2.0,11.0
2,101726481.0,4.0,0.0,36.0,0.0,0.0,5.0,3.0,1.0,6.0,1.0,2.0,1.0,6.0,3.0,2.0,2.0,1.0,2.0,1.0,31.0,3.0,0.0,0.0,4.0,1.0,2.0,6.0,5.0,0.0,0.0,3.0,2.0,1.0,2.0,3.0,44.0,2.0,1.0,13.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,1.0,9.0,3.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,10.0,8.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,5.0,7.0,0.0,2.0,2.0,2.0,15.0,0.0,0.0,4.0,4.0,2.0,3.0,0.0,0.0,1.0,6.0,1.0,1.0,7.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,6.0,0.0,2.0,5.0,1.0,1.0,0.0,6.0,7.0,1.0,0.0,2.0,7.0,26.0,2.0,2.0,0.0,1.0,3.0,0.0,32.0,3.0,2.0,1.0,1.0,54.0,2.0,4.0,1.0,31.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0
3,106669155.0,3.0,36.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,84.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,8.0,0.0,1.0,2.0,2.0,13.0,3.0,0.0,0.0,0.0,3.0,0.0,55.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,2.0,54.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
4,107697965.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,109487586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,109981672.0,6.0,5.0,2.0,1.0,0.0,0.0,53.0,2.0,26.0,5.0,5.0,4.0,12.0,17.0,1.0,6.0,3.0,7.0,7.0,5.0,10.0,0.0,0.0,14.0,6.0,18.0,13.0,25.0,2.0,0.0,2.0,2.0,5.0,8.0,33.0,13.0,2.0,2.0,0.0,3.0,8.0,12.0,31.0,2.0,15.0,8.0,1.0,3.0,1.0,0.0,4.0,1.0,3.0,20.0,19.0,0.0,12.0,3.0,1.0,2.0,3.0,1.0,6.0,7.0,25.0,0.0,6.0,0.0,1.0,0.0,13.0,13.0,9.0,0.0,11.0,1.0,16.0,5.0,0.0,2.0,18.0,7.0,19.0,10.0,0.0,0.0,1.0,6.0,2.0,10.0,7.0,0.0,0.0,4.0,5.0,10.0,5.0,13.0,23.0,0.0,54.0,3.0,6.0,1.0,1.0,20.0,7.0,5.0,1.0,24.0,34.0,5.0,9.0,5.0,8.0,1.0,8.0,2.0,13.0,2.0,16.0,1.0,1.0,6.0,3.0,2.0,3.0,16.0,6.0,6.0,10.0,5.0,0.0,0.0,0.0,0.0,6.0
7,11210752.0,18.0,3.0,1.0,0.0,0.0,53.0,0.0,2.0,68.0,28.0,4.0,1.0,17.0,36.0,10.0,3.0,13.0,22.0,12.0,3.0,15.0,0.0,2.0,25.0,8.0,9.0,4.0,29.0,3.0,0.0,14.0,8.0,3.0,14.0,22.0,12.0,10.0,5.0,1.0,9.0,18.0,43.0,13.0,17.0,60.0,19.0,2.0,11.0,6.0,0.0,3.0,1.0,8.0,30.0,12.0,0.0,40.0,6.0,1.0,2.0,2.0,2.0,10.0,4.0,17.0,0.0,7.0,7.0,3.0,0.0,16.0,24.0,17.0,0.0,19.0,1.0,12.0,3.0,0.0,1.0,18.0,11.0,17.0,24.0,0.0,0.0,5.0,5.0,1.0,7.0,3.0,5.0,1.0,6.0,12.0,22.0,14.0,17.0,62.0,0.0,17.0,0.0,11.0,0.0,2.0,41.0,9.0,13.0,0.0,8.0,30.0,1.0,27.0,8.0,4.0,0.0,2.0,9.0,9.0,5.0,53.0,1.0,3.0,4.0,9.0,12.0,4.0,19.0,11.0,18.0,36.0,4.0,4.0,0.0,0.0,3.0,8.0
8,113676296.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
9,115331662.0,22.0,6.0,4.0,1.0,0.0,26.0,68.0,3.0,0.0,20.0,2.0,0.0,33.0,50.0,15.0,1.0,2.0,12.0,7.0,1.0,8.0,1.0,1.0,27.0,7.0,12.0,6.0,41.0,2.0,0.0,40.0,44.0,2.0,10.0,14.0,11.0,9.0,4.0,4.0,6.0,21.0,103.0,10.0,13.0,72.0,10.0,3.0,5.0,1.0,0.0,3.0,0.0,17.0,42.0,6.0,0.0,14.0,4.0,1.0,2.0,1.0,0.0,5.0,8.0,10.0,0.0,20.0,14.0,1.0,0.0,9.0,19.0,24.0,0.0,15.0,0.0,15.0,0.0,0.0,3.0,16.0,2.0,16.0,10.0,0.0,0.0,3.0,14.0,1.0,4.0,4.0,5.0,3.0,2.0,30.0,7.0,5.0,8.0,58.0,3.0,20.0,1.0,7.0,0.0,6.0,41.0,26.0,7.0,2.0,4.0,34.0,3.0,35.0,6.0,5.0,0.0,4.0,27.0,5.0,2.0,37.0,0.0,1.0,3.0,22.0,46.0,2.0,7.0,13.0,13.0,49.0,3.0,3.0,0.0,0.0,9.0,10.0
