,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
0,-1.0,101726481.0,102955752.0,109206859.0,109487586.0,112645055.0,115641271.0,116811672.0,126297089.0,126832007.0,1347371988.0,139651502.0,139818583.0,14196104.0,1429114675.0,1446690452.0,148499873.0,1534950469.0,159507204.0,160450729.0,164958548.0,1651092140.0,165798073.0,166892181.0,167721293.0,171077993.0,172775211.0,185949381.0,187051182.0,1879536583.0,192578896.0,193317832.0,21169490.0,21199034.0,21605447.0,2179363256.0,220650257.0,222144840.0,22582920.0,230164040.0,231876791.0,23715801.0,2380425654.0,240848479.0,247222343.0,248289562.0,2501485381.0,257298665.0,2585049200.0,2834871966.0,284867370.0,2855257814.0,286096620.0,2878034161.0,289664546.0,2971298278.0,297946591.0,2992259190.0,29973853.0,30013212.0,3048950771.0,30669833.0,30840707.0,3097785542.0,310391581.0,3130789249.0,31389200.0,3152084296.0,3167783986.0,330262973.0,33841072.0,3389726902.0,339078072.0,35915297.0,365066791.0,3679774881.0,386287339.0,41638842.0,448214651.0,453603539.0,464820696.0,47047804.0,4831682177.0,491958813.0,494108927.0,503326012.0,547419241.0,552565867.0,56286660.0,565396223.0,602901345.0,60472299.0,61845713.0,68127286.0,68355029.0,701269446.0,705349225.0,7.067814297707684e+17,714428629.0,7.372017044212367e+17,757128968.0,78116057.0,809601391.0,8.173501655521321e+17,82893053.0,84254396.0,8.433364734033019e+17,845645718.0,85813606.0,8.629303445925192e+17,8.677799996838093e+17,8.898579755646444e+17
1,101726481.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,12.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,4.0,3.0,2.0,1.0,0.0,4.0,5.0,6.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,21.0,1.0,0.0,4.0,0.0,3.0,14.0,0.0,1.0,6.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,10.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,1.0,3.0,7.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,6.0,3.0,3.0,0.0,0.0,2.0,8.0,17.0,47.0,2.0,4.0,2.0,1.0,3.0,1.0,16.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,31.0,0.0,1.0,0.0,0.0
2,102955752.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,5.0,2.0,0.0,13.0,0.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,2.0,0.0,0.0,18.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,4.0,0.0,0.0,4.0,3.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
3,109206859.0,3.0,1.0,0.0,1.0,2.0,17.0,2.0,2.0,0.0,41.0,18.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,41.0,97.0,55.0,3.0,3.0,88.0,6.0,99.0,8.0,16.0,1.0,0.0,1.0,2.0,1.0,3.0,12.0,6.0,29.0,183.0,0.0,10.0,4.0,0.0,3.0,9.0,2.0,3.0,73.0,6.0,2.0,0.0,1.0,3.0,0.0,14.0,4.0,0.0,5.0,49.0,1.0,0.0,0.0,50.0,1.0,9.0,45.0,11.0,6.0,22.0,8.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,7.0,1.0,4.0,7.0,25.0,89.0,10.0,104.0,0.0,0.0,52.0,95.0,0.0,25.0,2.0,38.0,13.0,1.0,62.0,26.0,0.0,3.0,0.0,14.0,3.0,3.0,1.0,4.0,2.0,7.0,1.0,4.0,3.0,0.0
4,109487586.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,112645055.0,0.0,1.0,2.0,0.0,0.0,39.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,6.0,9.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,31.0,5.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,1.0,25.0,1.0,2.0,0.0,2.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,9.0,2.0,0.0,2.0,5.0,1.0,5.0,1.0,2.0,0.0,0.0,8.0,0.0,23.0,5.0,32.0,0.0,6.0,4.0,2.0,5.0,81.0,0.0,0.0,9.0,7.0,15.0,4.0,1.0,3.0,7.0,0.0,0.0,10.0,5.0,0.0,17.0,2.0,3.0,2.0,0.0,21.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,29.0,5.0,0.0,0.0,0.0,6.0
6,115641271.0,1.0,7.0,17.0,1.0,39.0,0.0,2.0,3.0,0.0,1.0,8.0,1.0,2.0,1.0,72.0,12.0,0.0,1.0,0.0,39.0,1.0,0.0,0.0,1.0,68.0,6.0,7.0,3.0,0.0,16.0,0.0,6.0,1.0,1.0,13.0,2.0,2.0,3.0,9.0,13.0,54.0,2.0,10.0,1.0,8.0,10.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,126.0,2.0,0.0,20.0,4.0,34.0,52.0,4.0,4.0,0.0,18.0,20.0,6.0,16.0,3.0,279.0,1.0,21.0,5.0,2.0,10.0,212.0,1.0,19.0,11.0,11.0,19.0,2.0,7.0,1.0,5.0,0.0,0.0,20.0,13.0,1.0,14.0,4.0,1.0,5.0,2.0,12.0,7.0,0.0,2.0,0.0,7.0,0.0,4.0,1.0,3.0,9.0,8.0,0.0,0.0,0.0,9.0
7,116811672.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,5.0,9.0,6.0,5.0,7.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,3.0,0.0,3.0,3.0,1.0,1.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,4.0,2.0,0.0,1.0,2.0,2.0,1.0,8.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,2.0,5.0,4.0,0.0,0.0,1.0,4.0,0.0,7.0,1.0,5.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0
8,126297089.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,3.0,1.0,0.0,8.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,14.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,17.0,0.0,2.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,9.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,126832007.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
