,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
0,-1.0,1058693299.0,1077321422.0,114543834.0,117138297.0,12178912.0,140496301.0,145168349.0,1486562304.0,151340049.0,156689664.0,167395618.0,169611989.0,17062181.0,177986591.0,18121129.0,18525374.0,186524805.0,1911718790.0,20883812.0,215338527.0,2164373851.0,2188727514.0,2241022387.0,224349410.0,22465643.0,227003587.0,2279339022.0,231479295.0,2357754350.0,236888842.0,2419579733.0,2439619294.0,247546883.0,2523785758.0,265599457.0,268126684.0,271909407.0,2766111667.0,2850692959.0,28607028.0,31221564.0,312615680.0,318201804.0,3190127854.0,320593371.0,3254350010.0,3255340824.0,32899653.0,330262973.0,333651818.0,33772406.0,34433212.0,350167674.0,35391653.0,366902544.0,37895499.0,3813493163.0,38732634.0,403210741.0,4235810175.0,430019679.0,439862839.0,4415611873.0,463645413.0,4713654906.0,474175459.0,4777301054.0,49291693.0,50237895.0,503770832.0,510877109.0,524474015.0,541464166.0,54853852.0,553955403.0,55577810.0,56054692.0,570844916.0,600631543.0,60613126.0,62711870.0,62841299.0,71834922.0,7246402.0,725122358.0,7.275241468638249e+17,73583.0,7.446782257674322e+17,7.456661558518456e+17,7.467015250876211e+17,7.583418613417984e+17,78051322.0,781767798.0,7.955192142494474e+17,82078003.0,8.380718406899466e+17,839530050.0,842143422.0,87465036.0,893465419.0,9.260602082327265e+17,936330122.0,94638254.0,9.49681358129025e+17
1,1058693299.0,0.0,39.0,11.0,7.0,7.0,1.0,1.0,3.0,1.0,1.0,4.0,0.0,23.0,5.0,4.0,4.0,0.0,33.0,178.0,2.0,1.0,9.0,4.0,5.0,46.0,15.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,16.0,8.0,7.0,0.0,2.0,3.0,0.0,3.0,23.0,31.0,6.0,8.0,49.0,58.0,13.0,1.0,10.0,5.0,19.0,29.0,8.0,3.0,21.0,21.0,1.0,0.0,2.0,2.0,2.0,12.0,0.0,3.0,8.0,4.0,0.0,43.0,20.0,11.0,0.0,2.0,0.0,21.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,14.0,1.0,0.0,7.0,2.0,0.0,0.0
2,1077321422.0,39.0,0.0,12.0,1.0,9.0,0.0,1.0,7.0,6.0,0.0,5.0,1.0,5.0,6.0,6.0,0.0,1.0,25.0,36.0,4.0,0.0,5.0,1.0,1.0,9.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,1.0,7.0,1.0,12.0,0.0,3.0,6.0,0.0,0.0,7.0,7.0,6.0,1.0,49.0,47.0,8.0,17.0,2.0,0.0,13.0,27.0,20.0,3.0,6.0,13.0,0.0,0.0,7.0,1.0,2.0,6.0,0.0,2.0,9.0,2.0,1.0,62.0,37.0,5.0,0.0,0.0,0.0,7.0,0.0,7.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,6.0,0.0,0.0,5.0,2.0,0.0,0.0
3,114543834.0,11.0,12.0,0.0,11.0,39.0,10.0,4.0,18.0,22.0,3.0,49.0,2.0,24.0,4.0,45.0,21.0,4.0,72.0,25.0,14.0,1.0,8.0,15.0,5.0,46.0,49.0,4.0,3.0,9.0,0.0,0.0,3.0,31.0,0.0,4.0,3.0,7.0,23.0,1.0,3.0,2.0,5.0,2.0,2.0,17.0,0.0,8.0,53.0,20.0,12.0,5.0,42.0,60.0,7.0,36.0,6.0,22.0,8.0,79.0,7.0,39.0,32.0,33.0,9.0,0.0,9.0,3.0,2.0,25.0,0.0,4.0,106.0,18.0,2.0,30.0,114.0,14.0,17.0,9.0,8.0,32.0,2.0,10.0,6.0,54.0,0.0,46.0,6.0,1.0,0.0,0.0,0.0,4.0,17.0,6.0,0.0,11.0,13.0,7.0,1.0,6.0,1.0,1.0,0.0
4,117138297.0,7.0,1.0,11.0,0.0,5.0,0.0,1.0,4.0,5.0,0.0,5.0,7.0,10.0,2.0,5.0,1.0,1.0,23.0,12.0,3.0,0.0,4.0,1.0,3.0,7.0,10.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,5.0,10.0,2.0,3.0,2.0,9.0,11.0,5.0,2.0,2.0,0.0,2.0,19.0,2.0,1.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,5.0,0.0,0.0,7.0,15.0,6.0,0.0,1.0,6.0,9.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0
5,12178912.0,7.0,9.0,39.0,5.0,0.0,2.0,3.0,10.0,10.0,0.0,8.0,1.0,26.0,1.0,45.0,8.0,5.0,47.0,16.0,10.0,0.0,2.0,5.0,2.0,15.0,21.0,4.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,29.0,1.0,3.0,0.0,3.0,1.0,1.0,12.0,0.0,5.0,18.0,7.0,9.0,9.0,23.0,44.0,7.0,9.0,4.0,6.0,5.0,48.0,3.0,6.0,10.0,13.0,1.0,0.0,6.0,1.0,3.0,15.0,0.0,4.0,17.0,10.0,2.0,18.0,108.0,16.0,1.0,2.0,3.0,13.0,2.0,7.0,5.0,5.0,2.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,36.0,6.0,1.0,0.0,7.0,1.0,2.0,0.0
6,140496301.0,1.0,0.0,10.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,2.0,0.0,4.0,3.0,0.0,4.0,0.0,1.0,0.0,3.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,1.0,2.0,4.0,1.0,5.0,0.0,3.0,0.0,5.0,0.0,6.0,3.0,2.0,11.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,14.0,3.0,1.0,4.0,21.0,0.0,3.0,3.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
7,145168349.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,4.0,0.0,4.0,1.0,2.0,4.0,1.0,2.0,0.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,3.0,6.0,2.0,2.0,1.0,3.0,0.0,14.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,5.0,5.0,0.0,3.0,5.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0
8,1486562304.0,3.0,7.0,18.0,4.0,10.0,1.0,3.0,0.0,13.0,0.0,13.0,1.0,11.0,0.0,28.0,1.0,6.0,29.0,6.0,4.0,0.0,6.0,6.0,1.0,59.0,26.0,3.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,3.0,1.0,5.0,4.0,0.0,4.0,30.0,6.0,7.0,3.0,13.0,54.0,11.0,10.0,5.0,18.0,7.0,38.0,2.0,7.0,9.0,14.0,1.0,0.0,3.0,7.0,3.0,22.0,0.0,3.0,14.0,9.0,1.0,22.0,38.0,8.0,1.0,2.0,0.0,12.0,0.0,4.0,3.0,5.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,1.0,0.0,4.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0
9,151340049.0,1.0,6.0,22.0,5.0,10.0,4.0,3.0,13.0,0.0,1.0,12.0,8.0,11.0,0.0,11.0,1.0,3.0,22.0,2.0,5.0,0.0,1.0,4.0,1.0,15.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,0.0,2.0,9.0,3.0,6.0,1.0,14.0,17.0,2.0,6.0,1.0,5.0,2.0,19.0,0.0,7.0,12.0,8.0,1.0,0.0,4.0,0.0,1.0,12.0,0.0,1.0,15.0,9.0,0.0,10.0,21.0,1.0,1.0,1.0,1.0,8.0,0.0,5.0,3.0,7.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0
