,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,-1.0,11430852.0,1224729361.0,1336646257.0,145607568.0,1509902220.0,174495295.0,175333969.0,18107797.0,190333186.0,20150557.0,20210746.0,205603630.0,2179363256.0,218314098.0,2380425654.0,26981507.0,276031050.0,278392435.0,2866437474.0,2896069867.0,289876995.0,29153853.0,2934105440.0,297268829.0,304994537.0,30735678.0,3179338645.0,3328580625.0,36641694.0,3791121015.0,38975387.0,42679166.0,428714771.0,4704344258.0,47851189.0,48416262.0,49310742.0,605255836.0,62458674.0,636004365.0,64200503.0,77162533.0,77672352.0,805962090.0,829749096.0,8.658244182068552e+17,947817049.0,95422526.0,95873132.0
1,11430852.0,0.0,1.0,29.0,16.0,3.0,1.0,1.0,4.0,3.0,1.0,17.0,10.0,3.0,8.0,14.0,11.0,13.0,0.0,3.0,0.0,37.0,4.0,3.0,86.0,9.0,102.0,4.0,6.0,24.0,3.0,21.0,3.0,4.0,10.0,61.0,0.0,0.0,0.0,27.0,1.0,3.0,56.0,24.0,9.0,5.0,0.0,15.0,0.0,7.0
2,1224729361.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
3,1336646257.0,29.0,1.0,0.0,15.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,7.0,0.0,20.0,13.0,3.0,0.0,0.0,0.0,0.0,38.0,1.0,1.0,19.0,4.0,13.0,0.0,0.0,4.0,1.0,5.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,19.0,1.0,0.0,17.0,18.0,1.0,1.0,0.0,1.0,0.0,1.0
4,145607568.0,16.0,1.0,15.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,7.0,6.0,10.0,1.0,1.0,0.0,0.0,0.0,28.0,1.0,3.0,18.0,4.0,9.0,10.0,8.0,7.0,1.0,2.0,0.0,1.0,17.0,8.0,3.0,1.0,0.0,12.0,5.0,0.0,17.0,23.0,16.0,1.0,0.0,5.0,0.0,8.0
5,1509902220.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,5.0,6.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,20.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,10.0,0.0,1.0,0.0,1.0,1.0,0.0,17.0,5.0,3.0,7.0,0.0,1.0,0.0,0.0
6,174495295.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
7,175333969.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8,18107797.0,4.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,6.0,0.0,3.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,6.0,5.0,6.0,0.0,0.0,8.0,2.0,0.0,0.0,3.0,1.0,9.0,0.0,1.0,0.0,1.0,1.0,0.0,13.0,5.0,4.0,5.0,1.0,0.0,0.0,1.0
9,190333186.0,3.0,2.0,1.0,1.0,6.0,0.0,0.0,6.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,9.0,4.0,17.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,14.0,0.0,1.0,0.0,3.0,2.0,0.0,30.0,3.0,8.0,8.0,0.0,4.0,0.0,8.0
10,20150557.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11,20210746.0,17.0,1.0,6.0,4.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,2.0,3.0,4.0,1.0,2.0,0.0,3.0,0.0,7.0,2.0,0.0,24.0,2.0,20.0,0.0,5.0,1.0,1.0,0.0,3.0,2.0,4.0,23.0,0.0,1.0,0.0,9.0,1.0,0.0,15.0,3.0,2.0,2.0,0.0,4.0,0.0,0.0
12,205603630.0,10.0,1.0,7.0,2.0,2.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,13.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,20.0,20.0,3.0,3.0,0.0,1.0,0.0,1.0
