,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,-1.0,123907301.0,132095682.0,1347275874.0,142697734.0,147693845.0,160450729.0,17481929.0,2178044727.0,2179339949.0,2181547820.0,218782726.0,2259280134.0,2307360354.0,231620897.0,238028220.0,2460866346.0,2482630440.0,2737752324.0,2752498194.0,2757618141.0,2874712030.0,298368845.0,301897844.0,3145685875.0,3300687463.0,3556938143.0,421929408.0,4308726619.0,4417475712.0,519390387.0,55200138.0,602985308.0,7.183990775708754e+17,7.310286098681078e+17,8.018353557248573e+17,8.02092736035881e+17,8.028781515000095e+17,8.053801966941676e+17,8.057515761155645e+17,8.112421684592722e+17,8.245319721270968e+17,833877799.0,8.369858745838019e+17,8.56836808319144e+17,8.574592034762629e+17,888093426.0,9.026015076687626e+17,9.02607647890858e+17,9.144319530838426e+17,9.162412060147466e+17,9.289594097194598e+17,9.336243345805558e+17
1,123907301.0,0.0,0.0,1.0,10.0,12.0,2.0,0.0,0.0,28.0,11.0,56.0,0.0,16.0,9.0,22.0,1.0,0.0,4.0,4.0,6.0,9.0,2.0,25.0,5.0,1.0,0.0,0.0,13.0,0.0,13.0,9.0,0.0,4.0,9.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,3.0,1.0,13.0,1.0,1.0,4.0,8.0,8.0,0.0,5.0
2,132095682.0,0.0,0.0,2.0,9.0,29.0,0.0,0.0,0.0,18.0,47.0,46.0,0.0,12.0,2.0,30.0,8.0,22.0,3.0,4.0,27.0,24.0,43.0,130.0,10.0,15.0,2.0,5.0,22.0,0.0,14.0,9.0,1.0,16.0,0.0,8.0,5.0,23.0,16.0,12.0,5.0,6.0,0.0,13.0,13.0,12.0,29.0,2.0,43.0,45.0,10.0,1.0,12.0
3,1347275874.0,1.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,11.0,16.0,29.0,0.0,13.0,0.0,21.0,5.0,11.0,1.0,0.0,1.0,12.0,10.0,17.0,6.0,7.0,0.0,3.0,14.0,0.0,14.0,7.0,1.0,10.0,0.0,4.0,2.0,15.0,6.0,9.0,0.0,0.0,0.0,3.0,5.0,9.0,11.0,0.0,12.0,3.0,6.0,0.0,8.0
4,142697734.0,10.0,9.0,3.0,0.0,62.0,1.0,0.0,0.0,103.0,111.0,139.0,0.0,62.0,22.0,134.0,9.0,27.0,19.0,14.0,25.0,65.0,56.0,126.0,70.0,41.0,5.0,1.0,79.0,2.0,86.0,69.0,8.0,29.0,4.0,6.0,6.0,23.0,38.0,58.0,15.0,7.0,0.0,27.0,17.0,58.0,70.0,2.0,17.0,79.0,22.0,3.0,46.0
5,147693845.0,12.0,29.0,6.0,62.0,0.0,1.0,0.0,0.0,203.0,327.0,386.0,0.0,63.0,22.0,158.0,98.0,159.0,15.0,30.0,177.0,261.0,220.0,260.0,78.0,96.0,24.0,7.0,229.0,2.0,118.0,53.0,10.0,144.0,5.0,87.0,128.0,201.0,217.0,145.0,84.0,144.0,0.0,206.0,210.0,118.0,91.0,94.0,147.0,139.0,42.0,4.0,134.0
6,160450729.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2178044727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,2179339949.0,28.0,18.0,11.0,103.0,203.0,1.0,0.0,0.0,0.0,309.0,447.0,0.0,136.0,30.0,261.0,65.0,121.0,20.0,30.0,104.0,199.0,207.0,279.0,121.0,120.0,16.0,3.0,232.0,4.0,171.0,80.0,21.0,112.0,7.0,57.0,43.0,144.0,154.0,163.0,60.0,56.0,0.0,94.0,102.0,147.0,146.0,15.0,84.0,172.0,42.0,4.0,155.0
10,2181547820.0,11.0,47.0,16.0,111.0,327.0,0.0,0.0,0.0,309.0,0.0,566.0,0.0,123.0,28.0,290.0,89.0,210.0,22.0,28.0,213.0,398.0,297.0,512.0,148.0,132.0,24.0,11.0,277.0,3.0,213.0,89.0,23.0,141.0,4.0,70.0,116.0,228.0,217.0,167.0,77.0,79.0,0.0,181.0,167.0,137.0,171.0,39.0,192.0,225.0,49.0,3.0,153.0
11,218782726.0,56.0,46.0,29.0,139.0,386.0,3.0,0.0,3.0,447.0,566.0,0.0,0.0,231.0,55.0,507.0,97.0,219.0,33.0,50.0,163.0,369.0,342.0,640.0,201.0,174.0,23.0,9.0,366.0,2.0,448.0,115.0,36.0,191.0,16.0,76.0,121.0,256.0,257.0,291.0,81.0,99.0,0.0,216.0,183.0,214.0,234.0,47.0,203.0,345.0,83.0,5.0,177.0
12,2259280134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2307360354.0,16.0,12.0,13.0,62.0,63.0,1.0,0.0,0.0,136.0,123.0,231.0,0.0,0.0,5.0,154.0,18.0,31.0,16.0,12.0,22.0,60.0,109.0,172.0,98.0,53.0,2.0,2.0,93.0,9.0,105.0,42.0,23.0,42.0,6.0,8.0,10.0,55.0,41.0,66.0,13.0,8.0,0.0,24.0,31.0,72.0,111.0,2.0,53.0,179.0,33.0,1.0,58.0
14,231620897.0,9.0,2.0,0.0,22.0,22.0,0.0,0.0,0.0,30.0,28.0,55.0,0.0,5.0,0.0,37.0,1.0,8.0,3.0,7.0,8.0,20.0,3.0,38.0,6.0,2.0,3.0,0.0,28.0,0.0,18.0,15.0,1.0,4.0,3.0,0.0,3.0,2.0,8.0,22.0,3.0,1.0,0.0,3.0,5.0,22.0,0.0,1.0,9.0,13.0,9.0,1.0,16.0
15,238028220.0,22.0,30.0,21.0,134.0,158.0,1.0,0.0,2.0,261.0,290.0,507.0,0.0,154.0,37.0,0.0,33.0,96.0,26.0,27.0,45.0,165.0,155.0,411.0,150.0,104.0,9.0,4.0,191.0,2.0,236.0,111.0,19.0,75.0,7.0,16.0,19.0,102.0,99.0,181.0,28.0,18.0,0.0,59.0,49.0,147.0,164.0,4.0,67.0,192.0,50.0,5.0,120.0
16,2460866346.0,1.0,8.0,5.0,9.0,98.0,0.0,0.0,0.0,65.0,89.0,97.0,0.0,18.0,1.0,33.0,0.0,52.0,4.0,5.0,69.0,79.0,79.0,56.0,17.0,40.0,16.0,2.0,85.0,1.0,26.0,12.0,5.0,55.0,1.0,42.0,42.0,77.0,80.0,36.0,44.0,51.0,0.0,54.0,71.0,37.0,34.0,28.0,49.0,25.0,22.0,0.0,50.0
