,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
0,-1.0,106324760.0,1076354754.0,109662193.0,1121653332.0,116161933.0,126511140.0,1307675882.0,131704034.0,133429220.0,147181716.0,158025648.0,1685837238.0,19167916.0,1938189192.0,20526287.0,2191192088.0,220177325.0,2212610394.0,221514648.0,229366102.0,242074147.0,2495858150.0,2509545043.0,2517223020.0,2541419474.0,25600670.0,256495109.0,257470504.0,262215471.0,26527435.0,266994576.0,279491945.0,3065807866.0,31102784.0,316103932.0,3355842718.0,33963081.0,34562783.0,350769182.0,372279351.0,3813493163.0,3950093249.0,3999676762.0,42006691.0,425149134.0,42811820.0,430886462.0,433305159.0,450694223.0,455132636.0,46377065.0,464011911.0,471647114.0,474033516.0,4751008273.0,4782870220.0,4876352351.0,50965682.0,53467224.0,55760142.0,560836942.0,565329028.0,577262571.0,613799144.0,66376361.0,701524465.0,70179948.0,710446254.0,735037099.0,754317498.0,757401745.0,76153652.0,7.676613681661911e+17,770608154.0,806758861.0,8.229100306136064e+17,82334315.0,829143884.0,8.478330314905354e+17,8.500313788338831e+17,8.619318959945032e+17,867462294.0,878203285.0,886111729.0,9.082582228798915e+17,91197647.0,94068306.0,943616660.0
1,106324760.0,0.0,42.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,61.0,0.0,0.0,99.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,27.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,4.0,0.0,7.0,1.0,0.0,1.0,0.0
2,1076354754.0,42.0,0.0,2.0,1.0,1.0,37.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,10.0,1.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,23.0,0.0,3.0,2.0,2.0,50.0,0.0,0.0,80.0,1.0,0.0,2.0,0.0,7.0,0.0,1.0,2.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,26.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,22.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0
3,109662193.0,0.0,2.0,0.0,4.0,3.0,19.0,1.0,0.0,1.0,0.0,26.0,3.0,18.0,4.0,7.0,1.0,2.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,17.0,20.0,3.0,0.0,7.0,2.0,0.0,0.0,8.0,1.0,6.0,9.0,0.0,11.0,0.0,2.0,1.0,0.0,2.0,0.0,7.0,4.0,4.0,7.0,3.0,0.0,6.0,5.0,1.0,1.0,2.0,11.0,0.0,4.0,0.0,19.0,3.0,0.0,21.0,2.0,2.0,5.0,3.0,15.0,1.0,0.0,0.0,0.0,5.0,15.0,0.0,2.0,1.0,0.0,1.0,0.0,5.0,7.0,24.0,0.0,0.0,4.0,1.0
4,1121653332.0,0.0,1.0,4.0,0.0,3.0,9.0,3.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,8.0,1.0,1.0,5.0,0.0,2.0,3.0,1.0,8.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,17.0,1.0,3.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,4.0,1.0
5,116161933.0,0.0,1.0,3.0,3.0,0.0,6.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,13.0,0.0,2.0,8.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,3.0,0.0
6,126511140.0,35.0,37.0,19.0,9.0,6.0,0.0,5.0,0.0,1.0,3.0,91.0,0.0,13.0,8.0,26.0,6.0,1.0,0.0,2.0,27.0,36.0,0.0,0.0,2.0,1.0,12.0,138.0,11.0,22.0,2.0,4.0,22.0,0.0,5.0,7.0,12.0,56.0,4.0,11.0,0.0,2.0,1.0,0.0,16.0,2.0,15.0,1.0,8.0,42.0,5.0,0.0,80.0,13.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0,42.0,24.0,5.0,82.0,9.0,7.0,19.0,13.0,45.0,24.0,11.0,0.0,5.0,10.0,18.0,0.0,6.0,2.0,0.0,8.0,0.0,12.0,25.0,81.0,19.0,0.0,12.0,2.0
7,1307675882.0,0.0,1.0,1.0,3.0,2.0,5.0,0.0,0.0,0.0,10.0,4.0,0.0,2.0,0.0,14.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,13.0,0.0,1.0,5.0,0.0,1.0,7.0,3.0,10.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,66.0,2.0,4.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,14.0,0.0,2.0,1.0
8,131704034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
9,133429220.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
