,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,-1.0,1027866224.0,104199233.0,114444486.0,132037287.0,136508172.0,137702613.0,1428381847.0,145535500.0,1493735762.0,163557119.0,17481929.0,17964981.0,1926527911.0,194918485.0,2393746339.0,2447364171.0,2457942650.0,260638630.0,2838321558.0,2848697688.0,2935759928.0,393843874.0,3999676762.0,406196541.0,4574311770.0,4733464693.0,500461506.0,536542792.0,583127755.0,602858739.0,6325.0,64261339.0,68945315.0,714897566.0,7.233811530008904e+17,7.680276422558392e+17,804340837.0,8.213112840168038e+17,83558469.0,83660300.0,8.578223124266066e+17,869503428.0,883863649.0,88444985.0,90149831.0,9.115916926580204e+17,9.14787888541442e+17,9.151205882759086e+17,927385039.0,9.317491609690522e+17,9.332102287697674e+17,9.36697109599871e+17,9.367083752739226e+17,9.373755133827645e+17,9.462978734649344e+17,9.499798117448335e+17,95446830.0,96397818.0
1,1027866224.0,0.0,1.0,4.0,1.0,11.0,0.0,9.0,2.0,0.0,3.0,0.0,9.0,3.0,3.0,0.0,6.0,2.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,10.0,1.0,3.0,18.0,0.0,11.0,0.0,3.0,0.0,2.0,1.0,28.0,6.0,7.0,2.0,10.0,0.0,6.0,1.0,14.0,6.0,1.0,1.0,0.0,15.0,10.0,0.0,1.0,0.0,0.0,11.0,2.0,6.0,4.0
2,104199233.0,1.0,0.0,2.0,1.0,24.0,0.0,13.0,4.0,6.0,3.0,0.0,26.0,1.0,4.0,1.0,3.0,0.0,14.0,10.0,2.0,6.0,1.0,0.0,4.0,13.0,3.0,4.0,9.0,0.0,19.0,25.0,7.0,1.0,0.0,0.0,23.0,2.0,7.0,14.0,13.0,0.0,5.0,0.0,40.0,5.0,1.0,6.0,0.0,39.0,2.0,0.0,0.0,0.0,4.0,8.0,2.0,22.0,8.0
3,114444486.0,4.0,2.0,0.0,3.0,15.0,0.0,19.0,3.0,0.0,10.0,0.0,10.0,5.0,4.0,3.0,4.0,6.0,5.0,6.0,1.0,0.0,3.0,0.0,2.0,19.0,7.0,5.0,11.0,0.0,11.0,0.0,1.0,1.0,3.0,1.0,22.0,8.0,20.0,1.0,32.0,0.0,9.0,1.0,17.0,27.0,2.0,3.0,0.0,29.0,7.0,1.0,1.0,0.0,3.0,16.0,11.0,28.0,11.0
4,132037287.0,1.0,1.0,3.0,0.0,8.0,0.0,14.0,2.0,20.0,3.0,0.0,144.0,1.0,6.0,0.0,13.0,0.0,0.0,6.0,7.0,0.0,2.0,0.0,1.0,10.0,1.0,6.0,13.0,0.0,14.0,39.0,46.0,1.0,1.0,8.0,27.0,1.0,31.0,30.0,21.0,0.0,9.0,1.0,54.0,11.0,1.0,3.0,0.0,384.0,11.0,0.0,0.0,0.0,0.0,16.0,2.0,29.0,8.0
5,136508172.0,11.0,24.0,15.0,8.0,0.0,0.0,22.0,7.0,0.0,4.0,0.0,44.0,7.0,7.0,3.0,22.0,5.0,13.0,26.0,1.0,5.0,8.0,0.0,6.0,38.0,11.0,14.0,48.0,0.0,45.0,8.0,12.0,7.0,2.0,1.0,41.0,13.0,43.0,10.0,46.0,0.0,24.0,4.0,53.0,20.0,3.0,3.0,0.0,60.0,29.0,0.0,1.0,0.0,6.0,38.0,18.0,47.0,24.0
6,137702613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7,1428381847.0,9.0,13.0,19.0,14.0,22.0,0.0,0.0,4.0,0.0,14.0,0.0,37.0,10.0,11.0,4.0,29.0,8.0,7.0,28.0,2.0,5.0,7.0,0.0,2.0,26.0,8.0,8.0,58.0,0.0,52.0,9.0,10.0,3.0,3.0,2.0,68.0,11.0,39.0,4.0,77.0,0.0,39.0,6.0,59.0,66.0,3.0,3.0,0.0,66.0,29.0,0.0,1.0,0.0,4.0,49.0,14.0,113.0,16.0
8,145535500.0,2.0,4.0,3.0,2.0,7.0,2.0,4.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0,1.0,1.0,1.0,21.0,3.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,4.0,5.0,0.0,6.0,0.0,6.0,21.0,1.0,0.0,9.0,2.0,4.0,1.0,5.0,0.0,6.0,1.0,13.0,2.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,8.0,5.0
9,1493735762.0,0.0,6.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,13.0,0.0,0.0,1.0,3.0,0.0,1.0,19.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
