,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,-1.0,104185680.0,1079009256.0,1088099690.0,108907087.0,110608952.0,114190462.0,115018686.0,122441120.0,1241091404.0,1244460102.0,125470201.0,125614977.0,130205800.0,132986131.0,1346375827.0,1357115047.0,137517189.0,137771694.0,1435132286.0,15025739.0,150956270.0,156289877.0,159572604.0,1605783534.0,1633251433.0,164958548.0,1700951646.0,170204825.0,186414842.0,190708903.0,2171765941.0,2198563838.0,225322510.0,2303096750.0,2382971226.0,24329260.0,24345796.0,2450993148.0,248182192.0,255489507.0,261764660.0,2645225736.0,270499786.0,2724256221.0,2751503382.0,277853303.0,285503465.0,286069515.0,286625089.0,2870116652.0,287034757.0,287063399.0,2925115800.0,3002882886.0,3062430962.0,3075930266.0,3163784732.0,327403263.0,3304363992.0,340370057.0,360509494.0,361581716.0,361921060.0,378774444.0,389917334.0,391468084.0,3918457997.0,39208560.0,40701166.0,408211111.0,4110572473.0,433480776.0,439912281.0,450746478.0,458287314.0,4594710625.0,475112636.0,4803870258.0,495062063.0,50235755.0,536285913.0,53679150.0,53823346.0,54312769.0,570844916.0,572767112.0,623497584.0,712651945.0,7.158586927514952e+17,73910595.0,7.450265899103928e+17,763474394.0,77123870.0,78079432.0,7.865356039616307e+17,80988216.0,8.391552581692539e+17,8.474743314499338e+17,8.52137600135594e+17,86367032.0
1,104185680.0,0.0,4.0,1.0,0.0,13.0,1.0,0.0,4.0,0.0,11.0,1.0,8.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,6.0,1.0,1.0,7.0,10.0,1.0,0.0,0.0,0.0,15.0,6.0,8.0,1.0,4.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,5.0,1.0,1.0,2.0,0.0,0.0,7.0,0.0,0.0,14.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,10.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,3.0,5.0,0.0,1.0,0.0,0.0,2.0,5.0
2,1079009256.0,4.0,0.0,4.0,5.0,30.0,1.0,1.0,0.0,0.0,98.0,2.0,27.0,116.0,0.0,0.0,78.0,3.0,12.0,3.0,4.0,1.0,0.0,145.0,5.0,20.0,55.0,104.0,2.0,2.0,19.0,33.0,7.0,0.0,0.0,14.0,6.0,7.0,7.0,99.0,9.0,28.0,2.0,5.0,30.0,47.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,2.0,2.0,4.0,0.0,29.0,42.0,19.0,39.0,2.0,5.0,1.0,1.0,21.0,0.0,1.0,121.0,6.0,1.0,12.0,1.0,0.0,1.0,89.0,9.0,6.0,31.0,133.0,14.0,5.0,5.0,16.0,14.0,1.0,31.0,31.0,4.0,2.0,25.0,1.0,65.0,12.0,69.0,0.0,9.0,0.0,0.0,47.0,1.0
3,1088099690.0,1.0,4.0,0.0,0.0,7.0,1.0,2.0,0.0,1.0,6.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,10.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,13.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,9.0,4.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,9.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,4.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,5.0,4.0,2.0,0.0,3.0,0.0,0.0,4.0,1.0
4,108907087.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,3.0,3.0,2.0,8.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,9.0,0.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0
5,110608952.0,13.0,30.0,7.0,0.0,0.0,2.0,1.0,1.0,3.0,54.0,4.0,21.0,23.0,0.0,0.0,0.0,6.0,3.0,4.0,2.0,0.0,0.0,38.0,1.0,0.0,27.0,9.0,1.0,10.0,25.0,8.0,4.0,0.0,0.0,54.0,12.0,30.0,4.0,24.0,1.0,3.0,3.0,13.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,24.0,16.0,2.0,1.0,4.0,1.0,0.0,9.0,0.0,0.0,108.0,13.0,0.0,3.0,2.0,1.0,2.0,20.0,10.0,7.0,15.0,25.0,3.0,5.0,4.0,12.0,5.0,1.0,1.0,3.0,2.0,0.0,8.0,0.0,16.0,11.0,26.0,0.0,2.0,0.0,0.0,7.0,3.0
6,114190462.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
7,115018686.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,122441120.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
9,1241091404.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
