,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
0,-1.0,101238601.0,103791628.0,1049646152.0,1078478790.0,108953425.0,1118952337.0,113676296.0,116161933.0,121672758.0,123907301.0,128513379.0,131856223.0,133514843.0,135950053.0,136282823.0,13719562.0,137702613.0,140961284.0,145535500.0,14579992.0,147512161.0,1536843788.0,1568307234.0,159630226.0,163126057.0,163784033.0,1645043666.0,1651092140.0,16710907.0,1697511366.0,172530667.0,173898921.0,17699417.0,183000038.0,184684104.0,18826874.0,1900674798.0,193789986.0,194175199.0,203226820.0,20508216.0,207299437.0,20818002.0,21375278.0,216669729.0,2182754161.0,2212910341.0,226177870.0,227356308.0,230778362.0,23420728.0,2349788929.0,238569309.0,2398183616.0,239921956.0,241058503.0,2414198053.0,2462120142.0,2469098529.0,254779625.0,255361797.0,2580697766.0,263656675.0,264183317.0,2642150373.0,26829055.0,270921484.0,27115305.0,27448371.0,274527415.0,2758236985.0,278552571.0,28306935.0,28609814.0,288761808.0,2908291390.0,291296410.0,2917824892.0,292313232.0,295205608.0,298801560.0,30249493.0,3036220293.0,30860019.0,308976598.0,313292142.0,3143487468.0,3192815106.0,32760491.0,332173629.0,3406705339.0,3415131267.0,34659240.0,363675796.0,368697392.0,368798482.0,38685872.0,387542681.0,391289033.0,392103567.0,397307300.0,3999676762.0,403550758.0,40448509.0,40704069.0,409576326.0,41699303.0,419640043.0,4258166179.0,425941314.0,4265604732.0,427819419.0,43238571.0,45348014.0,46600349.0,468626500.0,47615505.0,476564417.0,494095798.0,50235755.0,508081569.0,513340791.0,52341168.0,527998987.0,536542792.0,552468440.0,562043233.0,57278635.0,573821039.0,583127755.0,590244304.0,59161966.0,604512143.0,611251457.0,64112715.0,64201471.0,68945315.0,70036438.0,71073121.0,71471528.0,7.23079254271873e+17,73076112.0,7.434433255338516e+17,745670755.0,76886993.0,7.771854729550316e+17,78585532.0,8.126481362839306e+17,8.253151873936916e+17,842150334.0,8.422416476855624e+17,8.490769888286351e+17,8.511235845629379e+17,854781702.0,8.600338213784658e+17,86247163.0,869503428.0,878792628.0,8.82751657741869e+17,8.924352913440522e+17,9.127347263722619e+17,9.249099439202345e+17,93617861.0,941465358.0,9.470432436859208e+17,9.543408412076442e+17
1,101238601.0,0.0,81.0,0.0,0.0,45.0,1.0,2.0,8.0,0.0,21.0,2.0,12.0,5.0,0.0,0.0,3.0,1.0,2.0,9.0,2.0,42.0,1.0,96.0,1.0,6.0,0.0,5.0,49.0,73.0,2.0,0.0,0.0,5.0,1.0,8.0,3.0,2.0,6.0,1.0,0.0,9.0,6.0,14.0,63.0,19.0,2.0,24.0,5.0,0.0,1.0,4.0,0.0,28.0,0.0,12.0,27.0,2.0,2.0,1.0,1.0,4.0,12.0,1.0,0.0,1.0,1.0,1.0,24.0,2.0,2.0,9.0,4.0,39.0,36.0,0.0,1.0,0.0,9.0,0.0,0.0,5.0,1.0,3.0,17.0,1.0,45.0,8.0,0.0,6.0,6.0,30.0,0.0,2.0,1.0,0.0,2.0,63.0,58.0,27.0,23.0,17.0,0.0,5.0,33.0,0.0,1.0,3.0,1.0,11.0,16.0,4.0,27.0,0.0,1.0,43.0,1.0,76.0,6.0,0.0,3.0,3.0,0.0,0.0,4.0,68.0,6.0,39.0,4.0,78.0,0.0,41.0,14.0,49.0,5.0,11.0,8.0,5.0,3.0,0.0,0.0,0.0,68.0,0.0,27.0,0.0,11.0,2.0,0.0,21.0,10.0,6.0,1.0,9.0,69.0,44.0,3.0,30.0,2.0,0.0,0.0,43.0,2.0,55.0,5.0,3.0,0.0
2,103791628.0,81.0,0.0,0.0,0.0,65.0,0.0,1.0,4.0,0.0,8.0,10.0,12.0,4.0,0.0,1.0,37.0,0.0,0.0,5.0,2.0,53.0,1.0,176.0,0.0,11.0,0.0,17.0,72.0,155.0,1.0,0.0,1.0,9.0,1.0,10.0,1.0,2.0,7.0,2.0,1.0,18.0,3.0,18.0,129.0,29.0,5.0,40.0,3.0,0.0,0.0,7.0,0.0,36.0,21.0,20.0,28.0,8.0,8.0,1.0,0.0,9.0,28.0,0.0,0.0,0.0,1.0,0.0,22.0,9.0,7.0,19.0,4.0,57.0,43.0,0.0,0.0,1.0,2.0,1.0,0.0,8.0,0.0,5.0,24.0,0.0,97.0,19.0,1.0,22.0,2.0,39.0,0.0,3.0,0.0,0.0,5.0,138.0,74.0,40.0,27.0,18.0,1.0,11.0,33.0,1.0,23.0,4.0,0.0,17.0,26.0,5.0,26.0,0.0,2.0,60.0,1.0,121.0,3.0,2.0,5.0,2.0,0.0,0.0,5.0,100.0,1.0,47.0,9.0,123.0,0.0,49.0,3.0,61.0,13.0,10.0,15.0,5.0,4.0,0.0,2.0,0.0,109.0,0.0,8.0,0.0,8.0,4.0,0.0,21.0,10.0,8.0,4.0,7.0,83.0,71.0,4.0,44.0,3.0,0.0,0.0,53.0,2.0,84.0,7.0,4.0,0.0
3,1049646152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1078478790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,108953425.0,45.0,65.0,0.0,0.0,0.0,1.0,2.0,9.0,0.0,10.0,3.0,18.0,4.0,0.0,0.0,8.0,4.0,1.0,6.0,0.0,65.0,0.0,167.0,1.0,4.0,1.0,4.0,43.0,152.0,1.0,0.0,0.0,4.0,0.0,26.0,3.0,3.0,6.0,2.0,1.0,3.0,11.0,7.0,113.0,13.0,6.0,26.0,4.0,0.0,2.0,6.0,0.0,36.0,0.0,9.0,40.0,2.0,8.0,1.0,1.0,6.0,7.0,0.0,0.0,1.0,2.0,3.0,20.0,13.0,2.0,7.0,1.0,52.0,41.0,0.0,1.0,1.0,3.0,0.0,0.0,7.0,0.0,7.0,31.0,2.0,64.0,10.0,4.0,10.0,3.0,31.0,0.0,3.0,2.0,0.0,36.0,251.0,68.0,57.0,27.0,25.0,0.0,5.0,31.0,0.0,0.0,13.0,0.0,20.0,47.0,2.0,28.0,0.0,2.0,113.0,1.0,83.0,2.0,0.0,5.0,3.0,0.0,3.0,6.0,42.0,2.0,32.0,6.0,116.0,0.0,88.0,3.0,33.0,8.0,13.0,7.0,5.0,7.0,1.0,0.0,0.0,85.0,0.0,3.0,0.0,8.0,1.0,0.0,32.0,15.0,22.0,3.0,12.0,112.0,66.0,3.0,19.0,8.0,0.0,0.0,36.0,1.0,52.0,11.0,3.0,0.0
6,1118952337.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,8.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
7,113676296.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,116161933.0,8.0,4.0,0.0,1.0,9.0,1.0,1.0,0.0,1.0,4.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,6.0,0.0,13.0,1.0,5.0,0.0,1.0,4.0,10.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,9.0,5.0,2.0,6.0,4.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,8.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,4.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,13.0,9.0,5.0,3.0,6.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,3.0,4.0,1.0,4.0,0.0,2.0,3.0,1.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,3.0,1.0,7.0,0.0,7.0,3.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,3.0,11.0,6.0,3.0,1.0,1.0,0.0,0.0,6.0,0.0,1.0,3.0,2.0,0.0
9,121672758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,123907301.0,21.0,8.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,23.0,0.0,21.0,0.0,12.0,0.0,5.0,4.0,18.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,7.0,0.0,2.0,20.0,8.0,21.0,26.0,30.0,0.0,10.0,5.0,0.0,0.0,2.0,0.0,10.0,0.0,2.0,15.0,2.0,9.0,2.0,0.0,1.0,12.0,2.0,4.0,1.0,1.0,0.0,15.0,2.0,1.0,3.0,10.0,15.0,19.0,0.0,0.0,0.0,17.0,0.0,0.0,7.0,1.0,5.0,9.0,2.0,6.0,1.0,1.0,10.0,11.0,3.0,0.0,3.0,2.0,0.0,0.0,25.0,25.0,6.0,4.0,4.0,0.0,0.0,19.0,0.0,0.0,3.0,2.0,0.0,5.0,3.0,6.0,0.0,1.0,7.0,3.0,39.0,7.0,0.0,5.0,0.0,0.0,0.0,5.0,14.0,2.0,9.0,10.0,19.0,0.0,6.0,15.0,3.0,5.0,19.0,5.0,8.0,2.0,0.0,2.0,0.0,18.0,0.0,23.0,0.0,3.0,1.0,0.0,2.0,5.0,0.0,1.0,1.0,18.0,12.0,4.0,8.0,0.0,0.0,0.0,9.0,0.0,14.0,5.0,1.0,0.0
11,128513379.0,2.0,10.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,10.0,4.0,21.0,5.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
