,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
0,-1.0,100807163.0,1049646152.0,1055399094.0,109795500.0,114190462.0,114228009.0,114960616.0,121340802.0,1218584240.0,125470201.0,131856223.0,131881172.0,132960957.0,134443258.0,1402729976.0,1419592838.0,149180380.0,149387833.0,151201847.0,1588662397.0,1700951646.0,1719420186.0,176180021.0,1912061065.0,2171765941.0,2172025543.0,219345860.0,2195412152.0,220650257.0,2210333792.0,2212610394.0,2254261885.0,228962714.0,2311029625.0,2351298157.0,238569309.0,2391437396.0,240613203.0,242211695.0,242684798.0,2433167971.0,2435265559.0,243976363.0,251984117.0,252471450.0,2526449683.0,253969050.0,2563587811.0,2566700012.0,262805563.0,293612978.0,300953686.0,3026345587.0,3062430962.0,3073782549.0,322765230.0,3246042764.0,326069303.0,360509494.0,368998915.0,3749750718.0,376033636.0,377683936.0,3918457997.0,393944127.0,3999676762.0,40701166.0,4110572473.0,415655533.0,43296617.0,43564408.0,4374472093.0,439912281.0,44325320.0,476564417.0,488489920.0,489360056.0,48972397.0,495062063.0,49599851.0,50265801.0,51699477.0,538048265.0,53823346.0,541760430.0,55406214.0,564509598.0,564857169.0,569102587.0,580093529.0,580709579.0,61352340.0,61512677.0,64424034.0,66356678.0,68593505.0,73910595.0,7.463468283254907e+17,7.49160000631763e+17,756822758.0,756940009.0,77123870.0,7.839487477723013e+17,794192114.0,8.327993832928338e+17,837186140.0,8.384617506430771e+17,8.474743314499338e+17,86367032.0,8.856535914946232e+17,8.99890659200385e+17,90677649.0,9.097438048606863e+17,9.23042548830163e+17,93525639.0,9.540356963684762e+17
1,100807163.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2,1049646152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1055399094.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,209.0,1.0,3.0,15.0,14.0,24.0,17.0,24.0,3.0,1.0,24.0,55.0,5.0,120.0,98.0,32.0,18.0,65.0,6.0,0.0,2.0,16.0,13.0,0.0,13.0,3.0,63.0,1.0,60.0,2.0,0.0,0.0,99.0,9.0,73.0,0.0,8.0,44.0,42.0,19.0,27.0,0.0,11.0,0.0,12.0,114.0,6.0,5.0,17.0,84.0,36.0,4.0,1.0,35.0,0.0,94.0,0.0,0.0,1.0,6.0,14.0,28.0,41.0,15.0,16.0,0.0,2.0,5.0,1.0,64.0,17.0,147.0,17.0,14.0,39.0,22.0,20.0,0.0,0.0,29.0,49.0,0.0,3.0,16.0,2.0,3.0,13.0,0.0,3.0,34.0,290.0,85.0,2.0,9.0,12.0,1.0,1.0,42.0,1.0,17.0,0.0,1.0,0.0,0.0,36.0,0.0,33.0,2.0,1.0
4,109795500.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,3.0,3.0,6.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,3.0,18.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
5,114190462.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,114228009.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,7.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,5.0,0.0,9.0,8.0,1.0,0.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7,114960616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,121340802.0,1.0,1.0,209.0,3.0,1.0,1.0,0.0,0.0,1.0,8.0,21.0,16.0,23.0,12.0,20.0,1.0,2.0,27.0,58.0,15.0,129.0,110.0,39.0,14.0,67.0,10.0,0.0,1.0,13.0,17.0,0.0,25.0,5.0,98.0,1.0,51.0,1.0,0.0,0.0,111.0,4.0,75.0,0.0,7.0,55.0,38.0,22.0,24.0,0.0,22.0,1.0,14.0,148.0,7.0,3.0,27.0,80.0,36.0,3.0,1.0,34.0,0.0,94.0,0.0,0.0,0.0,8.0,20.0,62.0,30.0,12.0,19.0,0.0,3.0,4.0,1.0,60.0,16.0,180.0,12.0,2.0,40.0,27.0,22.0,0.0,0.0,33.0,49.0,0.0,5.0,16.0,2.0,3.0,14.0,0.0,3.0,37.0,347.0,82.0,2.0,9.0,9.0,1.0,2.0,51.0,3.0,24.0,0.0,1.0,0.0,0.0,63.0,0.0,33.0,1.0,4.0
9,1218584240.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,125470201.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,30.0,0.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0
