,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152
0,-1.0,1013360292.0,1015079670.0,103875671.0,1052911226.0,106796508.0,108309054.0,110400856.0,111116700.0,111503992.0,113547701.0,121087915.0,121368094.0,121802757.0,121870491.0,126046494.0,128777534.0,132102853.0,1346855293.0,1355021.0,135662673.0,137599238.0,1401700627.0,140402241.0,142132911.0,145622254.0,14601998.0,147525488.0,1526782062.0,1555882280.0,1613467909.0,1623352940.0,1673941226.0,168165602.0,168733133.0,16882312.0,16997713.0,183446972.0,18951775.0,193317832.0,1954655652.0,19657658.0,197637989.0,198411583.0,203646787.0,204212788.0,20560375.0,208885112.0,21252352.0,213502125.0,21704676.0,2182964016.0,221649838.0,222639514.0,2283621361.0,228447145.0,22921015.0,231143441.0,2341232977.0,237589260.0,2380425654.0,241816077.0,24837617.0,255314415.0,256429474.0,265650277.0,268317263.0,2698202942.0,2729894654.0,279854362.0,280845979.0,2834214000.0,283630711.0,285498769.0,2861284476.0,289732963.0,2912840665.0,2913777039.0,29153853.0,293436203.0,2948175271.0,296802328.0,2971298278.0,298801560.0,298978752.0,299533471.0,300454931.0,300872627.0,3179338645.0,321908610.0,323349728.0,3247317675.0,3289014529.0,3316409420.0,333393117.0,337600534.0,33841072.0,3402781883.0,344307661.0,34626356.0,36131579.0,36226373.0,376322010.0,390364845.0,39250934.0,410809934.0,411402689.0,433506102.0,442689691.0,449777937.0,451395108.0,45312342.0,453603539.0,455092249.0,462010647.0,464820696.0,47253341.0,4834837039.0,48416262.0,49310742.0,49790325.0,542266257.0,54585605.0,553015505.0,553332944.0,56286660.0,56561193.0,570675729.0,57673488.0,58666078.0,611471436.0,615970966.0,65208791.0,65230284.0,65644622.0,67092484.0,67205874.0,70119061.0,735556038.0,74259793.0,77162533.0,77213437.0,77258339.0,77904658.0,78049645.0,81031721.0,8.118654945211556e+17,82163419.0,83855061.0,8.600338213784658e+17,888986803.0,905065902.0,940683308.0
1,1013360292.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,18.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
2,1015079670.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,5.0,0.0,0.0,6.0,2.0,2.0,5.0,0.0,2.0,1.0,1.0,5.0,0.0,1.0,6.0,3.0,1.0,9.0,2.0,1.0,12.0,10.0,0.0,2.0,5.0,8.0,2.0,8.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,3.0,4.0,5.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,7.0,3.0,0.0,4.0,1.0,1.0,0.0,1.0,4.0,9.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,9.0,0.0,5.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,3.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0
3,103875671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1052911226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0
5,106796508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,53.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0,0.0,4.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,41.0,0.0,0.0,19.0,0.0,0.0,12.0,0.0,2.0,4.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0
6,108309054.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,5.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,5.0,1.0,0.0,3.0,0.0,1.0,2.0,3.0,1.0,5.0,2.0,1.0,6.0,2.0,0.0,2.0,4.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,3.0,2.0,5.0,4.0,0.0,1.0,0.0,46.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,37.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,5.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
7,110400856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,111116700.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,4.0,3.0,2.0,0.0,3.0,0.0,2.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9,111503992.0,8.0,2.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,7.0,7.0,2.0,3.0,0.0,6.0,0.0,4.0,0.0,1.0,0.0,5.0,6.0,4.0,4.0,5.0,0.0,1.0,3.0,0.0,0.0,5.0,6.0,11.0,3.0,4.0,6.0,0.0,2.0,2.0,5.0,6.0,8.0,1.0,3.0,9.0,10.0,0.0,6.0,6.0,2.0,5.0,5.0,3.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,4.0,9.0,12.0,14.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0,8.0,6.0,5.0,3.0,0.0,3.0,1.0,2.0,2.0,9.0,11.0,0.0,2.0,0.0,5.0,2.0,4.0,0.0,6.0,5.0,1.0,1.0,0.0,1.0,8.0,0.0,13.0,0.0,0.0,1.0,4.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,2.0,4.0,11.0,2.0,2.0,0.0,8.0,4.0,2.0,1.0,1.0,0.0,4.0,11.0,2.0,0.0,7.0,4.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,5.0
