,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
0,-1.0,101475926.0,103487672.0,106389093.0,106409415.0,108309054.0,11430852.0,115971355.0,11679522.0,118625499.0,1238909394.0,132852316.0,135595523.0,13719562.0,137599238.0,1382311974.0,138808454.0,142132911.0,147525488.0,1526782062.0,155782063.0,1577842190.0,1623352940.0,162655265.0,166861881.0,1673941226.0,174495295.0,175892406.0,18107797.0,1828928324.0,18951775.0,193317832.0,19657658.0,197326275.0,197666435.0,203935629.0,204212788.0,20560375.0,207678880.0,219155112.0,22041723.0,2283621361.0,2284771098.0,2286454225.0,2320221720.0,2380425654.0,239807877.0,243624839.0,245743101.0,247987118.0,2520636762.0,2526946229.0,25459795.0,256429474.0,2576065807.0,266122654.0,26981507.0,271349210.0,2729894654.0,281120252.0,28998607.0,29210745.0,292772945.0,294114036.0,296802328.0,298801560.0,3011557831.0,3016120578.0,30831356.0,3131295495.0,315800789.0,3179338645.0,3218364239.0,326093485.0,326161193.0,3289014529.0,3310799090.0,3316409420.0,3320357028.0,333393117.0,337600534.0,339051336.0,3434297043.0,352188133.0,365900821.0,40094586.0,404489301.0,408348174.0,41073393.0,4208864234.0,421893092.0,435597163.0,44188505.0,453603539.0,455092249.0,464820696.0,470215245.0,478659459.0,485511607.0,518629939.0,53432370.0,54585605.0,549205811.0,59015952.0,61126219.0,614200684.0,615114229.0,718420201.0,721428587.0,76937843.0,77162533.0,78049645.0,7.985368281816146e+17,800345204.0,83855061.0,85075631.0,86059794.0,90169728.0,905065902.0,91851886.0,940683308.0,9.506260689767547e+17
1,101475926.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,103487672.0,0.0,0.0,55.0,106.0,5.0,28.0,5.0,1.0,1.0,44.0,2.0,7.0,1.0,0.0,2.0,4.0,8.0,12.0,0.0,22.0,0.0,15.0,43.0,27.0,5.0,2.0,1.0,7.0,2.0,7.0,0.0,11.0,0.0,15.0,24.0,2.0,2.0,12.0,1.0,0.0,32.0,21.0,0.0,7.0,37.0,22.0,40.0,26.0,5.0,3.0,2.0,0.0,12.0,27.0,1.0,5.0,5.0,1.0,3.0,12.0,9.0,1.0,21.0,6.0,2.0,0.0,0.0,11.0,9.0,6.0,1.0,1.0,54.0,6.0,42.0,14.0,2.0,0.0,19.0,9.0,12.0,6.0,22.0,26.0,0.0,3.0,18.0,9.0,1.0,16.0,3.0,0.0,1.0,0.0,6.0,3.0,9.0,0.0,38.0,5.0,2.0,0.0,10.0,0.0,0.0,3.0,0.0,1.0,2.0,50.0,4.0,0.0,0.0,73.0,13.0,6.0,98.0,1.0,1.0,2.0,0.0
3,106389093.0,0.0,55.0,0.0,72.0,1.0,18.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,37.0,26.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,8.0,0.0,0.0,9.0,9.0,14.0,14.0,0.0,0.0,1.0,0.0,0.0,16.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,42.0,3.0,13.0,9.0,0.0,0.0,0.0,9.0,14.0,1.0,7.0,9.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,28.0,7.0,0.0,92.0,0.0,0.0,1.0,0.0
4,106409415.0,0.0,106.0,72.0,0.0,4.0,76.0,2.0,2.0,1.0,42.0,3.0,1.0,2.0,1.0,3.0,5.0,13.0,9.0,0.0,29.0,0.0,9.0,90.0,98.0,11.0,4.0,6.0,11.0,1.0,18.0,0.0,17.0,0.0,7.0,30.0,3.0,3.0,7.0,0.0,0.0,34.0,56.0,0.0,5.0,31.0,20.0,46.0,79.0,5.0,0.0,2.0,1.0,24.0,36.0,4.0,6.0,0.0,1.0,0.0,9.0,9.0,1.0,19.0,20.0,5.0,0.0,0.0,8.0,14.0,10.0,2.0,2.0,74.0,16.0,19.0,25.0,0.0,1.0,10.0,26.0,33.0,10.0,27.0,38.0,1.0,1.0,24.0,14.0,0.0,50.0,2.0,1.0,0.0,1.0,5.0,4.0,15.0,0.0,33.0,5.0,9.0,0.0,11.0,0.0,1.0,6.0,0.0,2.0,4.0,78.0,2.0,0.0,0.0,92.0,31.0,6.0,199.0,0.0,0.0,3.0,0.0
5,108309054.0,0.0,5.0,1.0,4.0,0.0,7.0,3.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,20.0,1.0,3.0,2.0,0.0,6.0,0.0,0.0,3.0,4.0,3.0,1.0,0.0,2.0,25.0,3.0,0.0,2.0,0.0,1.0,5.0,2.0,1.0,4.0,2.0,0.0,3.0,4.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,3.0,1.0,1.0,5.0,0.0,2.0,6.0,59.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,7.0,4.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
6,11430852.0,1.0,28.0,18.0,76.0,7.0,0.0,8.0,4.0,1.0,38.0,9.0,3.0,9.0,1.0,1.0,0.0,21.0,16.0,0.0,24.0,0.0,14.0,26.0,13.0,6.0,1.0,13.0,4.0,2.0,18.0,0.0,12.0,0.0,7.0,25.0,1.0,22.0,8.0,3.0,0.0,22.0,12.0,0.0,6.0,14.0,7.0,5.0,25.0,1.0,2.0,4.0,8.0,24.0,55.0,3.0,11.0,0.0,2.0,15.0,16.0,3.0,4.0,9.0,22.0,16.0,0.0,0.0,6.0,20.0,4.0,4.0,3.0,22.0,17.0,4.0,1.0,2.0,0.0,4.0,12.0,8.0,26.0,9.0,14.0,1.0,17.0,21.0,17.0,0.0,7.0,3.0,1.0,4.0,2.0,9.0,7.0,11.0,0.0,9.0,5.0,2.0,0.0,39.0,0.0,12.0,0.0,0.0,13.0,1.0,56.0,5.0,0.0,0.0,17.0,27.0,2.0,36.0,2.0,0.0,5.0,0.0
7,115971355.0,0.0,5.0,6.0,2.0,3.0,8.0,0.0,5.0,1.0,26.0,45.0,3.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0,36.0,0.0,0.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,11.0,1.0,1.0,10.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,4.0,1.0,0.0,4.0,0.0,6.0,128.0,0.0,0.0,0.0,19.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,14.0,7.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,7.0,0.0,8.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,2.0,1.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
8,11679522.0,0.0,1.0,0.0,2.0,0.0,4.0,5.0,0.0,0.0,22.0,3.0,4.0,0.0,5.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,5.0,0.0,18.0,0.0,3.0,5.0,0.0,14.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,118625499.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
