,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,-1.0,104888849.0,108637042.0,109297550.0,125881355.0,128566181.0,131856223.0,13611482.0,1402729976.0,142202568.0,157654264.0,164958548.0,170187186.0,184737830.0,18711950.0,1941172716.0,2283484512.0,229829840.0,238447043.0,2389257901.0,240613203.0,241973459.0,2433167971.0,2441873851.0,2553817934.0,256235414.0,2611817244.0,263503137.0,2713148717.0,273295620.0,2844883614.0,284867370.0,2870831390.0,295655540.0,3023972454.0,306052324.0,310816643.0,315106232.0,3166564625.0,3277455930.0,3389726902.0,342020125.0,346972284.0,350927671.0,363688814.0,4180528993.0,4667097662.0,51699477.0,532997614.0,564336016.0,66203368.0,70565268.0,72845927.0,73076112.0,763474394.0,77149947.0,7.771854729550316e+17,8.227422263588987e+17,840730278.0,883834555.0,88700136.0,92753384.0
1,104888849.0,0.0,1.0,4.0,6.0,10.0,4.0,2.0,7.0,1.0,0.0,20.0,6.0,0.0,16.0,3.0,5.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,11.0,1.0,25.0,1.0,5.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,9.0,1.0,3.0,3.0,10.0,2.0,5.0,2.0,4.0,2.0,28.0,0.0,0.0,9.0,11.0,5.0,3.0,9.0,1.0,0.0,5.0,0.0,0.0
2,108637042.0,1.0,0.0,0.0,0.0,12.0,2.0,4.0,4.0,3.0,5.0,10.0,2.0,0.0,16.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,13.0,2.0,13.0,0.0,23.0,7.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,11.0,9.0,0.0,2.0,5.0,3.0,0.0,6.0,0.0,7.0,1.0,22.0,0.0,0.0,0.0,7.0,15.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0
3,109297550.0,4.0,0.0,0.0,6.0,7.0,5.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,11.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,3.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,9.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
4,125881355.0,6.0,0.0,6.0,0.0,11.0,3.0,0.0,2.0,1.0,0.0,9.0,4.0,0.0,20.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,5.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,4.0,3.0,8.0,0.0,2.0,2.0,5.0,2.0,2.0,0.0,0.0,3.0,12.0,9.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0
5,128566181.0,10.0,12.0,7.0,11.0,0.0,11.0,3.0,21.0,1.0,9.0,46.0,18.0,1.0,95.0,7.0,4.0,16.0,0.0,0.0,1.0,1.0,2.0,0.0,102.0,3.0,12.0,0.0,72.0,60.0,1.0,2.0,0.0,0.0,2.0,4.0,0.0,1.0,65.0,17.0,0.0,9.0,10.0,22.0,3.0,17.0,4.0,35.0,17.0,34.0,1.0,1.0,14.0,77.0,53.0,3.0,11.0,1.0,1.0,14.0,1.0,1.0
6,131856223.0,4.0,2.0,5.0,3.0,11.0,0.0,0.0,3.0,0.0,1.0,10.0,8.0,0.0,22.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,1.0,0.0,4.0,3.0,10.0,0.0,4.0,2.0,4.0,2.0,3.0,0.0,0.0,9.0,13.0,1.0,1.0,5.0,0.0,0.0,4.0,0.0,0.0
7,13611482.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1402729976.0,7.0,4.0,2.0,2.0,21.0,3.0,0.0,0.0,0.0,6.0,12.0,5.0,0.0,10.0,1.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,19.0,1.0,2.0,0.0,3.0,23.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,14.0,8.0,0.0,1.0,5.0,11.0,3.0,6.0,0.0,16.0,5.0,6.0,0.0,0.0,4.0,13.0,11.0,5.0,4.0,3.0,1.0,5.0,0.0,0.0
9,142202568.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,2.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
