,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
0,-1.0,1021002710.0,10624792.0,1080580333.0,11210752.0,113539303.0,116161933.0,118361748.0,122425883.0,123907301.0,1259178157.0,125921330.0,1335980184.0,133678534.0,135950053.0,137702613.0,1394255803.0,1398503114.0,144160801.0,14502433.0,145535500.0,1493010703.0,1512277656.0,1536843788.0,160461641.0,1651092140.0,16597470.0,16704201.0,1672764188.0,171077993.0,173898921.0,18711950.0,194175199.0,200777682.0,206483199.0,21030624.0,212140092.0,21375278.0,222242809.0,223106729.0,2231579844.0,22585358.0,226388360.0,2307814911.0,2367174414.0,23715801.0,23811362.0,2383573902.0,2391618978.0,2398183616.0,239921956.0,2420782585.0,2432681413.0,2533955250.0,2585049200.0,2606293554.0,261323160.0,269914300.0,270353982.0,2719067106.0,27448371.0,28306935.0,28447973.0,2855589413.0,2902197571.0,2902953309.0,290839856.0,3011954754.0,30860019.0,308976598.0,3119694342.0,3143487468.0,316869223.0,31690585.0,3170608033.0,3180373724.0,319485185.0,32137653.0,3247646198.0,33111520.0,33317045.0,33623907.0,35428413.0,36026385.0,36388063.0,369591502.0,39959038.0,3999676762.0,403550758.0,41492184.0,420448967.0,425941314.0,43725438.0,44225788.0,467458532.0,47615505.0,477432535.0,4827585019.0,4870169068.0,503326012.0,510642745.0,529567649.0,532376352.0,558710255.0,56303053.0,57084424.0,574614845.0,603062433.0,608833661.0,632432638.0,66718258.0,67593879.0,68428017.0,7.23079254271873e+17,74953143.0,75441932.0,757179378.0,75772205.0,759256634.0,7.691850067952312e+17,7.795477905652695e+17,78585532.0,789585757.0,80395110.0,8.073165153514578e+17,86241402.0,862747568.0,872591366.0,92688658.0,9.37665824248152e+17,9.547738315576566e+17,955438699.0,95599536.0,9.589100319651185e+17
1,1021002710.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2,10624792.0,0.0,0.0,0.0,11.0,3.0,2.0,4.0,7.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,4.0,2.0,1.0,4.0,2.0,16.0,0.0,13.0,1.0,12.0,2.0,5.0,0.0,13.0,0.0,2.0,0.0,4.0,4.0,1.0,4.0,6.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,4.0,11.0,0.0,7.0,5.0,6.0,12.0,8.0,1.0,2.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,11.0,4.0,4.0,0.0,0.0,1.0,5.0,0.0,1.0,4.0,4.0,3.0,10.0,4.0,0.0,0.0,2.0,5.0,2.0,3.0,2.0,0.0,10.0,1.0,0.0,4.0,5.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,9.0,10.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,4.0,6.0,1.0,1.0,0.0,2.0,1.0,5.0,1.0,2.0,0.0,0.0,4.0,1.0,0.0
3,1080580333.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,6.0,2.0,10.0,2.0,14.0,0.0,9.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,3.0,0.0,3.0,8.0,0.0,6.0,1.0,9.0,2.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,5.0,0.0,5.0,4.0,0.0,1.0,0.0,9.0,0.0,2.0,0.0,0.0,6.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,3.0,10.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,2.0,0.0,0.0,3.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,11210752.0,0.0,11.0,1.0,0.0,2.0,5.0,27.0,29.0,17.0,24.0,34.0,9.0,5.0,0.0,6.0,1.0,2.0,2.0,3.0,8.0,27.0,2.0,2.0,19.0,14.0,3.0,96.0,17.0,97.0,1.0,110.0,5.0,171.0,31.0,33.0,1.0,128.0,0.0,2.0,4.0,29.0,15.0,4.0,20.0,21.0,9.0,0.0,1.0,0.0,10.0,7.0,6.0,7.0,18.0,4.0,19.0,20.0,2.0,30.0,27.0,42.0,47.0,93.0,8.0,10.0,0.0,66.0,17.0,2.0,9.0,4.0,1.0,157.0,46.0,10.0,2.0,2.0,3.0,46.0,0.0,4.0,27.0,31.0,3.0,33.0,27.0,0.0,18.0,7.0,34.0,14.0,42.0,10.0,2.0,72.0,7.0,5.0,8.0,45.0,8.0,1.0,0.0,43.0,37.0,2.0,0.0,7.0,36.0,51.0,0.0,34.0,2.0,0.0,3.0,5.0,19.0,0.0,11.0,23.0,32.0,5.0,5.0,4.0,8.0,4.0,42.0,1.0,13.0,2.0,0.0,20.0,5.0,1.0
5,113539303.0,0.0,3.0,0.0,2.0,0.0,1.0,8.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,1.0,0.0,7.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,6.0,3.0,2.0,0.0,0.0,6.0,6.0,13.0,0.0,2.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,5.0,17.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,3.0,4.0,3.0,0.0,0.0,17.0,1.0,3.0,0.0,2.0,14.0,2.0,0.0,19.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0,3.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
6,116161933.0,0.0,2.0,2.0,5.0,1.0,0.0,2.0,1.0,4.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,5.0,1.0,0.0,3.0,4.0,1.0,7.0,4.0,7.0,0.0,10.0,0.0,12.0,6.0,0.0,0.0,9.0,0.0,2.0,1.0,2.0,2.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,1.0,5.0,0.0,4.0,6.0,2.0,3.0,8.0,9.0,4.0,3.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,14.0,6.0,0.0,2.0,0.0,6.0,5.0,0.0,2.0,2.0,5.0,1.0,4.0,6.0,0.0,1.0,0.0,8.0,4.0,2.0,1.0,0.0,7.0,3.0,2.0,0.0,5.0,0.0,0.0,1.0,8.0,8.0,0.0,0.0,1.0,8.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,9.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0
7,118361748.0,1.0,4.0,0.0,27.0,8.0,2.0,0.0,6.0,12.0,6.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,11.0,10.0,0.0,0.0,21.0,3.0,3.0,14.0,5.0,35.0,2.0,42.0,1.0,41.0,7.0,10.0,0.0,48.0,0.0,1.0,1.0,5.0,4.0,2.0,7.0,16.0,15.0,0.0,4.0,1.0,1.0,3.0,3.0,4.0,4.0,0.0,14.0,11.0,1.0,3.0,0.0,18.0,21.0,33.0,2.0,7.0,0.0,5.0,14.0,1.0,4.0,0.0,0.0,13.0,20.0,2.0,0.0,1.0,0.0,8.0,0.0,4.0,5.0,14.0,1.0,11.0,6.0,0.0,1.0,5.0,17.0,1.0,8.0,9.0,1.0,54.0,2.0,0.0,3.0,16.0,20.0,0.0,1.0,21.0,11.0,8.0,1.0,2.0,23.0,34.0,0.0,35.0,1.0,0.0,1.0,6.0,3.0,0.0,8.0,15.0,12.0,1.0,1.0,8.0,3.0,0.0,19.0,0.0,11.0,0.0,0.0,17.0,5.0,1.0
8,122425883.0,0.0,7.0,0.0,29.0,0.0,1.0,6.0,0.0,8.0,48.0,2.0,1.0,0.0,1.0,20.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,6.0,2.0,0.0,6.0,1.0,69.0,2.0,90.0,5.0,20.0,9.0,192.0,1.0,98.0,0.0,3.0,8.0,3.0,3.0,1.0,2.0,42.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,41.0,1.0,3.0,17.0,3.0,4.0,11.0,2.0,11.0,0.0,3.0,2.0,10.0,17.0,0.0,0.0,12.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,5.0,4.0,0.0,22.0,21.0,3.0,20.0,0.0,5.0,0.0,7.0,0.0,0.0,4.0,5.0,4.0,4.0,1.0,6.0,6.0,1.0,0.0,9.0,10.0,3.0,0.0,31.0,1.0,0.0,1.0,6.0,41.0,0.0,3.0,3.0,2.0,8.0,1.0,10.0,2.0,1.0,3.0,0.0,8.0,1.0,0.0,38.0,6.0,0.0
9,123907301.0,2.0,4.0,0.0,17.0,4.0,4.0,12.0,8.0,0.0,1.0,6.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,15.0,0.0,0.0,9.0,4.0,0.0,16.0,7.0,24.0,0.0,16.0,0.0,17.0,14.0,6.0,0.0,26.0,0.0,0.0,1.0,6.0,3.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,7.0,1.0,15.0,4.0,1.0,14.0,2.0,15.0,20.0,30.0,4.0,4.0,1.0,7.0,9.0,2.0,8.0,1.0,0.0,15.0,30.0,3.0,0.0,1.0,2.0,11.0,0.0,3.0,15.0,4.0,1.0,12.0,5.0,0.0,0.0,3.0,12.0,5.0,2.0,2.0,2.0,39.0,1.0,1.0,5.0,16.0,5.0,0.0,0.0,23.0,23.0,3.0,0.0,4.0,39.0,13.0,0.0,27.0,0.0,0.0,2.0,0.0,5.0,0.0,5.0,10.0,11.0,1.0,1.0,0.0,3.0,0.0,20.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0
