,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
0,-1.0,1015079670.0,1016369353.0,102925880.0,102934381.0,104116263.0,108309054.0,11012822.0,110400856.0,110534382.0,1106546958.0,111652047.0,112555383.0,113009001.0,113547701.0,115171828.0,11679522.0,117776777.0,118310418.0,1185159512.0,119337747.0,121379684.0,134574318.0,137381140.0,14558120.0,145622254.0,147486328.0,1568718145.0,158812734.0,159374475.0,159792057.0,1668071172.0,17508749.0,17567926.0,177470688.0,178729876.0,181233050.0,18250679.0,1835188722.0,184138432.0,184726826.0,187232131.0,20133907.0,2150006054.0,22046932.0,221755787.0,22356393.0,2284771098.0,2341232977.0,2380425654.0,2422387801.0,24533214.0,24538277.0,24585436.0,250474321.0,2603642629.0,26372647.0,26546120.0,266157698.0,2691599196.0,26981507.0,2784530497.0,2787180204.0,279854362.0,28099933.0,29153853.0,2971298278.0,29798993.0,2990090798.0,300454931.0,300841520.0,30174386.0,3031627228.0,3038373614.0,3046072892.0,31165175.0,311859741.0,317807117.0,318968456.0,322914371.0,323729538.0,3239835152.0,330064398.0,3316409420.0,33261691.0,333393117.0,335206795.0,33561291.0,337600534.0,3410272829.0,3470224777.0,365900821.0,368255827.0,3791121015.0,388623620.0,428202781.0,44188505.0,443550853.0,448128462.0,47437452.0,47851089.0,49310742.0,50613799.0,521685882.0,542575422.0,546827350.0,554296827.0,562608457.0,563618228.0,567413998.0,611471436.0,614200684.0,67205874.0,68487466.0,70296080.0,707215429.0,721428587.0,725810030.0,7.282950291653263e+17,743565973.0,76711458.0,7.686031963442422e+17,77672352.0,7.853307496080712e+17,79319701.0,80472652.0,8.225961806601462e+17,845645718.0,8.524577057553326e+17,857679565.0,86502654.0,883311679.0,8917332.0,9.035040642809651e+17,905065902.0,93263009.0,940683308.0,94631508.0,949495591.0,9496882.0,95085210.0
1,1015079670.0,0.0,1.0,0.0,1.0,38.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,2.0,1.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,8.0,1.0,2.0,7.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,7.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,4.0,3.0,4.0,22.0,3.0,11.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0
2,1016369353.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,102925880.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,3.0,3.0,6.0,0.0,4.0,1.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,0.0,1.0,0.0,8.0,8.0,5.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,127.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,6.0,2.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
4,102934381.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,104116263.0,38.0,3.0,20.0,2.0,0.0,10.0,10.0,0.0,3.0,5.0,2.0,1.0,5.0,8.0,25.0,3.0,1.0,18.0,5.0,6.0,28.0,40.0,0.0,4.0,6.0,0.0,2.0,2.0,32.0,10.0,7.0,8.0,17.0,7.0,20.0,0.0,25.0,2.0,12.0,5.0,57.0,11.0,13.0,20.0,1.0,0.0,13.0,1.0,7.0,13.0,1.0,5.0,109.0,0.0,1.0,3.0,18.0,16.0,2.0,4.0,0.0,3.0,0.0,52.0,3.0,24.0,13.0,0.0,3.0,6.0,11.0,8.0,0.0,6.0,5.0,4.0,11.0,0.0,0.0,10.0,1.0,0.0,1.0,1.0,17.0,73.0,19.0,3.0,1.0,0.0,5.0,0.0,4.0,4.0,0.0,2.0,2.0,1.0,63.0,6.0,2.0,1.0,0.0,45.0,8.0,0.0,1.0,1.0,11.0,2.0,2.0,0.0,12.0,0.0,3.0,9.0,0.0,0.0,4.0,32.0,6.0,12.0,35.0,119.0,13.0,71.0,16.0,18.0,0.0,29.0,1.0,5.0,1.0,2.0,5.0,3.0,2.0,0.0,1.0,6.0
6,108309054.0,4.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,30.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,4.0,3.0,0.0,0.0,2.0,0.0,5.0,7.0,8.0,2.0,6.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,4.0,9.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,12.0,1.0,0.0,5.0,7.0,5.0,5.0,5.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0
7,11012822.0,1.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,2.0,20.0,6.0,0.0,4.0,2.0,8.0,3.0,15.0,1.0,5.0,4.0,1.0,0.0,0.0,4.0,4.0,9.0,12.0,4.0,5.0,5.0,0.0,15.0,2.0,1.0,2.0,7.0,12.0,2.0,14.0,1.0,0.0,2.0,1.0,5.0,2.0,0.0,1.0,14.0,0.0,0.0,4.0,4.0,1.0,5.0,3.0,0.0,2.0,0.0,19.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,7.0,0.0,3.0,1.0,0.0,6.0,5.0,5.0,4.0,0.0,1.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,8.0,8.0,0.0,5.0,0.0,3.0,7.0,0.0,1.0,1.0,7.0,4.0,5.0,2.0,2.0,0.0,1.0,7.0,1.0,3.0,2.0,16.0,0.0,2.0,9.0,6.0,13.0,22.0,11.0,8.0,2.0,14.0,1.0,7.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0
8,110400856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,110534382.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0
