,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181
0,-1.0,1015583372.0,102753254.0,102955752.0,102977713.0,103054538.0,104185680.0,107413668.0,1121653332.0,1143089766.0,1149709470.0,11714092.0,1173316256.0,1199333984.0,123915802.0,124138241.0,126557133.0,128840796.0,129039023.0,130964579.0,132820251.0,134443258.0,1349483100.0,136514389.0,139240585.0,1412416507.0,142703319.0,148676002.0,150510008.0,153316032.0,156501568.0,1583601512.0,159139617.0,159173728.0,1630959576.0,1640074478.0,1668157675.0,167695874.0,168390419.0,17053841.0,171470700.0,171867890.0,1746924782.0,177484239.0,184726588.0,1852656614.0,18563286.0,185710038.0,18951775.0,192792433.0,192817289.0,193718941.0,1940580211.0,1975620727.0,202571772.0,207572721.0,21605447.0,2175353912.0,22050898.0,220810557.0,2269039238.0,228962714.0,230253426.0,2335606016.0,2353661184.0,236220688.0,237116196.0,2431546572.0,2433167971.0,245711325.0,248675673.0,2487043227.0,251101948.0,252572200.0,253399400.0,256475751.0,2566700012.0,2586207330.0,258707415.0,2595926978.0,2616922178.0,264252218.0,2646548988.0,2686515086.0,279973577.0,2834871966.0,2835160283.0,2836044036.0,285498769.0,286625089.0,2913423924.0,292835123.0,29345440.0,295666837.0,2996035020.0,304082820.0,3075985849.0,308563.0,308716323.0,310901751.0,313394633.0,3152314866.0,316263766.0,325744757.0,330067918.0,333279873.0,3361996160.0,3540356720.0,354741674.0,355294954.0,360509494.0,366493186.0,368998915.0,376033636.0,3849321136.0,39046656.0,397307300.0,398750542.0,408211111.0,414753150.0,425779768.0,428182131.0,428638963.0,435744257.0,43603630.0,450746478.0,457810421.0,461784254.0,47293031.0,477544632.0,49253900.0,507975969.0,518528338.0,533691725.0,538571667.0,548536741.0,57836053.0,57972437.0,597185081.0,612585238.0,621711588.0,630404429.0,63381665.0,63648325.0,63963261.0,7.073682921978593e+17,712942141.0,7.456700181306655e+17,7.465726865376133e+17,74917601.0,7.497027872403005e+17,7.510163854054195e+17,7.69753476859437e+17,7.896689117930127e+17,7.90485163981484e+17,7.909668600868577e+17,7.96346320202113e+17,7.992624710055977e+17,8.328303032406139e+17,83349043.0,8.575750180620657e+17,860077352.0,86367032.0,87152161.0,87172573.0,8.796882147174154e+17,8.898579755646444e+17,89118935.0,90677649.0,911694470.0,9.221146459675853e+17,9.344503611460076e+17,93525639.0,93617861.0,9.554553678357996e+17,962057802.0,969923838.0,97585582.0,976503162.0,978044378.0,98151447.0,984523393.0
1,1015583372.0,0.0,6.0,0.0,12.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,7.0,3.0,16.0,1.0,8.0,7.0,0.0,3.0,0.0,4.0,3.0,4.0,3.0,4.0,8.0,13.0,6.0,11.0,6.0,2.0,18.0,2.0,6.0,4.0,1.0,2.0,5.0,6.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,11.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,7.0,13.0,1.0,5.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,14.0,0.0,17.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,3.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,1.0,21.0,0.0,0.0,7.0,1.0,0.0,4.0,2.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,12.0,7.0,1.0,0.0,19.0,19.0,1.0,0.0,1.0,1.0,12.0,0.0,2.0,0.0,4.0,2.0,0.0,10.0,0.0
2,102753254.0,6.0,0.0,4.0,15.0,3.0,2.0,7.0,11.0,5.0,0.0,29.0,1.0,77.0,0.0,20.0,0.0,4.0,1.0,9.0,1.0,8.0,55.0,15.0,0.0,37.0,19.0,17.0,1.0,13.0,17.0,0.0,3.0,2.0,39.0,6.0,26.0,17.0,7.0,15.0,14.0,21.0,35.0,14.0,57.0,16.0,2.0,17.0,11.0,19.0,17.0,1.0,65.0,7.0,13.0,9.0,2.0,2.0,3.0,1.0,5.0,1.0,10.0,4.0,13.0,0.0,1.0,29.0,5.0,1.0,12.0,0.0,42.0,1.0,0.0,13.0,0.0,5.0,2.0,23.0,1.0,1.0,10.0,10.0,2.0,3.0,1.0,1.0,3.0,0.0,2.0,18.0,9.0,0.0,0.0,7.0,13.0,4.0,0.0,1.0,10.0,3.0,0.0,0.0,1.0,0.0,40.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,24.0,5.0,1.0,4.0,0.0,0.0,2.0,16.0,1.0,2.0,30.0,6.0,0.0,12.0,3.0,17.0,2.0,0.0,7.0,2.0,6.0,6.0,12.0,3.0,2.0,28.0,0.0,53.0,0.0,18.0,0.0,1.0,0.0,1.0,84.0,1.0,8.0,10.0,1.0,10.0,48.0,1.0,20.0,7.0,3.0,0.0,0.0,2.0,44.0,8.0,1.0,117.0,27.0,3.0,7.0,1.0,0.0,38.0,0.0,25.0,0.0,11.0,1.0,1.0,92.0,1.0
3,102955752.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,4.0,1.0,1.0,0.0,3.0,4.0,3.0,0.0,3.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,6.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,8.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,2.0,0.0,0.0,5.0,0.0
4,102977713.0,12.0,15.0,0.0,0.0,16.0,7.0,5.0,5.0,2.0,0.0,6.0,1.0,26.0,0.0,25.0,0.0,4.0,1.0,2.0,4.0,8.0,8.0,2.0,0.0,14.0,6.0,16.0,1.0,13.0,13.0,0.0,8.0,1.0,9.0,13.0,8.0,6.0,14.0,54.0,22.0,11.0,23.0,28.0,4.0,39.0,5.0,6.0,21.0,3.0,6.0,4.0,6.0,4.0,3.0,4.0,4.0,1.0,7.0,2.0,5.0,1.0,28.0,9.0,1.0,0.0,3.0,7.0,2.0,3.0,2.0,1.0,2.0,10.0,0.0,15.0,0.0,4.0,6.0,3.0,4.0,3.0,0.0,12.0,4.0,3.0,1.0,1.0,5.0,2.0,3.0,3.0,27.0,1.0,0.0,13.0,2.0,21.0,0.0,1.0,9.0,1.0,0.0,7.0,4.0,5.0,35.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,7.0,9.0,1.0,3.0,0.0,0.0,3.0,10.0,12.0,4.0,5.0,30.0,0.0,1.0,8.0,36.0,1.0,0.0,32.0,11.0,7.0,28.0,16.0,2.0,0.0,6.0,0.0,15.0,1.0,2.0,1.0,0.0,0.0,2.0,38.0,1.0,2.0,1.0,3.0,1.0,7.0,0.0,5.0,10.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,41.0,14.0,4.0,0.0,2.0,1.0,11.0,0.0,3.0,1.0,11.0,2.0,1.0,30.0,5.0
5,103054538.0,3.0,3.0,1.0,16.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,21.0,0.0,16.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,18.0,1.0,10.0,0.0,0.0,3.0,0.0,5.0,0.0,5.0,4.0,2.0,1.0,4.0,11.0,8.0,1.0,6.0,4.0,2.0,22.0,2.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,8.0,4.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,9.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,22.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,11.0,0.0,1.0,2.0,0.0,1.0,7.0,3.0,1.0,0.0,3.0,6.0,9.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,9.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,5.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,5.0
6,104185680.0,1.0,2.0,0.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,11.0,9.0,4.0,0.0,10.0,2.0,1.0,4.0,2.0,2.0,0.0,4.0,3.0,0.0,2.0,1.0,3.0,10.0,0.0,1.0,1.0,7.0,3.0,1.0,3.0,7.0,7.0,22.0,2.0,4.0,38.0,0.0,12.0,0.0,1.0,8.0,1.0,2.0,3.0,4.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0,4.0,2.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,0.0,6.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,11.0,1.0,0.0,5.0,1.0,1.0,0.0,5.0,6.0,1.0,0.0,3.0,12.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,0.0,1.0,1.0,6.0,1.0,0.0,3.0,5.0,4.0,4.0,3.0,1.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,7.0,3.0,1.0,0.0,10.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,11.0,1.0,1.0,8.0,4.0
7,107413668.0,2.0,7.0,1.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,7.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,1.0,0.0,2.0,4.0,5.0,1.0,5.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,8.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,8.0,0.0,3.0,0.0,1.0,0.0,1.0,11.0,0.0,1.0,2.0,1.0,0.0,7.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,6.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,8.0,0.0
8,1121653332.0,1.0,11.0,0.0,5.0,1.0,1.0,3.0,0.0,3.0,0.0,11.0,1.0,18.0,0.0,8.0,0.0,1.0,0.0,3.0,1.0,4.0,8.0,6.0,0.0,8.0,7.0,2.0,1.0,6.0,2.0,0.0,1.0,1.0,7.0,3.0,11.0,5.0,2.0,2.0,3.0,6.0,11.0,4.0,12.0,3.0,0.0,7.0,3.0,5.0,4.0,1.0,15.0,5.0,4.0,4.0,3.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,12.0,2.0,3.0,5.0,0.0,10.0,1.0,0.0,3.0,0.0,2.0,1.0,5.0,2.0,0.0,3.0,7.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,7.0,4.0,0.0,0.0,4.0,8.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,9.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,10.0,4.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,5.0,1.0,0.0,11.0,0.0,13.0,0.0,3.0,1.0,1.0,0.0,1.0,13.0,1.0,3.0,2.0,0.0,3.0,8.0,0.0,8.0,3.0,1.0,0.0,0.0,1.0,8.0,5.0,1.0,23.0,5.0,2.0,3.0,0.0,0.0,8.0,0.0,7.0,0.0,3.0,1.0,1.0,21.0,0.0
9,1143089766.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,16.0,0.0,6.0,0.0,2.0,0.0,5.0,1.0,3.0,14.0,8.0,0.0,12.0,4.0,1.0,0.0,1.0,9.0,0.0,2.0,0.0,10.0,1.0,5.0,10.0,1.0,0.0,1.0,4.0,11.0,1.0,12.0,5.0,2.0,13.0,0.0,9.0,10.0,1.0,17.0,4.0,7.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0,6.0,2.0,0.0,6.0,0.0,11.0,0.0,1.0,6.0,0.0,2.0,0.0,7.0,3.0,0.0,9.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,13.0,0.0,14.0,0.0,4.0,0.0,2.0,0.0,0.0,16.0,2.0,2.0,7.0,0.0,9.0,14.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,15.0,8.0,0.0,17.0,3.0,1.0,7.0,1.0,0.0,10.0,0.0,9.0,0.0,8.0,0.0,0.0,19.0,0.0
