,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,-1.0,102337715.0,112766423.0,117839377.0,132037287.0,144813520.0,145535500.0,15082546.0,16039871.0,1677481501.0,17481929.0,233494748.0,239921956.0,2471836968.0,257428729.0,2828668212.0,2908960435.0,2963435010.0,3055936540.0,308976598.0,318630676.0,357984828.0,360529443.0,3668038033.0,45137931.0,54605056.0,54634852.0,570480143.0,57758737.0,65885323.0,7.371646034995118e+17,7.488184783421686e+17,7.985348499297567e+17,80590882.0,8.859221013450383e+17,8.898994759210107e+17,893036695.0,9.186822274409923e+17,9.217970420866703e+17,9.441352756214661e+17,9.673253862069248e+17,99355614.0
1,102337715.0,0.0,11.0,34.0,24.0,6.0,2.0,65.0,5.0,3.0,0.0,7.0,3.0,17.0,6.0,1.0,4.0,2.0,3.0,0.0,25.0,12.0,1.0,0.0,5.0,14.0,31.0,7.0,6.0,3.0,24.0,5.0,15.0,23.0,0.0,5.0,0.0,6.0,4.0,1.0,4.0,33.0
2,112766423.0,11.0,0.0,7.0,6.0,12.0,6.0,93.0,5.0,7.0,0.0,18.0,8.0,10.0,2.0,3.0,6.0,7.0,2.0,2.0,22.0,11.0,0.0,0.0,2.0,14.0,33.0,23.0,1.0,16.0,32.0,7.0,12.0,64.0,0.0,6.0,0.0,22.0,11.0,0.0,9.0,54.0
3,117839377.0,34.0,7.0,0.0,22.0,8.0,1.0,62.0,0.0,1.0,0.0,7.0,4.0,12.0,3.0,0.0,3.0,2.0,0.0,1.0,7.0,4.0,0.0,0.0,1.0,8.0,18.0,9.0,2.0,4.0,13.0,4.0,8.0,31.0,0.0,3.0,0.0,7.0,8.0,0.0,6.0,30.0
4,132037287.0,24.0,6.0,22.0,0.0,3.0,2.0,111.0,1.0,2.0,0.0,1.0,6.0,10.0,2.0,0.0,2.0,1.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,8.0,21.0,13.0,1.0,5.0,14.0,3.0,21.0,34.0,0.0,2.0,0.0,6.0,9.0,1.0,2.0,28.0
5,144813520.0,6.0,12.0,8.0,3.0,0.0,0.0,31.0,2.0,4.0,0.0,10.0,1.0,5.0,3.0,2.0,6.0,4.0,1.0,1.0,10.0,3.0,0.0,0.0,2.0,3.0,8.0,2.0,0.0,0.0,13.0,1.0,7.0,19.0,0.0,4.0,0.0,5.0,2.0,0.0,2.0,15.0
6,145535500.0,2.0,6.0,1.0,2.0,0.0,0.0,17.0,2.0,2.0,0.0,6.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,4.0,8.0,3.0,2.0,1.0,6.0,2.0,1.0,8.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,7.0
7,15082546.0,65.0,93.0,62.0,111.0,31.0,17.0,0.0,16.0,27.0,1.0,73.0,25.0,51.0,15.0,14.0,17.0,20.0,9.0,8.0,73.0,23.0,0.0,0.0,5.0,53.0,170.0,81.0,13.0,23.0,131.0,25.0,111.0,245.0,2.0,23.0,0.0,48.0,33.0,1.0,25.0,193.0
8,16039871.0,5.0,5.0,0.0,1.0,2.0,2.0,16.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,4.0,5.0,4.0,0.0,0.0,0.0,3.0,6.0,0.0,3.0,0.0,2.0,0.0,1.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0
9,1677481501.0,3.0,7.0,1.0,2.0,4.0,2.0,27.0,2.0,0.0,0.0,13.0,1.0,13.0,1.0,1.0,0.0,2.0,1.0,1.0,12.0,5.0,1.0,0.0,1.0,4.0,21.0,1.0,1.0,0.0,4.0,2.0,5.0,7.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,16.0
10,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,233494748.0,7.0,18.0,7.0,1.0,10.0,6.0,73.0,2.0,13.0,0.0,0.0,2.0,5.0,2.0,0.0,6.0,10.0,1.0,4.0,19.0,6.0,18.0,0.0,2.0,2.0,29.0,3.0,2.0,1.0,19.0,8.0,8.0,33.0,0.0,5.0,0.0,5.0,4.0,0.0,2.0,32.0
12,239921956.0,3.0,8.0,4.0,6.0,1.0,1.0,25.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,3.0,17.0,16.0,0.0,6.0,11.0,3.0,2.0,18.0,0.0,3.0,0.0,10.0,5.0,0.0,6.0,26.0
13,2471836968.0,17.0,10.0,12.0,10.0,5.0,5.0,51.0,3.0,13.0,0.0,5.0,3.0,0.0,9.0,2.0,4.0,2.0,1.0,0.0,16.0,1.0,1.0,0.0,3.0,9.0,22.0,10.0,0.0,5.0,14.0,3.0,8.0,22.0,0.0,9.0,0.0,7.0,4.0,0.0,4.0,31.0
14,257428729.0,6.0,2.0,3.0,2.0,3.0,0.0,15.0,0.0,1.0,0.0,2.0,0.0,9.0,0.0,2.0,3.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,2.0,7.0,0.0,1.0,1.0,5.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0
15,2828668212.0,1.0,3.0,0.0,0.0,2.0,0.0,14.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
16,2908960435.0,4.0,6.0,3.0,2.0,6.0,1.0,17.0,0.0,0.0,0.0,6.0,4.0,4.0,3.0,0.0,0.0,6.0,0.0,0.0,7.0,3.0,0.0,0.0,1.0,2.0,10.0,6.0,0.0,2.0,10.0,3.0,2.0,13.0,0.0,5.0,0.0,7.0,7.0,0.0,5.0,12.0
17,2963435010.0,2.0,7.0,2.0,1.0,4.0,0.0,20.0,1.0,2.0,0.0,10.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,2.0,9.0,5.0,0.0,0.0,1.0,3.0,11.0,0.0,1.0,0.0,10.0,3.0,1.0,15.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,12.0
18,3055936540.0,3.0,2.0,0.0,1.0,1.0,0.0,9.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,8.0,1.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
19,308976598.0,0.0,2.0,1.0,0.0,1.0,1.0,8.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
20,318630676.0,25.0,22.0,7.0,8.0,10.0,6.0,73.0,5.0,12.0,0.0,19.0,9.0,16.0,4.0,6.0,7.0,9.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,17.0,47.0,11.0,3.0,7.0,27.0,8.0,7.0,35.0,0.0,8.0,0.0,11.0,6.0,0.0,6.0,42.0
