,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,-1.0,1165339370.0,132095682.0,1704023251.0,17481929.0,2170275510.0,22050787.0,225818648.0,2283679898.0,2564768985.0,271542060.0,2752498194.0,2840032710.0,2915729407.0,2926335204.0,2926824199.0,3101812987.0,3132975478.0,3249333984.0,3765315260.0,469439419.0,4777301054.0,482003076.0,4826597332.0,546728031.0,7.140374684929188e+17,7.215815924103619e+17,7.382256443713167e+17,806564502.0,8.105047442842296e+17,813156312.0,8.169220613356216e+17,8.281546385914593e+17,8.286148773464105e+17,8.477938351030108e+17,848807995.0,8.57639700483498e+17,8.858209773885686e+17,8.865801846477783e+17,8.953091393746207e+17,9.228689361185382e+17
1,1165339370.0,0.0,20.0,141.0,0.0,49.0,0.0,4.0,33.0,22.0,11.0,12.0,30.0,18.0,24.0,30.0,13.0,20.0,4.0,218.0,34.0,0.0,41.0,7.0,15.0,1.0,29.0,3.0,51.0,195.0,6.0,40.0,15.0,149.0,139.0,8.0,65.0,31.0,3.0,28.0,6.0
2,132095682.0,20.0,0.0,21.0,0.0,11.0,0.0,6.0,20.0,16.0,9.0,4.0,16.0,11.0,22.0,18.0,5.0,9.0,2.0,29.0,21.0,5.0,10.0,6.0,0.0,1.0,15.0,0.0,33.0,4.0,13.0,14.0,13.0,21.0,27.0,5.0,17.0,8.0,2.0,14.0,9.0
3,1704023251.0,141.0,21.0,0.0,0.0,85.0,0.0,8.0,103.0,90.0,16.0,10.0,90.0,108.0,76.0,86.0,31.0,39.0,12.0,225.0,107.0,1.0,67.0,13.0,12.0,2.0,116.0,3.0,157.0,56.0,18.0,89.0,67.0,202.0,246.0,32.0,86.0,36.0,7.0,77.0,24.0
4,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2170275510.0,49.0,11.0,85.0,0.0,0.0,0.0,10.0,64.0,59.0,10.0,13.0,71.0,66.0,56.0,59.0,18.0,35.0,9.0,150.0,81.0,9.0,43.0,9.0,14.0,1.0,83.0,4.0,98.0,19.0,19.0,72.0,41.0,122.0,146.0,35.0,93.0,38.0,13.0,68.0,20.0
6,22050787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,225818648.0,4.0,6.0,8.0,0.0,10.0,0.0,0.0,12.0,10.0,7.0,0.0,9.0,9.0,13.0,14.0,6.0,0.0,5.0,19.0,15.0,0.0,14.0,9.0,1.0,0.0,10.0,1.0,19.0,3.0,11.0,6.0,8.0,13.0,25.0,6.0,9.0,10.0,1.0,10.0,13.0
8,2283679898.0,33.0,20.0,103.0,0.0,64.0,0.0,12.0,0.0,198.0,43.0,18.0,133.0,137.0,107.0,144.0,61.0,38.0,25.0,185.0,139.0,1.0,131.0,24.0,32.0,8.0,202.0,16.0,215.0,22.0,48.0,105.0,112.0,162.0,200.0,60.0,90.0,36.0,16.0,132.0,46.0
9,2564768985.0,22.0,16.0,90.0,0.0,59.0,0.0,10.0,198.0,0.0,56.0,19.0,155.0,146.0,131.0,228.0,87.0,36.0,41.0,181.0,119.0,0.0,203.0,24.0,20.0,10.0,186.0,6.0,318.0,16.0,88.0,96.0,160.0,169.0,197.0,54.0,84.0,26.0,13.0,146.0,63.0
10,271542060.0,11.0,9.0,16.0,0.0,10.0,0.0,7.0,43.0,56.0,0.0,4.0,55.0,15.0,36.0,56.0,42.0,4.0,23.0,34.0,16.0,0.0,61.0,10.0,3.0,5.0,39.0,1.0,66.0,9.0,16.0,10.0,61.0,25.0,48.0,7.0,12.0,8.0,2.0,37.0,20.0
11,2752498194.0,12.0,4.0,10.0,0.0,13.0,0.0,0.0,18.0,19.0,4.0,0.0,10.0,13.0,12.0,10.0,5.0,7.0,1.0,34.0,13.0,0.0,22.0,2.0,6.0,0.0,20.0,1.0,31.0,7.0,1.0,17.0,6.0,30.0,23.0,4.0,19.0,9.0,3.0,24.0,4.0
12,2840032710.0,30.0,16.0,90.0,0.0,71.0,0.0,9.0,133.0,155.0,55.0,10.0,0.0,113.0,100.0,156.0,93.0,40.0,39.0,182.0,134.0,0.0,122.0,22.0,8.0,10.0,169.0,5.0,207.0,24.0,35.0,94.0,144.0,154.0,213.0,60.0,90.0,50.0,14.0,120.0,53.0
13,2915729407.0,18.0,11.0,108.0,0.0,66.0,0.0,9.0,137.0,146.0,15.0,13.0,113.0,0.0,99.0,101.0,42.0,34.0,18.0,173.0,174.0,2.0,81.0,18.0,18.0,4.0,187.0,7.0,205.0,15.0,22.0,112.0,85.0,165.0,248.0,79.0,77.0,20.0,23.0,101.0,28.0
14,2926335204.0,24.0,22.0,76.0,0.0,56.0,0.0,13.0,107.0,131.0,36.0,12.0,100.0,99.0,0.0,112.0,63.0,26.0,23.0,117.0,121.0,0.0,100.0,23.0,9.0,9.0,101.0,4.0,195.0,7.0,50.0,68.0,73.0,94.0,135.0,39.0,62.0,41.0,11.0,73.0,48.0
15,2926824199.0,30.0,18.0,86.0,0.0,59.0,0.0,14.0,144.0,228.0,56.0,10.0,156.0,101.0,112.0,0.0,96.0,28.0,35.0,140.0,118.0,0.0,145.0,24.0,10.0,9.0,145.0,3.0,270.0,15.0,68.0,75.0,141.0,134.0,175.0,43.0,76.0,51.0,7.0,107.0,51.0
16,3101812987.0,13.0,5.0,31.0,0.0,18.0,0.0,6.0,61.0,87.0,42.0,5.0,93.0,42.0,63.0,96.0,0.0,10.0,47.0,41.0,38.0,0.0,88.0,21.0,2.0,11.0,68.0,1.0,100.0,4.0,29.0,21.0,89.0,51.0,61.0,14.0,18.0,11.0,4.0,71.0,36.0
17,3132975478.0,20.0,9.0,39.0,0.0,35.0,0.0,0.0,38.0,36.0,4.0,7.0,40.0,34.0,26.0,28.0,10.0,0.0,5.0,62.0,42.0,0.0,24.0,2.0,5.0,1.0,48.0,1.0,50.0,12.0,2.0,40.0,30.0,58.0,58.0,24.0,37.0,16.0,7.0,41.0,6.0
18,3249333984.0,4.0,2.0,12.0,0.0,9.0,0.0,5.0,25.0,41.0,23.0,1.0,39.0,18.0,23.0,35.0,47.0,5.0,0.0,16.0,13.0,0.0,38.0,14.0,2.0,10.0,32.0,1.0,37.0,0.0,10.0,7.0,36.0,16.0,24.0,6.0,7.0,5.0,2.0,35.0,24.0
19,3765315260.0,218.0,29.0,225.0,0.0,150.0,0.0,19.0,185.0,181.0,34.0,34.0,182.0,173.0,117.0,140.0,41.0,62.0,16.0,0.0,186.0,3.0,123.0,14.0,34.0,2.0,228.0,9.0,285.0,102.0,32.0,173.0,113.0,386.0,459.0,77.0,200.0,85.0,23.0,147.0,40.0
20,469439419.0,34.0,21.0,107.0,0.0,81.0,0.0,15.0,139.0,119.0,16.0,13.0,134.0,174.0,121.0,118.0,38.0,42.0,13.0,186.0,0.0,0.0,72.0,17.0,11.0,1.0,170.0,6.0,260.0,18.0,35.0,114.0,87.0,174.0,241.0,85.0,97.0,39.0,27.0,89.0,31.0
21,4777301054.0,0.0,5.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
22,482003076.0,41.0,10.0,67.0,0.0,43.0,0.0,14.0,131.0,203.0,61.0,22.0,122.0,81.0,100.0,145.0,88.0,24.0,38.0,123.0,72.0,1.0,0.0,34.0,21.0,11.0,112.0,7.0,205.0,19.0,65.0,55.0,121.0,120.0,131.0,35.0,60.0,29.0,10.0,107.0,51.0
23,4826597332.0,7.0,6.0,13.0,0.0,9.0,0.0,9.0,24.0,24.0,10.0,2.0,22.0,18.0,23.0,24.0,21.0,2.0,14.0,14.0,17.0,0.0,34.0,0.0,1.0,6.0,23.0,1.0,28.0,4.0,13.0,8.0,19.0,20.0,19.0,6.0,13.0,6.0,2.0,25.0,19.0
24,546728031.0,15.0,0.0,12.0,0.0,14.0,0.0,1.0,32.0,20.0,3.0,6.0,8.0,18.0,9.0,10.0,2.0,5.0,2.0,34.0,11.0,17.0,21.0,1.0,0.0,0.0,60.0,20.0,25.0,3.0,6.0,22.0,7.0,26.0,42.0,8.0,17.0,1.0,3.0,27.0,7.0
25,7.140374684929188e+17,1.0,1.0,2.0,0.0,1.0,0.0,0.0,8.0,10.0,5.0,0.0,10.0,4.0,9.0,9.0,11.0,1.0,10.0,2.0,1.0,0.0,11.0,6.0,0.0,0.0,7.0,0.0,9.0,0.0,5.0,1.0,11.0,4.0,5.0,1.0,1.0,0.0,0.0,11.0,6.0
26,7.215815924103619e+17,29.0,15.0,116.0,0.0,83.0,0.0,10.0,202.0,186.0,39.0,20.0,169.0,187.0,101.0,145.0,68.0,48.0,32.0,228.0,170.0,0.0,112.0,23.0,60.0,7.0,0.0,30.0,226.0,17.0,35.0,134.0,135.0,197.0,268.0,82.0,103.0,33.0,22.0,154.0,45.0
27,7.382256443713167e+17,3.0,0.0,3.0,0.0,4.0,0.0,1.0,16.0,6.0,1.0,1.0,5.0,7.0,4.0,3.0,1.0,1.0,1.0,9.0,6.0,0.0,7.0,1.0,20.0,0.0,30.0,0.0,10.0,0.0,1.0,3.0,6.0,10.0,9.0,7.0,3.0,1.0,4.0,11.0,1.0
28,806564502.0,51.0,33.0,157.0,0.0,98.0,0.0,19.0,215.0,318.0,66.0,31.0,207.0,205.0,195.0,270.0,100.0,50.0,37.0,285.0,260.0,1.0,205.0,28.0,25.0,9.0,226.0,10.0,0.0,27.0,95.0,136.0,185.0,218.0,369.0,79.0,122.0,62.0,24.0,170.0,64.0
29,8.105047442842296e+17,195.0,4.0,56.0,0.0,19.0,0.0,3.0,22.0,16.0,9.0,7.0,24.0,15.0,7.0,15.0,4.0,12.0,0.0,102.0,18.0,0.0,19.0,4.0,3.0,0.0,17.0,0.0,27.0,0.0,4.0,16.0,11.0,84.0,63.0,9.0,26.0,18.0,5.0,11.0,6.0
30,813156312.0,6.0,13.0,18.0,0.0,19.0,0.0,11.0,48.0,88.0,16.0,1.0,35.0,22.0,50.0,68.0,29.0,2.0,10.0,32.0,35.0,0.0,65.0,13.0,6.0,5.0,35.0,1.0,95.0,4.0,0.0,14.0,44.0,25.0,37.0,8.0,14.0,12.0,2.0,30.0,29.0
31,8.169220613356216e+17,40.0,14.0,89.0,0.0,72.0,0.0,6.0,105.0,96.0,10.0,17.0,94.0,112.0,68.0,75.0,21.0,40.0,7.0,173.0,114.0,5.0,55.0,8.0,22.0,1.0,134.0,3.0,136.0,16.0,14.0,0.0,59.0,145.0,182.0,54.0,105.0,14.0,10.0,79.0,20.0
32,8.281546385914593e+17,15.0,13.0,67.0,0.0,41.0,0.0,8.0,112.0,160.0,61.0,6.0,144.0,85.0,73.0,141.0,89.0,30.0,36.0,113.0,87.0,0.0,121.0,19.0,7.0,11.0,135.0,6.0,185.0,11.0,44.0,59.0,0.0,114.0,145.0,39.0,46.0,28.0,12.0,98.0,39.0
33,8.286148773464105e+17,149.0,21.0,202.0,0.0,122.0,0.0,13.0,162.0,169.0,25.0,30.0,154.0,165.0,94.0,134.0,51.0,58.0,16.0,386.0,174.0,2.0,120.0,20.0,26.0,4.0,197.0,10.0,218.0,84.0,25.0,145.0,114.0,0.0,372.0,77.0,156.0,59.0,20.0,128.0,46.0
34,8.477938351030108e+17,139.0,27.0,246.0,0.0,146.0,0.0,25.0,200.0,197.0,48.0,23.0,213.0,248.0,135.0,175.0,61.0,58.0,24.0,459.0,241.0,4.0,131.0,19.0,42.0,5.0,268.0,9.0,369.0,63.0,37.0,182.0,145.0,372.0,0.0,76.0,172.0,72.0,22.0,167.0,49.0
35,848807995.0,8.0,5.0,32.0,0.0,35.0,0.0,6.0,60.0,54.0,7.0,4.0,60.0,79.0,39.0,43.0,14.0,24.0,6.0,77.0,85.0,0.0,35.0,6.0,8.0,1.0,82.0,7.0,79.0,9.0,8.0,54.0,39.0,77.0,76.0,0.0,46.0,15.0,21.0,52.0,13.0
36,8.57639700483498e+17,65.0,17.0,86.0,0.0,93.0,0.0,9.0,90.0,84.0,12.0,19.0,90.0,77.0,62.0,76.0,18.0,37.0,7.0,200.0,97.0,0.0,60.0,13.0,17.0,1.0,103.0,3.0,122.0,26.0,14.0,105.0,46.0,156.0,172.0,46.0,0.0,47.0,17.0,85.0,22.0
37,8.858209773885686e+17,31.0,8.0,36.0,0.0,38.0,0.0,10.0,36.0,26.0,8.0,9.0,50.0,20.0,41.0,51.0,11.0,16.0,5.0,85.0,39.0,0.0,29.0,6.0,1.0,0.0,33.0,1.0,62.0,18.0,12.0,14.0,28.0,59.0,72.0,15.0,47.0,0.0,18.0,32.0,16.0
38,8.865801846477783e+17,3.0,2.0,7.0,0.0,13.0,0.0,1.0,16.0,13.0,2.0,3.0,14.0,23.0,11.0,7.0,4.0,7.0,2.0,23.0,27.0,0.0,10.0,2.0,3.0,0.0,22.0,4.0,24.0,5.0,2.0,10.0,12.0,20.0,22.0,21.0,17.0,18.0,0.0,15.0,3.0
39,8.953091393746207e+17,28.0,14.0,77.0,0.0,68.0,0.0,10.0,132.0,146.0,37.0,24.0,120.0,101.0,73.0,107.0,71.0,41.0,35.0,147.0,89.0,0.0,107.0,25.0,27.0,11.0,154.0,11.0,170.0,11.0,30.0,79.0,98.0,128.0,167.0,52.0,85.0,32.0,15.0,0.0,47.0
40,9.228689361185382e+17,6.0,9.0,24.0,0.0,20.0,0.0,13.0,46.0,63.0,20.0,4.0,53.0,28.0,48.0,51.0,36.0,6.0,24.0,40.0,31.0,0.0,51.0,19.0,7.0,6.0,45.0,1.0,64.0,6.0,29.0,20.0,39.0,46.0,49.0,13.0,22.0,16.0,3.0,47.0,0.0
