,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,-1.0,119731714.0,122949035.0,1311500713.0,131881172.0,133181241.0,1356673687.0,135803317.0,137642660.0,14216583.0,147871831.0,15583992.0,162031876.0,164493626.0,164958548.0,1651092140.0,1666288112.0,166855560.0,173338012.0,187196080.0,1951177484.0,221230073.0,223415493.0,236870463.0,2389257901.0,240054450.0,2553817934.0,256865363.0,261323160.0,283143017.0,2835865765.0,284867370.0,286625089.0,297846849.0,3155484370.0,3269633514.0,3299791117.0,3306087703.0,333948601.0,3352983190.0,3389726902.0,376622201.0,380840065.0,382527275.0,395940079.0,415592659.0,415655533.0,4415611873.0,457197303.0,488879471.0,569195664.0,59146843.0,59399169.0,6222502.0,636690842.0,65644622.0,708234968.0,723407058.0,7.463468283254907e+17,76327953.0,861912342.0
1,119731714.0,0.0,32.0,22.0,14.0,18.0,5.0,72.0,7.0,21.0,21.0,34.0,73.0,1.0,57.0,59.0,0.0,59.0,37.0,12.0,7.0,93.0,45.0,6.0,0.0,19.0,168.0,110.0,36.0,1.0,3.0,4.0,0.0,1.0,0.0,2.0,14.0,2.0,23.0,39.0,1.0,5.0,3.0,0.0,0.0,0.0,53.0,49.0,86.0,2.0,20.0,166.0,104.0,8.0,2.0,6.0,4.0,1.0,265.0,0.0,5.0
2,122949035.0,32.0,0.0,1.0,5.0,0.0,0.0,15.0,5.0,0.0,2.0,4.0,25.0,0.0,7.0,34.0,0.0,16.0,7.0,12.0,0.0,32.0,26.0,0.0,0.0,14.0,41.0,32.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,3.0,6.0,0.0,0.0,12.0,39.0,0.0,1.0,0.0,0.0,1.0,60.0,0.0,1.0
3,1311500713.0,22.0,1.0,0.0,0.0,5.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,0.0,11.0,3.0,0.0,8.0,34.0,1.0,2.0,11.0,2.0,1.0,0.0,12.0,13.0,16.0,5.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,16.0,9.0,0.0,9.0,24.0,9.0,1.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0
4,131881172.0,14.0,5.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,2.0,13.0,0.0,4.0,13.0,0.0,4.0,0.0,1.0,0.0,7.0,3.0,0.0,0.0,3.0,18.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,18.0,11.0,0.0,3.0,0.0,0.0,1.0,24.0,0.0,0.0
5,133181241.0,18.0,0.0,5.0,0.0,0.0,1.0,5.0,1.0,3.0,4.0,6.0,5.0,0.0,11.0,2.0,0.0,7.0,5.0,2.0,3.0,8.0,3.0,0.0,0.0,4.0,12.0,11.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,10.0,2.0,4.0,13.0,8.0,1.0,0.0,2.0,1.0,0.0,18.0,0.0,0.0
6,1356673687.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,7.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,6.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0
7,135803317.0,72.0,15.0,2.0,15.0,5.0,0.0,0.0,2.0,3.0,18.0,11.0,43.0,0.0,17.0,40.0,0.0,31.0,4.0,5.0,1.0,32.0,20.0,1.0,0.0,13.0,112.0,32.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,30.0,0.0,1.0,81.0,39.0,1.0,9.0,1.0,0.0,1.0,201.0,0.0,0.0
8,137642660.0,7.0,5.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0,0.0,8.0,3.0,0.0,4.0,3.0,1.0,0.0,6.0,7.0,0.0,0.0,1.0,8.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
9,14216583.0,21.0,0.0,3.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,10.0,5.0,0.0,14.0,0.0,0.0,9.0,5.0,2.0,1.0,12.0,1.0,1.0,0.0,1.0,14.0,6.0,4.0,8.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,9.0,12.0,0.0,10.0,27.0,7.0,5.0,0.0,5.0,5.0,0.0,11.0,0.0,0.0
