,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0,-1.0,1006821942.0,104380453.0,1082147419.0,130307355.0,132095682.0,1456367005.0,1543161900.0,16401501.0,17481929.0,2197757270.0,241081044.0,269978757.0,2846362532.0,2889460490.0,2985478597.0,3018000188.0,3126889155.0,3229710585.0,3259921692.0,3313615699.0,3425184941.0,427819419.0,438142822.0,464391387.0,469439419.0,4777301054.0,48626994.0,486339595.0,525811990.0,536637306.0,558721586.0,7.097239205139374e+17,7.399879963052974e+17,7.852951984232817e+17,8.202752320573481e+17,8.336860175886172e+17,8.56836808319144e+17,8.795290616382095e+17,89870136.0,9.040182692327834e+17,9.067602211957678e+17,9.224864511361065e+17,9.369793305209242e+17,9.409214583347364e+17,9.511165160694907e+17,9.51372431456813e+17
1,1006821942.0,0.0,117.0,14.0,87.0,9.0,13.0,160.0,18.0,0.0,15.0,20.0,47.0,54.0,105.0,186.0,65.0,62.0,26.0,25.0,8.0,1.0,34.0,6.0,21.0,62.0,4.0,87.0,50.0,29.0,0.0,0.0,88.0,64.0,45.0,25.0,47.0,26.0,72.0,0.0,53.0,76.0,1.0,47.0,55.0,31.0,3.0
2,104380453.0,117.0,0.0,13.0,67.0,13.0,16.0,156.0,9.0,0.0,7.0,9.0,43.0,70.0,132.0,187.0,76.0,53.0,32.0,33.0,10.0,2.0,28.0,7.0,5.0,96.0,4.0,47.0,32.0,8.0,0.0,0.0,119.0,82.0,43.0,31.0,24.0,25.0,82.0,0.0,47.0,104.0,1.0,52.0,71.0,44.0,5.0
3,1082147419.0,14.0,13.0,0.0,7.0,3.0,3.0,15.0,2.0,0.0,0.0,0.0,3.0,52.0,13.0,17.0,8.0,5.0,4.0,8.0,5.0,1.0,2.0,2.0,0.0,11.0,0.0,3.0,2.0,1.0,0.0,0.0,13.0,11.0,7.0,5.0,25.0,8.0,12.0,0.0,8.0,12.0,0.0,6.0,10.0,17.0,0.0
4,130307355.0,87.0,67.0,7.0,0.0,10.0,8.0,140.0,20.0,0.0,19.0,42.0,20.0,40.0,85.0,150.0,79.0,41.0,25.0,16.0,9.0,3.0,22.0,7.0,12.0,57.0,7.0,93.0,28.0,12.0,1.0,3.0,84.0,45.0,24.0,20.0,11.0,24.0,68.0,0.0,35.0,61.0,1.0,41.0,44.0,31.0,3.0
5,132095682.0,9.0,13.0,3.0,10.0,0.0,4.0,29.0,0.0,0.0,2.0,2.0,1.0,13.0,21.0,31.0,31.0,6.0,5.0,12.0,1.0,0.0,1.0,2.0,0.0,21.0,5.0,41.0,38.0,0.0,0.0,0.0,28.0,14.0,14.0,6.0,2.0,13.0,19.0,0.0,9.0,13.0,1.0,14.0,14.0,5.0,1.0
6,1456367005.0,13.0,16.0,3.0,8.0,4.0,0.0,28.0,1.0,0.0,1.0,3.0,5.0,18.0,171.0,87.0,24.0,12.0,14.0,12.0,5.0,2.0,3.0,5.0,0.0,58.0,0.0,9.0,4.0,0.0,0.0,2.0,41.0,103.0,87.0,7.0,7.0,13.0,36.0,0.0,17.0,16.0,9.0,32.0,60.0,8.0,122.0
7,1543161900.0,160.0,156.0,15.0,140.0,29.0,28.0,0.0,12.0,0.0,7.0,32.0,49.0,111.0,295.0,511.0,254.0,124.0,74.0,66.0,14.0,3.0,31.0,8.0,11.0,222.0,5.0,79.0,71.0,8.0,0.0,2.0,351.0,149.0,111.0,62.0,31.0,52.0,193.0,0.0,88.0,243.0,4.0,112.0,168.0,72.0,9.0
8,16401501.0,18.0,9.0,2.0,20.0,0.0,1.0,12.0,0.0,0.0,11.0,7.0,3.0,2.0,4.0,21.0,8.0,3.0,3.0,2.0,2.0,1.0,6.0,2.0,12.0,2.0,3.0,48.0,19.0,9.0,1.0,2.0,5.0,3.0,1.0,3.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,1.0,2.0,5.0,0.0
9,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
