,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0,-1.0,1015079670.0,103487672.0,104394980.0,106389093.0,106796508.0,112554920.0,113009001.0,11430852.0,115971355.0,118625499.0,13011962.0,140402241.0,142236685.0,145622254.0,15699715.0,162655265.0,166861881.0,16997713.0,174495295.0,18107797.0,18474634.0,19056173.0,19657658.0,198408234.0,20560375.0,207678880.0,21074453.0,2188562551.0,22498399.0,2284771098.0,2346070063.0,236484049.0,237589260.0,2377511708.0,2411092116.0,243624839.0,245743101.0,26008098.0,261079912.0,266122654.0,266584374.0,26981507.0,281120252.0,28998607.0,29210745.0,300872627.0,3179338645.0,324773877.0,332924830.0,375107482.0,3880836265.0,39711148.0,405528120.0,408348174.0,41073393.0,441618130.0,44188505.0,44885763.0,449777937.0,453603539.0,455092249.0,470215245.0,47851089.0,48416262.0,5202411.0,53432370.0,559353681.0,57102938.0,58666078.0,605255836.0,61126219.0,615114229.0,65298215.0,76337840.0,77162533.0,8.101486450644828e+17,82041060.0,90685689.0,940683308.0,947363389.0,98175911.0
1,1015079670.0,0.0,8.0,1.0,1.0,0.0,2.0,2.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,3.0,6.0,2.0,1.0,5.0,3.0,0.0,0.0,5.0,1.0,1.0,3.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,3.0,2.0,1.0,10.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,1.0,0.0,2.0,5.0,0.0
2,103487672.0,8.0,0.0,17.0,55.0,20.0,3.0,62.0,28.0,5.0,1.0,23.0,55.0,1.0,71.0,4.0,43.0,27.0,4.0,2.0,7.0,2.0,19.0,11.0,26.0,2.0,12.0,34.0,0.0,19.0,21.0,8.0,1.0,7.0,6.0,0.0,40.0,26.0,37.0,106.0,1.0,0.0,5.0,3.0,12.0,9.0,19.0,1.0,2.0,28.0,3.0,16.0,0.0,6.0,18.0,9.0,83.0,0.0,4.0,1.0,1.0,0.0,3.0,32.0,0.0,205.0,5.0,8.0,2.0,13.0,0.0,0.0,3.0,8.0,37.0,50.0,4.0,4.0,20.0,2.0,14.0,9.0
3,104394980.0,1.0,17.0,0.0,14.0,8.0,2.0,27.0,13.0,1.0,1.0,5.0,20.0,4.0,33.0,1.0,15.0,18.0,0.0,0.0,1.0,1.0,30.0,1.0,10.0,2.0,1.0,18.0,0.0,19.0,8.0,5.0,1.0,0.0,1.0,0.0,6.0,22.0,11.0,38.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,19.0,0.0,1.0,0.0,0.0,0.0,2.0,58.0,0.0,53.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,43.0,16.0,0.0,0.0,7.0,1.0,1.0,0.0
4,106389093.0,1.0,55.0,14.0,0.0,24.0,0.0,51.0,18.0,6.0,1.0,10.0,34.0,1.0,97.0,0.0,37.0,26.0,0.0,0.0,1.0,1.0,10.0,1.0,17.0,1.0,1.0,15.0,0.0,17.0,8.0,4.0,1.0,0.0,0.0,0.0,14.0,14.0,24.0,78.0,1.0,2.0,5.0,0.0,1.0,1.0,13.0,0.0,0.0,11.0,0.0,40.0,0.0,0.0,1.0,0.0,42.0,0.0,5.0,0.0,0.0,0.0,1.0,19.0,0.0,139.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,28.0,17.0,3.0,2.0,24.0,1.0,1.0,1.0
5,106796508.0,0.0,20.0,8.0,24.0,0.0,1.0,16.0,8.0,0.0,0.0,2.0,16.0,1.0,54.0,0.0,28.0,43.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,9.0,0.0,17.0,38.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,28.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,18.0,0.0,2.0,6.0,0.0,0.0,0.0
6,112554920.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,32.0,5.0,0.0,15.0,7.0,5.0,4.0,13.0,3.0,2.0,13.0,1.0,6.0,2.0,7.0,9.0,2.0,2.0,4.0,6.0,1.0,2.0,4.0,0.0,0.0,6.0,7.0,0.0,0.0,11.0,4.0,1.0,0.0,0.0,5.0,3.0,6.0,3.0,0.0,10.0,1.0,3.0,0.0,0.0,0.0,1.0,6.0,11.0,0.0,0.0,7.0,0.0,7.0,1.0,3.0,7.0,1.0,33.0,2.0,9.0,1.0,15.0,0.0,0.0,4.0,3.0,9.0,19.0,0.0,1.0,1.0,1.0,1.0,0.0
7,113009001.0,2.0,62.0,27.0,51.0,16.0,1.0,0.0,39.0,4.0,1.0,35.0,40.0,6.0,77.0,1.0,44.0,23.0,1.0,2.0,5.0,1.0,27.0,1.0,20.0,1.0,5.0,35.0,0.0,34.0,14.0,2.0,1.0,1.0,2.0,0.0,16.0,19.0,26.0,113.0,1.0,0.0,6.0,0.0,7.0,1.0,8.0,0.0,1.0,18.0,0.0,6.0,2.0,0.0,2.0,3.0,52.0,0.0,4.0,0.0,0.0,7.0,1.0,73.0,0.0,189.0,1.0,9.0,1.0,6.0,0.0,0.0,0.0,1.0,49.0,22.0,1.0,1.0,26.0,2.0,2.0,4.0
8,11430852.0,5.0,28.0,13.0,18.0,8.0,32.0,39.0,0.0,8.0,1.0,184.0,37.0,8.0,91.0,30.0,26.0,13.0,10.0,1.0,4.0,6.0,42.0,12.0,94.0,22.0,8.0,61.0,1.0,66.0,12.0,3.0,1.0,7.0,12.0,3.0,5.0,25.0,16.0,37.0,2.0,0.0,11.0,15.0,16.0,3.0,5.0,4.0,0.0,6.0,0.0,0.0,1.0,2.0,21.0,17.0,30.0,1.0,15.0,0.0,4.0,2.0,7.0,93.0,0.0,464.0,5.0,21.0,1.0,48.0,0.0,0.0,0.0,3.0,43.0,56.0,0.0,2.0,27.0,5.0,13.0,2.0
9,115971355.0,2.0,5.0,1.0,6.0,0.0,5.0,4.0,8.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,10.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,7.0,2.0,0.0,6.0,10.0,128.0,0.0,19.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,8.0,4.0,1.0,0.0,40.0,5.0,0.0,0.0,2.0,1.0,0.0,63.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,8.0,1.0,15.0,0.0,1.0,3.0,2.0,3.0,0.0
