,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,-1.0,1011332575.0,106051500.0,108503059.0,115358600.0,116161933.0,129049230.0,133429220.0,135527156.0,1355911435.0,14737210.0,1495315844.0,150184763.0,1644676231.0,1648151143.0,168745742.0,172599639.0,178284543.0,179874576.0,212725990.0,2191192088.0,224901514.0,228599737.0,2350645098.0,2457546360.0,2465355172.0,247719180.0,2517223020.0,2541419474.0,25600670.0,2601661086.0,266994576.0,2704055222.0,277311420.0,278165801.0,285606169.0,28562728.0,29939679.0,307743836.0,310133778.0,3121961915.0,313873444.0,314301830.0,3269872718.0,3392343974.0,3398933163.0,344054681.0,349150207.0,358604218.0,3814583239.0,382065012.0,3896042301.0,3969784693.0,4015524259.0,437114540.0,443385609.0,45370250.0,468002992.0,4713447812.0,48747909.0,50965682.0,52981826.0,533069616.0,53718666.0,54264791.0,55066036.0,605219768.0,614884676.0,66461969.0,7.092349539056845e+17,7.372988625623777e+17,754317498.0,7.608427938120581e+17,7.654859484193096e+17,770608154.0,793116961.0,8.025056804732273e+17,806758861.0,8.229100306136064e+17,82827509.0,8.380946564036157e+17,8.499361420152422e+17,8.529628633249096e+17,867462294.0,947336108.0
1,1011332575.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,16.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
2,106051500.0,0.0,0.0,33.0,1.0,1.0,6.0,1.0,13.0,7.0,1.0,0.0,8.0,2.0,0.0,3.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,37.0,0.0,4.0,3.0,0.0,1.0,4.0,0.0,4.0,0.0,8.0,1.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,4.0,7.0,1.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
3,108503059.0,0.0,33.0,0.0,7.0,2.0,17.0,1.0,76.0,31.0,5.0,5.0,35.0,7.0,0.0,2.0,0.0,44.0,8.0,3.0,11.0,5.0,0.0,134.0,2.0,22.0,5.0,0.0,3.0,33.0,0.0,3.0,0.0,49.0,2.0,2.0,8.0,1.0,25.0,13.0,1.0,3.0,11.0,2.0,1.0,2.0,1.0,0.0,6.0,20.0,7.0,0.0,11.0,5.0,0.0,1.0,0.0,3.0,2.0,8.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,6.0,0.0,0.0,0.0,35.0,0.0,0.0,25.0,3.0,2.0,16.0,1.0,2.0,2.0,0.0,7.0,6.0,0.0
4,115358600.0,0.0,1.0,7.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,6.0,3.0,2.0,1.0,1.0,0.0,4.0,0.0,120.0,19.0,0.0,0.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,1.0,2.0,0.0,27.0,10.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,71.0,0.0,0.0,27.0,2.0,0.0,1.0,0.0,7.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0
5,116161933.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,4.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,4.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
6,129049230.0,1.0,6.0,17.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,18.0,1.0,0.0,7.0,0.0,0.0,22.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,12.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0
7,133429220.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,135527156.0,0.0,13.0,76.0,4.0,1.0,7.0,1.0,0.0,23.0,1.0,0.0,26.0,4.0,0.0,2.0,0.0,13.0,3.0,0.0,9.0,1.0,0.0,90.0,0.0,8.0,3.0,0.0,1.0,16.0,0.0,1.0,0.0,26.0,1.0,0.0,3.0,0.0,8.0,9.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,15.0,6.0,0.0,6.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,32.0,0.0,0.0,4.0,4.0,1.0,6.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0
9,1355911435.0,0.0,7.0,31.0,0.0,1.0,4.0,1.0,23.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,50.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,21.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,13.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,14737210.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,10.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,13.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,15.0,0.0,1.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
