,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
0,-1.0,1013407700.0,1016369353.0,102008123.0,10453122.0,105357226.0,105452353.0,106389093.0,107630503.0,110400856.0,110582398.0,112430335.0,11430852.0,114380662.0,114770823.0,115033932.0,1169713441.0,1205427770.0,123150941.0,1318716902.0,1336646257.0,1356673687.0,139888796.0,1438089324.0,145622254.0,146825359.0,147525488.0,14834066.0,15128600.0,153416602.0,1549740445.0,15619554.0,158031928.0,166861881.0,1673941226.0,175333969.0,184313108.0,18951775.0,193227879.0,197418745.0,19751816.0,203646787.0,211822624.0,21277732.0,219537090.0,219718378.0,222755862.0,2284771098.0,23332279.0,234459535.0,23567737.0,2364531646.0,236870463.0,23870783.0,25605258.0,266083144.0,26981507.0,27581795.0,277497598.0,27766639.0,283676737.0,2843552502.0,287738539.0,2888795928.0,289732963.0,29210745.0,2936904459.0,294731149.0,2952850334.0,297981922.0,2984943113.0,300454931.0,3158598644.0,3167488895.0,321908610.0,32810761.0,3316409420.0,334505824.0,337600534.0,33884350.0,3398398504.0,34397968.0,3439959853.0,375747500.0,378294105.0,380935436.0,391373728.0,415423628.0,43075191.0,431241041.0,44188505.0,44982198.0,453603539.0,4618970054.0,464640789.0,47083934.0,48416262.0,484868106.0,49310742.0,49790325.0,500841006.0,51687906.0,518629939.0,522776320.0,532906117.0,54585605.0,55456186.0,56054692.0,561341932.0,581693046.0,58835316.0,59015952.0,60466670.0,60608464.0,614200684.0,629527117.0,63357258.0,63380894.0,64211462.0,65042593.0,65916370.0,67205874.0,70119061.0,76678133.0,77520607.0,77779688.0,7.853775450887414e+17,81296066.0,824740333.0,82572833.0,855477379.0,85729859.0,8.685445418500915e+17,87481727.0,87617355.0,878197969.0,88398187.0,886606506.0,905065902.0,91359788.0,9.213545958252134e+17,9.281940914220605e+17,9.3038540547149e+17,9.39430082602451e+17,940683308.0
1,1013407700.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2,1016369353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3,102008123.0,1.0,0.0,0.0,1.0,9.0,5.0,34.0,0.0,0.0,19.0,1.0,34.0,0.0,0.0,6.0,3.0,0.0,10.0,0.0,24.0,5.0,4.0,7.0,33.0,25.0,9.0,13.0,0.0,2.0,3.0,13.0,3.0,21.0,8.0,1.0,1.0,7.0,2.0,1.0,2.0,14.0,1.0,7.0,4.0,31.0,39.0,14.0,2.0,1.0,0.0,3.0,20.0,12.0,6.0,3.0,3.0,4.0,0.0,9.0,0.0,0.0,0.0,20.0,0.0,5.0,0.0,6.0,1.0,5.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,8.0,7.0,0.0,7.0,4.0,0.0,3.0,43.0,0.0,4.0,16.0,1.0,0.0,3.0,0.0,7.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,8.0,11.0,1.0,2.0,3.0,13.0,6.0,1.0,0.0,35.0,8.0,0.0,17.0,3.0,4.0,4.0,24.0,1.0,4.0,10.0,7.0,11.0,5.0,6.0,2.0,0.0,14.0,0.0,29.0,6.0,34.0,0.0,21.0,0.0,5.0,8.0,4.0,0.0,22.0,0.0,42.0,0.0,0.0,2.0
4,10453122.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
5,105357226.0,0.0,0.0,9.0,0.0,0.0,1.0,42.0,0.0,0.0,22.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,11.0,7.0,0.0,0.0,81.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,43.0,4.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,68.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,23.0,7.0,3.0,0.0,0.0,1.0,0.0,9.0,1.0,14.0,0.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0,0.0,0.0
6,105452353.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,2.0,3.0,2.0,11.0,0.0,1.0,3.0,5.0,6.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,1.0,1.0,3.0,0.0,2.0,4.0,1.0,0.0,4.0,9.0,0.0,2.0,1.0,20.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,5.0,2.0,0.0,4.0,0.0,1.0,5.0,1.0,0.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0
7,106389093.0,0.0,0.0,34.0,0.0,42.0,1.0,0.0,0.0,0.0,43.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,21.0,8.0,0.0,1.0,96.0,16.0,1.0,1.0,0.0,1.0,0.0,11.0,1.0,26.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,18.0,50.0,8.0,0.0,0.0,0.0,0.0,41.0,0.0,1.0,0.0,5.0,1.0,0.0,13.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,5.0,0.0,1.0,65.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,23.0,5.0,5.0,0.0,1.0,0.0,3.0,19.0,0.0,22.0,0.0,19.0,0.0,31.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,18.0,0.0,2.0,1.0
8,107630503.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,110400856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
