,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,-1.0,101726481.0,102008123.0,103941857.0,106389093.0,112430335.0,11430852.0,114734484.0,115033932.0,1205427770.0,123150941.0,1243105771.0,13011962.0,133266751.0,1336646257.0,135493089.0,1377680982.0,138365858.0,1406614448.0,142591282.0,14421065.0,145622254.0,147525488.0,153416602.0,153619534.0,158031928.0,166861881.0,175333969.0,184313108.0,187589679.0,19720329.0,200020891.0,20090208.0,20133907.0,204225029.0,20560375.0,208885112.0,2156801630.0,219537090.0,219718378.0,2284771098.0,230735373.0,236870463.0,242668546.0,24873028.0,251515819.0,25605258.0,256455266.0,266083144.0,267016611.0,268317263.0,26981507.0,279514253.0,279854362.0,28149588.0,283136402.0,2856260563.0,2857864898.0,287071663.0,29153853.0,29210745.0,292772945.0,2943117608.0,297001922.0,300872627.0,303163414.0,3059830284.0,3158598644.0,3167488895.0,3192448182.0,3220240106.0,3258778854.0,3278559661.0,32810761.0,3308717826.0,334505824.0,33884350.0,341220384.0,34577897.0,358687439.0,36641694.0,378294105.0,3791121015.0,386610886.0,39711148.0,41686937.0,4244934440.0,43871815.0,441829446.0,44188505.0,4666975513.0,48416262.0,486504731.0,49310742.0,53099867.0,536164435.0,559834285.0,574350834.0,575478512.0,578770422.0,581693046.0,61749117.0,629071876.0,65916370.0,68401474.0,7.159481169738916e+17,71834922.0,72406929.0,728264652.0,74688432.0,76603196.0,7.705259466799227e+17,7.749593155766927e+17,7.83852909586899e+17,7.866167638656287e+17,81765664.0,8.393191625560515e+17,8.424190615605658e+17,85075631.0,8.685445418500915e+17,8.705683634031002e+17,878197969.0,905065902.0,91359788.0,9.220787710285414e+17,98175911.0
1,101726481.0,0.0,28.0,31.0,24.0,0.0,12.0,16.0,3.0,2.0,4.0,7.0,16.0,15.0,16.0,7.0,8.0,3.0,2.0,0.0,4.0,25.0,5.0,2.0,0.0,4.0,22.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,15.0,2.0,29.0,6.0,5.0,19.0,16.0,0.0,24.0,10.0,2.0,27.0,5.0,12.0,3.0,45.0,8.0,1.0,2.0,8.0,6.0,17.0,5.0,26.0,12.0,1.0,2.0,0.0,0.0,5.0,11.0,0.0,11.0,0.0,0.0,8.0,12.0,21.0,6.0,0.0,26.0,0.0,2.0,4.0,12.0,23.0,3.0,2.0,2.0,13.0,0.0,4.0,8.0,13.0,0.0,0.0,11.0,0.0,1.0,0.0,21.0,34.0,0.0,3.0,17.0,3.0,0.0,24.0,9.0,5.0,0.0,3.0,27.0,17.0,11.0,7.0,0.0,8.0,35.0,26.0,12.0,35.0,10.0,16.0,4.0,0.0,17.0,3.0,2.0,17.0,22.0,6.0
2,102008123.0,28.0,0.0,41.0,34.0,1.0,34.0,14.0,6.0,0.0,10.0,5.0,15.0,8.0,24.0,8.0,8.0,3.0,4.0,0.0,6.0,33.0,9.0,2.0,3.0,3.0,21.0,1.0,1.0,2.0,5.0,0.0,5.0,3.0,8.0,3.0,39.0,3.0,4.0,31.0,14.0,1.0,20.0,6.0,6.0,24.0,6.0,15.0,2.0,33.0,20.0,3.0,2.0,27.0,21.0,8.0,10.0,31.0,10.0,1.0,5.0,1.0,2.0,9.0,12.0,0.0,14.0,1.0,0.0,16.0,9.0,17.0,0.0,0.0,29.0,2.0,7.0,6.0,19.0,20.0,22.0,3.0,1.0,12.0,0.0,6.0,5.0,15.0,0.0,0.0,8.0,1.0,2.0,1.0,43.0,30.0,2.0,22.0,19.0,7.0,0.0,25.0,16.0,10.0,0.0,1.0,45.0,28.0,10.0,12.0,0.0,4.0,35.0,33.0,16.0,60.0,6.0,12.0,7.0,0.0,22.0,5.0,0.0,21.0,23.0,8.0
3,103941857.0,31.0,41.0,0.0,37.0,0.0,14.0,12.0,9.0,0.0,6.0,5.0,6.0,19.0,17.0,5.0,7.0,2.0,1.0,1.0,5.0,30.0,9.0,1.0,0.0,3.0,20.0,1.0,4.0,0.0,4.0,0.0,2.0,2.0,9.0,3.0,30.0,1.0,4.0,7.0,16.0,0.0,14.0,9.0,4.0,16.0,5.0,7.0,5.0,37.0,17.0,0.0,3.0,15.0,9.0,11.0,13.0,30.0,5.0,1.0,2.0,0.0,0.0,6.0,10.0,0.0,16.0,0.0,0.0,13.0,8.0,20.0,0.0,1.0,13.0,1.0,2.0,2.0,10.0,15.0,7.0,3.0,1.0,8.0,0.0,4.0,7.0,12.0,0.0,0.0,4.0,1.0,1.0,0.0,45.0,44.0,1.0,13.0,7.0,2.0,0.0,21.0,11.0,6.0,0.0,5.0,27.0,17.0,12.0,13.0,1.0,7.0,21.0,29.0,11.0,40.0,4.0,13.0,7.0,0.0,14.0,9.0,2.0,16.0,19.0,5.0
4,106389093.0,24.0,34.0,37.0,0.0,0.0,18.0,21.0,0.0,0.0,3.0,34.0,10.0,4.0,22.0,4.0,12.0,1.0,1.0,0.0,4.0,97.0,1.0,1.0,1.0,1.0,26.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,11.0,1.0,29.0,1.0,1.0,18.0,8.0,0.0,41.0,19.0,1.0,34.0,1.0,17.0,0.0,65.0,0.0,5.0,1.0,11.0,1.0,8.0,0.0,39.0,25.0,1.0,1.0,0.0,0.0,3.0,13.0,0.0,19.0,0.0,0.0,30.0,27.0,11.0,1.0,0.0,43.0,1.0,2.0,0.0,12.0,21.0,5.0,1.0,1.0,19.0,0.0,1.0,9.0,38.0,0.0,0.0,15.0,0.0,2.0,0.0,24.0,23.0,0.0,1.0,20.0,4.0,0.0,13.0,12.0,23.0,1.0,2.0,89.0,12.0,14.0,10.0,0.0,19.0,41.0,47.0,26.0,48.0,7.0,42.0,7.0,0.0,26.0,0.0,0.0,17.0,25.0,1.0
5,112430335.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,11430852.0,12.0,34.0,14.0,18.0,2.0,0.0,4.0,6.0,6.0,17.0,1.0,184.0,7.0,29.0,1.0,4.0,12.0,7.0,1.0,23.0,91.0,16.0,3.0,3.0,22.0,13.0,1.0,7.0,4.0,40.0,0.0,3.0,24.0,3.0,22.0,34.0,1.0,26.0,34.0,12.0,8.0,54.0,3.0,19.0,5.0,34.0,18.0,0.0,16.0,75.0,11.0,5.0,8.0,253.0,7.0,31.0,5.0,6.0,4.0,3.0,4.0,2.0,10.0,5.0,0.0,1.0,1.0,0.0,9.0,1.0,1.0,1.0,1.0,20.0,3.0,13.0,4.0,8.0,10.0,24.0,4.0,3.0,0.0,1.0,33.0,5.0,4.0,1.0,1.0,3.0,0.0,6.0,0.0,63.0,8.0,0.0,22.0,4.0,14.0,0.0,13.0,16.0,23.0,4.0,0.0,63.0,27.0,7.0,10.0,0.0,0.0,18.0,5.0,6.0,27.0,2.0,11.0,27.0,0.0,5.0,6.0,2.0,10.0,0.0,2.0
7,114734484.0,16.0,14.0,12.0,21.0,0.0,4.0,0.0,2.0,0.0,0.0,5.0,5.0,9.0,5.0,6.0,8.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,3.0,10.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,0.0,6.0,2.0,1.0,6.0,4.0,0.0,7.0,5.0,0.0,20.0,0.0,2.0,3.0,26.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,14.0,10.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,4.0,0.0,0.0,8.0,15.0,5.0,0.0,0.0,22.0,0.0,0.0,1.0,8.0,17.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,12.0,0.0,0.0,4.0,0.0,2.0,0.0,14.0,11.0,0.0,0.0,16.0,0.0,0.0,9.0,2.0,3.0,0.0,1.0,19.0,3.0,7.0,1.0,0.0,10.0,43.0,9.0,9.0,24.0,2.0,14.0,0.0,0.0,17.0,1.0,0.0,5.0,6.0,0.0
8,115033932.0,3.0,6.0,9.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,3.0,15.0,0.0,1.0,8.0,0.0,0.0,4.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,9.0,2.0,8.0,1.0,1.0,2.0,7.0,2.0,2.0,0.0,33.0,3.0,8.0,1.0,0.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,17.0,5.0,1.0,9.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,19.0,0.0,1.0,0.0,0.0
9,1205427770.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
