,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,-1.0,100012790.0,1121653332.0,125105259.0,126297089.0,1271687498.0,135830274.0,1512854234.0,155500681.0,157701630.0,1608315494.0,164958548.0,1651092140.0,166892181.0,1670798282.0,169251434.0,173338012.0,174495295.0,174994589.0,175011873.0,18711950.0,1900881889.0,218683531.0,220513006.0,220650257.0,2280256388.0,2293338266.0,2396650999.0,2423260129.0,2553817934.0,2585049200.0,26053105.0,269711088.0,279593701.0,284867370.0,286625089.0,2883894430.0,289664546.0,296857060.0,297290744.0,2998280120.0,30013212.0,301897844.0,3033992191.0,303932348.0,3067488230.0,3232691826.0,3331006973.0,342020125.0,376622201.0,3870001338.0,3918364094.0,395940079.0,409325660.0,43725438.0,4451946914.0,453490847.0,4545019757.0,465627521.0,4891036563.0,545373039.0,564336016.0,564860888.0,59146843.0,609331768.0,614138146.0,631184858.0,64024209.0,65644622.0,67805213.0,701269446.0,7.205666788961894e+17,73112737.0,81111738.0,828630871.0,83041826.0,848083392.0,8.717209945951191e+17
1,100012790.0,0.0,5.0,0.0,0.0,6.0,9.0,8.0,0.0,34.0,0.0,16.0,49.0,2.0,2.0,0.0,6.0,1.0,81.0,0.0,67.0,4.0,3.0,15.0,3.0,32.0,9.0,0.0,3.0,76.0,36.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,92.0,24.0,27.0,44.0,7.0,10.0,1.0,1.0,18.0,4.0,1.0,0.0,14.0,0.0,1.0,3.0,5.0,1.0,4.0,1.0,0.0,0.0,6.0,0.0,32.0,29.0,0.0,1.0,63.0,1.0,0.0,1.0,0.0,5.0,0.0,21.0,29.0,18.0,0.0
2,1121653332.0,5.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,2.0,1.0,4.0,10.0,0.0,1.0,1.0,2.0,0.0,18.0,1.0,20.0,8.0,1.0,4.0,1.0,8.0,1.0,1.0,1.0,21.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,21.0,9.0,12.0,10.0,1.0,4.0,0.0,1.0,6.0,5.0,1.0,0.0,4.0,0.0,1.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,14.0,3.0,0.0,1.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0
3,125105259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,126297089.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,8.0,2.0,1.0,0.0,1.0,0.0,4.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,16.0,4.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1271687498.0,6.0,2.0,0.0,5.0,0.0,9.0,3.0,0.0,5.0,7.0,25.0,7.0,3.0,15.0,3.0,10.0,1.0,28.0,4.0,38.0,16.0,12.0,6.0,14.0,16.0,4.0,1.0,21.0,34.0,7.0,3.0,0.0,0.0,13.0,0.0,2.0,0.0,2.0,39.0,36.0,15.0,35.0,5.0,14.0,1.0,2.0,2.0,3.0,2.0,0.0,10.0,2.0,2.0,3.0,2.0,2.0,4.0,13.0,1.0,1.0,17.0,1.0,27.0,10.0,0.0,3.0,26.0,5.0,3.0,1.0,0.0,0.0,3.0,10.0,5.0,43.0,0.0
6,135830274.0,9.0,7.0,0.0,5.0,9.0,0.0,1.0,0.0,4.0,2.0,12.0,16.0,2.0,3.0,0.0,5.0,0.0,32.0,1.0,35.0,14.0,3.0,11.0,5.0,16.0,4.0,0.0,4.0,31.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,28.0,24.0,17.0,17.0,3.0,6.0,3.0,0.0,6.0,11.0,0.0,0.0,5.0,2.0,0.0,3.0,1.0,2.0,3.0,4.0,0.0,1.0,7.0,2.0,34.0,6.0,0.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,13.0,0.0
7,1512854234.0,8.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,1.0,9.0,8.0,4.0,0.0,1.0,2.0,0.0,10.0,1.0,10.0,3.0,5.0,3.0,1.0,9.0,3.0,1.0,1.0,12.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,12.0,7.0,6.0,10.0,6.0,3.0,0.0,1.0,6.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,6.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,5.0,6.0,0.0
8,155500681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157701630.0,34.0,2.0,0.0,0.0,5.0,4.0,7.0,0.0,0.0,0.0,9.0,35.0,2.0,0.0,0.0,7.0,0.0,34.0,0.0,45.0,1.0,2.0,9.0,2.0,26.0,6.0,0.0,2.0,39.0,29.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,4.0,57.0,19.0,17.0,29.0,7.0,4.0,1.0,0.0,13.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,8.0,0.0,17.0,23.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,5.0,0.0,18.0,16.0,22.0,0.0
