,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
0,-1.0,101186095.0,105135219.0,106634780.0,109326674.0,111837874.0,116161933.0,11720032.0,125349617.0,131738772.0,1407285660.0,1412750708.0,145889874.0,153768854.0,1547057516.0,155507514.0,158025648.0,1582734432.0,169583675.0,183002920.0,188681877.0,1946097283.0,221514648.0,230759594.0,233463331.0,235153299.0,2385863765.0,241084857.0,243989705.0,24731156.0,2489238638.0,2495858150.0,2509545043.0,2526738098.0,254640331.0,256495109.0,257092539.0,266994576.0,2704055222.0,275098615.0,282151736.0,282766442.0,283968184.0,28757169.0,2890182739.0,2909653879.0,3031588559.0,305972482.0,30900969.0,3108802053.0,31109504.0,3177905708.0,33769236.0,365518662.0,3698087485.0,37184599.0,380764770.0,3813493163.0,383074914.0,385147146.0,3883202609.0,394591198.0,3999676762.0,4073733437.0,41547562.0,4258166179.0,430886462.0,433305159.0,462190826.0,46783969.0,47540206.0,49549359.0,50965682.0,54161723.0,569732794.0,578331360.0,580105543.0,605219768.0,635084443.0,65305565.0,7.161454206703739e+17,7.325478877842063e+17,7.32986726084268e+17,7.332399013034107e+17,74553795.0,754317498.0,7.676370877931848e+17,771906360.0,793116961.0,8.048352940003492e+17,817012700.0,81940998.0,82334315.0,8.430403350812344e+17,86772299.0,91197647.0,937455198.0
1,101186095.0,0.0,2.0,3.0,0.0,1.0,4.0,5.0,10.0,49.0,47.0,24.0,24.0,37.0,0.0,0.0,15.0,0.0,11.0,2.0,0.0,3.0,3.0,19.0,6.0,0.0,0.0,13.0,2.0,3.0,1.0,0.0,0.0,79.0,4.0,31.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,4.0,8.0,16.0,8.0,26.0,29.0,49.0,1.0,3.0,0.0,5.0,10.0,4.0,1.0,2.0,1.0,5.0,0.0,3.0,0.0,10.0,1.0,4.0,3.0,6.0,51.0,8.0,0.0,52.0,98.0,6.0,0.0,1.0,0.0,136.0,1.0,1.0,53.0,1.0,7.0,1.0,1.0,109.0,1.0,1.0,2.0,8.0,3.0,1.0,15.0,0.0,2.0
2,105135219.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,0.0,1.0,0.0,8.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
3,106634780.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,23.0,0.0,0.0,1.0,1.0,2.0,0.0,9.0,4.0,0.0,1.0,2.0,1.0,55.0,0.0,0.0,0.0,5.0,2.0,22.0,0.0,1.0,0.0,1.0,75.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,83.0,0.0,1.0,0.0,8.0,0.0,1.0,6.0,0.0,2.0,42.0,0.0,0.0,4.0,0.0,2.0,5.0,0.0,1.0,5.0,2.0,4.0,15.0,56.0,0.0,12.0,1.0,8.0,0.0,0.0,7.0,11.0,0.0,0.0,5.0,1.0,9.0,19.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0
4,109326674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,111837874.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
6,116161933.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,11.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,5.0,1.0,3.0,0.0,1.0,0.0,7.0,0.0,0.0,5.0,1.0,2.0,1.0,1.0,7.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0
7,11720032.0,5.0,1.0,1.0,0.0,7.0,1.0,0.0,4.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,31.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,1.0,5.0,3.0,0.0,3.0,11.0,2.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0
8,125349617.0,10.0,1.0,5.0,0.0,2.0,1.0,4.0,0.0,4.0,3.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,28.0,15.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,3.0,47.0,0.0,2.0,4.0,5.0,4.0,16.0,0.0,0.0,3.0,1.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,36.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,11.0,10.0,2.0,6.0,5.0,0.0,8.0,4.0,3.0,0.0,1.0,0.0,8.0,0.0,3.0,1.0,2.0,6.0,2.0,2.0,2.0,0.0,8.0,16.0,2.0,0.0,4.0,1.0,0.0,1.0
9,131738772.0,49.0,0.0,2.0,0.0,0.0,4.0,2.0,4.0,0.0,28.0,18.0,9.0,44.0,0.0,0.0,16.0,0.0,10.0,2.0,2.0,1.0,1.0,17.0,1.0,0.0,2.0,10.0,1.0,2.0,0.0,1.0,0.0,39.0,1.0,11.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,0.0,5.0,8.0,0.0,7.0,21.0,19.0,30.0,1.0,1.0,0.0,4.0,8.0,1.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,11.0,0.0,2.0,3.0,7.0,44.0,6.0,0.0,41.0,47.0,9.0,0.0,0.0,0.0,86.0,1.0,0.0,55.0,2.0,5.0,1.0,1.0,51.0,0.0,1.0,1.0,3.0,11.0,1.0,18.0,0.0,1.0
