,0,1,2,3,4
0,-1.0,2496200149.0,257478105.0,8.702401141606687e+17,8.957214839341548e+17
1,2496200149.0,0.0,15.0,10.0,8.0
2,257478105.0,15.0,0.0,21.0,22.0
3,8.702401141606687e+17,10.0,21.0,0.0,21.0
4,8.957214839341548e+17,8.0,22.0,21.0,0.0
