,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,-1.0,1244725621.0,1328941728.0,145586076.0,148221861.0,1604707735.0,18701043.0,1871637625.0,208780274.0,23402008.0,25791679.0,267090723.0,294583964.0,3305376390.0,518236233.0,7.366442002387436e+17,7.47644392643629e+17,7.507264217277645e+17,7.693480844217098e+17,8.434631593945539e+17,8.434961764984955e+17,8.640138945447567e+17,8.687469032693719e+17,8.712730456415027e+17,8.789262191311913e+17,8.923646005529395e+17,8.935062087406428e+17,9.119650247757865e+17,9.193940742973317e+17,9.209731821228073e+17,9.332773711839273e+17,9.412560678493757e+17,9.53546422678315e+17,9.536489794677842e+17,9.543893359646106e+17
1,1244725621.0,0.0,0.0,0.0,18.0,3.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,13.0,18.0,13.0,17.0,1.0,4.0,9.0,16.0,2.0,33.0,15.0,9.0,7.0,38.0,4.0,6.0,7.0,2.0,5.0,7.0
2,1328941728.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,145586076.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,3.0,2.0,12.0,0.0,2.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,148221861.0,18.0,0.0,2.0,0.0,4.0,2.0,38.0,1.0,0.0,9.0,0.0,4.0,31.0,8.0,36.0,20.0,16.0,32.0,1.0,4.0,12.0,20.0,4.0,10.0,26.0,14.0,16.0,7.0,7.0,7.0,19.0,2.0,6.0,9.0
5,1604707735.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,3.0,5.0,1.0,2.0,3.0,4.0,2.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0
6,18701043.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
7,1871637625.0,24.0,11.0,2.0,38.0,4.0,3.0,0.0,1.0,0.0,3.0,6.0,39.0,3.0,8.0,54.0,18.0,14.0,43.0,1.0,6.0,11.0,19.0,4.0,79.0,26.0,13.0,15.0,10.0,11.0,7.0,13.0,2.0,5.0,9.0
8,208780274.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,23402008.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,25791679.0,1.0,0.0,12.0,9.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,4.0,62.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,267090723.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,294583964.0,0.0,22.0,2.0,4.0,0.0,2.0,39.0,1.0,4.0,4.0,15.0,0.0,1.0,0.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
13,3305376390.0,0.0,0.0,8.0,31.0,0.0,2.0,3.0,1.0,0.0,62.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
14,518236233.0,7.0,0.0,0.0,8.0,2.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,8.0,5.0,7.0,1.0,3.0,2.0,5.0,2.0,6.0,6.0,5.0,2.0,3.0,3.0,4.0,5.0,2.0,3.0,6.0
15,7.366442002387436e+17,13.0,0.0,7.0,36.0,4.0,4.0,54.0,2.0,3.0,12.0,1.0,17.0,8.0,4.0,0.0,11.0,12.0,30.0,2.0,6.0,10.0,17.0,4.0,16.0,25.0,14.0,17.0,6.0,5.0,6.0,17.0,3.0,5.0,7.0
16,7.47644392643629e+17,18.0,0.0,0.0,20.0,4.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,22.0,27.0,1.0,2.0,8.0,17.0,2.0,11.0,19.0,9.0,2.0,6.0,6.0,7.0,9.0,2.0,4.0,8.0
17,7.507264217277645e+17,13.0,0.0,0.0,16.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,22.0,0.0,18.0,1.0,2.0,5.0,17.0,2.0,8.0,11.0,6.0,3.0,7.0,6.0,6.0,7.0,2.0,4.0,7.0
18,7.693480844217098e+17,17.0,3.0,0.0,32.0,5.0,1.0,43.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,30.0,27.0,18.0,0.0,52.0,59.0,120.0,129.0,4.0,13.0,70.0,60.0,72.0,11.0,81.0,7.0,46.0,3.0,30.0,9.0
19,8.434631593945539e+17,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,52.0,0.0,42.0,38.0,35.0,1.0,1.0,18.0,8.0,35.0,1.0,29.0,1.0,15.0,2.0,15.0,1.0
20,8.434961764984955e+17,4.0,1.0,0.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,2.0,2.0,59.0,42.0,0.0,32.0,38.0,2.0,2.0,15.0,9.0,40.0,2.0,24.0,2.0,15.0,3.0,16.0,2.0
21,8.640138945447567e+17,9.0,0.0,0.0,12.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,5.0,120.0,38.0,32.0,0.0,119.0,2.0,5.0,47.0,33.0,68.0,5.0,62.0,4.0,31.0,2.0,23.0,5.0
22,8.687469032693719e+17,16.0,0.0,0.0,20.0,4.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,17.0,17.0,17.0,129.0,35.0,38.0,119.0,0.0,2.0,7.0,65.0,50.0,74.0,6.0,80.0,6.0,46.0,2.0,32.0,9.0
23,8.712730456415027e+17,2.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
24,8.789262191311913e+17,33.0,0.0,0.0,10.0,4.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,11.0,8.0,13.0,1.0,2.0,5.0,7.0,3.0,0.0,10.0,7.0,2.0,6.0,4.0,7.0,6.0,2.0,4.0,7.0
25,8.923646005529395e+17,15.0,0.0,1.0,26.0,4.0,1.0,26.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,25.0,19.0,11.0,70.0,18.0,15.0,47.0,65.0,3.0,10.0,0.0,40.0,30.0,6.0,47.0,7.0,28.0,2.0,26.0,9.0
26,8.935062087406428e+17,9.0,0.0,1.0,14.0,5.0,1.0,13.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,14.0,9.0,6.0,60.0,8.0,9.0,33.0,50.0,2.0,7.0,40.0,0.0,14.0,4.0,33.0,6.0,21.0,2.0,15.0,7.0
27,9.119650247757865e+17,7.0,2.0,1.0,16.0,2.0,0.0,15.0,1.0,0.0,2.0,0.0,4.0,3.0,2.0,17.0,2.0,3.0,72.0,35.0,40.0,68.0,74.0,2.0,2.0,30.0,14.0,0.0,5.0,42.0,2.0,36.0,3.0,27.0,2.0
28,9.193940742973317e+17,38.0,1.0,0.0,7.0,3.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,6.0,6.0,7.0,11.0,1.0,2.0,5.0,6.0,2.0,6.0,6.0,4.0,5.0,0.0,4.0,5.0,4.0,2.0,3.0,5.0
29,9.209731821228073e+17,4.0,0.0,1.0,7.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,6.0,6.0,81.0,29.0,24.0,62.0,80.0,2.0,4.0,47.0,33.0,42.0,4.0,0.0,4.0,37.0,2.0,31.0,4.0
