,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
0,-1.0,1015079670.0,1046128009.0,106389093.0,108262319.0,112967218.0,113009001.0,11430852.0,115033932.0,1205427770.0,121127922.0,1295805126.0,1331866807.0,1356277926.0,138365858.0,140402241.0,1412050544.0,14421065.0,145622254.0,145739381.0,14751983.0,1528124304.0,153416602.0,155877479.0,157235473.0,158812734.0,160204384.0,168487144.0,169061145.0,18459560.0,184814819.0,1946097283.0,198408234.0,205603630.0,20560375.0,216249135.0,2172739241.0,219537090.0,22375497.0,2284771098.0,230159846.0,230735373.0,233147782.0,268317263.0,26981507.0,292772945.0,294114036.0,2943117608.0,296802328.0,311859741.0,319543900.0,320139173.0,3208024522.0,320957296.0,3316852057.0,333393117.0,365900821.0,36641694.0,375747500.0,40551527.0,40872479.0,44188505.0,45312342.0,4780300536.0,48416262.0,49310742.0,56054692.0,60472299.0,635543582.0,67568398.0,71374259.0,74259793.0,759256634.0,80267431.0,80348405.0,82041060.0,8.465811529199575e+17,85075631.0,8.596863870707753e+17,886606506.0,905065902.0,92235802.0,9.386488954831258e+17,94592031.0,9.625150061170401e+17,9.625251352689172e+17,9.625967798237798e+17,9.625998236387164e+17,9.62666893801939e+17,9.628536596998267e+17,9.629292301904691e+17,9.629340937374228e+17,9.629470841556091e+17,9.629597676385649e+17,9.629777364352328e+17,9.629822617119334e+17,9.629933761225892e+17,9.630017435367875e+17,9.630087255092756e+17,9.630242062241341e+17,9.630337971419013e+17,9.630455869780705e+17,9.630499677650739e+17,9.630596902288548e+17,9.630683137135247e+17,9.63068618341675e+17,9.630830990673388e+17,9.631053017706004e+17,9.63110215917781e+17,9.631118450527805e+17,9.63116730225578e+17,9.631189167247729e+17,9.631857984420946e+17,9.631873957630157e+17,9.632186391000064e+17,9.632753816955699e+17,9.632815588525875e+17,9.632852550619546e+17,9.633452341083054e+17,9.633499920176701e+17,9.634245307262566e+17,9.634646262676562e+17,964633976.0
1,1015079670.0,0.0,6.0,1.0,5.0,0.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,2.0,10.0,0.0,8.0,0.0,1.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,1046128009.0,6.0,0.0,1.0,8.0,5.0,2.0,22.0,7.0,3.0,1.0,6.0,1.0,3.0,4.0,6.0,2.0,5.0,3.0,2.0,6.0,1.0,2.0,2.0,11.0,0.0,1.0,2.0,8.0,1.0,5.0,3.0,1.0,3.0,11.0,1.0,3.0,5.0,0.0,5.0,6.0,5.0,0.0,48.0,2.0,0.0,46.0,2.0,9.0,2.0,0.0,0.0,2.0,2.0,0.0,14.0,5.0,7.0,0.0,2.0,16.0,2.0,25.0,9.0,2.0,3.0,11.0,65.0,15.0,16.0,0.0,5.0,7.0,4.0,1.0,2.0,5.0,0.0,2.0,2.0,3.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,106389093.0,1.0,1.0,0.0,1.0,0.0,51.0,18.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,34.0,0.0,4.0,97.0,36.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,52.0,3.0,18.0,17.0,1.0,135.0,0.0,1.0,10.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,13.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,1.0,64.0,0.0,47.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
4,108262319.0,5.0,8.0,1.0,0.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,13.0,3.0,0.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,4.0,1.0,0.0,1.0,0.0,7.0,2.0,0.0,1.0,2.0,12.0,1.0,7.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,112967218.0,0.0,5.0,0.0,1.0,0.0,2.0,11.0,1.0,1.0,0.0,9.0,0.0,0.0,3.0,8.0,0.0,1.0,3.0,4.0,11.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,12.0,1.0,6.0,1.0,0.0,0.0,7.0,1.0,4.0,2.0,0.0,1.0,0.0,3.0,0.0,19.0,2.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,7.0,0.0,0.0,3.0,11.0,0.0,2.0,12.0,0.0,0.0,14.0,14.0,3.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,113009001.0,2.0,2.0,51.0,2.0,2.0,0.0,39.0,1.0,0.0,3.0,3.0,0.0,1.0,4.0,40.0,0.0,10.0,77.0,55.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,0.0,44.0,1.0,21.0,13.0,1.0,43.0,8.0,2.0,15.0,14.0,0.0,4.0,1.0,8.0,6.0,0.0,0.0,1.0,3.0,1.0,6.0,0.0,0.0,42.0,0.0,0.0,19.0,11.0,1.0,0.0,4.0,0.0,27.0,1.0,0.0,0.0,5.0,96.0,1.0,55.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,17.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
7,11430852.0,5.0,22.0,18.0,4.0,11.0,39.0,0.0,6.0,6.0,3.0,23.0,1.0,0.0,12.0,37.0,2.0,23.0,91.0,28.0,19.0,9.0,3.0,2.0,6.0,0.0,3.0,2.0,56.0,1.0,24.0,11.0,94.0,10.0,22.0,11.0,26.0,26.0,64.0,12.0,0.0,8.0,0.0,75.0,11.0,4.0,9.0,2.0,22.0,6.0,9.0,0.0,0.0,40.0,0.0,4.0,14.0,24.0,1.0,2.0,34.0,1.0,23.0,20.0,0.0,0.0,18.0,110.0,11.0,61.0,0.0,7.0,9.0,1.0,1.0,2.0,3.0,27.0,2.0,5.0,2.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
8,115033932.0,5.0,7.0,0.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,2.0,0.0,9.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,1.0,0.0,7.0,2.0,1.0,21.0,1.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,1.0,2.0,0.0,1.0,3.0,0.0,8.0,6.0,0.0,0.0,4.0,17.0,2.0,6.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1205427770.0,0.0,3.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
