,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
0,-1.0,102060476.0,109016981.0,126145829.0,126870295.0,1270865167.0,132122663.0,133429220.0,1389968714.0,140343767.0,142201164.0,143245156.0,147124035.0,149582632.0,1496898822.0,152648110.0,1539351042.0,1562785896.0,159266624.0,1650273846.0,16710907.0,169611989.0,17035802.0,171387824.0,175161386.0,177986591.0,1859676654.0,191961347.0,197418745.0,198138294.0,20148709.0,20478064.0,20784290.0,208997920.0,2152427952.0,2164373851.0,2185019658.0,221695219.0,2297348642.0,2307814911.0,234598391.0,2357754350.0,237817197.0,241492158.0,250376957.0,2510974425.0,2514606097.0,256521722.0,26576138.0,2723490176.0,27379436.0,2758693982.0,2828417691.0,2887231969.0,2911018059.0,2973621215.0,3036220293.0,3091642685.0,32422657.0,3254350010.0,342647652.0,349208551.0,3523375757.0,353186093.0,3591877992.0,360968882.0,372753494.0,37943710.0,3813493163.0,384455836.0,386847295.0,394787935.0,39543466.0,396465174.0,399918534.0,400005998.0,404344003.0,415625488.0,43677260.0,43715916.0,44571533.0,44616469.0,463645413.0,47249855.0,4759411316.0,490835855.0,491596136.0,49310742.0,494108927.0,49599851.0,50054358.0,506574362.0,518861092.0,524474015.0,532566587.0,549605439.0,55577810.0,568851522.0,57972437.0,588825150.0,59092444.0,60576924.0,626758280.0,65585237.0,7.146869654515302e+17,73583.0,766071.0,7.699096843251016e+17,770799439.0,781767798.0,80358195.0,8.396193322923704e+17,841796341.0,85422972.0,88913725.0,910974584.0,9.188018430520115e+17,92648414.0,969220608.0,97131948.0,97272406.0,974497476.0
1,102060476.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,18.0,2.0,4.0,2.0,0.0,0.0,3.0,2.0,62.0,23.0,0.0,48.0,1.0,9.0,11.0,8.0,4.0,0.0,18.0,11.0,39.0,0.0,8.0,0.0,0.0,12.0,9.0,14.0,2.0,4.0,0.0,20.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,4.0,4.0,46.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,24.0,4.0,0.0,21.0,0.0,3.0,0.0,4.0,2.0,3.0,10.0,16.0,2.0,0.0,2.0,4.0,0.0,2.0,12.0,1.0,32.0,2.0,17.0,1.0,0.0,21.0,0.0,4.0,1.0,2.0,1.0,5.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,33.0,3.0,0.0,0.0
2,109016981.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,12.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,126145829.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,3.0,2.0,1.0,0.0,2.0,0.0,4.0,12.0,1.0,23.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,0.0,1.0,5.0,0.0,14.0,0.0,9.0,0.0,2.0,1.0,3.0,0.0,3.0,1.0,4.0,2.0,1.0,5.0,0.0,4.0,3.0,11.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,3.0,3.0,2.0,1.0,17.0,1.0,3.0,7.0,10.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0
4,126870295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,1270865167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,132122663.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,5.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,17.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
7,133429220.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8,1389968714.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,8.0,6.0,19.0,1.0,0.0,2.0,0.0,5.0,7.0,7.0,3.0,4.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,17.0,28.0,1.0,0.0,19.0,5.0,5.0,13.0,7.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,12.0,2.0
9,140343767.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,13.0,0.0,22.0,0.0,4.0,1.0,3.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,2.0,0.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,20.0,0.0,3.0,1.0,4.0,1.0,0.0,1.0,2.0,5.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0
