,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,-1.0,1128116924.0,123907301.0,124368603.0,132095476.0,136211068.0,1370886721.0,1454020356.0,167470451.0,1677481501.0,17481929.0,2428489305.0,257042156.0,272753147.0,2786928739.0,2900533861.0,2940472412.0,2967051045.0,2968291499.0,2994840781.0,3062572074.0,30860019.0,3140136050.0,3228095569.0,325610106.0,33131371.0,3458543421.0,3794373744.0,4378883246.0,462821245.0,580057012.0,614884368.0,7.500196712152678e+17,7.716551083880202e+17,7.749827401733202e+17,7.846986728859484e+17,7.89343365515051e+17,7.894644363733934e+17,7.901934145622057e+17,7.912313354487194e+17,7.915282739812147e+17,8.205158531122217e+17,82316724.0,8.277377926167429e+17,833877799.0,8.369744747129897e+17,8.419927677902807e+17,8.862795477123523e+17,8.984784324424376e+17,8.998865819050516e+17,9.038413568874824e+17,9.183385860423557e+17,9.188144967092306e+17,9.444696350339604e+17
1,1128116924.0,0.0,8.0,9.0,3.0,37.0,12.0,12.0,9.0,2.0,0.0,6.0,1.0,0.0,23.0,56.0,39.0,6.0,16.0,0.0,64.0,14.0,44.0,26.0,51.0,0.0,28.0,53.0,85.0,12.0,11.0,85.0,8.0,7.0,25.0,7.0,45.0,0.0,2.0,25.0,4.0,11.0,21.0,61.0,0.0,4.0,17.0,12.0,5.0,91.0,0.0,0.0,5.0,10.0
2,123907301.0,8.0,0.0,6.0,0.0,10.0,0.0,3.0,21.0,9.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,1.0,11.0,0.0,15.0,9.0,14.0,7.0,11.0,2.0,5.0,32.0,13.0,7.0,3.0,16.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,4.0,20.0,10.0,0.0,0.0,3.0,4.0,1.0,53.0,0.0,0.0,1.0,0.0
3,124368603.0,9.0,6.0,0.0,0.0,9.0,0.0,2.0,15.0,3.0,0.0,0.0,0.0,1.0,2.0,13.0,1.0,0.0,7.0,0.0,17.0,12.0,11.0,5.0,8.0,3.0,3.0,19.0,14.0,2.0,3.0,18.0,0.0,2.0,7.0,0.0,4.0,0.0,2.0,8.0,1.0,7.0,17.0,10.0,0.0,1.0,5.0,2.0,2.0,33.0,0.0,0.0,1.0,0.0
4,132095476.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,1.0,0.0,0.0,13.0,0.0,4.0,1.0,10.0,0.0,3.0,3.0,3.0,2.0,5.0,5.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0
5,136211068.0,37.0,10.0,9.0,0.0,0.0,0.0,6.0,11.0,4.0,0.0,1.0,1.0,1.0,2.0,37.0,13.0,5.0,16.0,0.0,43.0,15.0,32.0,22.0,31.0,2.0,20.0,33.0,51.0,12.0,8.0,60.0,5.0,6.0,21.0,3.0,25.0,0.0,3.0,17.0,3.0,11.0,13.0,36.0,0.0,3.0,14.0,7.0,5.0,62.0,0.0,0.0,3.0,0.0
6,1370886721.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,15.0,0.0,0.0,109.0,7.0,138.0,3.0,1.0,0.0,5.0,0.0,9.0,0.0,7.0,0.0,6.0,3.0,82.0,5.0,2.0,114.0,2.0,4.0,2.0,1.0,67.0,0.0,1.0,1.0,15.0,0.0,0.0,4.0,0.0,4.0,7.0,9.0,1.0,7.0,0.0,0.0,0.0,16.0
7,1454020356.0,12.0,3.0,2.0,4.0,6.0,11.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,12.0,18.0,26.0,13.0,3.0,0.0,25.0,6.0,32.0,5.0,27.0,3.0,24.0,15.0,39.0,6.0,5.0,41.0,4.0,2.0,5.0,14.0,31.0,0.0,2.0,5.0,5.0,2.0,4.0,18.0,0.0,3.0,8.0,9.0,2.0,39.0,0.0,0.0,0.0,6.0
8,167470451.0,9.0,21.0,15.0,2.0,11.0,0.0,6.0,0.0,9.0,0.0,1.0,0.0,1.0,2.0,15.0,4.0,3.0,28.0,0.0,32.0,24.0,16.0,5.0,20.0,8.0,3.0,31.0,19.0,3.0,4.0,31.0,1.0,0.0,12.0,1.0,6.0,0.0,0.0,11.0,1.0,8.0,26.0,15.0,0.0,0.0,7.0,3.0,2.0,127.0,0.0,0.0,0.0,0.0
9,1677481501.0,2.0,9.0,3.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,6.0,0.0,8.0,6.0,5.0,1.0,3.0,2.0,1.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,4.0,0.0,34.0,0.0,0.0,0.0,0.0
