,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
0,-1.0,102060476.0,103610732.0,1049646152.0,106477214.0,106689994.0,107354463.0,1209017774.0,121340802.0,125981551.0,1268516185.0,128596069.0,128840796.0,1289116573.0,129563822.0,132960957.0,1332012570.0,134443258.0,135115908.0,136266876.0,1386044742.0,14280074.0,143792569.0,144782705.0,14601059.0,147124035.0,15025739.0,155808890.0,158934032.0,160425116.0,162267352.0,166537858.0,1680967477.0,1712056286.0,171867890.0,178952898.0,184737830.0,185636053.0,187832274.0,190333186.0,1966550388.0,204376531.0,208997920.0,211816466.0,21481348.0,2152427952.0,2171765941.0,218042290.0,218923489.0,21901839.0,2210333792.0,223482279.0,2354390820.0,2358376159.0,24329260.0,252471450.0,2562008519.0,2563587811.0,2613310994.0,26229151.0,26240859.0,2646548988.0,273295620.0,27601055.0,281162018.0,284411175.0,29183201.0,293861368.0,2989155436.0,3034976100.0,30438444.0,305746020.0,3062430962.0,3067355564.0,308716323.0,3114799769.0,313394633.0,320276712.0,3237159355.0,3251352526.0,342204537.0,3443498844.0,347835590.0,3501716305.0,353143721.0,35707945.0,360509494.0,368998915.0,376033636.0,3791121015.0,3925220113.0,396281561.0,397078330.0,397087430.0,3999676762.0,40701166.0,4081863012.0,408288320.0,410730780.0,415655533.0,423886330.0,43603630.0,450430964.0,457611797.0,459629387.0,46217937.0,4691793109.0,4701234798.0,47383798.0,481955536.0,4827585019.0,4836099127.0,484098443.0,4887225133.0,49599851.0,508497887.0,516508541.0,528428158.0,54181909.0,556328491.0,567716454.0,57972437.0,583720640.0,592023776.0,626112939.0,63372848.0,66330697.0,7.157928855605576e+17,7.23079254271873e+17,732356196.0,73910595.0,744862297.0,746449441.0,7.467015250876211e+17,74917601.0,7.598391855072625e+17,78079432.0,7.861311281344102e+17,7.971205013448335e+17,803977189.0,81194929.0,832606501.0,8.327877862980731e+17,8.361562339922575e+17,8.607078892872417e+17,86367032.0,8.641133410437038e+17,8.843306652269732e+17,8.88968078372905e+17,8.926934890787185e+17,90628237.0,9.097438048606863e+17,9.097559890999214e+17,9.114315740586025e+17,9.23042548830163e+17,925925743.0,9.259269860436296e+17,92688658.0,9.271009635880714e+17,93525639.0,9.365982831028388e+17,9.371212068844298e+17,9.37530863742419e+17,9.451393833714156e+17,9.482843326065664e+17,9.49234556820865e+17,9.495702944604652e+17,957071899.0
1,102060476.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,27.0,1.0,6.0,1.0,13.0,0.0,1.0,12.0,27.0,4.0,2.0,0.0,0.0,19.0,10.0,0.0,18.0,2.0,2.0,8.0,2.0,18.0,11.0,4.0,6.0,4.0,4.0,5.0,1.0,7.0,1.0,28.0,46.0,4.0,8.0,3.0,2.0,0.0,3.0,2.0,5.0,2.0,2.0,10.0,20.0,10.0,5.0,5.0,10.0,6.0,0.0,2.0,6.0,5.0,37.0,0.0,5.0,29.0,3.0,5.0,20.0,3.0,7.0,17.0,0.0,11.0,3.0,0.0,10.0,1.0,20.0,0.0,8.0,0.0,1.0,5.0,34.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,4.0,1.0,1.0,5.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,1.0,0.0,4.0,14.0,16.0,18.0,0.0,26.0,22.0,0.0,6.0,32.0,2.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,13.0,21.0,3.0,0.0,0.0,4.0,38.0,0.0,3.0,8.0,3.0,3.0,4.0,0.0,0.0,9.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,18.0,0.0,9.0,16.0,1.0,2.0,2.0,0.0,1.0,0.0
2,103610732.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,122.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,1049646152.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,106477214.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,80.0,3.0,26.0,0.0,5.0,1.0,0.0,10.0,75.0,5.0,3.0,4.0,1.0,18.0,18.0,1.0,38.0,4.0,4.0,24.0,11.0,37.0,41.0,1.0,30.0,20.0,26.0,1.0,2.0,27.0,8.0,3.0,126.0,23.0,3.0,3.0,4.0,0.0,38.0,1.0,27.0,1.0,6.0,12.0,54.0,50.0,2.0,20.0,7.0,20.0,3.0,3.0,7.0,16.0,63.0,3.0,4.0,62.0,1.0,6.0,39.0,0.0,45.0,13.0,5.0,46.0,0.0,9.0,4.0,1.0,69.0,0.0,3.0,1.0,4.0,17.0,46.0,4.0,3.0,1.0,0.0,1.0,5.0,1.0,6.0,7.0,0.0,5.0,2.0,5.0,25.0,12.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,24.0,17.0,5.0,0.0,22.0,7.0,5.0,12.0,1.0,66.0,4.0,0.0,42.0,4.0,6.0,3.0,2.0,4.0,10.0,3.0,0.0,1.0,19.0,1.0,2.0,0.0,2.0,48.0,43.0,11.0,1.0,1.0,3.0,31.0,3.0,8.0,38.0,0.0,19.0,20.0,4.0,2.0,28.0,0.0,6.0,0.0,18.0,9.0,0.0,2.0,35.0,1.0,35.0,64.0,12.0,28.0,6.0,0.0,13.0,0.0
5,106689994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,107354463.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0
7,1209017774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,121340802.0,27.0,1.0,1.0,80.0,0.0,4.0,0.0,0.0,5.0,61.0,1.0,20.0,4.0,1.0,23.0,219.0,12.0,1.0,6.0,2.0,63.0,40.0,1.0,83.0,7.0,5.0,39.0,16.0,109.0,92.0,8.0,70.0,40.0,39.0,7.0,6.0,46.0,14.0,9.0,420.0,43.0,9.0,12.0,7.0,0.0,67.0,6.0,53.0,5.0,17.0,30.0,156.0,106.0,8.0,55.0,10.0,24.0,6.0,6.0,16.0,24.0,146.0,4.0,21.0,196.0,5.0,14.0,101.0,6.0,100.0,23.0,7.0,88.0,0.0,10.0,12.0,5.0,158.0,0.0,18.0,4.0,17.0,20.0,100.0,20.0,3.0,1.0,0.0,4.0,12.0,1.0,14.0,13.0,0.0,8.0,15.0,18.0,64.0,62.0,4.0,2.0,12.0,1.0,0.0,1.0,1.0,6.0,35.0,20.0,8.0,0.0,51.0,25.0,12.0,29.0,0.0,166.0,7.0,0.0,78.0,10.0,13.0,5.0,14.0,11.0,23.0,3.0,0.0,1.0,37.0,5.0,4.0,0.0,3.0,100.0,92.0,18.0,5.0,6.0,7.0,65.0,9.0,26.0,89.0,1.0,44.0,43.0,9.0,7.0,52.0,0.0,24.0,0.0,33.0,15.0,0.0,5.0,75.0,1.0,81.0,177.0,22.0,51.0,7.0,0.0,32.0,0.0
9,125981551.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,10.0,1.0,3.0,2.0,4.0,0.0,2.0,3.0,0.0,32.0,1.0,0.0,5.0,1.0,1.0,0.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,0.0,2.0,1.0,4.0,6.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,1.0,0.0,3.0,4.0,0.0,5.0,18.0,0.0,6.0,12.0,4.0,7.0,1.0,3.0,5.0,2.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,1.0,2.0,3.0,2.0,4.0,6.0,1.0,15.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,130.0,1.0,6.0,1.0,0.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,5.0,3.0,0.0,1.0,5.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,3.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0
