,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,-1.0,1286073547.0,132095476.0,1333059001.0,133750811.0,1360226702.0,1369573230.0,1370886721.0,1469086140.0,175006809.0,1894868875.0,1947027438.0,195467881.0,195623585.0,1958029015.0,196195734.0,22052895.0,2214098064.0,2380432939.0,2392929474.0,2450421474.0,2498125358.0,253139290.0,2594788350.0,2685147625.0,2695979172.0,2790977889.0,2819935525.0,2836621284.0,2894020441.0,2900533861.0,2913294318.0,2954975767.0,3016644576.0,3020558982.0,302474902.0,3062572074.0,30860019.0,309701929.0,3147239436.0,3237208129.0,3237874165.0,325610106.0,328713370.0,3296008817.0,3345281481.0,3348321132.0,3367065609.0,3433022603.0,345862327.0,351679194.0,353708454.0,3572853974.0,374578049.0,402706305.0,407052670.0,425649742.0,464303803.0,4782227364.0,4843779650.0,587955602.0,7.184282798336369e+17,721600406.0,7.248791244189286e+17,7.259075148988088e+17,7.289088834949038e+17,7.509123701013914e+17,752604709.0,7.57917719299629e+17,7.647663670440837e+17,7.69003932358103e+17,7.851473341496279e+17,7.901934145622057e+17,7.909474863281725e+17,8.136154725287363e+17,81590860.0,8.182245990788792e+17,8.246335717175501e+17,8.358668750158684e+17,8.401275466414162e+17,8.430743493430968e+17,8.48500558243799e+17,8.636402686162002e+17,8.67254509147476e+17,8.712349682104893e+17,8.73521970523947e+17,8.89801410489045e+17,8.920973186856141e+17,8.934701538322555e+17,8.952186531715031e+17,9.038968206396006e+17,925085526.0,9.332028526542029e+17,9.521513001074852e+17,9.540326676866621e+17,9.567240656868598e+17
1,1286073547.0,0.0,1.0,44.0,6.0,75.0,0.0,0.0,61.0,22.0,1.0,18.0,5.0,1.0,66.0,37.0,0.0,2.0,11.0,1.0,76.0,16.0,16.0,13.0,54.0,56.0,0.0,48.0,50.0,9.0,68.0,19.0,64.0,55.0,12.0,37.0,77.0,6.0,26.0,21.0,28.0,1.0,56.0,6.0,2.0,1.0,1.0,17.0,15.0,35.0,56.0,26.0,65.0,11.0,13.0,2.0,22.0,0.0,0.0,19.0,20.0,70.0,42.0,8.0,16.0,4.0,52.0,2.0,18.0,37.0,0.0,0.0,1.0,56.0,2.0,22.0,25.0,3.0,61.0,0.0,0.0,6.0,1.0,3.0,16.0,17.0,40.0,0.0,16.0,13.0,49.0,19.0,5.0,19.0,0.0,0.0
2,132095476.0,1.0,0.0,8.0,1.0,6.0,0.0,0.0,7.0,4.0,2.0,3.0,1.0,1.0,2.0,4.0,0.0,0.0,6.0,2.0,18.0,0.0,2.0,0.0,1.0,6.0,1.0,1.0,6.0,2.0,7.0,5.0,7.0,7.0,4.0,7.0,13.0,0.0,0.0,0.0,8.0,0.0,10.0,8.0,0.0,0.0,0.0,5.0,5.0,14.0,2.0,7.0,8.0,2.0,2.0,1.0,4.0,3.0,0.0,1.0,9.0,15.0,15.0,1.0,4.0,2.0,9.0,2.0,5.0,1.0,2.0,1.0,0.0,7.0,1.0,8.0,4.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,2.0,7.0,2.0,2.0,2.0,4.0,0.0,0.0
3,1333059001.0,44.0,8.0,0.0,48.0,73.0,1.0,8.0,82.0,63.0,4.0,64.0,38.0,13.0,77.0,184.0,0.0,9.0,62.0,4.0,376.0,18.0,56.0,13.0,69.0,164.0,4.0,35.0,60.0,49.0,152.0,55.0,66.0,225.0,94.0,113.0,192.0,30.0,17.0,69.0,219.0,8.0,182.0,27.0,11.0,3.0,11.0,58.0,65.0,252.0,55.0,171.0,235.0,37.0,77.0,23.0,104.0,1.0,0.0,28.0,145.0,427.0,290.0,27.0,72.0,28.0,148.0,8.0,84.0,55.0,12.0,1.0,7.0,116.0,9.0,164.0,139.0,12.0,104.0,0.0,2.0,37.0,6.0,8.0,15.0,40.0,158.0,2.0,13.0,45.0,97.0,45.0,41.0,33.0,4.0,0.0
4,133750811.0,6.0,1.0,48.0,0.0,13.0,1.0,2.0,11.0,26.0,2.0,18.0,5.0,3.0,10.0,40.0,0.0,3.0,25.0,2.0,72.0,2.0,21.0,2.0,10.0,39.0,1.0,4.0,16.0,10.0,23.0,21.0,8.0,45.0,25.0,18.0,44.0,5.0,2.0,18.0,49.0,7.0,45.0,11.0,1.0,4.0,1.0,14.0,25.0,65.0,8.0,38.0,68.0,12.0,18.0,10.0,37.0,8.0,0.0,2.0,36.0,60.0,65.0,6.0,24.0,9.0,31.0,11.0,71.0,10.0,4.0,1.0,3.0,32.0,2.0,52.0,20.0,11.0,18.0,0.0,1.0,10.0,4.0,4.0,1.0,26.0,36.0,1.0,0.0,30.0,25.0,6.0,14.0,6.0,1.0,0.0
5,1360226702.0,75.0,6.0,73.0,13.0,0.0,1.0,3.0,163.0,21.0,2.0,22.0,13.0,2.0,118.0,67.0,0.0,5.0,23.0,2.0,137.0,27.0,28.0,20.0,76.0,116.0,1.0,115.0,135.0,19.0,152.0,27.0,137.0,107.0,25.0,74.0,173.0,15.0,40.0,24.0,68.0,1.0,151.0,38.0,5.0,1.0,7.0,48.0,24.0,67.0,121.0,63.0,141.0,17.0,27.0,6.0,31.0,2.0,0.0,34.0,46.0,136.0,72.0,15.0,31.0,8.0,100.0,11.0,44.0,59.0,3.0,1.0,4.0,131.0,2.0,57.0,28.0,5.0,137.0,0.0,2.0,9.0,1.0,3.0,20.0,43.0,97.0,1.0,26.0,32.0,89.0,37.0,15.0,30.0,2.0,0.0
6,1369573230.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,3.0,3.0,3.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1370886721.0,0.0,0.0,8.0,2.0,3.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,121.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,3.0,1.0,7.0,1.0,0.0,6.0,3.0,1.0,5.0,0.0,2.0,0.0,67.0,2.0,7.0,5.0,6.0,1.0,5.0,4.0,0.0,4.0,2.0,5.0,6.0,3.0,1.0,0.0,10.0,0.0,0.0,0.0,3.0,8.0,5.0,1.0,1.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,1.0,5.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,20.0,0.0,79.0,0.0,1.0,5.0,0.0,1.0,1.0,5.0,1.0,107.0,0.0,17.0,0.0
8,1469086140.0,61.0,7.0,82.0,11.0,163.0,1.0,5.0,0.0,22.0,2.0,23.0,13.0,8.0,122.0,70.0,0.0,9.0,23.0,1.0,159.0,25.0,17.0,23.0,103.0,130.0,0.0,103.0,137.0,15.0,224.0,31.0,156.0,162.0,29.0,91.0,227.0,10.0,66.0,30.0,68.0,0.0,194.0,24.0,6.0,2.0,5.0,38.0,24.0,61.0,143.0,52.0,214.0,16.0,27.0,5.0,39.0,0.0,0.0,43.0,35.0,136.0,70.0,10.0,29.0,11.0,137.0,10.0,30.0,80.0,1.0,0.0,3.0,142.0,2.0,47.0,24.0,5.0,177.0,0.0,0.0,11.0,2.0,7.0,25.0,25.0,128.0,1.0,33.0,16.0,118.0,40.0,16.0,38.0,1.0,0.0
9,175006809.0,22.0,4.0,63.0,26.0,21.0,1.0,1.0,22.0,0.0,5.0,33.0,6.0,8.0,24.0,30.0,0.0,1.0,37.0,5.0,78.0,2.0,42.0,3.0,16.0,40.0,2.0,4.0,11.0,28.0,35.0,35.0,12.0,57.0,37.0,18.0,58.0,7.0,3.0,24.0,55.0,1.0,42.0,4.0,1.0,9.0,1.0,17.0,36.0,104.0,6.0,50.0,54.0,10.0,25.0,12.0,32.0,16.0,0.0,5.0,54.0,81.0,103.0,12.0,35.0,22.0,33.0,22.0,62.0,16.0,4.0,2.0,3.0,36.0,6.0,50.0,47.0,18.0,23.0,0.0,2.0,14.0,5.0,4.0,2.0,39.0,43.0,7.0,0.0,53.0,18.0,8.0,14.0,3.0,1.0,0.0
