,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165
0,-1.0,101412771.0,102060476.0,1052294460.0,107354463.0,108907087.0,1089689437.0,110093617.0,111676725.0,113850846.0,114228009.0,1232999844.0,123774249.0,125470201.0,130768275.0,130964579.0,1324768782.0,132960957.0,1334181950.0,134787451.0,1366048206.0,137771694.0,139240585.0,142953390.0,1435132286.0,14601059.0,146851150.0,15025739.0,1512277656.0,154310192.0,1543885500.0,156297849.0,1611823958.0,1632492763.0,1645119259.0,165022469.0,165358131.0,166497558.0,1680967477.0,171470700.0,1731184741.0,175940039.0,193259692.0,1940580211.0,195785279.0,202684751.0,2175353912.0,219707710.0,2197757270.0,22050898.0,220650257.0,2212610394.0,2215963890.0,2225932946.0,225872143.0,228962714.0,233878129.0,236220688.0,239732369.0,241133272.0,2433167971.0,243976363.0,2473611470.0,249009475.0,261234318.0,2646548988.0,270499786.0,2729047747.0,2793800390.0,2836936358.0,286625089.0,287034757.0,2899524096.0,293400295.0,296365433.0,296857060.0,3036779365.0,3051062461.0,3062430962.0,307982712.0,308976598.0,3115381736.0,3151111189.0,3168572613.0,318055384.0,3190729378.0,320276712.0,323696702.0,3237159355.0,3252199894.0,3255340824.0,327933071.0,32848099.0,332172521.0,345491974.0,353143721.0,360509494.0,361139312.0,363309757.0,368998915.0,376033636.0,38628597.0,39719507.0,400473050.0,40701166.0,4110572473.0,411938175.0,41429377.0,415104689.0,415655533.0,42384007.0,42408022.0,42820539.0,43517535.0,43603630.0,44263011.0,44325320.0,448787156.0,45105446.0,4701234798.0,470145685.0,484098443.0,4897420390.0,49599851.0,503326012.0,528428158.0,564509598.0,570844916.0,575579160.0,595104002.0,615970966.0,632885310.0,64470910.0,66106824.0,67855918.0,704482034.0,709428673.0,714160554.0,73910595.0,7.429701217366262e+17,744117534.0,7.504876417585603e+17,7.606993695491604e+17,7.69753476859437e+17,78079432.0,799786682.0,8.57266133489e+17,80988216.0,8.249504512841114e+17,8.373377508104397e+17,86367032.0,87691638.0,90628237.0,9.082582228798915e+17,9.097438048606863e+17,9.102035141140193e+17,9.115683269538038e+17,913950841.0,9.274643168608174e+17,93617861.0,94267519.0,9.482843326065664e+17,9.542976535164887e+17,955010947.0,978044378.0,978620102.0
1,101412771.0,0.0,11.0,1.0,0.0,0.0,0.0,7.0,7.0,13.0,4.0,0.0,20.0,2.0,3.0,3.0,7.0,4.0,3.0,10.0,0.0,7.0,0.0,8.0,2.0,7.0,7.0,1.0,1.0,7.0,13.0,0.0,0.0,0.0,8.0,12.0,4.0,0.0,2.0,14.0,7.0,4.0,2.0,3.0,1.0,2.0,13.0,4.0,1.0,3.0,8.0,0.0,7.0,4.0,2.0,2.0,1.0,0.0,8.0,2.0,1.0,0.0,2.0,4.0,2.0,0.0,9.0,1.0,10.0,0.0,0.0,1.0,6.0,2.0,4.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,2.0,14.0,2.0,5.0,10.0,2.0,0.0,16.0,5.0,0.0,5.0,24.0,1.0,3.0,0.0,2.0,0.0,1.0,4.0,4.0,7.0,3.0,19.0,12.0,1.0,9.0,12.0,2.0,12.0,4.0,4.0,1.0,8.0,3.0,3.0,0.0,3.0,0.0,0.0,8.0,7.0,13.0,1.0,0.0,7.0,4.0,4.0,1.0,3.0,0.0,6.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,1.0,1.0
2,102060476.0,11.0,0.0,2.0,0.0,2.0,6.0,8.0,9.0,18.0,9.0,2.0,35.0,0.0,0.0,4.0,22.0,12.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,18.0,4.0,2.0,1.0,5.0,12.0,0.0,3.0,1.0,17.0,22.0,10.0,7.0,6.0,13.0,0.0,7.0,11.0,23.0,0.0,3.0,39.0,13.0,2.0,1.0,14.0,0.0,25.0,10.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,2.0,3.0,5.0,1.0,1.0,5.0,0.0,0.0,0.0,20.0,0.0,12.0,1.0,3.0,2.0,0.0,2.0,7.0,0.0,12.0,8.0,0.0,24.0,1.0,19.0,20.0,1.0,8.0,14.0,0.0,4.0,20.0,34.0,0.0,3.0,12.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,17.0,0.0,8.0,23.0,17.0,29.0,10.0,3.0,0.0,13.0,10.0,4.0,1.0,3.0,4.0,0.0,16.0,20.0,26.0,9.0,0.0,2.0,2.0,4.0,0.0,11.0,0.0,9.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,21.0,10.0,0.0,0.0,0.0,2.0,3.0,0.0,9.0,6.0,0.0,10.0,0.0,0.0,0.0,15.0,3.0,2.0,2.0,1.0,0.0,0.0
3,1052294460.0,1.0,2.0,0.0,0.0,1.0,1.0,8.0,5.0,11.0,0.0,2.0,21.0,1.0,0.0,1.0,16.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,6.0,0.0,1.0,1.0,0.0,0.0,6.0,3.0,15.0,0.0,13.0,9.0,13.0,1.0,0.0,6.0,7.0,15.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,14.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,18.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,5.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,12.0,0.0,15.0,12.0,0.0,8.0,11.0,0.0,3.0,0.0,10.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,16.0,12.0,8.0,0.0,0.0,0.0,11.0,0.0,2.0,3.0,11.0,0.0,0.0,12.0,17.0,11.0,0.0,0.0,8.0,0.0,0.0,12.0,0.0,8.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,5.0,11.0,0.0,12.0,0.0,5.0,0.0,12.0,0.0,5.0,3.0,0.0,0.0,0.0
4,107354463.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,108907087.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,4.0,7.0,0.0,1.0,11.0,0.0,0.0,2.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,1.0,0.0,1.0,0.0,4.0,4.0,9.0,0.0,6.0,2.0,6.0,0.0,0.0,3.0,3.0,9.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,10.0,10.0,0.0,2.0,5.0,0.0,2.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,2.0,3.0,4.0,0.0,0.0,10.0,9.0,3.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,8.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0
6,1089689437.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,1.0,4.0,0.0,1.0,3.0,3.0,0.0,1.0,5.0,1.0,0.0,2.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
7,110093617.0,7.0,8.0,8.0,0.0,3.0,0.0,0.0,16.0,32.0,0.0,4.0,54.0,1.0,0.0,5.0,52.0,8.0,6.0,1.0,2.0,5.0,0.0,0.0,0.0,29.0,21.0,2.0,2.0,2.0,3.0,0.0,11.0,4.0,48.0,7.0,45.0,18.0,21.0,13.0,0.0,10.0,14.0,51.0,1.0,1.0,7.0,21.0,2.0,1.0,12.0,1.0,48.0,21.0,2.0,2.0,1.0,0.0,2.0,2.0,4.0,0.0,30.0,3.0,4.0,13.0,2.0,0.0,2.0,0.0,0.0,1.0,39.0,1.0,23.0,4.0,15.0,3.0,1.0,0.0,0.0,0.0,33.0,17.0,2.0,24.0,0.0,51.0,46.0,0.0,16.0,32.0,0.0,9.0,1.0,48.0,2.0,2.0,16.0,0.0,0.0,1.0,1.0,7.0,3.0,3.0,1.0,6.0,1.0,14.0,3.0,36.0,50.0,31.0,0.0,1.0,1.0,35.0,2.0,2.0,13.0,19.0,0.0,6.0,34.0,49.0,17.0,0.0,4.0,15.0,4.0,0.0,29.0,0.0,25.0,4.0,13.0,1.0,9.0,0.0,1.0,0.0,0.0,3.0,28.0,6.0,0.0,2.0,0.0,18.0,0.0,2.0,20.0,18.0,0.0,27.0,0.0,2.0,0.0,28.0,7.0,4.0,5.0,0.0,1.0,0.0
8,111676725.0,7.0,9.0,5.0,1.0,4.0,2.0,16.0,0.0,69.0,1.0,2.0,69.0,2.0,1.0,7.0,52.0,7.0,5.0,4.0,2.0,7.0,0.0,5.0,1.0,17.0,10.0,1.0,3.0,10.0,25.0,0.0,27.0,3.0,57.0,12.0,34.0,8.0,14.0,16.0,0.0,9.0,28.0,40.0,2.0,0.0,5.0,9.0,9.0,1.0,9.0,0.0,54.0,34.0,1.0,1.0,2.0,0.0,1.0,3.0,8.0,0.0,29.0,2.0,4.0,6.0,13.0,2.0,10.0,0.0,0.0,0.0,68.0,10.0,17.0,4.0,15.0,4.0,3.0,5.0,3.0,1.0,22.0,11.0,0.0,33.0,6.0,62.0,58.0,7.0,6.0,38.0,0.0,4.0,10.0,32.0,3.0,2.0,21.0,0.0,0.0,3.0,2.0,4.0,4.0,6.0,0.0,24.0,0.0,14.0,11.0,20.0,33.0,28.0,2.0,3.0,3.0,28.0,1.0,4.0,4.0,19.0,0.0,12.0,43.0,39.0,8.0,0.0,5.0,31.0,8.0,2.0,13.0,0.0,32.0,18.0,30.0,0.0,27.0,1.0,1.0,2.0,0.0,7.0,30.0,5.0,0.0,1.0,0.0,14.0,0.0,0.0,18.0,15.0,0.0,16.0,0.0,5.0,0.0,26.0,6.0,3.0,5.0,0.0,0.0,0.0
9,113850846.0,13.0,18.0,11.0,6.0,7.0,3.0,32.0,69.0,0.0,6.0,3.0,180.0,4.0,0.0,14.0,147.0,19.0,7.0,9.0,0.0,12.0,0.0,15.0,3.0,61.0,32.0,12.0,7.0,19.0,54.0,1.0,55.0,10.0,137.0,9.0,81.0,24.0,44.0,32.0,0.0,23.0,45.0,125.0,7.0,2.0,5.0,28.0,31.0,4.0,10.0,0.0,196.0,54.0,8.0,5.0,2.0,0.0,1.0,2.0,4.0,1.0,67.0,7.0,8.0,14.0,21.0,4.0,18.0,2.0,0.0,0.0,146.0,9.0,46.0,6.0,28.0,18.0,6.0,12.0,4.0,1.0,49.0,24.0,3.0,36.0,11.0,132.0,153.0,31.0,18.0,63.0,2.0,9.0,19.0,111.0,5.0,3.0,44.0,4.0,0.0,2.0,2.0,19.0,14.0,11.0,1.0,67.0,0.0,28.0,20.0,53.0,115.0,77.0,2.0,8.0,4.0,67.0,4.0,4.0,16.0,32.0,0.0,27.0,94.0,112.0,20.0,1.0,9.0,39.0,8.0,2.0,59.0,2.0,79.0,24.0,102.0,4.0,33.0,2.0,2.0,4.0,0.0,10.0,90.0,19.0,0.0,12.0,0.0,27.0,0.0,8.0,29.0,39.0,0.0,37.0,1.0,4.0,1.0,88.0,13.0,6.0,9.0,1.0,0.0,2.0
