,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,-1.0,100012790.0,106958578.0,132037287.0,138019927.0,141629142.0,157336010.0,158295414.0,16574706.0,172396492.0,17481929.0,185949381.0,216998316.0,252505975.0,272367319.0,28710635.0,2876471272.0,302615681.0,3114531418.0,316917053.0,38516483.0,39269882.0,399071224.0,3999676762.0,43337039.0,4545019757.0,50214560.0,547729566.0,59146843.0,615482866.0,65885323.0,759866124.0,7.901565487524372e+17,7.966721386190111e+17,827450646.0,852352694.0
1,100012790.0,0.0,42.0,17.0,0.0,1.0,10.0,1.0,2.0,93.0,0.0,55.0,99.0,1.0,0.0,2.0,5.0,62.0,6.0,7.0,14.0,12.0,0.0,0.0,1.0,4.0,6.0,39.0,32.0,2.0,15.0,28.0,19.0,24.0,5.0,16.0
2,106958578.0,42.0,0.0,11.0,0.0,4.0,11.0,0.0,2.0,55.0,0.0,72.0,63.0,0.0,0.0,1.0,5.0,41.0,19.0,4.0,11.0,11.0,0.0,0.0,1.0,2.0,6.0,37.0,36.0,5.0,13.0,21.0,10.0,20.0,5.0,12.0
3,132037287.0,17.0,11.0,0.0,0.0,0.0,8.0,3.0,1.0,103.0,0.0,12.0,30.0,0.0,0.0,0.0,3.0,33.0,2.0,39.0,71.0,4.0,1.0,0.0,0.0,2.0,1.0,14.0,55.0,0.0,5.0,17.0,12.0,8.0,16.0,0.0
4,138019927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,141629142.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,15.0,7.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,10.0,12.0,0.0,0.0,6.0,0.0,4.0,6.0,1.0
6,157336010.0,10.0,11.0,8.0,0.0,1.0,0.0,0.0,2.0,65.0,0.0,46.0,36.0,1.0,0.0,2.0,7.0,53.0,6.0,4.0,12.0,6.0,0.0,0.0,0.0,6.0,6.0,48.0,30.0,3.0,4.0,20.0,7.0,19.0,5.0,7.0
7,158295414.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,9.0,0.0,1.0,2.0,1.0
8,16574706.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,21.0,0.0,19.0,13.0,0.0,0.0,14.0,110.0,10.0,1.0,1.0,2.0,4.0,5.0,0.0,3.0,4.0,7.0,19.0,34.0,2.0,1.0,1.0,0.0,5.0,1.0,1.0
9,172396492.0,93.0,55.0,103.0,0.0,8.0,65.0,3.0,21.0,0.0,0.0,123.0,279.0,1.0,0.0,7.0,36.0,151.0,34.0,44.0,135.0,22.0,2.0,1.0,4.0,11.0,35.0,174.0,320.0,10.0,16.0,161.0,47.0,88.0,29.0,21.0
10,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,185949381.0,55.0,72.0,12.0,0.0,15.0,46.0,1.0,19.0,123.0,0.0,0.0,112.0,1.0,0.0,7.0,17.0,106.0,26.0,13.0,29.0,18.0,0.0,0.0,0.0,8.0,19.0,90.0,109.0,8.0,18.0,38.0,15.0,34.0,9.0,16.0
12,216998316.0,99.0,63.0,30.0,0.0,7.0,36.0,1.0,13.0,279.0,0.0,112.0,0.0,1.0,0.0,7.0,34.0,129.0,31.0,35.0,109.0,17.0,0.0,1.0,1.0,7.0,20.0,95.0,128.0,8.0,17.0,116.0,32.0,61.0,11.0,21.0
13,252505975.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,272367319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,28710635.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,14.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,4.0,7.0,4.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,4.0,12.0,22.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0
16,2876471272.0,5.0,5.0,3.0,0.0,4.0,7.0,1.0,110.0,36.0,0.0,17.0,34.0,0.0,0.0,4.0,0.0,21.0,5.0,9.0,20.0,5.0,0.0,0.0,1.0,2.0,3.0,18.0,54.0,1.0,2.0,22.0,3.0,14.0,4.0,5.0
17,302615681.0,62.0,41.0,33.0,0.0,3.0,53.0,1.0,10.0,151.0,0.0,106.0,129.0,1.0,0.0,7.0,21.0,0.0,20.0,14.0,35.0,22.0,1.0,0.0,2.0,14.0,13.0,102.0,97.0,8.0,15.0,61.0,21.0,41.0,18.0,21.0
18,3114531418.0,6.0,19.0,2.0,0.0,1.0,6.0,1.0,1.0,34.0,0.0,26.0,31.0,0.0,0.0,4.0,5.0,20.0,0.0,7.0,26.0,3.0,0.0,0.0,1.0,1.0,1.0,16.0,56.0,1.0,2.0,21.0,2.0,16.0,4.0,5.0
19,316917053.0,7.0,4.0,39.0,0.0,1.0,4.0,20.0,1.0,44.0,0.0,13.0,35.0,0.0,0.0,1.0,9.0,14.0,7.0,0.0,344.0,4.0,0.0,0.0,0.0,1.0,1.0,12.0,60.0,1.0,2.0,51.0,1.0,13.0,17.0,4.0
20,38516483.0,14.0,11.0,71.0,0.0,2.0,12.0,34.0,2.0,135.0,0.0,29.0,109.0,0.0,0.0,2.0,20.0,35.0,26.0,344.0,0.0,11.0,0.0,0.0,0.0,4.0,4.0,40.0,161.0,3.0,1.0,154.0,3.0,29.0,29.0,8.0
21,39269882.0,12.0,11.0,4.0,0.0,2.0,6.0,1.0,4.0,22.0,0.0,18.0,17.0,0.0,0.0,3.0,5.0,22.0,3.0,4.0,11.0,0.0,0.0,0.0,0.0,5.0,2.0,22.0,14.0,2.0,8.0,13.0,3.0,11.0,2.0,6.0
22,399071224.0,0.0,0.0,1.0,15.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,3999676762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,43337039.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
25,4545019757.0,4.0,2.0,2.0,0.0,0.0,6.0,0.0,4.0,11.0,0.0,8.0,7.0,0.0,0.0,2.0,2.0,14.0,1.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,10.0,18.0,0.0,2.0,4.0,1.0,4.0,5.0,2.0
26,50214560.0,6.0,6.0,1.0,0.0,3.0,6.0,0.0,7.0,35.0,0.0,19.0,20.0,1.0,0.0,4.0,3.0,13.0,1.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,28.0,27.0,6.0,0.0,6.0,1.0,6.0,1.0,5.0
27,547729566.0,39.0,37.0,14.0,0.0,10.0,48.0,2.0,19.0,174.0,0.0,90.0,95.0,1.0,0.0,12.0,18.0,102.0,16.0,12.0,40.0,22.0,1.0,0.0,1.0,10.0,28.0,0.0,103.0,6.0,13.0,114.0,13.0,32.0,9.0,16.0
28,59146843.0,32.0,36.0,55.0,0.0,12.0,30.0,4.0,34.0,320.0,0.0,109.0,128.0,1.0,0.0,22.0,54.0,97.0,56.0,60.0,161.0,14.0,1.0,0.0,2.0,18.0,27.0,103.0,0.0,10.0,6.0,82.0,9.0,41.0,28.0,9.0
29,615482866.0,2.0,5.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,0.0,8.0,8.0,0.0,0.0,2.0,1.0,8.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,6.0,6.0,10.0,0.0,0.0,6.0,1.0,4.0,0.0,3.0
30,65885323.0,15.0,13.0,5.0,0.0,0.0,4.0,0.0,1.0,16.0,0.0,18.0,17.0,0.0,0.0,1.0,2.0,15.0,2.0,2.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,13.0,6.0,0.0,0.0,5.0,6.0,9.0,2.0,4.0
31,759866124.0,28.0,21.0,17.0,0.0,6.0,20.0,9.0,1.0,161.0,0.0,38.0,116.0,0.0,0.0,3.0,22.0,61.0,21.0,51.0,154.0,13.0,0.0,0.0,0.0,4.0,6.0,114.0,82.0,6.0,5.0,0.0,15.0,53.0,6.0,14.0
32,7.901565487524372e+17,19.0,10.0,12.0,0.0,0.0,7.0,0.0,0.0,47.0,0.0,15.0,32.0,0.0,0.0,1.0,3.0,21.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,13.0,9.0,1.0,6.0,15.0,0.0,9.0,1.0,8.0
33,7.966721386190111e+17,24.0,20.0,8.0,0.0,4.0,19.0,1.0,5.0,88.0,0.0,34.0,61.0,0.0,0.0,4.0,14.0,41.0,16.0,13.0,29.0,11.0,0.0,0.0,1.0,4.0,6.0,32.0,41.0,4.0,9.0,53.0,9.0,0.0,7.0,13.0
34,827450646.0,5.0,5.0,16.0,0.0,6.0,5.0,2.0,1.0,29.0,0.0,9.0,11.0,0.0,0.0,1.0,4.0,18.0,4.0,17.0,29.0,2.0,0.0,0.0,0.0,5.0,1.0,9.0,28.0,0.0,2.0,6.0,1.0,7.0,0.0,4.0
35,852352694.0,16.0,12.0,0.0,0.0,1.0,7.0,1.0,1.0,21.0,0.0,16.0,21.0,1.0,0.0,3.0,5.0,21.0,5.0,4.0,8.0,6.0,0.0,0.0,1.0,2.0,5.0,16.0,9.0,3.0,4.0,14.0,8.0,13.0,4.0,0.0
