,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,-1.0,114972104.0,1251761899.0,132095476.0,17481929.0,212140092.0,2729876982.0,2752498194.0,2885548309.0,2957064542.0,303614887.0,30860019.0,3106953674.0,3245938951.0,335159421.0,3378668294.0,342637804.0,564857169.0,61728690.0,628960161.0,7.154919439505859e+17,7.302814517453619e+17,7.900731426014044e+17,7.985374790495928e+17,8.24601292718936e+17,8.358668750158684e+17,8.694481619826401e+17,8.73521970523947e+17,8.873168851375718e+17,9.036251601245389e+17,9.083830030043873e+17,9.438973223536968e+17,9.48090855553876e+17
1,114972104.0,0.0,3.0,1.0,0.0,1.0,11.0,3.0,0.0,4.0,0.0,10.0,0.0,6.0,26.0,6.0,6.0,7.0,2.0,0.0,0.0,2.0,0.0,5.0,5.0,9.0,2.0,11.0,0.0,0.0,6.0,6.0,1.0
2,1251761899.0,3.0,0.0,13.0,0.0,0.0,10.0,62.0,0.0,42.0,7.0,17.0,53.0,117.0,135.0,53.0,59.0,13.0,5.0,6.0,27.0,75.0,2.0,77.0,91.0,136.0,51.0,42.0,3.0,4.0,97.0,54.0,114.0
3,132095476.0,1.0,13.0,0.0,0.0,0.0,1.0,4.0,0.0,6.0,1.0,0.0,0.0,4.0,12.0,0.0,5.0,2.0,0.0,5.0,2.0,5.0,0.0,5.0,1.0,9.0,11.0,4.0,0.0,0.0,4.0,2.0,3.0
4,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,212140092.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2729876982.0,11.0,10.0,1.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,6.0,21.0,12.0,14.0,5.0,11.0,2.0,1.0,2.0,4.0,7.0,0.0,12.0,7.0,12.0,9.0,10.0,0.0,2.0,11.0,25.0,10.0
7,2752498194.0,3.0,62.0,4.0,0.0,0.0,4.0,0.0,0.0,18.0,1.0,7.0,9.0,46.0,60.0,32.0,23.0,4.0,1.0,5.0,9.0,21.0,1.0,35.0,60.0,82.0,23.0,16.0,1.0,3.0,57.0,23.0,44.0
8,2885548309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2957064542.0,4.0,42.0,6.0,0.0,0.0,12.0,18.0,0.0,0.0,2.0,7.0,11.0,70.0,59.0,21.0,25.0,8.0,2.0,97.0,8.0,36.0,0.0,27.0,18.0,32.0,98.0,84.0,0.0,1.0,42.0,36.0,30.0
10,303614887.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,4.0,10.0,2.0,7.0,0.0,0.0,0.0,2.0,7.0,0.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,4.0,0.0,6.0
11,30860019.0,10.0,17.0,0.0,0.0,1.0,6.0,7.0,0.0,7.0,1.0,0.0,10.0,18.0,43.0,8.0,6.0,9.0,3.0,1.0,4.0,20.0,0.0,17.0,10.0,13.0,7.0,7.0,0.0,0.0,21.0,12.0,16.0
12,3106953674.0,0.0,53.0,0.0,0.0,0.0,21.0,9.0,0.0,11.0,2.0,10.0,0.0,37.0,40.0,12.0,15.0,12.0,1.0,2.0,9.0,24.0,0.0,19.0,11.0,18.0,13.0,12.0,0.0,0.0,34.0,27.0,42.0
13,3245938951.0,6.0,117.0,4.0,0.0,0.0,12.0,46.0,0.0,70.0,4.0,18.0,37.0,0.0,132.0,36.0,71.0,14.0,3.0,13.0,27.0,93.0,1.0,83.0,47.0,64.0,34.0,47.0,2.0,1.0,123.0,60.0,114.0
14,335159421.0,26.0,135.0,12.0,0.0,1.0,14.0,60.0,0.0,59.0,10.0,43.0,40.0,132.0,0.0,47.0,71.0,38.0,10.0,9.0,29.0,99.0,1.0,87.0,64.0,88.0,28.0,60.0,1.0,4.0,125.0,67.0,115.0
15,3378668294.0,6.0,53.0,0.0,0.0,0.0,5.0,32.0,0.0,21.0,2.0,8.0,12.0,36.0,47.0,0.0,16.0,2.0,0.0,3.0,6.0,23.0,1.0,35.0,59.0,92.0,36.0,36.0,1.0,3.0,38.0,22.0,28.0
16,342637804.0,6.0,59.0,5.0,0.0,0.0,11.0,23.0,0.0,25.0,7.0,6.0,15.0,71.0,71.0,16.0,0.0,3.0,1.0,2.0,13.0,46.0,0.0,34.0,23.0,33.0,24.0,22.0,0.0,2.0,46.0,47.0,54.0
17,564857169.0,7.0,13.0,2.0,0.0,0.0,2.0,4.0,0.0,8.0,0.0,9.0,12.0,14.0,38.0,2.0,3.0,0.0,7.0,3.0,2.0,10.0,0.0,12.0,12.0,9.0,2.0,7.0,0.0,1.0,15.0,8.0,13.0
18,61728690.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,3.0,10.0,0.0,1.0,7.0,0.0,2.0,1.0,5.0,0.0,2.0,5.0,3.0,0.0,2.0,0.0,0.0,6.0,4.0,6.0
19,628960161.0,0.0,6.0,5.0,0.0,0.0,2.0,5.0,0.0,97.0,0.0,1.0,2.0,13.0,9.0,3.0,2.0,3.0,2.0,0.0,1.0,12.0,0.0,6.0,8.0,6.0,231.0,128.0,0.0,0.0,10.0,4.0,9.0
