,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,-1.0,102367635.0,106695874.0,1144278408.0,115508152.0,117308191.0,126832007.0,131596544.0,132336370.0,13609682.0,1396180459.0,14768975.0,161183224.0,168487144.0,170290373.0,187755439.0,192812089.0,20022054.0,220698847.0,231620897.0,23444563.0,242884086.0,24530711.0,246256048.0,254562085.0,26053105.0,26791492.0,26946099.0,27808681.0,289781808.0,28980542.0,29014549.0,3017879730.0,306729753.0,311859741.0,333683082.0,358546924.0,36244693.0,377341937.0,37958165.0,392628927.0,400029775.0,40006971.0,45416677.0,461037420.0,469391870.0,476845765.0,5128551.0,518369155.0,53118903.0,56038291.0,57262449.0,58812687.0,67861403.0,68127286.0,757128968.0,76415065.0,7.74493669277651e+17,79475954.0,85251938.0,890515868.0,8.926911600193536e+17,8983052.0,90222516.0,9.3038540547149e+17,93617861.0
1,102367635.0,0.0,10.0,0.0,28.0,2.0,0.0,27.0,0.0,5.0,4.0,18.0,1.0,2.0,13.0,0.0,3.0,48.0,13.0,11.0,8.0,8.0,0.0,6.0,1.0,4.0,12.0,13.0,1.0,51.0,19.0,3.0,0.0,0.0,6.0,12.0,0.0,30.0,6.0,0.0,1.0,8.0,3.0,4.0,0.0,6.0,0.0,13.0,4.0,4.0,3.0,9.0,16.0,1.0,16.0,0.0,0.0,7.0,0.0,5.0,1.0,3.0,2.0,2.0,10.0,2.0
2,106695874.0,10.0,0.0,0.0,5.0,2.0,0.0,8.0,0.0,4.0,2.0,7.0,1.0,2.0,2.0,0.0,3.0,1.0,3.0,13.0,17.0,2.0,2.0,3.0,1.0,2.0,4.0,6.0,1.0,6.0,9.0,6.0,0.0,0.0,3.0,1.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,1.0,2.0,18.0,7.0,1.0,21.0,0.0,0.0,2.0,1.0,4.0,1.0,4.0,2.0,5.0,0.0,17.0
3,1144278408.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,115508152.0,28.0,5.0,1.0,0.0,9.0,0.0,23.0,4.0,7.0,3.0,12.0,1.0,6.0,25.0,0.0,4.0,15.0,8.0,13.0,4.0,8.0,1.0,10.0,3.0,2.0,8.0,6.0,3.0,62.0,86.0,4.0,0.0,2.0,1.0,6.0,4.0,12.0,28.0,10.0,2.0,2.0,0.0,0.0,0.0,22.0,1.0,15.0,5.0,4.0,3.0,16.0,56.0,1.0,13.0,0.0,0.0,8.0,0.0,6.0,3.0,3.0,2.0,9.0,4.0,9.0
5,117308191.0,2.0,2.0,0.0,9.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,3.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,6.0,0.0,12.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,8.0,0.0,12.0
6,126832007.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,131596544.0,27.0,8.0,0.0,23.0,4.0,1.0,0.0,0.0,13.0,3.0,10.0,3.0,15.0,16.0,0.0,5.0,3.0,7.0,26.0,7.0,14.0,1.0,23.0,3.0,3.0,19.0,11.0,2.0,48.0,42.0,12.0,4.0,4.0,3.0,11.0,5.0,22.0,8.0,4.0,8.0,0.0,2.0,0.0,2.0,6.0,1.0,31.0,20.0,8.0,6.0,30.0,55.0,7.0,31.0,0.0,7.0,9.0,2.0,7.0,3.0,5.0,3.0,24.0,2.0,4.0
8,132336370.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9,13609682.0,5.0,4.0,0.0,7.0,1.0,0.0,13.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,2.0,4.0,2.0,0.0,9.0,2.0,0.0,3.0,1.0,1.0,11.0,13.0,3.0,1.0,2.0,2.0,4.0,1.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,19.0,3.0,3.0,5.0,29.0,1.0,9.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,12.0,0.0,1.0
10,1396180459.0,4.0,2.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,0.0,3.0,5.0,1.0,2.0,0.0,1.0,1.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,1.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0
11,14768975.0,18.0,7.0,0.0,12.0,0.0,0.0,10.0,1.0,3.0,3.0,0.0,0.0,0.0,9.0,0.0,2.0,80.0,10.0,2.0,12.0,2.0,0.0,2.0,0.0,2.0,9.0,4.0,0.0,21.0,23.0,3.0,0.0,0.0,2.0,6.0,1.0,22.0,8.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,11.0,5.0,5.0,1.0,2.0,10.0,1.0,15.0,0.0,0.0,4.0,0.0,9.0,1.0,3.0,1.0,2.0,0.0,1.0
12,161183224.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
13,168487144.0,2.0,2.0,0.0,6.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,12.0,14.0,6.0,2.0,0.0,0.0,1.0,1.0,7.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,12.0,1.0,6.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0
14,170290373.0,13.0,2.0,1.0,25.0,1.0,0.0,16.0,3.0,1.0,3.0,9.0,0.0,1.0,0.0,0.0,3.0,2.0,5.0,7.0,2.0,7.0,1.0,5.0,0.0,2.0,7.0,6.0,0.0,31.0,37.0,0.0,0.0,0.0,1.0,6.0,3.0,8.0,11.0,12.0,1.0,0.0,0.0,0.0,1.0,11.0,1.0,10.0,3.0,4.0,2.0,7.0,34.0,3.0,6.0,0.0,0.0,5.0,1.0,7.0,2.0,2.0,1.0,4.0,0.0,1.0
15,187755439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0
