,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
0,-1.0,100761275.0,101486161.0,104421212.0,104892498.0,1052356087.0,1161456848.0,116811672.0,12178912.0,122110275.0,123789400.0,1316031786.0,1355361817.0,142201164.0,1429114675.0,1446690452.0,144800564.0,148852001.0,14905049.0,162162232.0,163483677.0,164548702.0,167721293.0,17035802.0,183106442.0,18585765.0,19823490.0,218488473.0,21962332.0,22475032.0,225461423.0,227028929.0,2327642576.0,2357754350.0,23715801.0,2389533199.0,247222343.0,25864147.0,259599610.0,2598331460.0,2599844916.0,26315767.0,269845623.0,280729473.0,2822231711.0,2893169849.0,292957431.0,2971298278.0,297946591.0,2990090798.0,3041707718.0,3082674381.0,316952804.0,3254350010.0,32899653.0,344635941.0,359069668.0,37450544.0,377374339.0,37895499.0,37897916.0,3871366887.0,387322416.0,39111827.0,399918534.0,41032068.0,427479465.0,435848964.0,4847720368.0,536273078.0,54853852.0,562056284.0,57293931.0,589069207.0,65585237.0,704650616.0,71772133.0,7.361638189429268e+17,73945657.0,74426582.0,7.583418613417984e+17,83057072.0,835589942.0,8.396193322923704e+17,85586162.0,866379432.0,924288276.0
1,100761275.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,15.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0
2,101486161.0,0.0,0.0,0.0,1.0,5.0,1.0,5.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,13.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,11.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0
3,104421212.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,104892498.0,1.0,1.0,1.0,0.0,8.0,21.0,6.0,14.0,8.0,8.0,71.0,2.0,6.0,2.0,0.0,28.0,11.0,10.0,9.0,0.0,1.0,6.0,168.0,6.0,1.0,5.0,15.0,3.0,0.0,0.0,1.0,2.0,8.0,9.0,0.0,2.0,1.0,2.0,7.0,27.0,15.0,0.0,3.0,2.0,12.0,21.0,14.0,14.0,5.0,33.0,5.0,5.0,0.0,36.0,155.0,0.0,0.0,24.0,9.0,3.0,12.0,39.0,30.0,7.0,2.0,1.0,4.0,10.0,0.0,3.0,1.0,6.0,11.0,22.0,18.0,0.0,10.0,10.0,3.0,0.0,41.0,12.0,9.0,5.0,46.0,9.0
5,1052356087.0,1.0,5.0,0.0,8.0,0.0,5.0,7.0,10.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,5.0,8.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,7.0,4.0,0.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0,3.0,2.0,4.0,0.0,4.0,8.0,0.0,0.0,9.0,0.0,0.0,1.0,9.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,16.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,3.0,3.0,1.0
6,1161456848.0,2.0,1.0,1.0,21.0,5.0,0.0,4.0,25.0,6.0,3.0,3.0,0.0,4.0,1.0,3.0,31.0,10.0,22.0,3.0,0.0,1.0,8.0,93.0,3.0,1.0,15.0,18.0,4.0,0.0,1.0,0.0,8.0,8.0,39.0,3.0,2.0,1.0,1.0,3.0,44.0,7.0,0.0,16.0,0.0,16.0,6.0,39.0,31.0,2.0,17.0,2.0,4.0,0.0,28.0,11.0,0.0,0.0,7.0,2.0,0.0,0.0,39.0,12.0,13.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,7.0,5.0,2.0,3.0,1.0,5.0,1.0,1.0,0.0,17.0,13.0,13.0,6.0,4.0,8.0
7,116811672.0,0.0,5.0,0.0,6.0,7.0,4.0,0.0,4.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,3.0,2.0,0.0,0.0,5.0,11.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,0.0,6.0,1.0,5.0,0.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,8.0,0.0,1.0,1.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,2.0
8,12178912.0,3.0,2.0,1.0,14.0,10.0,25.0,4.0,0.0,9.0,3.0,1.0,1.0,1.0,1.0,15.0,22.0,11.0,25.0,28.0,0.0,0.0,4.0,101.0,8.0,2.0,85.0,11.0,8.0,0.0,0.0,0.0,4.0,2.0,48.0,0.0,1.0,1.0,3.0,1.0,16.0,5.0,0.0,34.0,2.0,6.0,11.0,134.0,11.0,2.0,22.0,7.0,5.0,0.0,18.0,12.0,0.0,0.0,15.0,4.0,1.0,2.0,34.0,12.0,3.0,1.0,0.0,5.0,0.0,0.0,2.0,1.0,7.0,5.0,5.0,4.0,1.0,4.0,10.0,3.0,0.0,44.0,6.0,6.0,12.0,1.0,9.0
9,122110275.0,1.0,2.0,0.0,8.0,6.0,6.0,3.0,9.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,6.0,3.0,57.0,16.0,0.0,0.0,0.0,25.0,3.0,0.0,3.0,2.0,4.0,1.0,0.0,1.0,4.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0,6.0,2.0,0.0,19.0,2.0,9.0,4.0,3.0,3.0,0.0,6.0,2.0,0.0,0.0,3.0,6.0,0.0,0.0,9.0,1.0,0.0,2.0,19.0,15.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,6.0,3.0,0.0,0.0,2.0,15.0,0.0,7.0,1.0,0.0,3.0,1.0,1.0
10,123789400.0,1.0,1.0,0.0,8.0,1.0,3.0,2.0,3.0,2.0,0.0,1.0,13.0,2.0,1.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,20.0,2.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,0.0,3.0,6.0,0.0,0.0,14.0,1.0,0.0,2.0,9.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,10.0,1.0,1.0,2.0,1.0,1.0
11,1316031786.0,0.0,0.0,1.0,71.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,38.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,3.0,39.0,0.0,0.0,7.0,0.0,1.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,7.0,1.0
12,1355361817.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,13.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
13,142201164.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,5.0,4.0,5.0,0.0,0.0,3.0
14,1429114675.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
15,1446690452.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,20.0,1.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,39.0,0.0,0.0,0.0,93.0,0.0,1.0,16.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
16,144800564.0,1.0,2.0,1.0,28.0,3.0,31.0,6.0,22.0,6.0,2.0,5.0,1.0,5.0,0.0,1.0,0.0,12.0,16.0,3.0,1.0,0.0,6.0,74.0,7.0,0.0,9.0,16.0,4.0,1.0,0.0,0.0,4.0,6.0,15.0,1.0,2.0,0.0,2.0,3.0,35.0,5.0,0.0,11.0,0.0,17.0,3.0,19.0,10.0,4.0,26.0,8.0,6.0,0.0,32.0,20.0,1.0,3.0,9.0,7.0,0.0,5.0,55.0,17.0,7.0,0.0,0.0,4.0,3.0,0.0,4.0,0.0,11.0,10.0,8.0,6.0,0.0,9.0,2.0,2.0,0.0,29.0,9.0,11.0,4.0,4.0,8.0
17,148852001.0,0.0,0.0,3.0,11.0,1.0,10.0,1.0,11.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,12.0,0.0,11.0,0.0,0.0,0.0,4.0,28.0,4.0,1.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,9.0,2.0,0.0,5.0,0.0,7.0,2.0,5.0,8.0,2.0,9.0,1.0,1.0,0.0,11.0,5.0,0.0,0.0,1.0,2.0,1.0,1.0,20.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,1.0,0.0,3.0,2.0,0.0,1.0,6.0,3.0,4.0,0.0,1.0,3.0
18,14905049.0,15.0,0.0,0.0,10.0,1.0,22.0,3.0,25.0,57.0,2.0,3.0,0.0,3.0,0.0,3.0,16.0,11.0,0.0,7.0,0.0,0.0,6.0,117.0,10.0,1.0,16.0,9.0,48.0,0.0,0.0,0.0,1.0,6.0,48.0,0.0,0.0,1.0,1.0,1.0,16.0,2.0,0.0,22.0,6.0,21.0,2.0,58.0,5.0,17.0,17.0,1.0,5.0,0.0,28.0,6.0,0.0,0.0,6.0,4.0,1.0,0.0,68.0,12.0,1.0,1.0,1.0,0.0,1.0,0.0,18.0,9.0,30.0,8.0,5.0,7.0,0.0,6.0,3.0,16.0,0.0,11.0,4.0,6.0,2.0,2.0,31.0
19,162162232.0,2.0,1.0,0.0,9.0,3.0,3.0,2.0,28.0,16.0,4.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,3.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,9.0,0.0,1.0,0.0,2.0,0.0,5.0,3.0,0.0,3.0,3.0,2.0,9.0,2.0,6.0,0.0,5.0,3.0,1.0,0.0,8.0,7.0,0.0,0.0,10.0,1.0,0.0,0.0,10.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,0.0,2.0,7.0,2.0,2.0,16.0,1.0,0.0,5.0,1.0,1.0
20,163483677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,164548702.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,167721293.0,0.0,13.0,1.0,6.0,5.0,8.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,5.0,2.0,19.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,12.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,9.0,17.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,3.0
23,17035802.0,4.0,2.0,2.0,168.0,8.0,93.0,11.0,101.0,25.0,20.0,38.0,4.0,8.0,4.0,20.0,74.0,28.0,117.0,19.0,0.0,1.0,12.0,0.0,12.0,3.0,25.0,37.0,31.0,1.0,0.0,1.0,9.0,23.0,56.0,1.0,3.0,0.0,5.0,5.0,83.0,22.0,1.0,25.0,5.0,31.0,55.0,28.0,23.0,20.0,105.0,8.0,6.0,0.0,96.0,148.0,1.0,5.0,48.0,5.0,1.0,23.0,155.0,65.0,9.0,2.0,0.0,8.0,3.0,1.0,4.0,18.0,19.0,17.0,26.0,21.0,0.0,22.0,13.0,9.0,1.0,93.0,23.0,24.0,13.0,30.0,32.0
24,183106442.0,0.0,1.0,1.0,6.0,0.0,3.0,1.0,8.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,7.0,4.0,10.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,7.0,0.0,2.0,0.0,2.0,15.0,0.0,4.0,9.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,3.0
25,18585765.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0
26,19823490.0,2.0,0.0,1.0,5.0,2.0,15.0,1.0,85.0,3.0,2.0,0.0,0.0,0.0,0.0,69.0,9.0,3.0,16.0,3.0,2.0,0.0,2.0,25.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,140.0,0.0,0.0,0.0,1.0,4.0,4.0,24.0,0.0,216.0,0.0,1.0,4.0,489.0,2.0,2.0,9.0,5.0,1.0,0.0,3.0,7.0,0.0,0.0,12.0,1.0,1.0,1.0,6.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,8.0,1.0,0.0,4.0,1.0,0.0
27,218488473.0,1.0,1.0,1.0,15.0,2.0,18.0,1.0,11.0,2.0,3.0,1.0,1.0,2.0,1.0,0.0,16.0,7.0,9.0,4.0,0.0,2.0,5.0,37.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,30.0,2.0,0.0,1.0,1.0,7.0,3.0,4.0,14.0,2.0,15.0,3.0,0.0,0.0,28.0,6.0,1.0,0.0,12.0,2.0,0.0,0.0,23.0,11.0,11.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,7.0,1.0,3.0,0.0,6.0,4.0,2.0,0.0,9.0,10.0,12.0,4.0,1.0,5.0
28,21962332.0,0.0,2.0,0.0,3.0,0.0,4.0,1.0,8.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,48.0,2.0,0.0,0.0,0.0,31.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,6.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,13.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,2.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0
29,22475032.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
