,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
0,-1.0,104794259.0,1110840294.0,111901848.0,116503509.0,11658172.0,117683777.0,122322961.0,122947803.0,123154757.0,1309690194.0,13203032.0,1354594075.0,136522872.0,1372440206.0,14195753.0,14223083.0,14311121.0,1434246793.0,14428536.0,144491582.0,144988686.0,145602070.0,145995046.0,146900193.0,14714136.0,148786408.0,149580057.0,151295285.0,152205174.0,155517993.0,15657091.0,160221039.0,16351147.0,16418528.0,164666306.0,16470319.0,16542463.0,169085447.0,169344983.0,16947322.0,17563718.0,17676091.0,17833909.0,1799044873.0,1883645040.0,188951688.0,193425664.0,19685758.0,201759331.0,217323941.0,218192899.0,21998539.0,220299126.0,2203756369.0,22243745.0,22256003.0,2261276785.0,2271712621.0,231231635.0,231584136.0,233627103.0,237598493.0,2426665586.0,2473190790.0,252870274.0,2547040466.0,256882565.0,264471883.0,267381680.0,278527917.0,28523658.0,29892753.0,301586617.0,310340546.0,3129259739.0,314173761.0,321312701.0,333310734.0,35116562.0,361704573.0,36453220.0,36911342.0,371088454.0,37114659.0,37598805.0,396751119.0,410763191.0,42778117.0,43828470.0,4487840539.0,4677857995.0,4702623439.0,48005794.0,499475087.0,52356199.0,578770422.0,597135391.0,60822560.0,608866235.0,614694299.0,61927602.0,62558115.0,62845902.0,62972086.0,63069724.0,64070520.0,64455961.0,64558929.0,64694303.0,65878362.0,65916370.0,66291899.0,66632083.0,69839181.0,71834922.0,72161620.0,72302410.0,72315090.0,7.23843107729494e+17,72480943.0,72772802.0,7.361332612487291e+17,73857971.0,742435256.0,74438359.0,75277864.0,76026916.0,77187387.0,77374206.0,77435960.0,78028120.0,79382630.0,79709053.0,80874374.0,81850109.0,82032959.0,84209996.0,85580306.0,945866575.0,95133471.0,952583990.0,95623358.0,9770742.0,98842160.0
1,104794259.0,0.0,1.0,0.0,32.0,3.0,1.0,1.0,2.0,46.0,0.0,49.0,143.0,12.0,1.0,6.0,31.0,10.0,35.0,63.0,12.0,29.0,50.0,94.0,1.0,37.0,0.0,0.0,4.0,110.0,148.0,47.0,15.0,3.0,2.0,37.0,10.0,27.0,1.0,11.0,2.0,20.0,1.0,0.0,17.0,2.0,1.0,2.0,40.0,0.0,78.0,0.0,40.0,6.0,0.0,11.0,89.0,0.0,16.0,57.0,1.0,47.0,1.0,39.0,8.0,7.0,0.0,1.0,8.0,40.0,204.0,13.0,13.0,2.0,0.0,3.0,1.0,79.0,14.0,29.0,0.0,61.0,8.0,6.0,0.0,1.0,0.0,0.0,52.0,0.0,0.0,1.0,5.0,1.0,42.0,51.0,6.0,0.0,44.0,0.0,120.0,0.0,37.0,103.0,22.0,75.0,46.0,0.0,5.0,68.0,17.0,24.0,38.0,5.0,2.0,118.0,58.0,30.0,91.0,1.0,157.0,55.0,30.0,13.0,0.0,61.0,2.0,6.0,1.0,83.0,51.0,3.0,1.0,0.0,15.0,0.0,31.0,31.0,37.0,52.0,31.0,0.0,0.0,0.0,8.0
2,1110840294.0,1.0,0.0,0.0,1.0,10.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,7.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,5.0,4.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,21.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,24.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,10.0,1.0,0.0,1.0,2.0,0.0,2.0,17.0,1.0,1.0,2.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,16.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
3,111901848.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,116503509.0,32.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,17.0,0.0,23.0,43.0,5.0,1.0,4.0,16.0,11.0,11.0,38.0,5.0,8.0,21.0,30.0,1.0,11.0,0.0,1.0,4.0,34.0,41.0,19.0,12.0,3.0,3.0,7.0,16.0,8.0,2.0,4.0,0.0,10.0,3.0,0.0,7.0,2.0,2.0,0.0,14.0,0.0,30.0,0.0,14.0,4.0,0.0,3.0,34.0,0.0,5.0,36.0,2.0,15.0,1.0,18.0,0.0,1.0,0.0,1.0,2.0,8.0,53.0,9.0,4.0,0.0,0.0,2.0,0.0,25.0,1.0,21.0,0.0,18.0,2.0,3.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,4.0,2.0,9.0,15.0,6.0,0.0,14.0,0.0,35.0,0.0,20.0,37.0,16.0,32.0,18.0,0.0,6.0,19.0,5.0,8.0,13.0,4.0,1.0,30.0,22.0,10.0,36.0,1.0,52.0,18.0,7.0,5.0,0.0,20.0,2.0,4.0,0.0,20.0,10.0,1.0,0.0,2.0,6.0,0.0,16.0,11.0,14.0,17.0,13.0,1.0,0.0,0.0,6.0
5,11658172.0,3.0,10.0,1.0,2.0,0.0,4.0,0.0,7.0,2.0,16.0,15.0,1.0,1.0,1.0,25.0,15.0,2.0,4.0,31.0,0.0,6.0,8.0,6.0,0.0,3.0,3.0,1.0,8.0,9.0,6.0,1.0,2.0,2.0,70.0,1.0,1.0,1.0,7.0,2.0,34.0,12.0,61.0,4.0,0.0,13.0,1.0,1.0,5.0,2.0,19.0,2.0,1.0,3.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,8.0,3.0,3.0,0.0,0.0,20.0,2.0,1.0,0.0,23.0,2.0,5.0,14.0,0.0,12.0,4.0,0.0,2.0,5.0,0.0,5.0,0.0,206.0,4.0,6.0,2.0,1.0,1.0,0.0,0.0,11.0,75.0,4.0,2.0,12.0,9.0,4.0,20.0,0.0,2.0,0.0,1.0,15.0,3.0,10.0,8.0,74.0,3.0,1.0,2.0,5.0,0.0,1.0,30.0,3.0,4.0,4.0,21.0,27.0,23.0,18.0,0.0,3.0,1.0,6.0,83.0,4.0,2.0,1.0,3.0,4.0,4.0,1.0,0.0,7.0,0.0,7.0,6.0,2.0,2.0,1.0,0.0,3.0,3.0
6,117683777.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,122322961.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8,122947803.0,2.0,1.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,3.0,5.0,1.0,7.0,4.0,1.0,1.0,4.0,0.0,2.0,17.0,6.0,12.0,2.0,2.0,0.0,5.0,1.0,1.0,0.0,3.0,1.0,8.0,9.0,4.0,1.0,0.0,3.0,2.0,1.0,3.0,1.0,12.0,1.0,0.0,2.0,2.0,0.0,11.0,0.0,1.0,1.0,0.0,14.0,0.0,10.0,0.0,1.0,0.0,0.0,3.0,1.0,21.0,1.0,15.0,3.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,3.0,3.0,3.0,1.0,0.0,0.0,3.0,12.0,31.0,0.0,0.0,1.0,4.0,9.0,9.0,1.0,1.0,0.0,0.0,17.0,16.0,2.0,2.0,3.0,0.0,1.0,1.0,6.0,0.0,1.0,5.0,8.0,4.0,2.0,11.0,1.0,14.0,12.0,0.0,5.0,2.0,10.0,17.0,7.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,6.0,0.0,0.0,0.0,1.0
9,123154757.0,46.0,1.0,0.0,17.0,2.0,0.0,1.0,0.0,0.0,0.0,29.0,80.0,4.0,2.0,4.0,26.0,13.0,13.0,80.0,8.0,33.0,49.0,54.0,1.0,18.0,0.0,0.0,2.0,62.0,86.0,27.0,15.0,3.0,3.0,20.0,10.0,20.0,0.0,7.0,0.0,14.0,2.0,0.0,16.0,1.0,1.0,1.0,35.0,1.0,45.0,0.0,14.0,8.0,0.0,4.0,56.0,0.0,10.0,32.0,0.0,59.0,1.0,62.0,12.0,2.0,0.0,1.0,14.0,8.0,107.0,18.0,11.0,2.0,0.0,3.0,0.0,47.0,2.0,31.0,1.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,5.0,1.0,25.0,39.0,6.0,0.0,37.0,0.0,103.0,0.0,30.0,79.0,14.0,76.0,14.0,0.0,12.0,24.0,19.0,25.0,66.0,3.0,3.0,68.0,47.0,34.0,80.0,0.0,83.0,65.0,16.0,8.0,0.0,43.0,0.0,3.0,1.0,62.0,58.0,3.0,0.0,1.0,4.0,0.0,32.0,13.0,33.0,27.0,37.0,0.0,0.0,0.0,11.0
