,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,-1.0,132095682.0,1368755407.0,137941694.0,1489163418.0,17481929.0,176215330.0,179635048.0,2220847644.0,2249790987.0,2251586738.0,2255026466.0,2294101032.0,2354417550.0,2375738293.0,2431634180.0,24530711.0,2478615626.0,2495955144.0,2531023355.0,260201103.0,2752498194.0,2755542607.0,2848227191.0,2885004727.0,29082077.0,2957200750.0,2988322231.0,3021547756.0,3139985070.0,3181148130.0,3259845572.0,3267413113.0,3288931849.0,402117701.0,412163144.0,4275710122.0,4377473660.0,4666696334.0,470237515.0,476485088.0,4777301054.0,4864737844.0,4880079243.0,559606861.0,57283122.0,582658852.0,68964336.0,7.302885785681592e+17,7.416344126058988e+17,7.669073925503713e+17,7.697698703553454e+17,7.72217650839597e+17,7.930550665843917e+17,8.042597899791565e+17,8.067033326852915e+17,8.092104640644424e+17,81346378.0,8.152115219408445e+17,8.220594830943478e+17,8.248641397554258e+17,8.358351529704161e+17,8.441556957044777e+17,8.455604788102144e+17,8.632125563278541e+17,8.810189817415434e+17,8.884294282706944e+17,9.078204857104097e+17
1,132095682.0,0.0,11.0,14.0,7.0,0.0,9.0,3.0,2.0,28.0,26.0,8.0,16.0,8.0,25.0,20.0,1.0,2.0,33.0,19.0,53.0,4.0,3.0,8.0,2.0,1.0,49.0,19.0,32.0,6.0,6.0,1.0,15.0,10.0,9.0,18.0,2.0,27.0,10.0,108.0,1.0,5.0,3.0,16.0,17.0,6.0,18.0,48.0,11.0,1.0,2.0,7.0,15.0,9.0,4.0,2.0,0.0,16.0,4.0,5.0,0.0,33.0,0.0,7.0,25.0,12.0,6.0,3.0
2,1368755407.0,11.0,0.0,83.0,40.0,0.0,0.0,16.0,68.0,82.0,79.0,39.0,66.0,20.0,175.0,86.0,0.0,8.0,143.0,96.0,89.0,7.0,13.0,49.0,6.0,1.0,111.0,71.0,88.0,87.0,87.0,2.0,81.0,11.0,72.0,55.0,10.0,133.0,51.0,151.0,3.0,0.0,20.0,144.0,61.0,12.0,80.0,153.0,64.0,19.0,9.0,28.0,55.0,36.0,51.0,23.0,12.0,41.0,6.0,55.0,0.0,97.0,2.0,48.0,102.0,120.0,57.0,22.0
3,137941694.0,14.0,83.0,0.0,95.0,0.0,11.0,69.0,21.0,194.0,184.0,81.0,158.0,46.0,191.0,146.0,1.0,17.0,385.0,208.0,224.0,28.0,27.0,108.0,24.0,1.0,327.0,149.0,212.0,67.0,40.0,1.0,184.0,22.0,55.0,141.0,20.0,294.0,116.0,334.0,8.0,2.0,61.0,162.0,165.0,39.0,211.0,287.0,161.0,2.0,9.0,18.0,144.0,40.0,34.0,31.0,16.0,57.0,6.0,34.0,0.0,241.0,1.0,53.0,288.0,146.0,27.0,52.0
4,1489163418.0,7.0,40.0,95.0,0.0,0.0,3.0,33.0,7.0,112.0,79.0,53.0,26.0,34.0,94.0,90.0,1.0,4.0,141.0,103.0,81.0,14.0,12.0,56.0,1.0,1.0,116.0,67.0,75.0,36.0,20.0,1.0,96.0,7.0,28.0,68.0,12.0,116.0,75.0,132.0,4.0,0.0,14.0,88.0,55.0,17.0,117.0,121.0,79.0,1.0,4.0,8.0,55.0,23.0,23.0,16.0,4.0,23.0,3.0,23.0,0.0,117.0,3.0,22.0,109.0,71.0,14.0,30.0
5,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,176215330.0,9.0,0.0,11.0,3.0,0.0,0.0,8.0,0.0,22.0,11.0,1.0,2.0,2.0,9.0,5.0,1.0,0.0,37.0,9.0,7.0,6.0,0.0,5.0,0.0,1.0,31.0,3.0,7.0,0.0,1.0,0.0,4.0,1.0,2.0,9.0,3.0,8.0,4.0,74.0,1.0,2.0,0.0,4.0,7.0,35.0,21.0,59.0,1.0,0.0,0.0,0.0,13.0,1.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,24.0,0.0,2.0,22.0,4.0,0.0,1.0
7,179635048.0,3.0,16.0,69.0,33.0,0.0,8.0,0.0,4.0,70.0,61.0,18.0,40.0,14.0,39.0,34.0,1.0,2.0,120.0,66.0,60.0,30.0,3.0,42.0,4.0,1.0,103.0,37.0,62.0,14.0,11.0,0.0,43.0,3.0,18.0,40.0,14.0,71.0,47.0,119.0,2.0,2.0,7.0,35.0,42.0,21.0,74.0,96.0,53.0,0.0,3.0,3.0,49.0,7.0,6.0,7.0,1.0,9.0,3.0,8.0,0.0,96.0,0.0,18.0,78.0,28.0,6.0,12.0
8,2220847644.0,2.0,68.0,21.0,7.0,0.0,0.0,4.0,0.0,14.0,15.0,9.0,21.0,3.0,45.0,23.0,0.0,4.0,34.0,18.0,24.0,3.0,1.0,12.0,1.0,0.0,29.0,26.0,28.0,52.0,57.0,3.0,17.0,7.0,34.0,12.0,0.0,31.0,9.0,44.0,1.0,0.0,7.0,98.0,19.0,3.0,17.0,37.0,20.0,27.0,5.0,19.0,18.0,16.0,50.0,5.0,4.0,18.0,1.0,37.0,0.0,21.0,0.0,38.0,25.0,78.0,40.0,8.0
9,2249790987.0,28.0,82.0,194.0,112.0,0.0,22.0,70.0,14.0,0.0,193.0,82.0,104.0,46.0,225.0,153.0,2.0,8.0,413.0,219.0,223.0,31.0,15.0,104.0,17.0,2.0,319.0,107.0,196.0,58.0,41.0,0.0,179.0,12.0,53.0,130.0,18.0,283.0,134.0,455.0,10.0,3.0,32.0,164.0,121.0,49.0,234.0,415.0,152.0,1.0,5.0,10.0,141.0,142.0,32.0,37.0,8.0,76.0,6.0,37.0,0.0,305.0,5.0,39.0,245.0,122.0,26.0,38.0
