,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
0,-1.0,1006131620.0,104488650.0,105773113.0,111390971.0,111837874.0,1121653332.0,118471091.0,1199529294.0,1226700979.0,1253728548.0,129049230.0,133429220.0,137715506.0,1417405220.0,1445156562.0,144782646.0,1472058991.0,15352288.0,155237122.0,155507514.0,1596254593.0,1639705406.0,17305500.0,175775053.0,177449545.0,178284543.0,1926278828.0,197219034.0,201892141.0,203567627.0,203642488.0,205682560.0,217358999.0,218232053.0,223569986.0,2311540356.0,23422648.0,237333499.0,238441585.0,239229224.0,2509545043.0,253159265.0,25600670.0,257092539.0,262215471.0,266994576.0,2704055222.0,282000729.0,282151736.0,291779167.0,2931880796.0,2935179733.0,299902446.0,30018322.0,3009483628.0,3023486306.0,3057378089.0,30900969.0,31102784.0,326291795.0,328614554.0,338015807.0,344711172.0,358604218.0,3811054153.0,385147146.0,4002886818.0,400655930.0,4108627034.0,4221475394.0,4258166179.0,430128382.0,430888221.0,4442027127.0,444874499.0,4515968413.0,4586873182.0,465463181.0,471647114.0,476564417.0,49017597.0,50797191.0,515308588.0,518205190.0,525996410.0,528475534.0,52981826.0,54161723.0,543403780.0,54910298.0,551303376.0,560836942.0,619397938.0,622043540.0,64479786.0,68376297.0,7.00723841098584e+17,74389225.0,752662682.0,7.531162097601044e+17,793116961.0,7.933309291669873e+17,806758861.0,8.105009013286707e+17,8.14749407321215e+17,81517354.0,8.229100306136064e+17,8.489554977555497e+17,8.610033134410588e+17,8.637708979325788e+17,869434879.0,878203285.0,8.847687081025618e+17,8.869796109398671e+17,9.02952191647916e+17,91197647.0,9.592859194539295e+17,9.606516602835231e+17
1,1006131620.0,0.0,4.0,1.0,14.0,1.0,2.0,6.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,41.0,3.0,2.0,29.0,1.0,8.0,10.0,36.0,1.0,8.0,2.0,1.0,0.0,2.0,1.0,0.0,4.0,16.0,0.0,0.0,2.0,0.0,3.0,24.0,27.0,3.0,9.0,1.0,30.0,19.0,0.0,1.0,12.0,12.0,1.0,0.0,3.0,1.0,5.0,7.0,2.0,0.0,4.0,0.0,0.0,4.0,2.0,9.0,0.0,5.0,0.0,1.0,0.0,8.0,23.0,57.0,12.0,4.0,5.0,0.0,10.0,5.0,49.0,6.0,0.0,44.0,22.0,0.0,1.0,2.0,0.0,0.0,4.0,19.0,5.0,0.0,0.0,16.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0,3.0,15.0,1.0,5.0,0.0,0.0,2.0,0.0
2,104488650.0,4.0,0.0,2.0,6.0,0.0,3.0,6.0,0.0,7.0,10.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,13.0,1.0,0.0,9.0,4.0,1.0,4.0,0.0,6.0,1.0,7.0,13.0,1.0,2.0,2.0,7.0,2.0,4.0,8.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,6.0,3.0,0.0,0.0,4.0,49.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,5.0,1.0,8.0,0.0,8.0,0.0,2.0,0.0,3.0,2.0,14.0,4.0,1.0,1.0,1.0,8.0,4.0,8.0,2.0,5.0,7.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,5.0,0.0,0.0,8.0,6.0,7.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
3,105773113.0,1.0,2.0,0.0,16.0,0.0,5.0,1.0,0.0,15.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,6.0,12.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,2.0,31.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,15.0,0.0,3.0,0.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,111390971.0,14.0,6.0,16.0,0.0,18.0,8.0,6.0,0.0,19.0,29.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,4.0,23.0,0.0,25.0,9.0,12.0,9.0,0.0,5.0,2.0,1.0,58.0,0.0,1.0,11.0,6.0,5.0,7.0,13.0,2.0,1.0,4.0,0.0,0.0,8.0,9.0,0.0,19.0,3.0,11.0,1.0,4.0,57.0,21.0,1.0,0.0,3.0,6.0,0.0,0.0,1.0,11.0,0.0,6.0,17.0,5.0,1.0,1.0,1.0,0.0,14.0,0.0,3.0,8.0,0.0,6.0,0.0,28.0,0.0,2.0,2.0,106.0,0.0,31.0,5.0,36.0,5.0,0.0,47.0,7.0,25.0,2.0,9.0,12.0,10.0,0.0,0.0,4.0,0.0,0.0,1.0,10.0,27.0,0.0,6.0,8.0,36.0,58.0,0.0,0.0,0.0,1.0,21.0,2.0,152.0,1.0,1.0,0.0,0.0,0.0,3.0
5,111837874.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,26.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,51.0,0.0,10.0,2.0,25.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1121653332.0,2.0,3.0,5.0,8.0,0.0,0.0,2.0,0.0,5.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,1.0,3.0,0.0,0.0,1.0,2.0,7.0,0.0,1.0,2.0,2.0,0.0,2.0,5.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,8.0,1.0,0.0,1.0,1.0,23.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,4.0,10.0,2.0,3.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,6.0,1.0,1.0,2.0,10.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
7,118471091.0,6.0,6.0,1.0,6.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,7.0,1.0,1.0,12.0,15.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,16.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,2.0,10.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,14.0,7.0,1.0,1.0,1.0,13.0,1.0,5.0,3.0,1.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,6.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
8,1199529294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
9,1226700979.0,3.0,7.0,15.0,19.0,0.0,5.0,2.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,6.0,6.0,0.0,2.0,0.0,1.0,20.0,0.0,1.0,1.0,3.0,3.0,3.0,12.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,20.0,1.0,0.0,0.0,3.0,57.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,7.0,0.0,3.0,0.0,24.0,0.0,0.0,0.0,4.0,0.0,6.0,3.0,0.0,1.0,0.0,7.0,2.0,20.0,2.0,3.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,17.0,0.0,5.0,4.0,20.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
