,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,-1.0,102925880.0,103527302.0,104394980.0,105452353.0,1073514464.0,120518851.0,121132387.0,130055084.0,13011962.0,140402241.0,14063364.0,14546538.0,145622254.0,150562202.0,1512514194.0,1549026217.0,163277484.0,166861881.0,17216645.0,174887773.0,17815227.0,190333186.0,19297555.0,201705227.0,205603630.0,208780274.0,21074453.0,211816466.0,2173487586.0,230735373.0,230763219.0,24329260.0,24345796.0,2511876565.0,258221375.0,26207505.0,263595100.0,2691599196.0,26946099.0,27589757.0,294114036.0,303771372.0,304994537.0,3075930266.0,31335639.0,325535216.0,333965236.0,344567670.0,3470224777.0,365900821.0,36677471.0,378774444.0,383831320.0,414048822.0,423226171.0,42623275.0,432207407.0,44188505.0,453603539.0,48416262.0,4883380245.0,493885559.0,51631580.0,525376581.0,605255836.0,61553631.0,65724589.0,66046835.0,66086719.0,67568398.0,71073037.0,72406929.0,75903057.0,791693863.0,79312296.0,82960773.0,87617355.0,8.966977975667712e+17,9.038352383543542e+17,91945634.0,9.293780259001876e+17,95422526.0,95903766.0,995446836.0
1,102925880.0,0.0,0.0,0.0,15.0,13.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,103527302.0,0.0,0.0,32.0,1.0,1.0,0.0,0.0,0.0,5.0,24.0,0.0,1.0,30.0,1.0,0.0,1.0,0.0,18.0,0.0,20.0,1.0,1.0,0.0,0.0,12.0,0.0,22.0,37.0,1.0,0.0,0.0,6.0,1.0,4.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,9.0,2.0,0.0,0.0,1.0,26.0,0.0,20.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,19.0,15.0,0.0,0.0,41.0,0.0,23.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,12.0,0.0,2.0,0.0
3,104394980.0,0.0,32.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,20.0,0.0,1.0,33.0,1.0,0.0,1.0,0.0,18.0,0.0,21.0,0.0,1.0,0.0,0.0,7.0,0.0,18.0,29.0,0.0,0.0,0.0,9.0,1.0,3.0,5.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,1.0,26.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,3.0,0.0,0.0,31.0,0.0,17.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,13.0,9.0,0.0,2.0,0.0
4,105452353.0,15.0,1.0,1.0,0.0,7.0,3.0,0.0,0.0,4.0,2.0,0.0,5.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,8.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,1.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5,1073514464.0,13.0,1.0,1.0,7.0,0.0,16.0,7.0,5.0,1.0,8.0,2.0,8.0,7.0,19.0,0.0,1.0,2.0,2.0,1.0,5.0,5.0,20.0,0.0,16.0,3.0,5.0,3.0,7.0,1.0,4.0,0.0,15.0,22.0,0.0,0.0,11.0,0.0,1.0,4.0,3.0,73.0,7.0,12.0,1.0,17.0,15.0,2.0,3.0,0.0,6.0,31.0,1.0,0.0,7.0,13.0,6.0,14.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,21.0,1.0,1.0,6.0,7.0,7.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,2.0,1.0
6,120518851.0,3.0,0.0,0.0,3.0,16.0,0.0,2.0,4.0,3.0,6.0,7.0,26.0,4.0,5.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,4.0,0.0,5.0,2.0,6.0,7.0,11.0,2.0,2.0,0.0,2.0,7.0,0.0,0.0,9.0,6.0,2.0,4.0,6.0,12.0,5.0,5.0,0.0,44.0,4.0,0.0,2.0,0.0,2.0,27.0,3.0,0.0,3.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,3.0,1.0,5.0,0.0,4.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,2.0,0.0
7,121132387.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,7.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0
8,130055084.0,2.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,5.0,2.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,13011962.0,0.0,5.0,5.0,4.0,1.0,3.0,0.0,0.0,0.0,21.0,0.0,8.0,44.0,2.0,0.0,9.0,0.0,3.0,8.0,67.0,0.0,1.0,0.0,3.0,3.0,20.0,34.0,4.0,0.0,4.0,0.0,2.0,0.0,6.0,1.0,37.0,0.0,0.0,6.0,1.0,1.0,5.0,3.0,0.0,12.0,3.0,0.0,2.0,0.0,15.0,2.0,0.0,3.0,0.0,11.0,10.0,15.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,52.0,1.0,2.0,0.0,23.0,1.0,18.0,18.0,6.0,4.0,12.0,0.0,0.0,0.0,10.0,23.0,0.0,0.0,2.0
