,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-1.0,132473139.0,1513815878.0,170580241.0,189537010.0,2343221881.0,236892037.0,2437102124.0,2508869123.0,2647228652.0,2705535895.0,2865432406.0,2882972743.0,2911006837.0,3078657603.0,3106953674.0,3114420098.0,3197711425.0,3269152838.0,3802110372.0,3930370042.0,403442645.0,4201086079.0,67100318.0,721207453.0,7.261144668536136e+17,7.469687692437996e+17,755370463.0,8.151510162367447e+17,8.376553525607424e+17,8.823765363591864e+17,8.972677363964314e+17,9.23226559934165e+17,9.310017041111613e+17,9.51372431456813e+17,9.514860270966088e+17,9.565514380455076e+17,9.625287930416292e+17,9.633614463347958e+17,9.649149915970068e+17
1,132473139.0,0.0,24.0,4.0,59.0,160.0,1.0,9.0,11.0,0.0,2.0,76.0,27.0,115.0,16.0,28.0,18.0,78.0,9.0,7.0,12.0,150.0,24.0,1.0,10.0,5.0,3.0,2.0,3.0,1.0,4.0,11.0,1.0,99.0,1.0,11.0,0.0,21.0,1.0,3.0
2,1513815878.0,24.0,0.0,4.0,9.0,19.0,4.0,23.0,53.0,10.0,14.0,57.0,84.0,161.0,224.0,20.0,163.0,62.0,21.0,0.0,1.0,9.0,134.0,0.0,0.0,20.0,7.0,4.0,0.0,0.0,6.0,29.0,12.0,48.0,147.0,2.0,0.0,235.0,0.0,10.0
3,170580241.0,4.0,4.0,0.0,5.0,3.0,6.0,3.0,3.0,0.0,16.0,32.0,12.0,17.0,2.0,7.0,7.0,15.0,21.0,0.0,0.0,1.0,3.0,0.0,0.0,30.0,31.0,15.0,0.0,0.0,10.0,16.0,17.0,4.0,0.0,1.0,0.0,5.0,0.0,7.0
4,189537010.0,59.0,9.0,5.0,0.0,102.0,4.0,1.0,7.0,0.0,2.0,16.0,18.0,42.0,7.0,7.0,15.0,48.0,7.0,95.0,0.0,31.0,24.0,2.0,3.0,2.0,5.0,1.0,0.0,0.0,2.0,7.0,4.0,23.0,0.0,5.0,0.0,5.0,0.0,4.0
5,2343221881.0,160.0,19.0,3.0,102.0,0.0,3.0,7.0,18.0,0.0,4.0,43.0,24.0,73.0,18.0,15.0,17.0,69.0,7.0,187.0,1.0,100.0,22.0,14.0,6.0,5.0,5.0,3.0,1.0,0.0,3.0,10.0,3.0,53.0,1.0,9.0,0.0,13.0,1.0,5.0
6,236892037.0,1.0,4.0,6.0,4.0,3.0,0.0,3.0,2.0,1.0,16.0,23.0,8.0,9.0,3.0,11.0,3.0,7.0,14.0,0.0,0.0,1.0,6.0,0.0,0.0,14.0,14.0,2.0,0.0,0.0,2.0,10.0,14.0,4.0,1.0,0.0,0.0,6.0,0.0,6.0
7,2437102124.0,9.0,23.0,3.0,1.0,7.0,3.0,0.0,13.0,3.0,4.0,28.0,21.0,33.0,20.0,4.0,15.0,24.0,9.0,0.0,0.0,2.0,18.0,0.0,0.0,14.0,2.0,1.0,0.0,0.0,3.0,13.0,6.0,19.0,12.0,0.0,0.0,28.0,0.0,5.0
8,2508869123.0,11.0,53.0,3.0,7.0,18.0,2.0,13.0,0.0,8.0,8.0,30.0,42.0,81.0,52.0,14.0,50.0,45.0,9.0,1.0,0.0,1.0,61.0,1.0,1.0,9.0,1.0,1.0,0.0,0.0,4.0,15.0,4.0,39.0,34.0,0.0,0.0,69.0,0.0,4.0
9,2647228652.0,0.0,10.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,1.0,1.0,6.0,10.0,12.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,11.0,0.0,1.0
10,2705535895.0,2.0,14.0,16.0,2.0,4.0,16.0,4.0,8.0,1.0,0.0,62.0,24.0,40.0,10.0,23.0,11.0,22.0,43.0,0.0,0.0,1.0,13.0,0.0,0.0,48.0,43.0,8.0,0.0,0.0,11.0,29.0,42.0,21.0,2.0,0.0,0.0,20.0,0.0,12.0
11,2865432406.0,76.0,57.0,32.0,16.0,43.0,23.0,28.0,30.0,1.0,62.0,0.0,96.0,229.0,46.0,54.0,41.0,149.0,136.0,1.0,11.0,14.0,55.0,0.0,0.0,445.0,413.0,85.0,1.0,0.0,26.0,60.0,118.0,128.0,7.0,1.0,0.0,89.0,0.0,21.0
12,2882972743.0,27.0,84.0,12.0,18.0,24.0,8.0,21.0,42.0,6.0,24.0,96.0,0.0,178.0,103.0,25.0,62.0,91.0,27.0,0.0,0.0,8.0,72.0,0.0,0.0,33.0,15.0,3.0,0.0,0.0,9.0,39.0,24.0,82.0,53.0,0.0,0.0,102.0,0.0,13.0
13,2911006837.0,115.0,161.0,17.0,42.0,73.0,9.0,33.0,81.0,10.0,40.0,229.0,178.0,0.0,194.0,99.0,108.0,254.0,53.0,1.0,8.0,19.0,196.0,0.0,3.0,51.0,20.0,2.0,0.0,0.0,16.0,59.0,28.0,215.0,130.0,4.0,0.0,193.0,0.0,17.0
14,3078657603.0,16.0,224.0,2.0,7.0,18.0,3.0,20.0,52.0,12.0,10.0,46.0,103.0,194.0,0.0,8.0,199.0,45.0,6.0,1.0,0.0,5.0,157.0,0.0,0.0,15.0,6.0,5.0,0.0,0.0,4.0,13.0,6.0,38.0,227.0,2.0,0.0,264.0,0.0,5.0
15,3106953674.0,28.0,20.0,7.0,7.0,15.0,11.0,4.0,14.0,0.0,23.0,54.0,25.0,99.0,8.0,0.0,8.0,32.0,32.0,0.0,0.0,3.0,27.0,1.0,1.0,19.0,19.0,6.0,0.0,0.0,7.0,19.0,19.0,44.0,0.0,2.0,0.0,20.0,0.0,7.0
16,3114420098.0,18.0,163.0,7.0,15.0,17.0,3.0,15.0,50.0,11.0,11.0,41.0,62.0,108.0,199.0,8.0,0.0,52.0,17.0,360.0,2.0,6.0,101.0,56.0,0.0,21.0,14.0,7.0,1.0,0.0,6.0,17.0,8.0,29.0,113.0,17.0,0.0,283.0,0.0,6.0
17,3197711425.0,78.0,62.0,15.0,48.0,69.0,7.0,24.0,45.0,2.0,22.0,149.0,91.0,254.0,45.0,32.0,52.0,0.0,33.0,6.0,10.0,20.0,75.0,0.0,2.0,42.0,15.0,6.0,0.0,1.0,12.0,33.0,16.0,182.0,12.0,4.0,0.0,101.0,0.0,10.0
18,3269152838.0,9.0,21.0,21.0,7.0,7.0,14.0,9.0,9.0,0.0,43.0,136.0,27.0,53.0,6.0,32.0,17.0,33.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,124.0,123.0,35.0,0.0,0.0,16.0,36.0,55.0,21.0,1.0,0.0,0.0,15.0,0.0,13.0
19,3802110372.0,7.0,0.0,0.0,95.0,187.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,360.0,6.0,0.0,0.0,2.0,0.0,2.0,226.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0
20,3930370042.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0,0.0,2.0,10.0,0.0,2.0,0.0,0.0,1.0,112.0,12.0,0.0,0.0,0.0,47.0,2.0,0.0,0.0,0.0,14.0,0.0,152.0,0.0,3.0,6.0,0.0
21,403442645.0,150.0,9.0,1.0,31.0,100.0,1.0,2.0,1.0,0.0,1.0,14.0,8.0,19.0,5.0,3.0,6.0,20.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,2.0,13.0,1.0,3.0,0.0,3.0,1.0,1.0
22,4201086079.0,24.0,134.0,3.0,24.0,22.0,6.0,18.0,61.0,12.0,13.0,55.0,72.0,196.0,157.0,27.0,101.0,75.0,15.0,2.0,1.0,3.0,0.0,0.0,1.0,17.0,4.0,0.0,0.0,0.0,3.0,23.0,6.0,47.0,129.0,2.0,0.0,138.0,0.0,4.0
23,67100318.0,1.0,0.0,0.0,2.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,0.0,0.0,226.0,112.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,148.0,10.0,0.0,0.0,0.0,1.0,0.0,737.0,0.0,0.0,8.0,0.0
24,721207453.0,10.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,12.0,5.0,1.0,11.0,0.0,0.0,0.0,0.0,14.0,20.0,0.0,0.0,0.0,6.0,0.0,64.0,0.0,0.0,11.0,0.0
