,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
0,-1.0,101258468.0,104794259.0,1110840294.0,111901848.0,1173501156.0,125475972.0,130027649.0,1309690194.0,1434246793.0,14428536.0,14627953.0,14714136.0,149580057.0,151295285.0,15216051.0,152205174.0,15657091.0,164666306.0,16470319.0,169085447.0,173816060.0,175331154.0,1799044873.0,181615386.0,19685758.0,217323941.0,2195669972.0,228433927.0,22893133.0,232090596.0,233627103.0,23991729.0,2426665586.0,244051691.0,25026233.0,251726691.0,2547040466.0,2556186108.0,256882565.0,29376103.0,294634289.0,29892753.0,305455074.0,3129259739.0,3194758304.0,321312701.0,3299264534.0,33808027.0,371088454.0,42778117.0,4523161587.0,4677857995.0,48226009.0,519278044.0,521382536.0,56760214.0,58741487.0,597135391.0,60541562.0,614694299.0,63069724.0,63487410.0,64646984.0,68431771.0,70914180.0,71834922.0,72161620.0,72302410.0,72315090.0,7.361332612487291e+17,73857971.0,742435256.0,77435960.0,78185688.0,79382630.0,80874374.0,84209996.0,87001050.0,91307415.0,92024686.0,95623358.0,96796467.0
1,101258468.0,0.0,1.0,1.0,5.0,1.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,9.0,7.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2,104794259.0,1.0,0.0,1.0,0.0,56.0,58.0,2.0,0.0,35.0,63.0,18.0,37.0,0.0,4.0,27.0,110.0,47.0,37.0,10.0,1.0,62.0,65.0,17.0,4.0,40.0,78.0,17.0,11.0,0.0,0.0,47.0,89.0,39.0,1.0,0.0,3.0,0.0,15.0,1.0,81.0,28.0,13.0,18.0,3.0,0.0,79.0,1.0,2.0,6.0,52.0,0.0,1.0,2.0,52.0,17.0,3.0,0.0,0.0,8.0,120.0,75.0,0.0,75.0,21.0,75.0,118.0,58.0,30.0,91.0,30.0,13.0,0.0,51.0,0.0,1.0,15.0,31.0,6.0,23.0,3.0,0.0,73.0
3,1110840294.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,27.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,21.0,4.0,1.0,1.0,3.0,2.0,5.0,1.0,10.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,111901848.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,1173501156.0,1.0,56.0,1.0,0.0,0.0,26.0,2.0,0.0,9.0,109.0,20.0,25.0,1.0,8.0,28.0,47.0,21.0,15.0,7.0,0.0,29.0,25.0,11.0,18.0,32.0,50.0,39.0,5.0,0.0,0.0,49.0,69.0,35.0,1.0,0.0,33.0,0.0,16.0,1.0,75.0,29.0,12.0,28.0,1.0,0.0,44.0,3.0,2.0,36.0,20.0,0.0,4.0,0.0,12.0,13.0,4.0,1.0,1.0,7.0,69.0,53.0,5.0,54.0,15.0,51.0,48.0,31.0,24.0,74.0,15.0,7.0,6.0,43.0,1.0,0.0,3.0,17.0,3.0,23.0,1.0,0.0,28.0
6,125475972.0,2.0,58.0,0.0,0.0,26.0,0.0,9.0,0.0,53.0,47.0,13.0,39.0,1.0,12.0,25.0,54.0,70.0,17.0,21.0,2.0,17.0,35.0,11.0,9.0,34.0,21.0,31.0,7.0,0.0,0.0,48.0,80.0,49.0,6.0,0.0,8.0,0.0,7.0,0.0,91.0,11.0,17.0,11.0,6.0,0.0,64.0,4.0,0.0,15.0,22.0,3.0,3.0,1.0,42.0,11.0,3.0,2.0,3.0,3.0,84.0,35.0,7.0,84.0,27.0,85.0,113.0,33.0,22.0,66.0,10.0,5.0,1.0,36.0,0.0,0.0,3.0,14.0,2.0,19.0,2.0,0.0,79.0
7,130027649.0,2.0,2.0,2.0,0.0,2.0,9.0,0.0,0.0,1.0,3.0,2.0,2.0,28.0,64.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,2.0,4.0,17.0,0.0,0.0,9.0,9.0,15.0,5.0,6.0,1.0,5.0,1.0,0.0,0.0,10.0,0.0,11.0,3.0,1.0,0.0,0.0,79.0,0.0,9.0,0.0,1.0,8.0,4.0,5.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,4.0,7.0,0.0,5.0,5.0,2.0,1.0,8.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,2.0
8,1309690194.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9,1434246793.0,3.0,35.0,1.0,0.0,9.0,53.0,1.0,0.0,0.0,29.0,3.0,29.0,0.0,4.0,12.0,27.0,18.0,8.0,5.0,0.0,7.0,20.0,3.0,1.0,19.0,18.0,7.0,0.0,0.0,0.0,12.0,26.0,10.0,2.0,0.0,5.0,0.0,3.0,1.0,73.0,6.0,5.0,4.0,4.0,0.0,32.0,0.0,3.0,6.0,18.0,0.0,3.0,0.0,33.0,2.0,3.0,0.0,1.0,2.0,35.0,18.0,1.0,25.0,20.0,45.0,65.0,7.0,5.0,31.0,8.0,2.0,0.0,9.0,0.0,0.0,4.0,11.0,2.0,8.0,1.0,0.0,48.0
