,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178
0,-1.0,102184431.0,104502080.0,1058693299.0,108827792.0,1111067322.0,111315175.0,112126613.0,113880963.0,117138297.0,118018085.0,118337595.0,120806353.0,12178912.0,1260626634.0,126145829.0,127854799.0,1294499131.0,131663365.0,133238182.0,1333432416.0,135431351.0,1389500154.0,140496301.0,142872406.0,143004638.0,143245156.0,146143045.0,148626058.0,148852001.0,14905049.0,149746022.0,150208500.0,150317031.0,156768711.0,157430521.0,160214722.0,161009467.0,17035802.0,175161386.0,184527386.0,193052216.0,19510901.0,1964643198.0,2164373851.0,21727889.0,2191886197.0,219345860.0,219626462.0,221695219.0,2289525456.0,2327703275.0,2357754350.0,236293431.0,2373489090.0,2389533199.0,243481902.0,245247945.0,2473593492.0,247546883.0,247665441.0,248767540.0,254640674.0,25590076.0,256521722.0,2599844916.0,260637021.0,26093310.0,264227880.0,26493978.0,2713862510.0,2723490176.0,277681389.0,278552571.0,280175538.0,28336537.0,286069515.0,28607028.0,2874765553.0,2893169849.0,289374925.0,290615572.0,291850822.0,2939855545.0,296702432.0,301034397.0,302472638.0,303938810.0,307512229.0,3254350010.0,3255340824.0,32899653.0,32950943.0,329625520.0,330262973.0,3323270258.0,33324596.0,334237782.0,340240592.0,343940832.0,34433212.0,3526633582.0,355000357.0,35716374.0,360270369.0,363688814.0,36629328.0,366902544.0,3813493163.0,385593264.0,386847295.0,38732634.0,3905181145.0,39111827.0,39220996.0,40599371.0,41032068.0,411507593.0,413451243.0,413817142.0,4142956703.0,417137871.0,41867311.0,433122811.0,44728722.0,45861127.0,476937198.0,478692716.0,4790069227.0,4806950894.0,4819558851.0,482370965.0,50808345.0,510233632.0,513403027.0,524205087.0,524474015.0,53526935.0,54853852.0,550327560.0,553955403.0,570844916.0,58060096.0,58405676.0,589069207.0,597537668.0,600631543.0,617460401.0,624129561.0,62841299.0,65585237.0,68976803.0,70239251.0,713876565.0,715791782.0,71834922.0,72110541.0,735037099.0,7.398594415128125e+17,7.578136215314227e+17,7.583418613417984e+17,7.77798867404329e+17,78540928.0,80012867.0,812258767.0,8.354731105434993e+17,8.396193322923704e+17,8.417290833901568e+17,8.669877624734802e+17,8.856535914946232e+17,89626212.0,9.077095455223235e+17,92783531.0,928901064.0,936330122.0,9.456098351770214e+17,9.460038753200087e+17,9.542976535164887e+17,962366192.0
1,102184431.0,0.0,0.0,9.0,0.0,7.0,0.0,0.0,21.0,6.0,11.0,6.0,1.0,12.0,3.0,1.0,4.0,6.0,0.0,0.0,3.0,1.0,3.0,0.0,15.0,1.0,8.0,10.0,4.0,3.0,2.0,11.0,1.0,11.0,39.0,0.0,11.0,12.0,25.0,3.0,11.0,1.0,19.0,0.0,0.0,1.0,0.0,0.0,6.0,21.0,6.0,8.0,1.0,8.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,25.0,0.0,15.0,32.0,6.0,2.0,68.0,0.0,0.0,8.0,3.0,0.0,5.0,0.0,3.0,9.0,3.0,0.0,5.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,4.0,10.0,10.0,4.0,6.0,0.0,4.0,1.0,140.0,13.0,9.0,6.0,6.0,3.0,3.0,8.0,2.0,0.0,1.0,4.0,11.0,12.0,1.0,5.0,1.0,3.0,0.0,9.0,0.0,8.0,3.0,9.0,81.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,13.0,0.0,0.0,1.0,13.0,1.0,10.0,4.0,1.0,23.0,2.0,1.0,6.0,0.0,8.0,7.0,8.0,19.0,1.0,2.0,3.0,11.0,1.0,8.0,1.0,0.0,0.0,4.0,3.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,7.0,0.0,1.0,0.0,1.0,1.0,9.0
2,104502080.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
3,1058693299.0,9.0,1.0,0.0,1.0,2.0,0.0,0.0,16.0,7.0,33.0,1.0,0.0,7.0,2.0,3.0,4.0,4.0,0.0,1.0,9.0,0.0,3.0,1.0,9.0,1.0,16.0,17.0,3.0,4.0,19.0,20.0,1.0,6.0,7.0,2.0,2.0,13.0,21.0,6.0,29.0,2.0,64.0,0.0,1.0,2.0,0.0,0.0,5.0,21.0,7.0,3.0,2.0,10.0,7.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,22.0,3.0,4.0,32.0,11.0,0.0,22.0,0.0,0.0,14.0,23.0,1.0,7.0,0.0,16.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,23.0,9.0,10.0,31.0,4.0,3.0,0.0,3.0,1.0,49.0,18.0,7.0,6.0,9.0,3.0,15.0,1.0,5.0,0.0,1.0,19.0,22.0,12.0,9.0,7.0,0.0,1.0,0.0,9.0,0.0,14.0,1.0,2.0,0.0,5.0,14.0,1.0,21.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,43.0,0.0,1.0,9.0,1.0,40.0,2.0,3.0,76.0,0.0,25.0,1.0,8.0,1.0,0.0,1.0,22.0,4.0,2.0,5.0,1.0,0.0,0.0,3.0,3.0,6.0,1.0,1.0,0.0,0.0,13.0,0.0,4.0,0.0,2.0,0.0,0.0,6.0,9.0
4,108827792.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,64.0,4.0,0.0,2.0,0.0,3.0,0.0,1.0,12.0,0.0,4.0,0.0,0.0,5.0,0.0,3.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,7.0,9.0,2.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,8.0,0.0,0.0,2.0,5.0,2.0,3.0,2.0,0.0,13.0,0.0,0.0,11.0,0.0,0.0,12.0,2.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,4.0,3.0,6.0,0.0,0.0,2.0,8.0,0.0,11.0,0.0,0.0,4.0,7.0,8.0,4.0,0.0,0.0,0.0,0.0,20.0,0.0,3.0,1.0,5.0,0.0,2.0,0.0,1.0,9.0,5.0,0.0,31.0,0.0,1.0,13.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,9.0,3.0,7.0,1.0,0.0,1.0,66.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,1.0,1.0,17.0,8.0,1.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,9.0,8.0,14.0,0.0,2.0,0.0,0.0,0.0,6.0,8.0,4.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,3.0
5,1111067322.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,56.0,5.0,17.0,6.0,1.0,14.0,1.0,1.0,26.0,10.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,2.0,24.0,7.0,7.0,2.0,3.0,5.0,1.0,8.0,19.0,0.0,7.0,15.0,75.0,21.0,8.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,2.0,29.0,5.0,12.0,0.0,6.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,13.0,0.0,8.0,8.0,1.0,1.0,6.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,3.0,9.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,8.0,8.0,1.0,11.0,13.0,2.0,8.0,0.0,5.0,0.0,17.0,7.0,48.0,1.0,12.0,1.0,5.0,5.0,1.0,0.0,0.0,2.0,4.0,9.0,1.0,5.0,2.0,0.0,0.0,6.0,0.0,10.0,1.0,7.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,1.0,1.0,7.0,0.0,4.0,6.0,1.0,12.0,0.0,0.0,3.0,0.0,1.0,2.0,27.0,16.0,7.0,3.0,6.0,10.0,2.0,7.0,0.0,0.0,1.0,4.0,4.0,25.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,4.0,13.0
6,111315175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,112126613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,113880963.0,21.0,3.0,16.0,9.0,56.0,0.0,0.0,0.0,18.0,92.0,47.0,4.0,69.0,4.0,11.0,101.0,37.0,9.0,5.0,18.0,2.0,2.0,5.0,25.0,45.0,106.0,28.0,45.0,18.0,44.0,38.0,2.0,102.0,150.0,3.0,21.0,52.0,397.0,82.0,42.0,1.0,53.0,1.0,0.0,4.0,0.0,0.0,19.0,155.0,44.0,31.0,17.0,47.0,73.0,1.0,0.0,1.0,67.0,7.0,0.0,0.0,26.0,89.0,0.0,66.0,50.0,4.0,4.0,17.0,5.0,3.0,12.0,6.0,1.0,11.0,12.0,4.0,25.0,28.0,1.0,8.0,2.0,14.0,2.0,4.0,2.0,8.0,1.0,0.0,35.0,70.0,70.0,38.0,32.0,9.0,20.0,0.0,34.0,4.0,66.0,19.0,163.0,9.0,69.0,1.0,25.0,29.0,25.0,1.0,5.0,12.0,13.0,28.0,5.0,12.0,2.0,20.0,11.0,16.0,0.0,30.0,11.0,54.0,0.0,2.0,5.0,6.0,10.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,42.0,0.0,2.0,2.0,54.0,9.0,27.0,14.0,13.0,94.0,4.0,0.0,20.0,4.0,8.0,14.0,233.0,82.0,21.0,10.0,147.0,52.0,16.0,74.0,2.0,0.0,1.0,15.0,4.0,80.0,25.0,15.0,0.0,0.0,4.0,0.0,44.0,0.0,2.0,0.0,1.0,44.0,40.0
9,117138297.0,6.0,2.0,7.0,0.0,5.0,0.0,0.0,18.0,0.0,10.0,10.0,0.0,5.0,1.0,0.0,11.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,6.0,5.0,7.0,4.0,2.0,6.0,3.0,9.0,9.0,2.0,3.0,14.0,18.0,14.0,6.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,14.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,14.0,0.0,2.0,16.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,10.0,1.0,6.0,2.0,0.0,4.0,0.0,2.0,1.0,9.0,5.0,14.0,2.0,4.0,1.0,5.0,2.0,0.0,0.0,1.0,2.0,3.0,7.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,11.0,0.0,2.0,0.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,4.0,4.0,0.0,12.0,1.0,1.0,6.0,0.0,2.0,1.0,7.0,6.0,2.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0
