,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
0,-1.0,1000120008.0,102364880.0,102786913.0,102911931.0,1045731026.0,105208717.0,1106162540.0,1121653332.0,113878793.0,115631340.0,1196070830.0,123694569.0,131704034.0,1325889421.0,133770656.0,1407333378.0,142638584.0,1432986182.0,145703470.0,149701795.0,150184763.0,15106024.0,1530056017.0,154115417.0,155237122.0,159572604.0,161382372.0,1648151143.0,165417474.0,16719572.0,168163536.0,172250528.0,17305500.0,176743194.0,178284543.0,1848909104.0,1874477382.0,19167916.0,191855391.0,1926278828.0,193632133.0,213035389.0,2169100340.0,217358999.0,2183761958.0,2202393870.0,2222321212.0,2316869606.0,23342358.0,235153299.0,236721230.0,236752388.0,239117602.0,2456095646.0,245745013.0,247719180.0,2479536991.0,24817507.0,2495858150.0,255519681.0,25600670.0,2613380850.0,262215471.0,263080711.0,266994576.0,2680319481.0,2704055222.0,271279315.0,274688027.0,27504897.0,275375767.0,2756274140.0,27788844.0,28562728.0,2913052742.0,291779167.0,302020824.0,30825003.0,311981883.0,3121961915.0,312656350.0,313750028.0,3178388185.0,3248241667.0,3257217109.0,326291795.0,3269872718.0,33199486.0,33769236.0,33854433.0,3392343974.0,350167674.0,360815880.0,365518662.0,37332696.0,374329516.0,376028798.0,381959201.0,383820516.0,384171091.0,384748873.0,3896042301.0,391349535.0,398113499.0,399401279.0,3999676762.0,4073733437.0,4088656994.0,416383537.0,42006691.0,4213241372.0,422153937.0,4258166179.0,430650182.0,4338052943.0,44306903.0,44630328.0,455438841.0,461601631.0,4695143058.0,474033516.0,4751008273.0,480255267.0,4876352351.0,50317265.0,50965682.0,513471582.0,515308588.0,52981826.0,53041571.0,532378422.0,536183826.0,536245136.0,543386849.0,556261139.0,561046187.0,564806892.0,580105543.0,59863778.0,605219768.0,60576924.0,64466696.0,65409676.0,67594730.0,68376297.0,7.275241468638249e+17,7.325478877842063e+17,7.372988625623777e+17,74040326.0,7.448989567742853e+17,754317498.0,7.883316673667686e+17,791517902.0,7.99628252910338e+17,806758861.0,808426850.0,8.08670823481344e+17,8.229100306136064e+17,82663910.0,8.324768739091046e+17,839407692.0,8.489554977555497e+17,866379432.0,867462294.0,869434879.0,8.851473911160381e+17,886111729.0,89205544.0,9.12656462870061e+17,9.137504033505935e+17,9.145219364865884e+17,9.182030137679012e+17,9.191275966835753e+17,9.291845017118884e+17,9.3083321768226e+17,937455198.0,9.444955028752712e+17,9.499765439457239e+17,9.616047592526971e+17,9.618706146496471e+17
1,1000120008.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,3.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,4.0,6.0,3.0,0.0,0.0,3.0,35.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,10.0,1.0,5.0,1.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,1.0,19.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,14.0,3.0,21.0,3.0,2.0,6.0,17.0,9.0,0.0,25.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,27.0,0.0,0.0,1.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,10.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,6.0,6.0,10.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,102364880.0,1.0,0.0,3.0,2.0,6.0,10.0,19.0,3.0,12.0,0.0,1.0,0.0,0.0,0.0,30.0,3.0,1.0,0.0,2.0,1.0,1.0,8.0,13.0,4.0,1.0,44.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,6.0,3.0,3.0,3.0,2.0,2.0,13.0,1.0,0.0,5.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,68.0,9.0,6.0,1.0,5.0,1.0,0.0,2.0,0.0,4.0,59.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,0.0,1.0,40.0,1.0,2.0,4.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,80.0,6.0,12.0,2.0,1.0,3.0,9.0,11.0,3.0,9.0,4.0,15.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,6.0,1.0,13.0,0.0,1.0,1.0,26.0,15.0,2.0,5.0,0.0,0.0,0.0,6.0,8.0,0.0,1.0,0.0,3.0,1.0,3.0,5.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,5.0,5.0,3.0,1.0,2.0,0.0,6.0,0.0,3.0,0.0,16.0,4.0,2.0,3.0,10.0,5.0,0.0,0.0,4.0,1.0,1.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0
3,102786913.0,1.0,3.0,0.0,0.0,4.0,1.0,26.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,9.0,1.0,1.0,0.0,1.0,6.0,8.0,6.0,5.0,3.0,1.0,15.0,0.0,0.0,1.0,17.0,0.0,1.0,0.0,4.0,34.0,1.0,0.0,29.0,3.0,2.0,5.0,6.0,0.0,47.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,2.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,10.0,5.0,1.0,0.0,0.0,10.0,0.0,16.0,0.0,3.0,2.0,0.0,0.0,8.0,0.0,5.0,2.0,1.0,0.0,2.0,0.0,14.0,1.0,20.0,7.0,1.0,3.0,13.0,15.0,0.0,6.0,1.0,11.0,0.0,1.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,8.0,1.0,4.0,0.0,0.0,1.0,1.0,6.0,9.0,4.0,1.0,0.0,0.0,11.0,13.0,0.0,0.0,1.0,0.0,4.0,5.0,18.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,13.0,1.0,7.0,0.0,6.0,0.0,1.0,0.0,3.0,2.0,1.0,6.0,12.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
4,102911931.0,1.0,2.0,0.0,0.0,0.0,3.0,25.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,12.0,18.0,0.0,1.0,0.0,9.0,0.0,8.0,5.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,1.0,2.0,4.0,0.0,7.0,9.0,6.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,24.0,0.0,0.0,9.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,0.0,4.0,6.0,1.0,0.0,0.0,10.0,1.0,1.0,21.0,3.0,0.0,1.0,0.0,9.0,3.0,2.0,2.0,0.0,3.0,21.0,0.0,0.0,8.0,1.0,2.0,11.0,4.0,8.0,5.0,2.0,3.0,1.0,2.0,9.0,0.0,0.0,2.0,1.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,11.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.0,1.0,1.0,0.0,9.0,4.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,21.0,0.0,0.0,0.0,1.0,11.0,0.0,13.0,3.0,6.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,1.0,10.0,4.0,2.0,0.0,2.0,0.0,1.0,4.0,5.0,14.0,2.0,0.0,1.0,3.0
5,1045731026.0,1.0,6.0,4.0,0.0,0.0,5.0,21.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,5.0,0.0,1.0,2.0,5.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,5.0,1.0,1.0,7.0,1.0,2.0,22.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,12.0,1.0,2.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,14.0,2.0,8.0,3.0,1.0,2.0,3.0,8.0,0.0,10.0,36.0,11.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,2.0,7.0,2.0,3.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,7.0,1.0,2.0,0.0,5.0,0.0,2.0,0.0,3.0,1.0,1.0,16.0,9.0,4.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0
6,105208717.0,0.0,10.0,1.0,3.0,5.0,0.0,12.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,9.0,8.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,14.0,1.0,1.0,6.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,22.0,4.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,7.0,37.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,0.0,4.0,0.0,19.0,4.0,1.0,1.0,4.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,34.0,9.0,17.0,1.0,0.0,0.0,8.0,13.0,0.0,14.0,1.0,17.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,26.0,14.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,5.0,12.0,4.0,4.0,2.0,1.0,0.0,10.0,7.0,3.0,0.0,11.0,3.0,0.0,2.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,10.0,9.0,1.0,2.0,0.0,1.0,2.0
7,1106162540.0,8.0,19.0,26.0,25.0,21.0,12.0,0.0,5.0,10.0,1.0,3.0,0.0,0.0,25.0,32.0,53.0,100.0,1.0,15.0,22.0,37.0,9.0,74.0,27.0,3.0,84.0,0.0,3.0,5.0,18.0,2.0,13.0,6.0,7.0,113.0,11.0,8.0,190.0,13.0,63.0,33.0,16.0,2.0,307.0,2.0,1.0,11.0,26.0,3.0,0.0,95.0,3.0,0.0,128.0,41.0,18.0,12.0,13.0,1.0,3.0,59.0,0.0,10.0,61.0,14.0,8.0,0.0,35.0,54.0,23.0,102.0,5.0,1.0,35.0,0.0,153.0,6.0,17.0,11.0,4.0,23.0,150.0,11.0,21.0,33.0,16.0,3.0,57.0,22.0,134.0,18.0,82.0,35.0,6.0,19.0,79.0,49.0,5.0,91.0,7.0,99.0,2.0,3.0,13.0,0.0,0.0,6.0,77.0,1.0,39.0,0.0,1.0,7.0,4.0,0.0,14.0,37.0,26.0,10.0,10.0,2.0,2.0,56.0,20.0,28.0,0.0,1.0,4.0,5.0,22.0,26.0,44.0,9.0,0.0,0.0,68.0,23.0,0.0,3.0,2.0,6.0,8.0,44.0,142.0,1.0,3.0,0.0,2.0,59.0,13.0,38.0,7.0,23.0,10.0,85.0,16.0,14.0,3.0,25.0,0.0,4.0,0.0,16.0,17.0,8.0,42.0,98.0,17.0,3.0,0.0,18.0,0.0,10.0,14.0,18.0,60.0,6.0,0.0,2.0,5.0
8,1121653332.0,0.0,3.0,2.0,1.0,2.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,20.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,8.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,3.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,8.0,18.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,1.0,1.0,23.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,17.0,5.0,2.0,2.0,0.0,1.0,7.0,1.0,0.0,3.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,1.0,4.0,14.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,5.0,4.0,2.0,2.0,1.0,0.0,2.0,1.0,6.0,0.0,7.0,2.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,2.0,1.0,0.0,0.0,0.0
9,113878793.0,1.0,12.0,3.0,3.0,3.0,3.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,2.0,1.0,3.0,3.0,12.0,6.0,0.0,19.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,2.0,8.0,3.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,22.0,3.0,2.0,0.0,4.0,1.0,1.0,3.0,0.0,6.0,30.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,0.0,3.0,0.0,23.0,2.0,2.0,4.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,33.0,6.0,6.0,3.0,1.0,5.0,11.0,2.0,0.0,3.0,2.0,11.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,10.0,1.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,1.0,1.0,4.0,11.0,6.0,5.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,6.0,6.0,1.0,6.0,1.0,2.0,0.0,4.0,0.0,4.0,0.0,8.0,6.0,4.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,7.0,2.0,1.0,0.0,1.0,2.0
