,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,-1.0,100029432.0,100463071.0,100545652.0,101714446.0,104531410.0,1100158760.0,114444486.0,119666620.0,1266608791.0,127499273.0,128833962.0,132037287.0,134441194.0,1361822936.0,1428381847.0,143765429.0,145535500.0,146060028.0,14617810.0,147469640.0,1490064805.0,15905323.0,160880970.0,161242224.0,16432047.0,16864300.0,170987473.0,17481929.0,177977760.0,215578198.0,217024169.0,2246176475.0,227624351.0,2290969120.0,2322140893.0,235881346.0,2371967209.0,2462120142.0,2601488016.0,280318944.0,284413326.0,2922378072.0,2928479412.0,2950762536.0,3023464767.0,308563.0,310679156.0,312784764.0,3129914335.0,3313298732.0,337631948.0,352508572.0,3560596154.0,3682988954.0,377465883.0,3925191679.0,393704292.0,397307300.0,40023404.0,4106539994.0,41552881.0,45137931.0,4777301054.0,4870169068.0,48836031.0,56727352.0,58578337.0,59146843.0,59806100.0,604512143.0,616897571.0,617207705.0,63774675.0,65892299.0,68487466.0,710213071.0,74643756.0,7.542443501466747e+17,7.589223816792105e+17,7.59636800793088e+17,7.607900356124385e+17,7.848304845135544e+17,78585532.0,7.915626162714092e+17,8.040356709393449e+17,8.047348275430728e+17,80590882.0,8.62374328301527e+17,87659486.0,8.821261392247603e+17,88440821.0,893036695.0,904041852.0,9.05401261842772e+17,92727026.0,9.317932057665126e+17,9.386794534120489e+17,9.456067454679204e+17
1,100029432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,100463071.0,0.0,0.0,20.0,43.0,39.0,3.0,24.0,6.0,17.0,66.0,45.0,10.0,23.0,25.0,31.0,34.0,5.0,15.0,30.0,1.0,17.0,3.0,105.0,78.0,11.0,37.0,62.0,0.0,2.0,41.0,2.0,1.0,40.0,42.0,29.0,36.0,2.0,4.0,8.0,6.0,5.0,19.0,2.0,53.0,3.0,5.0,10.0,28.0,8.0,0.0,35.0,15.0,10.0,22.0,96.0,17.0,25.0,24.0,26.0,0.0,0.0,2.0,2.0,5.0,7.0,13.0,53.0,89.0,55.0,26.0,9.0,106.0,27.0,70.0,6.0,1.0,9.0,5.0,1.0,7.0,5.0,4.0,2.0,19.0,54.0,5.0,73.0,1.0,6.0,1.0,6.0,0.0,30.0,0.0,11.0,15.0,29.0,3.0
3,100545652.0,0.0,20.0,0.0,19.0,26.0,0.0,9.0,2.0,6.0,38.0,42.0,16.0,17.0,13.0,17.0,15.0,3.0,12.0,6.0,1.0,20.0,0.0,59.0,40.0,4.0,26.0,49.0,0.0,2.0,36.0,0.0,0.0,9.0,35.0,9.0,15.0,2.0,1.0,5.0,5.0,2.0,15.0,2.0,22.0,4.0,1.0,7.0,12.0,10.0,0.0,25.0,6.0,11.0,12.0,60.0,15.0,13.0,15.0,12.0,1.0,0.0,1.0,0.0,5.0,3.0,5.0,25.0,24.0,19.0,23.0,4.0,48.0,15.0,67.0,8.0,0.0,3.0,6.0,1.0,0.0,4.0,1.0,0.0,6.0,18.0,1.0,46.0,2.0,7.0,0.0,3.0,0.0,19.0,0.0,4.0,5.0,27.0,1.0
4,101714446.0,0.0,43.0,19.0,0.0,33.0,3.0,16.0,4.0,11.0,38.0,40.0,14.0,24.0,15.0,30.0,9.0,24.0,18.0,9.0,1.0,18.0,0.0,68.0,52.0,8.0,24.0,46.0,0.0,2.0,42.0,5.0,1.0,17.0,47.0,14.0,35.0,1.0,1.0,8.0,5.0,4.0,17.0,1.0,29.0,4.0,5.0,7.0,9.0,12.0,0.0,32.0,14.0,12.0,11.0,64.0,12.0,16.0,18.0,21.0,0.0,0.0,3.0,0.0,5.0,7.0,10.0,29.0,53.0,28.0,24.0,7.0,74.0,13.0,59.0,6.0,1.0,4.0,8.0,0.0,2.0,4.0,1.0,1.0,10.0,23.0,3.0,46.0,1.0,12.0,1.0,5.0,0.0,31.0,0.0,6.0,8.0,23.0,4.0
5,104531410.0,0.0,39.0,26.0,33.0,0.0,1.0,18.0,8.0,12.0,57.0,45.0,6.0,25.0,24.0,42.0,22.0,7.0,17.0,15.0,1.0,25.0,4.0,101.0,84.0,4.0,23.0,69.0,0.0,6.0,42.0,0.0,1.0,28.0,48.0,32.0,22.0,1.0,4.0,10.0,7.0,4.0,17.0,2.0,44.0,3.0,13.0,10.0,25.0,14.0,0.0,41.0,10.0,8.0,17.0,77.0,21.0,19.0,24.0,20.0,1.0,0.0,2.0,2.0,4.0,8.0,18.0,37.0,90.0,44.0,49.0,6.0,83.0,18.0,64.0,13.0,0.0,11.0,8.0,1.0,3.0,3.0,2.0,1.0,12.0,35.0,1.0,56.0,2.0,12.0,0.0,7.0,0.0,29.0,0.0,8.0,20.0,34.0,4.0
6,1100158760.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,5.0,7.0,2.0,0.0,0.0,12.0,1.0,0.0,2.0,2.0,0.0,5.0,0.0,1.0,0.0,1.0,4.0,15.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,31.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
7,114444486.0,0.0,24.0,9.0,16.0,18.0,0.0,0.0,3.0,5.0,26.0,15.0,3.0,10.0,10.0,19.0,6.0,3.0,5.0,3.0,0.0,5.0,0.0,40.0,33.0,0.0,11.0,20.0,0.0,2.0,11.0,2.0,0.0,11.0,22.0,19.0,10.0,1.0,0.0,6.0,5.0,0.0,7.0,1.0,16.0,3.0,1.0,3.0,9.0,3.0,0.0,14.0,3.0,6.0,3.0,36.0,6.0,9.0,18.0,10.0,0.0,0.0,1.0,0.0,1.0,7.0,9.0,23.0,30.0,19.0,12.0,4.0,39.0,5.0,16.0,2.0,0.0,3.0,5.0,0.0,0.0,3.0,1.0,0.0,6.0,16.0,2.0,24.0,0.0,4.0,0.0,3.0,0.0,7.0,0.0,7.0,10.0,10.0,2.0
8,119666620.0,0.0,6.0,2.0,4.0,8.0,0.0,3.0,0.0,2.0,7.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,5.0,0.0,2.0,1.0,7.0,8.0,1.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,6.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,11.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,8.0,12.0,6.0,4.0,1.0,7.0,3.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,3.0,1.0
9,1266608791.0,0.0,17.0,6.0,11.0,12.0,1.0,5.0,2.0,0.0,30.0,7.0,17.0,20.0,9.0,6.0,24.0,1.0,0.0,10.0,0.0,4.0,0.0,64.0,29.0,8.0,20.0,13.0,0.0,2.0,9.0,0.0,0.0,27.0,38.0,26.0,13.0,0.0,0.0,3.0,1.0,1.0,10.0,0.0,9.0,0.0,1.0,2.0,19.0,9.0,0.0,3.0,4.0,6.0,6.0,48.0,5.0,10.0,13.0,4.0,0.0,0.0,1.0,1.0,3.0,3.0,12.0,29.0,48.0,76.0,5.0,2.0,30.0,40.0,16.0,4.0,0.0,13.0,1.0,0.0,80.0,1.0,0.0,0.0,18.0,260.0,3.0,50.0,0.0,5.0,3.0,2.0,0.0,8.0,0.0,9.0,15.0,5.0,0.0
