,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0,-1.0,101255701.0,101323511.0,102008486.0,106833729.0,109570463.0,1099639070.0,1182056690.0,1305120457.0,134026064.0,1472466895.0,1553571662.0,1589296218.0,162622005.0,1859021251.0,1903804879.0,20449447.0,209446648.0,2193467582.0,2206147549.0,228685304.0,2313274468.0,2375710670.0,2450272160.0,2742388612.0,27448371.0,2778576740.0,2787488802.0,2886074475.0,291298208.0,2950368835.0,29549589.0,3008738139.0,3073333327.0,3164113939.0,3166596829.0,3176687870.0,319485185.0,3254393124.0,32966460.0,34177727.0,3457254859.0,3664494262.0,3695614947.0,425774832.0,4344000552.0,4714397006.0,474861163.0,4844536934.0,487303655.0,503624385.0,504083899.0,583654961.0,591017088.0,628500511.0,63071905.0,7.042796906058916e+17,7.104848110648115e+17,7.168895467224433e+17,718117272.0,7.467360621903913e+17,7.518931690300416e+17,7.605416493909565e+17,7.857953877057536e+17,7.902519151708815e+17,7.96673509598593e+17,8.077359605070275e+17,8.147226519271547e+17,8.179818516837827e+17,8.768175577594675e+17,8.786147518316134e+17,8.957539056274391e+17,9.073794921417851e+17,9.117241639870136e+17,9.144611444666532e+17,9.150803169849876e+17,9.228558781891133e+17,9.521030556416246e+17,9.550263696326e+17,9.604837994265313e+17,9.677067588347699e+17,968751456.0
1,101255701.0,0.0,5.0,0.0,0.0,17.0,0.0,11.0,2.0,3.0,2.0,2.0,1.0,4.0,0.0,2.0,9.0,3.0,0.0,0.0,3.0,23.0,18.0,2.0,0.0,1.0,5.0,1.0,0.0,3.0,0.0,2.0,2.0,7.0,0.0,0.0,8.0,0.0,6.0,1.0,10.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,5.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,6.0,2.0,7.0,6.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,7.0,6.0,0.0,1.0,3.0,9.0,4.0,11.0
2,101323511.0,5.0,0.0,19.0,0.0,8.0,0.0,51.0,27.0,12.0,0.0,2.0,3.0,10.0,0.0,61.0,0.0,35.0,2.0,0.0,1.0,23.0,70.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,49.0,2.0,0.0,11.0,10.0,0.0,31.0,0.0,0.0,0.0,11.0,1.0,1.0,6.0,2.0,4.0,4.0,1.0,10.0,15.0,0.0,7.0,1.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,36.0,0.0,5.0,5.0,6.0,13.0,0.0,1.0,0.0,34.0,20.0,0.0,0.0,21.0,17.0,4.0,0.0,1.0,0.0,9.0,11.0,49.0
3,102008486.0,0.0,19.0,0.0,0.0,3.0,0.0,13.0,16.0,1.0,0.0,0.0,2.0,4.0,0.0,16.0,0.0,9.0,2.0,0.0,0.0,21.0,23.0,2.0,0.0,2.0,5.0,0.0,0.0,1.0,20.0,0.0,0.0,5.0,2.0,0.0,20.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,1.0,9.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,12.0,0.0,0.0,2.0,1.0,8.0,0.0,1.0,0.0,8.0,4.0,0.0,0.0,7.0,7.0,0.0,0.0,2.0,0.0,1.0,2.0,19.0
4,106833729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,109570463.0,17.0,8.0,3.0,0.0,0.0,2.0,26.0,9.0,6.0,3.0,2.0,15.0,7.0,6.0,4.0,13.0,6.0,3.0,0.0,16.0,65.0,128.0,11.0,1.0,11.0,20.0,0.0,0.0,50.0,2.0,10.0,0.0,9.0,0.0,1.0,33.0,0.0,33.0,0.0,7.0,5.0,0.0,0.0,2.0,6.0,9.0,1.0,3.0,6.0,2.0,5.0,8.0,19.0,5.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,11.0,10.0,3.0,18.0,12.0,1.0,0.0,13.0,0.0,0.0,14.0,12.0,44.0,9.0,0.0,14.0,15.0,35.0,5.0,44.0
6,1099639070.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
7,1182056690.0,11.0,51.0,13.0,0.0,26.0,3.0,0.0,43.0,17.0,0.0,3.0,12.0,20.0,0.0,62.0,4.0,47.0,9.0,0.0,10.0,84.0,218.0,7.0,3.0,5.0,19.0,0.0,0.0,3.0,60.0,5.0,3.0,47.0,43.0,0.0,78.0,3.0,26.0,0.0,12.0,2.0,6.0,3.0,3.0,14.0,21.0,8.0,15.0,33.0,1.0,14.0,3.0,0.0,2.0,0.0,2.0,2.0,14.0,0.0,65.0,1.0,17.0,16.0,15.0,42.0,3.0,3.0,0.0,61.0,40.0,0.0,4.0,38.0,164.0,14.0,0.0,24.0,14.0,21.0,11.0,121.0
8,1305120457.0,2.0,27.0,16.0,0.0,9.0,0.0,43.0,0.0,7.0,0.0,1.0,4.0,11.0,0.0,46.0,0.0,29.0,1.0,0.0,1.0,100.0,94.0,12.0,5.0,5.0,11.0,0.0,1.0,1.0,51.0,4.0,0.0,10.0,9.0,0.0,81.0,1.0,7.0,0.0,4.0,1.0,0.0,3.0,7.0,5.0,6.0,7.0,59.0,25.0,0.0,4.0,2.0,0.0,1.0,0.0,3.0,1.0,9.0,1.0,30.0,0.0,5.0,12.0,6.0,25.0,0.0,0.0,0.0,35.0,28.0,0.0,1.0,21.0,40.0,6.0,0.0,19.0,3.0,10.0,9.0,53.0
9,134026064.0,3.0,12.0,1.0,0.0,6.0,0.0,17.0,7.0,0.0,1.0,0.0,2.0,7.0,0.0,16.0,0.0,13.0,0.0,0.0,0.0,10.0,17.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,6.0,10.0,0.0,12.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,4.0,1.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,9.0,0.0,1.0,3.0,6.0,5.0,2.0,0.0,0.0,12.0,10.0,0.0,0.0,7.0,11.0,3.0,0.0,1.0,1.0,1.0,6.0,26.0
