,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,-1.0,1016369353.0,103941857.0,105357226.0,106389093.0,110400856.0,111484973.0,111817474.0,112555383.0,113457837.0,114233257.0,117308191.0,118310418.0,118615417.0,1209017774.0,1224729361.0,128571928.0,1324686061.0,134902418.0,136153313.0,136256318.0,137517189.0,139782201.0,145622254.0,14834066.0,1500811393.0,153343670.0,153379152.0,154087653.0,154167199.0,162655265.0,166478864.0,168214808.0,174495295.0,176783586.0,17680226.0,177598545.0,180586850.0,18248380.0,1835188722.0,18733470.0,190333186.0,1907968206.0,191422906.0,194095677.0,208580134.0,213577977.0,219684681.0,221755787.0,223413642.0,2291383200.0,2309561642.0,2364531646.0,2380425654.0,240548918.0,24345796.0,246667025.0,24863193.0,258221375.0,26240859.0,2649144102.0,267323271.0,2691599196.0,27106253.0,271196517.0,303168325.0,303771372.0,3075930266.0,31129986.0,3142900716.0,317807117.0,319264924.0,32277570.0,326161193.0,32810761.0,331462259.0,3316409420.0,3321956523.0,337600534.0,360981065.0,365598556.0,3679774881.0,377158991.0,378774444.0,37998608.0,384769693.0,3862855763.0,397954183.0,406395505.0,4095083833.0,412006243.0,4181784797.0,433793763.0,44188505.0,44495845.0,45312342.0,45593493.0,475182814.0,475272682.0,515685176.0,518629939.0,54125842.0,54787794.0,59015952.0,60608464.0,614200684.0,61748941.0,62567638.0,632052110.0,63380894.0,63465578.0,64782378.0,67633660.0,744505350.0,77955370.0,83575178.0,8.648333833267323e+17,86485949.0,87168300.0,87481727.0,89695826.0,897111876.0,93313468.0,9.37926098184151e+17,95422526.0,961275030.0
1,1016369353.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,6.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
2,103941857.0,0.0,0.0,6.0,37.0,0.0,19.0,31.0,3.0,0.0,2.0,0.0,7.0,64.0,0.0,0.0,21.0,4.0,1.0,2.0,0.0,2.0,1.0,30.0,7.0,10.0,1.0,0.0,40.0,3.0,26.0,3.0,7.0,2.0,0.0,1.0,4.0,3.0,1.0,1.0,4.0,5.0,0.0,0.0,1.0,14.0,0.0,0.0,6.0,0.0,34.0,2.0,0.0,15.0,11.0,5.0,1.0,2.0,2.0,15.0,0.0,0.0,0.0,8.0,0.0,1.0,6.0,0.0,3.0,9.0,2.0,8.0,0.0,1.0,2.0,3.0,0.0,0.0,5.0,0.0,13.0,3.0,45.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,2.0,4.0,1.0,0.0,18.0,0.0,1.0,8.0,20.0,0.0,1.0,1.0,14.0,15.0,17.0,0.0,2.0,14.0,0.0,0.0,0.0,11.0,1.0,12.0,1.0,16.0,1.0,44.0,0.0,1.0
3,105357226.0,0.0,6.0,0.0,42.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,4.0,56.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,81.0,0.0,6.0,1.0,0.0,3.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,23.0,1.0,0.0,8.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,16.0,0.0,5.0,1.0,0.0
4,106389093.0,0.0,37.0,42.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,3.0,77.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,96.0,1.0,21.0,0.0,0.0,4.0,7.0,37.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,43.0,3.0,0.0,9.0,14.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,11.0,1.0,3.0,0.0,4.0,0.0,1.0,9.0,1.0,0.0,0.0,34.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,38.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,31.0,1.0,12.0,1.0,18.0,0.0,1.0
5,110400856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,111484973.0,10.0,19.0,2.0,1.0,0.0,0.0,22.0,15.0,12.0,26.0,18.0,18.0,84.0,0.0,2.0,5.0,24.0,11.0,28.0,61.0,2.0,7.0,10.0,111.0,0.0,0.0,7.0,20.0,9.0,4.0,72.0,43.0,0.0,5.0,21.0,1.0,8.0,42.0,5.0,77.0,22.0,6.0,2.0,37.0,86.0,37.0,52.0,2.0,1.0,39.0,0.0,4.0,9.0,15.0,25.0,6.0,42.0,0.0,55.0,0.0,1.0,2.0,24.0,7.0,6.0,30.0,2.0,10.0,20.0,13.0,53.0,1.0,0.0,4.0,6.0,9.0,4.0,6.0,1.0,69.0,59.0,19.0,1.0,30.0,4.0,0.0,38.0,1.0,25.0,3.0,5.0,0.0,2.0,14.0,21.0,19.0,18.0,4.0,14.0,13.0,5.0,22.0,57.0,55.0,12.0,10.0,7.0,3.0,2.0,3.0,1.0,0.0,20.0,2.0,13.0,0.0,20.0,31.0,6.0,21.0,1.0,2.0,14.0,0.0,18.0
7,111817474.0,1.0,31.0,20.0,26.0,0.0,22.0,0.0,0.0,1.0,3.0,1.0,13.0,116.0,0.0,1.0,18.0,4.0,2.0,5.0,3.0,1.0,2.0,55.0,14.0,8.0,2.0,0.0,6.0,22.0,36.0,5.0,8.0,1.0,0.0,2.0,6.0,2.0,2.0,1.0,6.0,4.0,1.0,0.0,5.0,7.0,5.0,3.0,1.0,2.0,55.0,1.0,1.0,14.0,33.0,4.0,2.0,6.0,6.0,8.0,0.0,1.0,0.0,9.0,0.0,2.0,6.0,0.0,5.0,9.0,5.0,25.0,1.0,5.0,1.0,12.0,0.0,1.0,12.0,2.0,12.0,5.0,81.0,2.0,8.0,1.0,0.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,32.0,2.0,3.0,0.0,1.0,10.0,1.0,1.0,7.0,13.0,0.0,3.0,0.0,8.0,41.0,26.0,1.0,0.0,6.0,0.0,1.0,0.0,12.0,6.0,14.0,3.0,31.0,2.0,18.0,0.0,3.0
8,112555383.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,22.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
9,113457837.0,4.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,15.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,6.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
