,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
0,-1.0,1029779491.0,1106619714.0,1399637430.0,1547927953.0,1572406873.0,1658943061.0,218032656.0,2333689298.0,2496909361.0,2723949330.0,27535665.0,2765732160.0,2886820757.0,2905200708.0,30666576.0,3171886518.0,3221051580.0,322204783.0,3240596224.0,3317015827.0,3320251608.0,3375208872.0,365618117.0,3769684214.0,4026867509.0,4090782444.0,439885517.0,447286009.0,4604990654.0,463067353.0,4631505318.0,4708796306.0,499587034.0,568062823.0,595130351.0,630170420.0,6.981818983931576e+17,7.083963270681108e+17,7.239075256077189e+17,7.264656306150482e+17,7.27385453553406e+17,7.30995486744662e+17,7.330086175913452e+17,753419520.0,7.655789406351606e+17,7.918251452244951e+17,7.948742177831444e+17,8.017500711758807e+17,8.1483823244988e+17,8.15117755183575e+17,8.331612358225551e+17,835833145.0,83710103.0,8.429669005062062e+17,8.500479782282076e+17,8.505825621667553e+17,8.510573563644314e+17,8.555938571105157e+17,8.587446332531671e+17,8.600190145458217e+17,8.628871521488978e+17,8.65942884792533e+17,8.660945233523589e+17,8.662195610952786e+17,8.668751969756201e+17,8.684169920755794e+17,8.836598115391242e+17,8.84244525555753e+17,8.915210036537467e+17,8.923646005529395e+17,8.927680948204995e+17,8.94612602994647e+17,8.952213074443469e+17,8.976605321609667e+17,8.981292377014026e+17,9.038943499263386e+17,9.111013415225508e+17,9.194460490385981e+17,9.209316570702316e+17,9.217790814771118e+17,9.2182678360687e+17,9.220917812855398e+17,9.221985597427261e+17,9.239370897957683e+17,9.241248115713147e+17,9.26145789407019e+17,9.270738503275684e+17,9.284780241184276e+17,9.289080242273608e+17,9.323167811710239e+17,9.36066045051224e+17,9.364354574742733e+17,9.365056564204012e+17,9.36557291595219e+17,9.371058885606523e+17,9.378316829623747e+17,9.389676328326349e+17,9.403563092910285e+17,9.4308647549474e+17,9.477747388682895e+17,9.481604879039898e+17,9.481637402092626e+17,9.501161657870131e+17,9.501830743688028e+17,9.502633557421588e+17,9.506353031983145e+17,9.513530455263724e+17,9.517307416493588e+17,9.521084003719332e+17,9.524989480479621e+17,9.546024210277089e+17,9.546959530505544e+17,9.547894780186952e+17,9.54984941653078e+17,9.552938771241574e+17,956762293.0,9.572305189190861e+17,9.574421154866954e+17,9.594094671494308e+17,9.595665761345659e+17,9.598611069520814e+17,9.600127834410025e+17,9.601006495002092e+17,9.601021307144888e+17,9.604469008088187e+17,9.604937429174845e+17,9.618102249684746e+17,9.620263614171587e+17,9.623001291925217e+17
1,1029779491.0,0.0,0.0,74.0,1.0,6.0,3.0,0.0,0.0,1.0,7.0,0.0,73.0,0.0,35.0,0.0,0.0,24.0,19.0,7.0,13.0,18.0,0.0,0.0,31.0,0.0,39.0,51.0,8.0,0.0,0.0,0.0,1.0,39.0,8.0,1.0,1.0,0.0,1.0,18.0,0.0,23.0,44.0,0.0,0.0,43.0,0.0,0.0,11.0,0.0,51.0,50.0,2.0,0.0,73.0,30.0,3.0,33.0,0.0,0.0,0.0,35.0,0.0,0.0,52.0,41.0,59.0,18.0,13.0,0.0,0.0,19.0,0.0,3.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,19.0,10.0,0.0,25.0,14.0,0.0,0.0,0.0,9.0,19.0,8.0,0.0,0.0,92.0,1.0,0.0,1.0,4.0,48.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,30.0,31.0,0.0,0.0,43.0,0.0,1.0,19.0,5.0,2.0,0.0,28.0,8.0,8.0,41.0,20.0,1.0,9.0,2.0,0.0
2,1106619714.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,7.0,0.0,6.0,1.0,6.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,0.0,1.0,0.0,3.0,5.0,7.0,3.0,1.0,0.0,4.0,5.0,3.0,1.0,0.0,15.0,1.0,0.0,12.0,6.0,0.0,4.0,1.0,0.0,7.0,1.0,1.0,4.0,7.0,1.0,1.0,0.0,1.0,1.0,2.0,6.0,1.0,6.0,4.0,0.0,1.0,0.0,1.0,1.0,6.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,9.0,1.0,0.0,2.0,3.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,3.0,3.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,12.0,8.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0
3,1399637430.0,74.0,0.0,0.0,5.0,18.0,5.0,0.0,1.0,3.0,14.0,1.0,142.0,12.0,56.0,0.0,0.0,38.0,34.0,13.0,28.0,29.0,0.0,0.0,39.0,0.0,85.0,62.0,11.0,1.0,3.0,7.0,2.0,66.0,12.0,0.0,13.0,0.0,6.0,43.0,1.0,41.0,60.0,1.0,2.0,87.0,3.0,0.0,20.0,0.0,91.0,72.0,4.0,5.0,112.0,40.0,8.0,63.0,0.0,0.0,0.0,73.0,0.0,1.0,114.0,60.0,56.0,41.0,24.0,1.0,0.0,40.0,0.0,4.0,0.0,5.0,1.0,0.0,17.0,0.0,0.0,0.0,10.0,0.0,39.0,17.0,3.0,47.0,19.0,0.0,2.0,1.0,20.0,54.0,14.0,0.0,0.0,121.0,4.0,0.0,2.0,6.0,62.0,1.0,2.0,2.0,3.0,6.0,0.0,0.0,52.0,41.0,2.0,3.0,64.0,0.0,2.0,32.0,12.0,5.0,1.0,44.0,14.0,22.0,102.0,44.0,2.0,26.0,4.0,1.0
4,1547927953.0,1.0,0.0,5.0,0.0,8.0,3.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,3.0,11.0,5.0,1.0,2.0,3.0,0.0,7.0,0.0,6.0,11.0,3.0,0.0,1.0,2.0,4.0,5.0,3.0,0.0,3.0,0.0,3.0,6.0,0.0,8.0,9.0,0.0,5.0,7.0,1.0,0.0,8.0,0.0,4.0,6.0,4.0,1.0,12.0,5.0,3.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,8.0,4.0,7.0,5.0,0.0,0.0,7.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,7.0,5.0,1.0,6.0,4.0,0.0,4.0,0.0,5.0,8.0,3.0,0.0,0.0,7.0,1.0,0.0,1.0,2.0,8.0,0.0,4.0,0.0,2.0,3.0,3.0,0.0,7.0,3.0,0.0,5.0,5.0,0.0,0.0,4.0,4.0,6.0,0.0,5.0,3.0,6.0,8.0,9.0,0.0,7.0,1.0,0.0
5,1572406873.0,6.0,0.0,18.0,8.0,0.0,3.0,0.0,1.0,2.0,8.0,0.0,23.0,0.0,17.0,0.0,0.0,16.0,22.0,13.0,7.0,11.0,0.0,0.0,9.0,0.0,21.0,16.0,9.0,0.0,0.0,2.0,1.0,11.0,7.0,0.0,0.0,0.0,9.0,13.0,0.0,20.0,17.0,1.0,1.0,23.0,1.0,0.0,15.0,0.0,14.0,14.0,2.0,1.0,22.0,9.0,8.0,18.0,0.0,0.0,0.0,15.0,0.0,0.0,23.0,16.0,14.0,9.0,14.0,1.0,0.0,17.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,21.0,10.0,0.0,13.0,10.0,0.0,1.0,0.0,13.0,19.0,12.0,0.0,0.0,24.0,1.0,0.0,1.0,6.0,14.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,18.0,12.0,0.0,1.0,17.0,0.0,1.0,9.0,8.0,3.0,0.0,18.0,12.0,20.0,20.0,22.0,2.0,19.0,3.0,0.0
6,1658943061.0,3.0,0.0,5.0,3.0,3.0,0.0,0.0,1.0,3.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,4.0,9.0,4.0,5.0,4.0,1.0,0.0,6.0,0.0,7.0,5.0,3.0,0.0,0.0,1.0,3.0,2.0,7.0,8.0,2.0,0.0,0.0,5.0,0.0,4.0,7.0,0.0,3.0,7.0,1.0,0.0,6.0,0.0,7.0,7.0,4.0,1.0,9.0,3.0,1.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,8.0,4.0,4.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,4.0,5.0,0.0,4.0,5.0,0.0,3.0,0.0,4.0,5.0,5.0,0.0,0.0,7.0,1.0,0.0,1.0,2.0,7.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,5.0,2.0,0.0,3.0,4.0,0.0,1.0,5.0,3.0,4.0,0.0,4.0,5.0,5.0,7.0,6.0,0.0,6.0,2.0,0.0
7,218032656.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,0.0,24.0,1.0,26.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,16.0,1.0,2.0,1.0,0.0,0.0,15.0,26.0,23.0,11.0,0.0,0.0,14.0,29.0,7.0,3.0,1.0,19.0,0.0,0.0,19.0,7.0,1.0,20.0,2.0,1.0,7.0,0.0,0.0,14.0,35.0,0.0,0.0,0.0,1.0,5.0,4.0,6.0,1.0,17.0,13.0,0.0,1.0,0.0,1.0,0.0,12.0,16.0,0.0,11.0,0.0,4.0,0.0,5.0,19.0,0.0,0.0,2.0,2.0,0.0,21.0,0.0,0.0,4.0,0.0,0.0,2.0,20.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,8.0,0.0,0.0,11.0,5.0,18.0,7.0,0.0,1.0,0.0,0.0,0.0,21.0,19.0,0.0,2.0,9.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0
8,2333689298.0,0.0,3.0,1.0,0.0,1.0,1.0,14.0,0.0,20.0,0.0,16.0,0.0,14.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,10.0,1.0,3.0,0.0,0.0,0.0,15.0,22.0,25.0,14.0,0.0,0.0,15.0,22.0,6.0,2.0,0.0,9.0,0.0,1.0,19.0,9.0,0.0,16.0,3.0,0.0,8.0,0.0,0.0,18.0,24.0,2.0,0.0,0.0,0.0,6.0,4.0,6.0,0.0,17.0,14.0,1.0,2.0,0.0,2.0,0.0,18.0,14.0,1.0,8.0,0.0,6.0,0.0,8.0,14.0,0.0,0.0,2.0,3.0,0.0,16.0,0.0,1.0,5.0,0.0,1.0,3.0,19.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,11.0,0.0,1.0,12.0,7.0,18.0,7.0,0.0,1.0,0.0,0.0,0.0,10.0,22.0,0.0,3.0,10.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,16.0
9,2496909361.0,1.0,7.0,3.0,7.0,2.0,3.0,21.0,20.0,0.0,5.0,35.0,14.0,48.0,2.0,8.0,0.0,3.0,33.0,6.0,10.0,1.0,14.0,32.0,21.0,5.0,9.0,5.0,1.0,29.0,54.0,71.0,47.0,2.0,1.0,25.0,133.0,11.0,27.0,14.0,39.0,8.0,8.0,54.0,30.0,3.0,64.0,11.0,22.0,12.0,4.0,4.0,62.0,105.0,27.0,2.0,1.0,16.0,7.0,5.0,11.0,10.0,34.0,23.0,8.0,19.0,3.0,26.0,2.0,39.0,26.0,5.0,13.0,1.0,5.0,7.0,9.0,36.0,5.0,0.0,4.0,5.0,1.0,25.0,2.0,9.0,30.0,11.0,7.0,15.0,39.0,18.0,17.0,3.0,3.0,0.0,0.0,1.0,49.0,0.0,24.0,2.0,21.0,32.0,22.0,45.0,20.0,2.0,17.0,0.0,2.0,2.0,31.0,85.0,2.0,3.0,22.0,3.0,4.0,22.0,10.0,1.0,3.0,2.0,3.0,2.0,0.0,3.0,3.0,24.0
