,0,1,2,3,4,5,6,7,8,9,10
0,-1.0,1604707735.0,295688822.0,3308950922.0,7.27385453553406e+17,7.366442002387436e+17,8.14134110771757e+17,8.772291584091464e+17,8.923646005529395e+17,8.935062087406428e+17,9.332773711839273e+17
1,1604707735.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,5.0,4.0
2,295688822.0,0.0,0.0,0.0,13.0,1.0,27.0,0.0,0.0,0.0,0.0
3,3308950922.0,4.0,0.0,0.0,1.0,21.0,4.0,20.0,27.0,19.0,5.0
4,7.27385453553406e+17,0.0,13.0,1.0,0.0,5.0,18.0,1.0,0.0,0.0,0.0
5,7.366442002387436e+17,4.0,1.0,21.0,5.0,0.0,7.0,22.0,25.0,14.0,6.0
6,8.14134110771757e+17,0.0,27.0,4.0,18.0,7.0,0.0,3.0,2.0,1.0,0.0
7,8.772291584091464e+17,4.0,0.0,20.0,1.0,22.0,3.0,0.0,49.0,23.0,7.0
8,8.923646005529395e+17,4.0,0.0,27.0,0.0,25.0,2.0,49.0,0.0,40.0,7.0
9,8.935062087406428e+17,5.0,0.0,19.0,0.0,14.0,1.0,23.0,40.0,0.0,6.0
10,9.332773711839273e+17,4.0,0.0,5.0,0.0,6.0,0.0,7.0,7.0,6.0,0.0
