,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,-1.0,1014830100.0,153693557.0,1571281345.0,2385319429.0,2770114159.0,2908667262.0,2959859161.0,3046151654.0,3157474747.0,329751875.0,338872040.0,4056295274.0,4219754652.0,4313051478.0,7.092758672650322e+17,7.174042449035346e+17,7.421901928958771e+17,747030308.0,7.799356421051187e+17,8.267479033265766e+17,8.396839276358e+17,8.488147755387699e+17,8.661349729770742e+17,8.902702028055716e+17,9.27872086860632e+17,9.412607364240589e+17
1,1014830100.0,0.0,3.0,0.0,6.0,107.0,0.0,79.0,3.0,1.0,0.0,2.0,1.0,0.0,34.0,68.0,78.0,0.0,41.0,0.0,44.0,40.0,0.0,1.0,0.0,0.0,42.0
2,153693557.0,3.0,0.0,18.0,0.0,42.0,5.0,3.0,53.0,0.0,8.0,136.0,27.0,13.0,20.0,2.0,17.0,55.0,18.0,20.0,80.0,0.0,91.0,2.0,1.0,1.0,5.0
3,1571281345.0,0.0,18.0,0.0,0.0,1.0,1644.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4033.0,4.0,0.0,71.0,0.0,27.0,0.0,1.0
4,2385319429.0,6.0,0.0,0.0,0.0,38.0,0.0,5.0,7.0,1.0,0.0,4.0,2.0,0.0,4.0,3.0,8.0,2.0,27.0,0.0,21.0,3.0,0.0,1.0,0.0,1.0,5.0
5,2770114159.0,107.0,42.0,1.0,38.0,0.0,2.0,80.0,44.0,1.0,6.0,63.0,20.0,0.0,51.0,61.0,110.0,24.0,156.0,0.0,227.0,37.0,1.0,3.0,0.0,0.0,50.0
6,2908667262.0,0.0,5.0,1644.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2931.0,0.0,0.0,12.0,0.0,4.0,0.0,2.0
7,2959859161.0,79.0,3.0,0.0,5.0,80.0,0.0,0.0,6.0,1.0,1.0,5.0,2.0,1.0,28.0,63.0,64.0,6.0,44.0,0.0,45.0,34.0,1.0,3.0,0.0,0.0,30.0
8,3046151654.0,3.0,53.0,0.0,7.0,44.0,0.0,6.0,0.0,0.0,5.0,33.0,11.0,5.0,14.0,2.0,14.0,27.0,30.0,0.0,89.0,2.0,10.0,6.0,0.0,1.0,7.0
9,3157474747.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
10,329751875.0,0.0,8.0,0.0,0.0,6.0,0.0,1.0,5.0,0.0,0.0,8.0,1.0,0.0,6.0,1.0,1.0,6.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0,1.0
11,338872040.0,2.0,136.0,2.0,4.0,63.0,0.0,5.0,33.0,0.0,8.0,0.0,32.0,0.0,13.0,3.0,16.0,37.0,20.0,0.0,64.0,2.0,11.0,3.0,0.0,2.0,5.0
12,4056295274.0,1.0,27.0,1.0,2.0,20.0,0.0,2.0,11.0,0.0,1.0,32.0,0.0,0.0,3.0,2.0,6.0,15.0,10.0,0.0,21.0,2.0,2.0,0.0,0.0,0.0,1.0
13,4219754652.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,7.0,3.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0
14,4313051478.0,34.0,20.0,1.0,4.0,51.0,0.0,28.0,14.0,1.0,6.0,13.0,3.0,8.0,0.0,22.0,35.0,11.0,32.0,0.0,68.0,13.0,0.0,3.0,0.0,0.0,27.0
15,7.092758672650322e+17,68.0,2.0,0.0,3.0,61.0,0.0,63.0,2.0,1.0,1.0,3.0,2.0,2.0,22.0,0.0,89.0,4.0,36.0,1.0,45.0,71.0,1.0,2.0,0.0,0.0,47.0
16,7.174042449035346e+17,78.0,17.0,0.0,8.0,110.0,0.0,64.0,14.0,1.0,1.0,16.0,6.0,7.0,35.0,89.0,0.0,7.0,47.0,0.0,82.0,65.0,2.0,2.0,0.0,0.0,65.0
17,7.421901928958771e+17,0.0,55.0,1.0,2.0,24.0,0.0,6.0,27.0,0.0,6.0,37.0,15.0,3.0,11.0,4.0,7.0,0.0,13.0,0.0,30.0,4.0,7.0,2.0,0.0,0.0,3.0
18,747030308.0,41.0,18.0,0.0,27.0,156.0,0.0,44.0,30.0,1.0,0.0,20.0,10.0,1.0,32.0,36.0,47.0,13.0,0.0,0.0,149.0,26.0,1.0,4.0,0.0,0.0,34.0
19,7.799356421051187e+17,0.0,20.0,4033.0,0.0,0.0,2931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,23.0,0.0,8.0,0.0,2.0
20,8.267479033265766e+17,44.0,80.0,4.0,21.0,227.0,0.0,45.0,89.0,1.0,9.0,64.0,21.0,8.0,68.0,45.0,82.0,30.0,149.0,4.0,0.0,28.0,3.0,9.0,0.0,1.0,53.0
21,8.396839276358e+17,40.0,0.0,0.0,3.0,37.0,0.0,34.0,2.0,1.0,0.0,2.0,2.0,0.0,13.0,71.0,65.0,4.0,26.0,0.0,28.0,0.0,0.0,1.0,0.0,0.0,42.0
