,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159
0,-1.0,101726481.0,101968865.0,102955407.0,105055859.0,1052201041.0,105452353.0,109487586.0,113690319.0,118282571.0,11907542.0,121959496.0,122425883.0,123907301.0,124958094.0,126832007.0,1338772176.0,134528451.0,1385113170.0,140650434.0,142591282.0,1431222452.0,144940082.0,14558249.0,147880009.0,150605022.0,15279710.0,1534950469.0,1536843788.0,158031928.0,164958548.0,1650273846.0,1651092140.0,1677481501.0,1691434088.0,171077993.0,171870273.0,173911839.0,177876774.0,18426047.0,185587335.0,1910707693.0,192261383.0,192531082.0,1947932642.0,197637989.0,20275189.0,207572721.0,211057159.0,21169490.0,21211840.0,212826082.0,214805362.0,21605447.0,217018738.0,2179363256.0,2240421060.0,225554599.0,227205605.0,23483075.0,235038096.0,236432768.0,2380425654.0,2385637440.0,240345565.0,2433167971.0,246384828.0,24837617.0,249106696.0,2517223020.0,253531716.0,2557273482.0,258221375.0,26093310.0,2735453194.0,281912106.0,286096620.0,2880702966.0,289664546.0,2971298278.0,2999362508.0,3024837799.0,30669833.0,30840707.0,308976598.0,310132738.0,3130789249.0,3155484370.0,328551761.0,328561355.0,329876024.0,330262973.0,333232178.0,3340995334.0,33841072.0,3389726902.0,3398398504.0,341584514.0,34535716.0,349150207.0,350278618.0,359931086.0,3604636339.0,36676509.0,368697392.0,369782000.0,371340716.0,3743786653.0,377331254.0,38415535.0,386287339.0,38889458.0,390880003.0,396224549.0,396808207.0,4181784797.0,42007600.0,420448967.0,438142822.0,4415611873.0,45283269.0,453603539.0,459629387.0,47569726.0,497341281.0,530948779.0,55178704.0,564040641.0,567178444.0,581693046.0,601631359.0,604512143.0,60721444.0,608817114.0,621625223.0,62460857.0,63513043.0,63733963.0,64362799.0,65675400.0,66421618.0,7.227556639112028e+17,74262470.0,7.495658194079826e+17,757128968.0,77779688.0,78271925.0,79345413.0,8.02585449462014e+17,81296066.0,82893053.0,85500016.0,855477379.0,873995060.0,8.898579755646444e+17,90222516.0,92688658.0,9375.0,951032569.0,97992905.0
1,101726481.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,5.0,8.0,2.0,2.0,2.0,6.0,3.0,0.0,2.0,1.0,4.0,3.0,0.0,7.0,3.0,4.0,2.0,0.0,5.0,1.0,0.0,4.0,4.0,9.0,3.0,2.0,4.0,4.0,0.0,1.0,3.0,1.0,2.0,5.0,26.0,4.0,0.0,4.0,6.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,11.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,14.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,6.0,3.0,3.0,1.0,0.0,3.0,1.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,7.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,3.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,5.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,5.0,3.0,0.0,9.0,24.0,0.0,3.0,0.0,0.0,1.0,37.0,4.0,0.0,21.0,0.0,5.0,1.0,4.0,0.0,5.0,2.0,2.0,1.0,0.0
2,101968865.0,1.0,0.0,24.0,39.0,2.0,19.0,0.0,35.0,35.0,6.0,0.0,1.0,23.0,11.0,0.0,5.0,6.0,24.0,18.0,1.0,38.0,14.0,16.0,32.0,31.0,21.0,6.0,1.0,4.0,50.0,44.0,59.0,9.0,54.0,115.0,1.0,1.0,25.0,16.0,15.0,51.0,4.0,7.0,0.0,4.0,33.0,4.0,9.0,2.0,5.0,40.0,12.0,2.0,148.0,5.0,1.0,0.0,31.0,7.0,11.0,2.0,8.0,48.0,0.0,5.0,26.0,0.0,0.0,0.0,113.0,34.0,0.0,12.0,1.0,17.0,0.0,73.0,0.0,12.0,1.0,1.0,0.0,0.0,11.0,9.0,7.0,0.0,24.0,3.0,18.0,17.0,0.0,12.0,4.0,1.0,0.0,1.0,6.0,0.0,2.0,22.0,4.0,22.0,0.0,0.0,14.0,0.0,9.0,5.0,6.0,2.0,0.0,0.0,2.0,0.0,33.0,48.0,2.0,21.0,6.0,1.0,0.0,3.0,0.0,43.0,131.0,1.0,11.0,0.0,2.0,47.0,4.0,27.0,3.0,2.0,69.0,81.0,3.0,42.0,1.0,4.0,3.0,0.0,0.0,3.0,22.0,2.0,1.0,0.0,1.0,17.0,10.0,3.0,1.0,23.0,5.0,47.0,0.0,21.0
3,102955407.0,1.0,24.0,0.0,16.0,2.0,14.0,0.0,11.0,4.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,5.0,19.0,1.0,7.0,1.0,6.0,15.0,8.0,5.0,3.0,0.0,1.0,11.0,5.0,13.0,3.0,14.0,44.0,0.0,0.0,5.0,13.0,6.0,22.0,1.0,2.0,0.0,0.0,14.0,5.0,7.0,1.0,2.0,11.0,4.0,1.0,32.0,0.0,1.0,0.0,4.0,2.0,6.0,0.0,2.0,10.0,0.0,0.0,4.0,0.0,0.0,1.0,43.0,9.0,0.0,1.0,0.0,6.0,0.0,24.0,0.0,3.0,1.0,5.0,0.0,0.0,3.0,1.0,9.0,0.0,8.0,0.0,12.0,8.0,0.0,3.0,2.0,0.0,0.0,0.0,6.0,0.0,1.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,19.0,2.0,8.0,12.0,0.0,0.0,2.0,0.0,14.0,19.0,0.0,3.0,0.0,1.0,16.0,2.0,11.0,2.0,0.0,16.0,21.0,1.0,6.0,0.0,4.0,3.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,2.0,6.0,4.0,19.0,0.0,2.0
4,105055859.0,3.0,39.0,16.0,0.0,2.0,16.0,0.0,105.0,17.0,8.0,1.0,37.0,19.0,3.0,0.0,6.0,4.0,71.0,12.0,0.0,14.0,12.0,19.0,16.0,15.0,9.0,2.0,0.0,19.0,56.0,30.0,15.0,14.0,24.0,86.0,1.0,1.0,19.0,20.0,12.0,44.0,1.0,1.0,1.0,6.0,82.0,10.0,16.0,5.0,9.0,16.0,9.0,6.0,95.0,5.0,2.0,0.0,10.0,7.0,19.0,4.0,5.0,25.0,2.0,6.0,21.0,4.0,6.0,0.0,103.0,24.0,0.0,1.0,0.0,26.0,1.0,52.0,0.0,14.0,0.0,4.0,0.0,1.0,2.0,4.0,9.0,0.0,25.0,2.0,24.0,13.0,2.0,12.0,25.0,1.0,1.0,3.0,15.0,0.0,8.0,30.0,11.0,6.0,0.0,1.0,41.0,1.0,4.0,5.0,5.0,1.0,1.0,0.0,14.0,4.0,12.0,38.0,6.0,14.0,7.0,5.0,0.0,2.0,1.0,28.0,33.0,0.0,21.0,0.0,1.0,12.0,8.0,16.0,5.0,5.0,18.0,47.0,2.0,30.0,0.0,8.0,10.0,0.0,0.0,5.0,13.0,8.0,0.0,4.0,7.0,31.0,10.0,2.0,2.0,11.0,4.0,20.0,0.0,15.0
5,1052201041.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
6,105452353.0,1.0,19.0,14.0,16.0,0.0,0.0,0.0,11.0,10.0,5.0,1.0,1.0,8.0,1.0,0.0,2.0,1.0,6.0,10.0,0.0,9.0,4.0,3.0,14.0,17.0,3.0,2.0,0.0,6.0,21.0,7.0,17.0,8.0,22.0,42.0,0.0,1.0,4.0,11.0,9.0,30.0,1.0,1.0,0.0,2.0,17.0,2.0,4.0,1.0,3.0,11.0,0.0,2.0,19.0,1.0,0.0,0.0,5.0,1.0,4.0,1.0,2.0,14.0,0.0,2.0,8.0,0.0,2.0,3.0,52.0,14.0,0.0,1.0,0.0,6.0,1.0,33.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,0.0,19.0,7.0,1.0,5.0,2.0,1.0,0.0,1.0,8.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0,2.0,0.0,14.0,27.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,17.0,20.0,0.0,5.0,0.0,2.0,12.0,4.0,4.0,2.0,1.0,12.0,36.0,1.0,9.0,0.0,5.0,2.0,0.0,0.0,2.0,3.0,2.0,4.0,4.0,0.0,7.0,5.0,1.0,1.0,6.0,2.0,20.0,0.0,0.0
7,109487586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,113690319.0,5.0,35.0,11.0,105.0,2.0,11.0,0.0,0.0,32.0,7.0,2.0,26.0,40.0,11.0,0.0,13.0,10.0,79.0,14.0,3.0,18.0,21.0,41.0,12.0,5.0,19.0,1.0,0.0,35.0,50.0,86.0,5.0,12.0,7.0,78.0,0.0,3.0,10.0,15.0,12.0,39.0,4.0,4.0,2.0,13.0,146.0,20.0,8.0,9.0,15.0,14.0,11.0,3.0,151.0,4.0,0.0,0.0,20.0,11.0,34.0,6.0,11.0,8.0,1.0,9.0,53.0,1.0,7.0,0.0,142.0,53.0,0.0,3.0,0.0,28.0,5.0,50.0,0.0,29.0,0.0,7.0,0.0,0.0,4.0,1.0,7.0,0.0,32.0,0.0,33.0,18.0,2.0,24.0,49.0,1.0,2.0,5.0,10.0,1.0,6.0,53.0,12.0,9.0,1.0,1.0,52.0,0.0,4.0,4.0,15.0,1.0,2.0,0.0,50.0,3.0,16.0,20.0,4.0,52.0,13.0,6.0,0.0,6.0,3.0,41.0,46.0,1.0,36.0,0.0,2.0,1.0,17.0,28.0,7.0,5.0,27.0,24.0,2.0,78.0,0.0,13.0,15.0,0.0,0.0,21.0,17.0,11.0,2.0,6.0,10.0,53.0,22.0,8.0,0.0,29.0,15.0,18.0,0.0,4.0
9,118282571.0,8.0,35.0,4.0,17.0,1.0,10.0,1.0,32.0,0.0,2.0,2.0,8.0,29.0,3.0,0.0,9.0,1.0,24.0,15.0,1.0,22.0,9.0,11.0,8.0,2.0,14.0,1.0,0.0,9.0,20.0,40.0,4.0,9.0,7.0,27.0,0.0,3.0,3.0,9.0,4.0,21.0,2.0,11.0,0.0,10.0,28.0,2.0,2.0,3.0,3.0,11.0,4.0,1.0,42.0,3.0,0.0,0.0,20.0,7.0,12.0,1.0,12.0,7.0,0.0,2.0,33.0,0.0,8.0,1.0,28.0,14.0,0.0,3.0,0.0,12.0,2.0,26.0,0.0,24.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,23.0,1.0,10.0,18.0,3.0,6.0,18.0,1.0,0.0,3.0,9.0,0.0,1.0,29.0,2.0,10.0,0.0,0.0,26.0,0.0,7.0,6.0,4.0,0.0,1.0,0.0,3.0,1.0,7.0,13.0,1.0,27.0,4.0,1.0,0.0,4.0,1.0,21.0,52.0,1.0,6.0,0.0,2.0,3.0,6.0,12.0,2.0,2.0,16.0,9.0,1.0,34.0,1.0,2.0,5.0,0.0,0.0,8.0,15.0,6.0,1.0,3.0,2.0,16.0,5.0,4.0,0.0,21.0,6.0,15.0,1.0,2.0
