,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,-1.0,10453122.0,11012822.0,111652047.0,113009001.0,113547701.0,11430852.0,121379684.0,122550241.0,1406614448.0,145622254.0,14610740.0,15049217.0,1568718145.0,1853768942.0,207033014.0,2225046163.0,2284771098.0,2411092116.0,24329260.0,24533214.0,24696252.0,26546120.0,2691599196.0,26981507.0,27856271.0,279854362.0,30174386.0,301843588.0,3158598644.0,32578142.0,32810761.0,36595974.0,36641694.0,3791121015.0,39711148.0,431241041.0,48656942.0,49310742.0,51631580.0,5202411.0,549022103.0,616085691.0,64086604.0,65724589.0,67568398.0,71834922.0,725188770.0,76711458.0,77672352.0,77780565.0,78049645.0,78516788.0,79319701.0,80472652.0,8.465811529199575e+17
1,10453122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,11012822.0,0.0,0.0,0.0,5.0,2.0,60.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,28.0,4.0,5.0,3.0,28.0,0.0,3.0,1.0,1.0,10.0,2.0,3.0,5.0,1.0,1.0,2.0,0.0,0.0,2.0,47.0,9.0,0.0,6.0,1.0,4.0,5.0,8.0,16.0,2.0,5.0,2.0,0.0,6.0,12.0,2.0
3,111652047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,113009001.0,0.0,5.0,0.0,0.0,14.0,39.0,2.0,1.0,2.0,77.0,6.0,0.0,0.0,1.0,14.0,0.0,14.0,0.0,7.0,2.0,57.0,2.0,2.0,6.0,9.0,11.0,0.0,5.0,1.0,3.0,0.0,6.0,11.0,1.0,2.0,0.0,28.0,0.0,5.0,189.0,3.0,1.0,58.0,15.0,55.0,130.0,14.0,2.0,33.0,11.0,3.0,17.0,2.0,5.0,0.0
5,113547701.0,0.0,2.0,0.0,14.0,0.0,9.0,0.0,1.0,0.0,14.0,2.0,0.0,3.0,0.0,6.0,0.0,12.0,0.0,4.0,4.0,12.0,2.0,0.0,4.0,3.0,18.0,1.0,4.0,1.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,9.0,1.0,5.0,47.0,5.0,0.0,32.0,16.0,26.0,32.0,14.0,5.0,31.0,33.0,0.0,14.0,4.0,2.0,1.0
6,11430852.0,0.0,60.0,0.0,39.0,9.0,0.0,3.0,8.0,7.0,91.0,43.0,6.0,0.0,1.0,9.0,0.0,12.0,3.0,10.0,4.0,153.0,9.0,9.0,11.0,50.0,8.0,2.0,0.0,1.0,16.0,1.0,40.0,24.0,3.0,1.0,2.0,45.0,0.0,9.0,464.0,13.0,1.0,72.0,4.0,61.0,63.0,21.0,49.0,24.0,14.0,5.0,5.0,9.0,24.0,3.0
7,121379684.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,3.0,0.0,1.0,1.0,4.0,1.0,10.0,1.0,2.0,1.0,3.0,0.0,12.0,4.0,0.0
8,122550241.0,0.0,5.0,0.0,1.0,1.0,8.0,3.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,0.0,1.0,1.0,3.0,3.0,4.0,7.0,2.0,2.0,4.0,0.0,2.0,5.0,1.0
9,1406614448.0,0.0,5.0,0.0,2.0,0.0,7.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0,16.0,1.0,0.0,1.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,2.0,0.0,1.0,23.0,2.0,0.0,4.0,2.0,2.0,4.0,4.0,0.0,4.0,3.0,8.0,0.0,1.0,7.0,1.0
10,145622254.0,0.0,4.0,2.0,77.0,14.0,91.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,22.0,0.0,25.0,4.0,8.0,2.0,58.0,0.0,1.0,6.0,5.0,18.0,2.0,4.0,0.0,2.0,0.0,5.0,9.0,0.0,2.0,1.0,56.0,1.0,4.0,256.0,4.0,0.0,76.0,19.0,68.0,110.0,14.0,5.0,41.0,4.0,5.0,21.0,1.0,3.0,0.0
