,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
0,-1.0,100446119.0,100463071.0,102955752.0,107324068.0,108050587.0,116841570.0,122624559.0,124322456.0,126297089.0,129251414.0,1358815884.0,13611482.0,136120167.0,137642660.0,138689499.0,1418726910.0,144782705.0,1541006316.0,155500681.0,1590364542.0,1590519834.0,161321551.0,165502910.0,166537858.0,1670798282.0,1691434088.0,169251434.0,173338012.0,182271385.0,18711950.0,190333186.0,1941172716.0,195802312.0,2167038296.0,2192842007.0,220650257.0,23197485.0,2433167971.0,2553817934.0,2558222998.0,257339806.0,2582033209.0,2585049200.0,261323160.0,26206160.0,262967337.0,26834533.0,26975279.0,2717302733.0,2824368534.0,284867370.0,286625089.0,2880702966.0,289290833.0,295655540.0,2958738547.0,2971298278.0,3172073179.0,3302481408.0,3389726902.0,364726760.0,368798482.0,382527275.0,415655533.0,421893092.0,438142822.0,4759411316.0,478804245.0,4798949964.0,4887225133.0,510286091.0,522270986.0,549398215.0,556819710.0,564860888.0,56932432.0,57901254.0,59146843.0,593863650.0,632885310.0,63963261.0,72845927.0,7.437613026784748e+17,75287772.0,7.771854729550316e+17,798568844.0,82066717.0,8.748794564517274e+17,90877803.0,9.102035141140193e+17,91710867.0,9.23042548830163e+17,933861342.0,93525639.0,9.359828218643292e+17,936728065.0,95085210.0
1,100446119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,100463071.0,0.0,0.0,6.0,1.0,2.0,9.0,0.0,1.0,0.0,46.0,26.0,1.0,3.0,5.0,42.0,1.0,2.0,48.0,0.0,76.0,46.0,3.0,9.0,7.0,2.0,43.0,1.0,22.0,6.0,94.0,3.0,9.0,90.0,8.0,9.0,5.0,3.0,5.0,85.0,7.0,4.0,7.0,17.0,25.0,20.0,45.0,17.0,6.0,4.0,0.0,2.0,1.0,81.0,12.0,0.0,2.0,13.0,35.0,15.0,2.0,23.0,6.0,6.0,15.0,1.0,2.0,3.0,16.0,12.0,12.0,9.0,9.0,15.0,75.0,0.0,6.0,44.0,89.0,9.0,2.0,3.0,18.0,4.0,31.0,11.0,2.0,1.0,10.0,6.0,18.0,1.0,17.0,17.0,1.0,0.0,2.0,5.0
3,102955752.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,4.0,7.0,0.0,1.0,1.0,3.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,6.0,0.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0
4,107324068.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
5,108050587.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6,116841570.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,11.0,0.0,0.0,2.0,5.0,0.0,0.0,12.0,0.0,13.0,9.0,0.0,0.0,0.0,1.0,12.0,0.0,4.0,1.0,14.0,0.0,4.0,16.0,3.0,2.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,10.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,4.0,2.0,13.0,0.0,5.0,7.0,7.0,1.0,0.0,0.0,7.0,1.0,10.0,6.0,0.0,0.0,0.0,1.0,10.0,0.0,7.0,6.0,0.0,0.0,0.0,1.0
7,122624559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8,124322456.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,126297089.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,2.0,8.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,6.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,6.0,3.0,0.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,6.0,2.0,0.0,1.0,4.0,8.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
